Author,Title,Year,Canonicity,PG,Smaller Corpus,Notes
Maria Edgeworth,Belinda,1801,2.0,9455,1.0,
Jane Austen,Sense and Sensibility,1811,1.0,161,2.0,
Jane Austen,Pride and Prejudice,1813,1.0,1342,3.0,
Jane Austen,Mansfield Park,1814,1.0,141,4.0,
Walter Scott,Waverley,1814,1.0,4966,5.0,
Jane Austen,Emma,1815,1.0,158,6.0,
Walter Scott,Guy Mannering,1815,2.0,5999,7.0,
Walter Scott,Old Mortality,1816,2.0,6941,8.0,
Jane Austen,Persuasion,1817,1.0,105,9.0,
Walter Scott,The Heart of Midlothian,1818,1.0,6942; 6943,10.0,
Charles Maturin,Melmoth the Wanderer,1820,1.0,53685; 53686; 53687; 53688,11.0,
Walter Scott,The Pirate,1821,2.0,42389,12.0,
Benjamin Disraeli,Vivian Grey,1826,2.0,9840,13.0,
Edward Bulwer-Lytton,Paul Clifford,1830,3.0,7735,14.0,
William Harrison Ainsworth,Rookwood,1834,2.0,23564,15.0,
Frederick Marrayat,Mr. Midshipman Easy,1836,2.0,21553,16.0,
Charles Dickens,Oliver Twist,1837,1.0,730,17.0,
William Harrison Ainsworth,Jack Sheppard,1839,1.0,16215,18.0,
Harriet Martineau,Deerbrook,1839,2.0,24210,19.0,
Frances Trollope,"The Life and Adventures of Michael Armstrong, the Factory Boy",1840,1.0,99999,20.0,
Benjamin Disraeli,Sybil,1845,1.0,3760,21.0,
Charles Dickens,Dombey and Son,1846,1.0,821,22.0,
William Makepeace Thackeray,Vanity Fair 1847,1847,1.0,599,23.0,
George William Macarthur Reynolds,The Mysteries of London,1848,2.0,51649,24.0,"This is a four-volume work, PG number is only for vol. 4/4 "
William Makepeace Thackeray,Pendennis,1848,1.0,7265,25.0,
Elizabeth Gaskell,Mary Barton,1848,1.0,2153,26.0,
Charlotte Bronte,Shirley,1849,1.0,30486,27.0,
Elizabeth Gaskell,Ruth,1853,1.0,4275,27.0,
Charlotte Yonge,The Heir of Redclyffe,1853,2.0,2505,28.0,
Charles Dickens,Hard Times,1854,1.0,786,29.0,
Elizabeth Gaskell,North and South,1854,1.0,4276,30.0,
Charles Kingsley,Westward Ho!,1855,2.0,1860,31.0,
Anthony Trollope,Barchester Towers,1857,1.0,3409,32.0,
Charles Dickens,A Tale of Two Cities,1859,1.0,98,33.0,
George Eliot,Adam Bede,1859,1.0,507,34.0,
George Eliot,The Mill on the Floss,1860,1.0,6688,35.0,
Ellen Wood,East Lynne,1861,1.0,3322,36.0,
Mary Elizabeth Braddon,Lady Audley's Secret,1862,1.0,8954,37.0,
George Eliot,Romola,1863,1.0,24020,38.0,
Charles Reade,Hard Cash,1863,2.0,3067,39.0,
Anthony Trollope,The Small House at Allington,1864,2.0,4599,40.0,
Anthony Trollope,Can You Forgive Her?,1864,2.0,19500,41.0,
Charles Dickens,Our Mutual Friend,1864,1.0,883,42.0,
Wilkie Collins,Armadale,1864,2.0,1895,43.0,
Margaret Oliphant,Miss Marjoribanks,1866,1.0,41286,44.0,
George Eliot,Middlemarch,1871,1.0,145,45.0,
Ouida,Bébée,1874,3.0,13912,46.0,
George Eliot,Daniel Deronda,1876,1.0,7469,47.0,
Thomas Hardy,The Return of the Native,1878,1.0,122,48.0,
Thomas Hardy,The Mayor of Casterbridge,1886,1.0,143,49.0,
Oscar Wilde,The Picture of Dorian Gray,1890,1.0,174,50.0,
George Gissing,New Grub Street,1891,1.0,1709,51.0,
Thomas Hardy,Tess of the d'Urbervilles,1891,1.0,110,52.0,
Rudyard Kipling,The Light that Failed,1891,2.0,2876,53.0,
George Gissing,The Odd Women,1893,1.0,4313,54.0,
George Du Maurier,Trilby,1894,2.0,39858,55.0,
H.G. Wells,The Invisible Man,1897,1.0,5230,56.0,
George Moore,Esther Waters,1894,2.0,8157,56.0,
*Ella Hepworth Dixon,The Story of a Modern Woman,1894,1.0,88888,57.0,
Thomas Hardy,Jude the Obscure,1895,1.0,153,58.0,
Joseph Conrad,Almayer's Folly,1895,1.0,720,59.0,
H.G. Wells,Love and Mr. Lewisham,1900,2.0,11640,60.0,
Margaret Oliphant,Phoebe Junior,1876,1.0,28629,61.0,
Mary Elizabeth Braddon,Aurora Floyd,1863,1.0,48020; 48021; 48022,62.0,
