CHAPTER,CHARACTER,N,DC,DN,A,C,I,FID,B
1,Mrs. Reed,5,2,3,5,3,4,0,0
1,Jane,1,14,15,32,5,29,0,0
1,Bessie,4,1,1,5,3,0,0,0
1,Eliza Reed,6,0,0,3,1,0,0,0
1,John Reed,11,3,0,20,9,1,0,0
1,Georgiana Reed,5,0,0,2,0,0,0,0
1,Mr. Miles (John's schoolmaster),1,0,0,0,1,0,0,0
1,Abbot,1,0,0,1,1,0,0,0
2,Jane,5,22,9,31,7,48,4,1
2,Bessie,18,0,1,9,9,5,0,0
2,Abbot,13,1,0,7,9,4,0,0
2,John Reed,4,6,2,9,2,0,0,0
2,Mrs. Reed,10,4,4,7,5,3,0,0
2,The housemaid,0,0,0,2,0,0,0,0
2,Mr. Reed,4,0,3,1,0,0,0,0
2,Eliza Reed,1,0,1,0,0,0,0,0
2,Georgiana Reed,1,0,2,0,0,0,0,0
3,Jane,6,33,2,29,20,57,0,0
3,Bessie,30,1,7,28,12,2,0,0
3,"Mr. Lloyd (""a gentleman"")",7,0,3,22,26,2,0,0
3,Mrs. Reed,7,4,1,2,0,0,0,0
3,Abbot,9,3,1,2,3,2,0,0
3,The housemaid (Sarah),2,0,0,1,0,0,0,0
3,Georgiana Reed,3,3,0,0,0,0,0,0
3,Mr. Reed,1,0,0,1,0,0,0,0
3,John Reed,3,0,1,2,0,1,0,0
4,"Mr. Lloyd (""a gentleman"")",1,0,0,0,0,0,0,0
4,Bessie,24,9,7,25,18,1,0,0
4,Abbot,1,0,0,0,0,0,0,0
4,Jane,14,0,16,81,39,79,2,0
4,Mrs. Reed,26,14,7,35,18,8,0,0
4,Eliza Reed,5,0,2,10,0,1,0,0
4,Georgiana Reed,5,1,0,7,0,0,0,0
4,John Reed,5,3,3,7,1,1,0,0
4,Mr. Reed,2,2,0,0,0,0,0,0
4,Mr. Brocklehurst,12,2,3,11,24,0,0,0
4,Miss Temple,2,2,0,0,0,0,0,0
4,Augusta Brocklehurst,2,1,0,1,1,0,0,0
4,Mrs. Brocklehurst,1,1,0,0,0,0,0,0
4,Augusta Brocklehurst,1,1,0,0,0,0,0,0
4,Theodore Brocklehurst,1,1,0,0,0,0,0,0
4,Broughton Brocklehurst,1,1,0,0,0,0,0,0
5,Bessie,9,0,1,11,7,0,0,0
5,Jane,4,12,11,80,29,34,1,0
5,Mrs. Reed,2,3,0,1,0,0,0,0
5,The porter's wife,0,0,0,1,3,0,0,0
5,The guard,0,0,0,7,1,1,0,0
5,The coachman,0,0,0,1,1,0,0,0
5,"""A person like a servant""",0,0,0,5,1,0,0,0
5,Miss Temple,6,6,6,16,7,0,0,0
5,Miss Miller,19,0,3,15,7,1,0,0
5,"""A little dark personage""",2,3,2,2,1,0,0,0
5,"""A more buxom lady""",0,0,2,1,1,0,0,0
5,Madame Pierrot,1,3,2,1,0,0,0,0
5,A servant,0,0,0,1,0,0,0,0
5,"""One teacher""",1,1,0,3,0,0,0,0
5,Helen Burns,0,11,2,7,21,1,0,0
5,Naomi Brocklehurst,2,2,0,0,0,0,0,0
5,Mr. Brocklehurst,3,0,9,0,0,0,0,0
6,Jane,0,11,4,28,24,35,0,0
6,Miss Smith,2,0,0,5,0,0,0,0
6,Miss Scotcherd,15,9,0,6,5,2,0,0
6,Helen Burns,20,22,13,39,19,29,0,0
6,Mr. Brocklehurst,1,1,0,0,0,0,0,0
6,A monitor,0,0,0,2,1,0,0,0
6,Miss Temple,6,5,0,6,0,1,0,0
6,Miss Miller,1,1,0,2,0,0,0,0
6,Mrs. Reed,2,3,0,0,0,0,0,0
6,John Reed,1,1,0,0,0,0,0,0
7,Jane,1,13,5,45,1,32,1,0
7,Mr. Brocklehurst,15,1,8,46,19,14,0,0
7,Miss Temple,19,11,6,16,8,1,0,0
7,Miss Miller,1,0,0,2,0,0,0,0
7,Mrs. Reed,1,1,0,1,0,0,0,0
7,Miss Smith,1,1,0,0,0,0,0,0
7,Agnes Johnstone,1,1,0,0,0,0,0,0
7,Catherine Johnstone,1,1,0,0,0,0,0,0
7,Julia Semern,3,7,0,0,0,0,0,0
7,Mrs. Brocklehurst,2,0,1,8,0,0,0,0
7,The housekeeper,0,0,0,1,0,0,0,0
7,The laundress,0,0,0,1,0,0,0,0
7,The superintendent,0,0,0,1,0,0,0,0
7,Miss Smith,2,0,0,1,0,0,0,0
7,Mrs. Reed,1,0,0,0,0,0,0,0
7,Helen Burns,3,0,3,7,0,0,0,0
7,Miss Scotcherd,2,0,1,1,0,0,0,0
8,Jane,7,17,4,29,12,38,2,0
8,Helen Burns,26,8,7,31,8,17,0,0
8,Miss Miller,1,0,0,1,0,0,0,0
8,Miss Temple,16,5,2,45,17,11,0,0
8,Mr. Brocklehurst,5,4,1,2,0,0,0,0
8,Mrs. Reed,3,6,0,2,0,0,0,0
8,Mr. Reed,0,3,0,0,0,0,0,0
8,"Mr. Lloyd (""a gentleman"")",3,2,0,2,0,0,0,0
8,Barbara (servant),4,2,0,5,1,0,0,0
8,Mrs. Harden,2,0,1,0,1,0,0,0
8,Miss Scotcherd,3,0,0,7,0,0,0,0
8,Madame Pierrot,1,0,0,1,0,0,0,0
9,Jane,7,10,4,56,18,45,2,0
9,Miss Temple,8,1,1,4,0,2,0,0
9,Mr. Brocklehurst,1,0,0,1,0,0,0,0
9,Old housekeeper,0,0,0,2,0,0,0,0
9,New housekeeper,0,0,0,2,0,1,0,0
9,Mary Ann Wilson,4,0,4,4,0,1,0,0
9,Helen Burns,22,20,12,18,12,13,0,0
9,Mr. Bates (surgeon),2,3,0,4,0,0,0,0
9,Nurse,0,0,0,7,5,0,0,0
9,Miss Miller,1,0,0,1,0,0,0,0
10,Jane,5,15,14,91,30,65,0,0
10,Mr. Brocklehurst,4,0,1,3,0,1,0,0
10,Miss Temple,3,0,2,3,0,0,0,0
10,Rev. Mr. Nasymth,1,0,0,0,0,0,0,0
10,Mrs. Reed,3,5,0,7,1,0,0,0
10,Miss Bryce,3,5,0,7,1,0,0,0
10,A little fellow (Bobby),3,0,1,2,0,1,0,0
10,Robert L,1,0,0,0,0,1,0,0
10,John Eyre (uncle),0,7,0,3,0,1,0,0
10,The butler,0,0,0,1,0,0,0,0
10,John Reed,2,6,0,0,0,0,0,0
10,Eliza Reed,2,2,0,1,0,1,0,0
10,Georgiana Reed,3,4,0,1,0,0,0,0
10,New superintendent,0,0,0,6,0,0,0,0
10,The courrier,0,1,0,1,0,0,0,0
10,An old dame,0,0,1,6,1,0,0,0
10,A servant,0,0,0,1,1,0,0,0
10,Mrs. Fairfax,3,0,0,0,2,0,0,0
10,Bessie,14,5,2,14,5,8,0,0
11,Jane,5,23,16,101,34,69,0,0
11,The boots,0,0,0,1,0,0,0,0
11,The mailer,0,0,0,2,3,0,0,0
11,John (driver),2,3,0,9,4,0,0,0
11,Mrs. Fairfax,16,13,5,38,37,19,0,0
11,Adele,12,21,3,35,8,3,0,0
11,Mrs. Reed,1,1,0,0,0,0,0,0
11,Leah (housemaid),5,4,0,3,1,2,0,0
11,John's wife,0,1,0,0,0,0,0,0
11,Adele's nurse,5,10,0,3,1,0,0,0
11,Mr. Rochester,16,26,0,7,0,4,0,0
11,Madame Pierrot,2,0,1,0,0,0,0,0
11,Adele's mother,0,6,0,2,0,0,0,0
11,Mrs. Fairfax's dead husband,0,2,0,0,0,0,0,0
11,Madame Frederic,2,3,0,1,0,0,0,0
11,Grace Poole,5,4,1,2,0,0,0,0
12,Mrs. Fairfax,12,1,2,7,0,0,0,0
12,Adele,7,1,4,6,1,1,0,0
12,Jane,0,12,5,88,18,64,1,0
12,Adele's nurse,2,0,2,3,0,0,0,0
12,Grace Poole,1,0,3,5,0,0,0,0
12,John Reed,2,1,2,1,0,0,0,0
12,John's wife,1,0,1,0,0,0,0,0
12,Leah (housemaid),3,0,1,3,4,0,0,0
12,Bessie,2,0,0,0,0,0,0,0
12,Pilot (dog),2,2,5,13,0,0,0,0
12,Mesrour,0,2,3,6,0,0,0,0
12,Mr. Rochester,3,6,10,32,18,4,0,0
12,Mr. Carter (the surgeon),1,0,0,1,0,0,0,0
13,Mr. Rochester,18,37,6,33,51,11,0,1
13,Mr. Carter (the surgeon),0,0,0,1,0,0,0,0
13,Mr. Rochester's agent,0,0,0,1,0,0,0,0
13,Adele,20,9,1,17,3,5,0,0
13,Jane,9,67,4,39,49,33,0,0
13,Mrs. Fairfax,18,4,1,21,19,11,0,0
13,Miss Temple,1,0,0,1,0,0,0,0
13,Pilot (dog),3,0,0,1,0,1,0,0
13,Mr. Brocklehurst,2,6,0,0,0,0,0,0
13,Mr. Rowland Rochester,2,2,0,1,0,0,0,0
13,Mr. Rochester's father,1,3,0,1,0,2,0,0
14,Jane,14,61,1,26,37,37,0,0
14,Mr. Rochester,8,24,12,77,50,83,0,0
14,Adele,13,9,2,28,5,8,0,0
14,Pilot (dog),1,1,0,0,0,0,0,0
14,Mrs. Fairfax,4,3,0,4,0,0,0,0
14,Sophie,1,1,0,0,0,0,0,0
14,Celine,1,3,0,0,0,0,0,0
15,Mr. Rochester,7,13,16,115,33,14,0,1
15,Adele,7,9,4,7,1,2,0,0
15,Pilot (dog),4,1,1,0,0,0,0,0
15,Celine,8,17,0,9,0,2,0,0
15,Jane,7,45,0,71,22,74,1,0
15,Sophie,1,1,0,0,0,0,0,0
15,Celine's chambermaid,0,1,0,4,0,0,0,0
15,Celine's companion,0,9,0,0,0,0,0,0
15,John Reed,2,2,0,1,0,0,0,0
15,Rochester's agent,0,1,0,1,0,1,0,0
15,Mrs. Fairfax,6,7,0,2,0,0,0,0
15,Grace Poole,4,6,0,0,0,0,0,0
15,Leah (housemaid),1,1,0,0,0,0,0,0
15,John's wife,0,1,0,0,0,0,0,0
16,Jane,2,13,3,38,34,85,1,0
16,Mr. Rochester,25,36,3,11,0,3,0,0
16,Adele,5,0,0,6,1,0,0,0
16,Mrs. Fairfax,9,6,0,12,13,1,0,0
16,Leah (housemaid),4,0,0,4,0,0,0,0
16,John's wife,0,1,1,2,3,0,0,0
16,John Reed,1,0,0,0,0,0,0,0
16,Grace Poole,9,8,12,19,13,14,0,0
16,Pilot (dog),2,1,0,0,0,0,0,0
16,Bessie,1,0,0,1,0,0,0,0
16,Sophie,1,0,0,0,0,0,0,0
16,Mr. Eshton,1,1,0,0,0,0,0,0
16,Lord Ingram,1,1,0,0,0,0,0,0
16,Sir George Lynn,1,1,0,0,0,0,0,0
16,Colonel Dent,1,1,0,0,0,0,0,0
16,Mrs. Eshton,1,1,0,0,0,0,0,0
16,Blanche Ingram,8,24,0,0,0,0,0,0
16,Mary Ingram,1,1,0,0,0,0,0,0
16,Old Lord Ingram,1,1,0,0,0,0,0,0
17,Mr. Rochester,33,45,5,29,26,13,0,0
17,Mrs. Fairfax,13,1,1,15,11,2,0,0
17,Jane,1,25,1,113,21,80,2,0
17,Adele,21,12,2,37,8,11,0,0
17,Sophie,5,1,0,6,0,0,0,0
17,The cook,0,0,0,5,0,1,0,0
17,Grace Poole,3,7,2,14,0,0,0,0
17,The charwoman,0,0,0,1,4,0,0,0
17,John Reed,3,1,0,1,1,0,0,0
17,Leah (housemaid),1,0,0,5,2,2,0,0
17,Mesrour,1,0,0,0,0,0,0,0
17,Pilot (dog),1,0,0,1,0,0,0,0
17,Sir George Lynn,1,1,0,1,0,0,0,0
17,Mrs. Fairfax,1,0,0,1,0,0,0,0
17,Blanche Ingram,14,11,13,39,23,20,0,2
17,Mrs. Eshton,1,0,1,0,0,0,0,0
17,Amy Esthon,5,0,2,9,1,4,0,1
17,Louisa Eshton,7,0,1,5,2,2,0,2
17,Lady Lynn,4,0,1,3,1,0,0,0
17,Mrs. Colonel Dent,5,0,4,4,1,2,0,0
17,Dowager Lady Ingram,3,6,5,3,8,4,0,0
17,Mary Ingram,9,2,5,5,0,0,0,0
17,Mrs. Reed,1,0,1,0,0,0,0,0
17,Henry Lynn,2,0,1,2,0,0,0,0
17,Frederick Lynn,2,0,0,2,0,0,0,0
17,Colonel Dent,4,1,2,1,1,0,0,0
17,Mr Vining,1,1,0,0,0,1,0,1
17,Mr. Eshton,2,0,1,1,0,0,0,0
17,Lord Theodore Ingram,7,1,3,2,1,0,0,0
17,Sir George Lynn,1,0,1,2,0,0,0,0
17,Madame Joulent,3,2,0,0,1,0,0,1
17,Miss Wilson,3,2,0,0,0,1,0,2
17,Mrs. Grey,1,1,0,0,0,0,0,1
