chapter,method,character,tag,count
10,1000_all_gpt-4o-mini_individual,Jane,N,16
10,1000_all_gpt-4o-mini_individual,Jane,A,50
10,1000_all_gpt-4o-mini_individual,Jane,C,20
10,1000_all_gpt-4o-mini_individual,Jane,I,100
10,1000_all_gpt-4o-mini_individual,Jane,DN,12
10,1000_all_gpt-4o-mini_individual,Jane,DC,7
10,1000_all_gpt-4o-mini_individual,Mary,N,0
10,1000_all_gpt-4o-mini_individual,Mary,A,0
10,1000_all_gpt-4o-mini_individual,Mary,C,0
10,1000_all_gpt-4o-mini_individual,Mary,I,0
10,1000_all_gpt-4o-mini_individual,Mary,DN,0
10,1000_all_gpt-4o-mini_individual,Mary,DC,0
10,1000_all_gpt-4o-mini_individual,St. John Rivers,N,0
10,1000_all_gpt-4o-mini_individual,St. John Rivers,A,0
10,1000_all_gpt-4o-mini_individual,St. John Rivers,C,0
10,1000_all_gpt-4o-mini_individual,St. John Rivers,I,0
10,1000_all_gpt-4o-mini_individual,St. John Rivers,DN,0
10,1000_all_gpt-4o-mini_individual,St. John Rivers,DC,0
10,1000_all_gpt-4o-mini_individual,Mr. Rochester,N,2
10,1000_all_gpt-4o-mini_individual,Mr. Rochester,A,0
10,1000_all_gpt-4o-mini_individual,Mr. Rochester,C,2
10,1000_all_gpt-4o-mini_individual,Mr. Rochester,I,0
10,1000_all_gpt-4o-mini_individual,Mr. Rochester,DN,1
10,1000_all_gpt-4o-mini_individual,Mr. Rochester,DC,6
10,1000_all_gpt-4o-mini_individual,Mrs. Fairfax,N,5
10,1000_all_gpt-4o-mini_individual,Mrs. Fairfax,A,5
10,1000_all_gpt-4o-mini_individual,Mrs. Fairfax,C,4
10,1000_all_gpt-4o-mini_individual,Mrs. Fairfax,I,3
10,1000_all_gpt-4o-mini_individual,Mrs. Fairfax,DN,4
10,1000_all_gpt-4o-mini_individual,Mrs. Fairfax,DC,5
10,1000_all_gpt-4o-mini_individual,Mary Rivers,N,0
10,1000_all_gpt-4o-mini_individual,Mary Rivers,A,0
10,1000_all_gpt-4o-mini_individual,Mary Rivers,C,0
10,1000_all_gpt-4o-mini_individual,Mary Rivers,I,0
10,1000_all_gpt-4o-mini_individual,Mary Rivers,DN,0
