chapter,method,character,tag,count
10,chapter_all_gpt-4o-mini_all,Jane,N,15
10,chapter_all_gpt-4o-mini_all,Jane,A,6
10,chapter_all_gpt-4o-mini_all,Jane,C,6
10,chapter_all_gpt-4o-mini_all,Jane,I,15
10,chapter_all_gpt-4o-mini_all,Jane,DN,11
10,chapter_all_gpt-4o-mini_all,Jane,DC,7
10,chapter_all_gpt-4o-mini_all,Mr. Rochester,N,0
10,chapter_all_gpt-4o-mini_all,Mr. Rochester,A,0
10,chapter_all_gpt-4o-mini_all,Mr. Rochester,C,0
10,chapter_all_gpt-4o-mini_all,Mr. Rochester,I,0
10,chapter_all_gpt-4o-mini_all,Mr. Rochester,DN,0
10,chapter_all_gpt-4o-mini_all,Mr. Rochester,DC,0
10,chapter_all_gpt-4o-mini_all,Mrs. Fairfax,N,4
10,chapter_all_gpt-4o-mini_all,Mrs. Fairfax,A,0
10,chapter_all_gpt-4o-mini_all,Mrs. Fairfax,C,1
10,chapter_all_gpt-4o-mini_all,Mrs. Fairfax,I,0
10,chapter_all_gpt-4o-mini_all,Mrs. Fairfax,DN,1
10,chapter_all_gpt-4o-mini_all,Mrs. Fairfax,DC,3
10,chapter_all_gpt-4o-mini_all,Bessie,N,6
10,chapter_all_gpt-4o-mini_all,Bessie,A,1
10,chapter_all_gpt-4o-mini_all,Bessie,C,1
10,chapter_all_gpt-4o-mini_all,Bessie,I,1
10,chapter_all_gpt-4o-mini_all,Bessie,DN,2
10,chapter_all_gpt-4o-mini_all,Bessie,DC,1
10,chapter_all_gpt-4o-mini_all,Miss Temple,N,3
10,chapter_all_gpt-4o-mini_all,Miss Temple,A,0
10,chapter_all_gpt-4o-mini_all,Miss Temple,C,1
10,chapter_all_gpt-4o-mini_all,Miss Temple,I,2
10,chapter_all_gpt-4o-mini_all,Miss Temple,DN,3
10,chapter_all_gpt-4o-mini_all,Miss Temple,DC,1
10,chapter_all_gpt-4o-mini_all,Georgiana Reed,N,2
10,chapter_all_gpt-4o-mini_all,Georgiana Reed,A,0
10,chapter_all_gpt-4o-mini_all,Georgiana Reed,C,1
10,chapter_all_gpt-4o-mini_all,Georgiana Reed,I,1
10,chapter_all_gpt-4o-mini_all,Georgiana Reed,DN,1
