chapter,method,character,tag,count
10,chapter_all_gpt-4o-mini_individual,Jane,N,0
10,chapter_all_gpt-4o-mini_individual,Jane,A,20
10,chapter_all_gpt-4o-mini_individual,Jane,C,0
10,chapter_all_gpt-4o-mini_individual,Jane,I,55
10,chapter_all_gpt-4o-mini_individual,Jane,DN,0
10,chapter_all_gpt-4o-mini_individual,Jane,DC,0
10,chapter_all_gpt-4o-mini_individual,Mr. Rochester,N,0
10,chapter_all_gpt-4o-mini_individual,Mr. Rochester,A,0
10,chapter_all_gpt-4o-mini_individual,Mr. Rochester,C,0
10,chapter_all_gpt-4o-mini_individual,Mr. Rochester,I,0
10,chapter_all_gpt-4o-mini_individual,Mr. Rochester,DN,0
10,chapter_all_gpt-4o-mini_individual,Mr. Rochester,DC,0
10,chapter_all_gpt-4o-mini_individual,Mrs. Fairfax,N,3
10,chapter_all_gpt-4o-mini_individual,Mrs. Fairfax,A,1
10,chapter_all_gpt-4o-mini_individual,Mrs. Fairfax,C,3
10,chapter_all_gpt-4o-mini_individual,Mrs. Fairfax,I,0
10,chapter_all_gpt-4o-mini_individual,Mrs. Fairfax,DN,0
10,chapter_all_gpt-4o-mini_individual,Mrs. Fairfax,DC,0
10,chapter_all_gpt-4o-mini_individual,Bessie,N,5
10,chapter_all_gpt-4o-mini_individual,Bessie,A,11
10,chapter_all_gpt-4o-mini_individual,Bessie,C,6
10,chapter_all_gpt-4o-mini_individual,Bessie,I,6
10,chapter_all_gpt-4o-mini_individual,Bessie,DN,2
10,chapter_all_gpt-4o-mini_individual,Bessie,DC,2
10,chapter_all_gpt-4o-mini_individual,Miss Temple,N,3
10,chapter_all_gpt-4o-mini_individual,Miss Temple,A,5
10,chapter_all_gpt-4o-mini_individual,Miss Temple,C,3
10,chapter_all_gpt-4o-mini_individual,Miss Temple,I,7
10,chapter_all_gpt-4o-mini_individual,Miss Temple,DN,4
10,chapter_all_gpt-4o-mini_individual,Miss Temple,DC,0
10,chapter_all_gpt-4o-mini_individual,Georgiana Reed,N,2
10,chapter_all_gpt-4o-mini_individual,Georgiana Reed,A,2
10,chapter_all_gpt-4o-mini_individual,Georgiana Reed,C,0
