chapter,method,character,tag,count
1,booknlp_old,Jane,N,1
1,booknlp_old,Mr. Rochester,N,0
1,booknlp_old,Mrs. Fairfax,N,0
1,booknlp_old,Adele,N,0
1,booknlp_old,Mrs. Reed,N,5
1,booknlp_old,John Reed,N,9
1,booknlp_old,St. John Rivers,N,1
1,booknlp_old,Pilot (dog),N,0
1,booknlp_old,Grace Poole,N,0
1,booknlp_old,Blanche Ingram,N,0
1,booknlp_old,Diana Rivers,N,0
1,booknlp_old,Mr. Brocklehurst,N,0
1,booknlp_old,Bessie,N,5
1,booknlp_old,Leah (housemaid),N,0
1,booknlp_old,Miss Temple,N,0
1,booknlp_old,Mary Rivers,N,0
1,booknlp_old,John's wife,N,0
1,booknlp_old,Sophie,N,0
1,booknlp_old,John Eyre (uncle),N,0
1,booknlp_old,Helen Burns,N,0
1,booknlp_old,Mr. Oliver,N,0
1,booknlp_old,Eliza Reed,N,6
1,booknlp_old,Miss Rosamond Oliver,N,0
1,booknlp_old,Sir George Lynn,N,0
1,booknlp_old,Colonel Dent,N,0
1,booknlp_old,Miss Miller,N,0
1,booknlp_old,Mrs. Rivers,N,0
1,booknlp_old,Mr. Mason,N,0
1,booknlp_old,Mr. Reed,N,1
1,booknlp_old,Abbot,N,1
1,booknlp_old,Mr. Rivers,N,0
1,booknlp_old,Hannah,N,0
1,booknlp_old,Georgiana Reed,N,1
1,booknlp_old,Bertha Mason,N,0
1,booknlp_old,Mr. Rochester's father,N,0
1,booknlp_old,Miss Smith,N,0
1,booknlp_old,Celine,N,0
1,booknlp_old,Miss Scotcherd,N,0
1,booknlp_old,Richard Mason,N,0
1,booknlp_old,Mary (housekeeper),N,0
1,booknlp_old,Mr. Eshton,N,0
1,booknlp_old,Madame Pierrot,N,0
1,booknlp_old,Lord Ingram,N,0
1,booknlp_old,Georgiana,N,3
1,booknlp_old,Mary Ingram,N,0
1,booknlp_old,"Mr. Lloyd (""a gentleman"")",N,0
1,booknlp_old,Mrs. Colonel Dent,N,0
1,booknlp_old,Carlo (dog),N,0
1,booknlp_old,Mrs. Eshton,N,0
1,booknlp_old,Adele's nurse,N,0
1,booknlp_old,The coachman,N,0
1,booknlp_old,John (servant),N,0
1,booknlp_old,The driver,N,0
1,booknlp_old,Host of the inn,N,0
1,booknlp_old,Mrs. Brocklehurst,N,0
1,booknlp_old,Horse,N,0
1,booknlp_old,Messour,N,0
1,booknlp_old,Jane's mother,N,0
1,booknlp_old,A servant,N,0
1,booknlp_old,Robert L,N,0
1,booknlp_old,Frederick Lynn,N,0
1,booknlp_old,Mr. Briggs,N,0
1,booknlp_old,Louisa Eshton,N,0
1,booknlp_old,The doctor,N,0
1,booknlp_old,Driver,N,0
1,booknlp_old,Mr. Wood,N,0
1,booknlp_old,A footman,N,0
1,booknlp_old,Surgeon,N,0
1,booknlp_old,Amy Eshton,N,0
1,booknlp_old,Martha,N,0
1,booknlp_old,Aunt Gibson,N,0
1,booknlp_old,Mesroux,N,0
1,booknlp_old,Lord Edwin,N,0
1,booknlp_old,Gipsy/Sibyl,N,0
1,booknlp_old,The clerk (John Greer),N,0
1,booknlp_old,Lady Ingram,N,0
1,booknlp_old,Mrs. Dionysius O'Gall,N,0
1,booknlp_old,Mr. Gibson,N,0
1,booknlp_old,The hired nurse,N,0
1,booknlp_old,"""A little dark personage""",N,0
1,booknlp_old,Coachman,N,0
1,booknlp_old,Briss,N,0
1,booknlp_old,Mr.Miles (John's schoolmaster),N,0
1,booknlp_old,Clerk,N,0
1,booknlp_old,Parson,N,0
1,booknlp_old,Mr. Carter,N,0
1,booknlp_old,The esther,N,0
1,booknlp_old,Sir Frederic Granby,N,0
1,booknlp_old,Mr. Granby,N,0
1,booknlp_old,Mary Garrett,N,0
1,booknlp_old,Mary Garrett's mother,N,0
1,booknlp_old,Jane's father,N,0
1,booknlp_old,Alice Ward,N,0
1,booknlp_old,Little orphan/handmaid,N,0
1,booknlp_old,Miss Oliver,N,0
1,booknlp_old,Mr. Bill Oliver,N,0
1,booknlp_old,An elderly woman,N,0
1,booknlp_old,Mr. Eyre (uncle),N,0
1,booknlp_old,Her mother,N,0
1,booknlp_old,A little girl,N,0
1,booknlp_old,The farmer,N,0
1,booknlp_old,The housemaid,N,0
1,booknlp_old,An old woman (housekeeper),N,0
1,booknlp_old,A young woman,N,0
1,booknlp_old,The woman (in shop),N,0
1,booknlp_old,Miss Amy Eshton,N,0
1,booknlp_old,Clara,N,0
1,booknlp_old,Celine Varens,N,0
1,booknlp_old,Giacinta,N,0
1,booknlp_old,Carter (surgeon),N,0
1,booknlp_old,Rowland Rochester,N,0
1,booknlp_old,Miss Louisa Eshton,N,0
1,booknlp_old,Henry Lynn,N,1
1,booknlp_old,Gypsy fortuneteller,N,0
1,booknlp_old,Mrs. Lynn,N,0
1,booknlp_old,John (driver),N,0
1,booknlp_old,The mailer,N,0
1,booknlp_old,The boots,N,0
1,booknlp_old,An old dame,N,0
1,booknlp_old,The courrier,N,0
1,booknlp_old,New superintendent,N,0
1,booknlp_old,The butler,N,0
1,booknlp_old,"""A person like a servant""",N,0
1,booknlp_old,A little fellow (Bobby),N,0
1,booknlp_old,Miss Bryce,N,0
1,booknlp_old,Rev. Mr. Nasymth,N,0
1,booknlp_old,Nurse,N,0
1,booknlp_old,Mr. Bates (surgeon),N,0
1,booknlp_old,Mary Ann Wilson,N,0
1,booknlp_old,New housekeeper,N,0
1,booknlp_old,Old housekeeper,N,0
1,booknlp_old,Mrs. Harden,N,0
1,booknlp_old,Barbara (servant),N,0
1,booknlp_old,Mr. Reed (uncle),N,0
1,booknlp_old,Reed,N,0
1,booknlp_old,The superintendent,N,0
1,booknlp_old,The laundress,N,0
1,booknlp_old,The housekeeper,N,0
1,booknlp_old,Julia Semern,N,0
1,booknlp_old,Catherine Johnstone,N,0
1,booknlp_old,Agnes Johnstone,N,0
1,booknlp_old,A monitor,N,0
1,booknlp_old,Naomi Brocklhurst,N,0
1,booknlp_old,"""One teacher""",N,0
1,booknlp_old,The guard,N,0
1,booknlp_old,The porter's wife,N,0
1,booknlp_old,Broughton Brocklehurst,N,0
1,booknlp_old,Old Lord Ingram,N,0
