chapter,method,character,tag,count
10,chapter_all_gpt-4o-mini_individual,Mr. Rochester,N,0
10,chapter_all_gpt-4o-mini_individual,Mr. Rochester,A,0
10,chapter_all_gpt-4o-mini_individual,Mr. Rochester,C,0
10,chapter_all_gpt-4o-mini_individual,Mr. Rochester,I,0
10,chapter_all_gpt-4o-mini_individual,Mr. Rochester,DN,0
10,chapter_all_gpt-4o-mini_individual,Mr. Rochester,DC,2
10,chapter_all_gpt-4o-mini_individual,Georgiana Reed,N,0
10,chapter_all_gpt-4o-mini_individual,Georgiana Reed,A,0
10,chapter_all_gpt-4o-mini_individual,Georgiana Reed,C,0
10,chapter_all_gpt-4o-mini_individual,Georgiana Reed,I,0
10,chapter_all_gpt-4o-mini_individual,Georgiana Reed,DN,1
10,chapter_all_gpt-4o-mini_individual,Georgiana Reed,DC,5
10,chapter_all_gpt-4o-mini_individual,Mr. Brocklehurst,N,4
10,chapter_all_gpt-4o-mini_individual,Mr. Brocklehurst,A,0
10,chapter_all_gpt-4o-mini_individual,Mr. Brocklehurst,C,0
10,chapter_all_gpt-4o-mini_individual,Mr. Brocklehurst,I,2
10,chapter_all_gpt-4o-mini_individual,Mr. Brocklehurst,DN,1
10,chapter_all_gpt-4o-mini_individual,Mr. Brocklehurst,DC,0
10,chapter_all_gpt-4o-mini_individual,Brocklehurst,N,0
10,chapter_all_gpt-4o-mini_individual,Brocklehurst,A,0
10,chapter_all_gpt-4o-mini_individual,Brocklehurst,C,0
10,chapter_all_gpt-4o-mini_individual,Brocklehurst,I,0
10,chapter_all_gpt-4o-mini_individual,Brocklehurst,DN,0
10,chapter_all_gpt-4o-mini_individual,Brocklehurst,DC,0
10,chapter_all_gpt-4o-mini_individual,Mr. Reed,N,0
10,chapter_all_gpt-4o-mini_individual,Mr. Reed,A,0
10,chapter_all_gpt-4o-mini_individual,Mr. Reed,C,0
10,chapter_all_gpt-4o-mini_individual,Mr. Reed,I,0
10,chapter_all_gpt-4o-mini_individual,Mr. Reed,DN,0
10,chapter_all_gpt-4o-mini_individual,Mr. Reed,DC,1
10,chapter_all_gpt-4o-mini_individual,Reed,N,9
10,chapter_all_gpt-4o-mini_individual,Reed,A,0
10,chapter_all_gpt-4o-mini_individual,Reed,C,0
10,chapter_all_gpt-4o-mini_individual,Reed,I,0
10,chapter_all_gpt-4o-mini_individual,Reed,DN,0
10,chapter_all_gpt-4o-mini_individual,Reed,DC,7
10,chapter_all_gpt-4o-mini_individual,Mrs. Reed,N,7
