chapter,method,text,character
10,span-based,embracing and kissing Jane,Bessie
10,span-based,sitting down,Bessie
10,span-based,walked about the chamber,Jane
10,span-based,went to my window,Jane
10,span-based,opened it,Jane
10,span-based,looked out,Jane
10,span-based,traced the white road,Jane
10,span-based,went downstairs,Jane
10,span-based,noted a star or two,Jane
10,span-based,got up and took a turn in the room,Jane
10,span-based,crept to bed,Jane
10,span-based,sat up in bed,Jane
10,span-based,covered my shoulders with a shawl,Jane
10,span-based,undrew the curtain,Jane
10,span-based,brushed my black stuff travelling-dress,Jane
10,span-based,"prepared my bonnet, gloves, and muff",Jane
10,span-based,sat down and tried to rest,Jane
10,span-based,ran downstairs,Jane
10,span-based,looked at Bessie,Jane
10,span-based,played a waltz or two,Jane
10,span-based,took out my letter,Jane
10,span-based,broke the seal,Jane
38,span-based,left England,St. John Rivers
38,span-based,went to India,St. John Rivers
38,span-based,pursues his path,St. John Rivers
38,span-based,labours for his race,St. John Rivers
38,span-based,clears their painful way,St. John Rivers
38,span-based,hews down prejudices,St. John Rivers
38,span-based,was cooking,Mary
38,span-based,was basting,Mary
38,span-based,looked up,Mary
38,span-based,stared,Mary
38,span-based,bent over the roast,Mary
38,span-based,basted away,Mary
38,span-based,announced that she would come and see me,Diana Rivers
38,span-based,told me to give Mary a five-pound note,Mr. Rochester
38,span-based,read a letter,Mr. Rochester
38,span-based,came and bent over me,Mr. Rochester
38,span-based,acknowledged God’s mercy,Mr. Rochester
1,span-based,clustered round their mama in the drawing-room,John Reed
1,span-based,seating himself in an arm-chair,John Reed
1,span-based,thrusting out his tongue at me,John Reed
1,span-based,struck suddenly and strongly,John Reed
1,span-based,lift and poise the book,John Reed
1,span-based,stood in act to hurl it,John Reed
1,span-based,ran headlong at me,John Reed
1,span-based,grasped my hair and my shoulder,John Reed
1,span-based,closed with a desperate thing,John Reed
1,span-based,lay reclined on a sofa by the fireside,Mrs. Reed
1,span-based,came upon the scene,Mrs. Reed
1,span-based,came upon the scene,Bessie
1,span-based,bore me upstairs,Bessie
1,span-based,came upon the scene,Abbot
1,span-based,bore me upstairs,Abbot
1,span-based,wandered in the leafless shrubbery,Jane
1,span-based,slipped in the breakfast-room,Jane
1,span-based,mounted into the window-seat,Jane
1,span-based,gathered up my feet,Jane
1,span-based,sat cross-legged,Jane
1,span-based,drew the red moreen curtain nearly close,Jane
1,span-based,turned over the leaves of my book,Jane
1,span-based,came out immediately,Jane
1,span-based,retrieved the book from the window,Jane
1,span-based,clustered round their mama in the drawing-room,Georgiana Reed
1,span-based,ran for Mrs. Reed,Georgiana Reed
1,span-based,clustered round their mama in the drawing-room,Eliza Reed
1,span-based,put her head in at the door,Eliza Reed
1,span-based,ran for Mrs. Reed,Eliza Reed
11,span-based,got up,Mrs. Fairfax
11,span-based,came forward,Mrs. Fairfax
11,span-based,conducted Jane to her own chair,Mrs. Fairfax
11,span-based,removed Jane's shawl,Mrs. Fairfax
11,span-based,untied Jane's bonnet-strings,Mrs. Fairfax
11,span-based,produced from her pocket a most housewifely bunch of keys,Mrs. Fairfax
11,span-based,delivered them to the servant,Mrs. Fairfax
11,span-based,returned,Mrs. Fairfax
11,span-based,cleared her knitting apparatus and a book or two from the table,Mrs. Fairfax
11,span-based,handed Jane the refreshments,Mrs. Fairfax
11,span-based,took her candle,Mrs. Fairfax
11,span-based,led the way upstairs,Mrs. Fairfax
11,span-based,went to see if the hall-door was fastened,Mrs. Fairfax
11,span-based,took the key from the lock,Mrs. Fairfax
11,span-based,ushered Jane into her chamber,Mrs. Fairfax
11,span-based,bidded Jane good-night,Mrs. Fairfax
11,span-based,fastened the trap-door,Mrs. Fairfax
11,span-based,pointed to a wide arch,Mrs. Fairfax
11,span-based,was dusting some vases of fine purple spar,Mrs. Fairfax
11,span-based,opened the window,Mrs. Fairfax
11,span-based,moved away,Mrs. Fairfax
11,span-based,sat in her cloak and bonnet,Jane
11,span-based,warmed away the numbness and chill,Jane
11,span-based,left Lowton,Jane
11,span-based,looked anxiously round,Jane
11,span-based,descended the wooden steps,Jane
11,span-based,requested to be shown into a private room,Jane
11,span-based,rang the bell,Jane
11,span-based,jumped up,Jane
11,span-based,took her muff and umbrella,Jane
11,span-based,hastened into the inn-passage,Jane
11,span-based,got in the vehicle,Jane
11,span-based,asked how far it was to Thornfield,Jane
11,span-based,leaned back in the comfortable conveyance,Jane
11,span-based,looked out,Jane
11,span-based,let down the window,Jane
11,span-based,alighted,Jane
11,span-based,went in,Jane
11,span-based,followed the maid-servant,Jane
11,span-based,entered a room,Jane
11,span-based,knelt down at the bedside,Jane
11,span-based,rose,Jane
11,span-based,dressed herself with care,Jane
11,span-based,brushed her hair very smooth,Jane
11,span-based,put on her black frock,Jane
11,span-based,adjusted her clean white tucker,Jane
11,span-based,opened her chamber window,Jane
11,span-based,saw that she left all things straight and neat,Jane
11,span-based,ventured forth,Jane
11,span-based,traversed the long and matted gallery,Jane
11,span-based,descended the slippery steps of oak,Jane
11,span-based,halted,Jane
11,span-based,looked at some pictures on the walls,Jane
11,span-based,stepped over the threshold,Jane
11,span-based,looked up and surveyed the front of the mansion,Jane
11,span-based,advanced onto the lawn,Jane
11,span-based,said goodbye,Jane
11,span-based,went to fetch her portfolio and pencils,Jane
11,span-based,came out,Grace Poole
11,span-based,curtseyed silently,Grace Poole
11,span-based,went in,Grace Poole
13,span-based,came in,Mrs. Fairfax
13,span-based,broke up,Mrs. Fairfax
13,span-based,entered,Mrs. Fairfax
13,span-based,ring the bell,Mrs. Fairfax
13,span-based,"proceeded to arrange the cups, spoons, &c.",Mrs. Fairfax
13,span-based,folded up her knitting,Mrs. Fairfax
13,span-based,went to bed,Rowland Rochester
13,span-based,rose,Rowland Rochester
13,span-based,bowed,Rowland Rochester
13,span-based,took the cup from my hand,Rowland Rochester
13,span-based,called out,Rowland Rochester
13,span-based,made a movement of the hand towards the door,Rowland Rochester
13,span-based,went to bed,Mr. Rochester
13,span-based,rose,Mr. Rochester
13,span-based,bowed,Mr. Rochester
13,span-based,took the cup from my hand,Mr. Rochester
13,span-based,called out,Mr. Rochester
13,span-based,made a movement of the hand towards the door,Mr. Rochester
13,span-based,carried our books,Jane
13,span-based,walked to the window,Jane
13,span-based,let down the curtain,Jane
13,span-based,went back to the fireside,Jane
13,span-based,repaired to my room,Jane
13,span-based,replaced my black stuff dress by one of black silk,Jane
13,span-based,put it on,Jane
13,span-based,went downstairs,Jane
13,span-based,let Mrs. Fairfax precede me into the dining-room,Jane
13,span-based,kept in her shade as we crossed that apartment,Jane
13,span-based,sat down,Jane
13,span-based,departed,Jane
13,span-based,closed the piano and returned,Jane
13,span-based,brought the portfolio from the library,Jane
13,span-based,tied the strings of the portfolio,Jane
2,span-based,twisted the necks of the pigeons,John Reed
2,span-based,killed the little pea-chicks,John Reed
2,span-based,set the dogs at the sheep,John Reed
2,span-based,stripped the hothouse vines of their fruit,John Reed
2,span-based,broke the buds off the choicest plants in the conservatory,John Reed
2,span-based,tore and spoiled his mother's silk attire,John Reed
2,span-based,breathed his last,Mr. Reed
2,span-based,lay in state,Mr. Reed
2,span-based,was borne by the undertaker’s men,Mr. Reed
2,span-based,visited the red-room to review the contents of a certain secret drawer,Mrs. Reed
2,span-based,swept away,Mrs. Reed
2,span-based,held Jane's arms,Bessie
2,span-based,thrust Jane upon a stool,Bessie
2,span-based,loosened her hold of Jane,Bessie
2,span-based,addressed Jane,Bessie
2,span-based,went,Bessie
2,span-based,divested a stout leg of the necessary ligature,Abbot
2,span-based,stood with folded arms,Abbot
2,span-based,turned to see Jane,Abbot
2,span-based,entered the red-room,Abbot
2,span-based,resisted all the way,Jane
2,span-based,rose from the stool,Jane
2,span-based,attached herself to her seat by her hands,Jane
2,span-based,returned to her stool,Jane
2,span-based,got up and went to see if the door was locked,Jane
2,span-based,crossed before the looking-glass,Jane
2,span-based,wiped her tears,Jane
2,span-based,hushed her sobs,Jane
2,span-based,lifted her head,Jane
2,span-based,tried to look boldly round the dark room,Jane
2,span-based,rushed to the door,Jane
2,span-based,shook the lock in desperate effort,Jane
3,span-based,knocked me down,John Reed
3,span-based,sewing,Abbot
3,span-based,discussing the subject,Abbot
3,span-based,stood at the bed-foot,Bessie
3,span-based,brought up a tart,Bessie
3,span-based,moved hither and thither,Bessie
3,span-based,putting away toys,Bessie
3,span-based,arranging drawers,Bessie
3,span-based,finished dusting and tidying the room,Bessie
3,span-based,opened a drawer,Bessie
3,span-based,began making a new bonnet,Bessie
3,span-based,washed her hands,Bessie
3,span-based,sang,Bessie
3,span-based,woke up,Jane
3,span-based,scrutinised the face of the gentleman,Jane
3,span-based,offered him my hand,Jane
3,span-based,laid down,Jane
3,span-based,rested my head,Jane
3,span-based,caught scraps of their conversation,Jane
3,span-based,wiped one salt drop from my cheek,Jane
3,span-based,put both plate and tart away,Jane
3,span-based,begged her to fetch Gulliver’s Travels,Jane
3,span-based,turned over its leaves,Jane
3,span-based,closed the book,Jane
3,span-based,put it on the table,Jane
3,span-based,stood before him,Jane
12,span-based,came out of her room with a basin,Grace Poole
12,span-based,went down to the kitchen,Grace Poole
12,span-based,returned bearing a pot of porter,Grace Poole
12,span-based,wrote a letter,Mrs. Fairfax
12,span-based,made jellies in the storeroom,Mrs. Fairfax
12,span-based,entered the room to give orders about tea,Mrs. Fairfax
12,span-based,sat down,Mr. Rochester
12,span-based,"stooping, felt his foot and leg",Mr. Rochester
12,span-based,rose from the stile,Mr. Rochester
12,span-based,tried to move,Mr. Rochester
12,span-based,limped to his horse,Mr. Rochester
12,span-based,caught the bridle,Mr. Rochester
12,span-based,sprang to his saddle,Mr. Rochester
12,span-based,released his under lip from a hard bite,Mr. Rochester
16,span-based,rose to draw down the blind,Mrs. Fairfax
16,span-based,fell asleep with his candle lit,Mr. Rochester
16,span-based,contrived to quench the flames with the water in the ewer,Mr. Rochester
16,span-based,bent over Adèle and directed her pencil,Jane
16,span-based,looked towards the window,Jane
16,span-based,turned to the door,Jane
16,span-based,sitting on a chair by the bedside,Grace Poole
16,span-based,sewing rings to new curtains,Grace Poole
16,span-based,looked up,Grace Poole
16,span-based,took up another ring and more tape,Grace Poole
16,span-based,raised her eyes,Grace Poole
16,span-based,took a new needleful of thread,Grace Poole
16,span-based,waxed it carefully,Grace Poole
16,span-based,threaded her needle with a steady hand,Grace Poole
16,span-based,closed her harangue,Grace Poole
16,span-based,carried her tray upstairs,Grace Poole
7,span-based,walking lightly and rapidly,Miss Temple
7,span-based,gathered close about her,Miss Temple
