chapter,method,turn_id,text,speaker,character
10,span-based,3,"I know there is, because it does not sound too sweet; it is not like such words as Liberty, Excitement, Enjoyment: delightful sounds truly; but no more than sounds for me; and so hollow and fleeting that it is mere waste of time to listen to them.",Jane,John Reed
10,span-based,3,"I know there is, because it does not sound too sweet; it is not like such words as Liberty, Excitement, Enjoyment: delightful sounds truly; but no more than sounds for me; and so hollow and fleeting that it is mere waste of time to listen to them.",Jane,Adele
10,span-based,7,"You must enclose the advertisement and the money to pay for it under a cover directed to the editor of the _Herald_; you must put it, the first opportunity you have, into the post at Lowton; answers must be addressed to J.E., at the post-office there; you can go and inquire in about a week after you send your letter, if any are come, and act accordingly.",Bessie,Jane
10,span-based,10,"She is qualified to teach the usual branches of a good English education, together with French, Drawing, and Music",Mrs. Fairfax,Jane
10,span-based,11,"Address, J.E., Post-office, Lowton, ——shire.",,Jane
10,span-based,15,"If J.E., who advertised in the _——shire Herald_ of last Thursday, possesses the acquirements mentioned, and if she is in a position to give satisfactory references as to character and competency, a situation can be offered her where there is but one pupil, a little girl, under ten years of age; and where the salary is thirty pounds per annum.",Mrs. Fairfax,Jane
10,span-based,15,"If J.E., who advertised in the _——shire Herald_ of last Thursday, possesses the acquirements mentioned, and if she is in a position to give satisfactory references as to character and competency, a situation can be offered her where there is but one pupil, a little girl, under ten years of age; and where the salary is thirty pounds per annum.",Mrs. Fairfax,Adele
10,span-based,15,J.E.,Mrs. Fairfax,Jane
10,span-based,16,"Mrs. Fairfax, Thornfield, near Millcote, ——shire.",Mrs. Fairfax,Mrs. Fairfax
10,span-based,19,I might do as I pleased: she had long relinquished all interference in my affairs.,Mrs. Reed,Jane
10,span-based,21,a person below wishes to see you.,Bessie,Jane
10,span-based,23,"It’s her, I am sure!—I could have told her anywhere!",Bessie,Jane
10,span-based,24,"Well, who is it?",Bessie,Jane
10,span-based,25,"you’ve not quite forgotten me, I think, Miss Jane?",Bessie,Jane
10,span-based,26,Bessie!,Bessie,Bessie
10,span-based,26,Bessie!,Bessie,Bessie
10,span-based,26,Bessie!,Bessie,Bessie
10,span-based,28,"Then you are married, Bessie?",Jane,Bessie
10,span-based,29,"Yes; nearly five years since to Robert Leaven, the coachman; and I’ve a little girl besides Bobby there, that I’ve christened Jane.",Bessie,Jane
10,span-based,30,And you don’t live at Gateshead?,Bessie,Jane
10,span-based,32,"Tell me everything about them, Bessie: but sit down first; and, Bobby, come and sit on my knee, will you?",Bessie,Bessie
10,span-based,33,"You’re not grown so very tall, Miss Jane, nor so very stout,",Bessie,Jane
10,span-based,34,I dare say they’ve not kept you too well at school: Miss Reed is the head and shoulders taller than you are; and Miss Georgiana would make two of you in breadth.,Bessie,Georgiana Reed
10,span-based,35,"Georgiana is handsome, I suppose, Bessie?",Jane,Georgiana Reed
10,span-based,35,"Georgiana is handsome, I suppose, Bessie?",Jane,Bessie
10,span-based,36,"She went up to London last winter with her mama, and there everybody admired her, and a young lord fell in love with her: but his relations were against the match; and—what do you think?—he and Miss Georgiana made it up to run away; but they were found out and stopped.",Bessie,Georgiana Reed
10,span-based,36,It was Miss Reed that found them out: I believe she was envious; and now she and her sister lead a cat and dog life together; they are always quarrelling—,Bessie,Georgiana Reed
10,span-based,37,"Well, and what of John Reed?",Bessie,John Reed
10,span-based,38,"Oh, he is not doing so well as his mama could wish.",Bessie,John Reed
10,span-based,38,"Oh, he is not doing so well as his mama could wish.",Bessie,Mrs. Reed
10,span-based,38,"He went to college, and he got—plucked, I think they call it: and then his uncles wanted him to be a barrister, and study the law: but he is such a dissipated young man, they will never make much of him, I think.",Bessie,John Reed
10,span-based,39,What does he look like?,Bessie,John Reed
10,span-based,40,He is very tall: some people call him a fine-looking young man; but he has such thick lips.,Bessie,John Reed
10,span-based,41,And Mrs. Reed?,Bessie,Mrs. Reed
