chapter,method,text,character,count
10,chapter_all_gpt-4o-mini_individual,Georgiana Reed,Georgiana Reed,0
10,chapter_all_gpt-4o-mini_individual,Mr. Brocklehurst,Mr. Brocklehurst,4
10,chapter_all_gpt-4o-mini_individual,Reed,Reed,9
10,chapter_all_gpt-4o-mini_individual,Mrs. Reed,Mrs. Reed,3
10,chapter_all_gpt-4o-mini_individual,Missis,Mrs. Reed,4
10,chapter_all_gpt-4o-mini_individual,Miss Jane,Jane,5
10,chapter_all_gpt-4o-mini_individual,Bessie,Bessie,16
10,chapter_all_gpt-4o-mini_individual,Mrs. Leaven,Bessie,1
10,chapter_all_gpt-4o-mini_individual,John Reed,John Reed,1
10,chapter_all_gpt-4o-mini_individual,Miss Temple,Miss Temple,3
10,chapter_all_gpt-4o-mini_individual,Mrs. Fairfax,Mrs. Fairfax,3
38,chapter_all_gpt-4o-mini_individual,St. John Rivers,St. John Rivers,1
38,chapter_all_gpt-4o-mini_individual,Diana Rivers,Diana Rivers,0
38,chapter_all_gpt-4o-mini_individual,Mr. Rochester,Mr. Rochester,6
38,chapter_all_gpt-4o-mini_individual,Mr. Edward,Mr. Rochester,2
1,chapter_all_gpt-4o-mini_individual,Georgiana Reed,Georgiana Reed,1
1,chapter_all_gpt-4o-mini_individual,Georgy,Georgiana Reed,1
1,chapter_all_gpt-4o-mini_individual,Mr. Reed,Mr. Reed,0
1,chapter_all_gpt-4o-mini_individual,Reed,Reed,11
1,chapter_all_gpt-4o-mini_individual,Mama,Reed,7
1,chapter_all_gpt-4o-mini_individual,Mrs. Reed,Mrs. Reed,5
1,chapter_all_gpt-4o-mini_individual,mama,Mrs. Reed,7
1,chapter_all_gpt-4o-mini_individual,Jane,Jane,1
1,chapter_all_gpt-4o-mini_individual,Bessie,Bessie,5
1,chapter_all_gpt-4o-mini_individual,John Reed,John Reed,4
1,chapter_all_gpt-4o-mini_individual,Jack,John Reed,2
1,chapter_all_gpt-4o-mini_individual,Eliza,Eliza Reed,5
1,chapter_all_gpt-4o-mini_individual,Lizzy,Eliza Reed,1
1,chapter_all_gpt-4o-mini_individual,Abbot,Abbot,1
11,chapter_all_gpt-4o-mini_individual,Mr. Rochester,Mr. Rochester,15
11,chapter_all_gpt-4o-mini_individual,Jane Eyre,Jane,1
