chapter,method,character,tag,count
52,1000_all_gpt-4o-mini_all,Jane,N,3
52,1000_all_gpt-4o-mini_all,Jane,A,0
52,1000_all_gpt-4o-mini_all,Jane,C,2
52,1000_all_gpt-4o-mini_all,Jane,I,1
52,1000_all_gpt-4o-mini_all,Jane,DN,1
52,1000_all_gpt-4o-mini_all,Jane,DC,1
52,1000_all_gpt-4o-mini_all,Lydia,N,7
52,1000_all_gpt-4o-mini_all,Lydia,A,2
52,1000_all_gpt-4o-mini_all,Lydia,C,0
52,1000_all_gpt-4o-mini_all,Lydia,I,1
52,1000_all_gpt-4o-mini_all,Lydia,DN,2
52,1000_all_gpt-4o-mini_all,Lydia,DC,4
52,1000_all_gpt-4o-mini_all,Colonel Fitzwilliam,N,0
52,1000_all_gpt-4o-mini_all,Colonel Fitzwilliam,A,0
52,1000_all_gpt-4o-mini_all,Colonel Fitzwilliam,C,0
52,1000_all_gpt-4o-mini_all,Colonel Fitzwilliam,I,0
52,1000_all_gpt-4o-mini_all,Colonel Fitzwilliam,DN,0
52,1000_all_gpt-4o-mini_all,Colonel Fitzwilliam,DC,0
52,1000_all_gpt-4o-mini_all,Mr. Bennet,N,1
52,1000_all_gpt-4o-mini_all,Mr. Bennet,A,0
52,1000_all_gpt-4o-mini_all,Mr. Bennet,C,0
52,1000_all_gpt-4o-mini_all,Mr. Bennet,I,0
52,1000_all_gpt-4o-mini_all,Mr. Bennet,DN,0
52,1000_all_gpt-4o-mini_all,Mr. Bennet,DC,1
52,1000_all_gpt-4o-mini_all,Mrs. Bennet,N,1
52,1000_all_gpt-4o-mini_all,Mrs. Bennet,A,0
52,1000_all_gpt-4o-mini_all,Mrs. Bennet,C,0
52,1000_all_gpt-4o-mini_all,Mrs. Bennet,I,0
52,1000_all_gpt-4o-mini_all,Mrs. Bennet,DN,0
52,1000_all_gpt-4o-mini_all,Mrs. Bennet,DC,1
52,1000_all_gpt-4o-mini_all,Elizabeth,N,25
52,1000_all_gpt-4o-mini_all,Elizabeth,A,3
52,1000_all_gpt-4o-mini_all,Elizabeth,C,9
52,1000_all_gpt-4o-mini_all,Elizabeth,I,12
52,1000_all_gpt-4o-mini_all,Elizabeth,DN,5
52,1000_all_gpt-4o-mini_all,Elizabeth,DC,5
52,1000_all_gpt-4o-mini_all,Wickham,N,14
52,1000_all_gpt-4o-mini_all,Wickham,A,5
52,1000_all_gpt-4o-mini_all,Wickham,C,2
52,1000_all_gpt-4o-mini_all,Wickham,I,5
52,1000_all_gpt-4o-mini_all,Wickham,DN,3
52,1000_all_gpt-4o-mini_all,Wickham,DC,8
52,1000_all_gpt-4o-mini_all,Miss Darcy,N,1
52,1000_all_gpt-4o-mini_all,Miss Darcy,A,0
52,1000_all_gpt-4o-mini_all,Miss Darcy,C,0
52,1000_all_gpt-4o-mini_all,Miss Darcy,I,1
52,1000_all_gpt-4o-mini_all,Miss Darcy,DN,1
52,1000_all_gpt-4o-mini_all,Miss Darcy,DC,1
52,1000_all_gpt-4o-mini_all,Mr. Darcy,N,13
52,1000_all_gpt-4o-mini_all,Mr. Darcy,A,6
52,1000_all_gpt-4o-mini_all,Mr. Darcy,C,3
52,1000_all_gpt-4o-mini_all,Mr. Darcy,I,7
52,1000_all_gpt-4o-mini_all,Mr. Darcy,DN,5
52,1000_all_gpt-4o-mini_all,Mr. Darcy,DC,6
52,1000_all_gpt-4o-mini_all,Mrs. Younge,N,0
52,1000_all_gpt-4o-mini_all,Mrs. Younge,A,0
52,1000_all_gpt-4o-mini_all,Mrs. Younge,C,0
52,1000_all_gpt-4o-mini_all,Mrs. Younge,I,0
52,1000_all_gpt-4o-mini_all,Mrs. Younge,DN,0
52,1000_all_gpt-4o-mini_all,Mrs. Younge,DC,0
52,1000_all_gpt-4o-mini_all,Mrs. Gardiner,N,0
52,1000_all_gpt-4o-mini_all,Mrs. Gardiner,A,0
52,1000_all_gpt-4o-mini_all,Mrs. Gardiner,C,0
52,1000_all_gpt-4o-mini_all,Mrs. Gardiner,I,0
52,1000_all_gpt-4o-mini_all,Mrs. Gardiner,DN,0
52,1000_all_gpt-4o-mini_all,Mrs. Gardiner,DC,0
52,1000_all_gpt-4o-mini_all,Mr. Gardiner,N,6
52,1000_all_gpt-4o-mini_all,Mr. Gardiner,A,0
52,1000_all_gpt-4o-mini_all,Mr. Gardiner,C,3
52,1000_all_gpt-4o-mini_all,Mr. Gardiner,I,0
52,1000_all_gpt-4o-mini_all,Mr. Gardiner,DN,1
52,1000_all_gpt-4o-mini_all,Mr. Gardiner,DC,3
46,1000_all_gpt-4o-mini_all,Kitty,N,2
46,1000_all_gpt-4o-mini_all,Kitty,A,0
46,1000_all_gpt-4o-mini_all,Kitty,C,0
46,1000_all_gpt-4o-mini_all,Kitty,I,0
46,1000_all_gpt-4o-mini_all,Kitty,DN,1
46,1000_all_gpt-4o-mini_all,Kitty,DC,1
46,1000_all_gpt-4o-mini_all,Jane,N,6
46,1000_all_gpt-4o-mini_all,Jane,A,0
46,1000_all_gpt-4o-mini_all,Jane,C,2
46,1000_all_gpt-4o-mini_all,Jane,I,3
46,1000_all_gpt-4o-mini_all,Jane,DN,2
46,1000_all_gpt-4o-mini_all,Jane,DC,1
46,1000_all_gpt-4o-mini_all,Mr. Denny,N,0
46,1000_all_gpt-4o-mini_all,Mr. Denny,A,0
46,1000_all_gpt-4o-mini_all,Mr. Denny,C,0
46,1000_all_gpt-4o-mini_all,Mr. Denny,I,0
46,1000_all_gpt-4o-mini_all,Mr. Denny,DN,0
46,1000_all_gpt-4o-mini_all,Mr. Denny,DC,0
46,1000_all_gpt-4o-mini_all,Colonel Fitzwilliam,N,0
46,1000_all_gpt-4o-mini_all,Colonel Fitzwilliam,A,0
46,1000_all_gpt-4o-mini_all,Colonel Fitzwilliam,C,0
46,1000_all_gpt-4o-mini_all,Colonel Fitzwilliam,I,0
46,1000_all_gpt-4o-mini_all,Colonel Fitzwilliam,DN,0
46,1000_all_gpt-4o-mini_all,Colonel Fitzwilliam,DC,0
46,1000_all_gpt-4o-mini_all,Lydia,N,20
46,1000_all_gpt-4o-mini_all,Lydia,A,1
46,1000_all_gpt-4o-mini_all,Lydia,C,4
46,1000_all_gpt-4o-mini_all,Lydia,I,9
46,1000_all_gpt-4o-mini_all,Lydia,DN,9
46,1000_all_gpt-4o-mini_all,Lydia,DC,6
46,1000_all_gpt-4o-mini_all,Mr. Bennet,N,3
46,1000_all_gpt-4o-mini_all,Mr. Bennet,A,0
46,1000_all_gpt-4o-mini_all,Mr. Bennet,C,0
46,1000_all_gpt-4o-mini_all,Mr. Bennet,I,1
46,1000_all_gpt-4o-mini_all,Mr. Bennet,DN,2
46,1000_all_gpt-4o-mini_all,Mr. Bennet,DC,1
46,1000_all_gpt-4o-mini_all,Mrs. Bennet,N,2
46,1000_all_gpt-4o-mini_all,Mrs. Bennet,A,0
46,1000_all_gpt-4o-mini_all,Mrs. Bennet,C,0
46,1000_all_gpt-4o-mini_all,Mrs. Bennet,I,1
46,1000_all_gpt-4o-mini_all,Mrs. Bennet,DN,2
46,1000_all_gpt-4o-mini_all,Mrs. Bennet,DC,0
46,1000_all_gpt-4o-mini_all,Elizabeth,N,36
46,1000_all_gpt-4o-mini_all,Elizabeth,A,9
46,1000_all_gpt-4o-mini_all,Elizabeth,C,8
46,1000_all_gpt-4o-mini_all,Elizabeth,I,25
46,1000_all_gpt-4o-mini_all,Elizabeth,DN,15
46,1000_all_gpt-4o-mini_all,Elizabeth,DC,2
46,1000_all_gpt-4o-mini_all,Wickham,N,7
46,1000_all_gpt-4o-mini_all,Wickham,A,0
46,1000_all_gpt-4o-mini_all,Wickham,C,1
46,1000_all_gpt-4o-mini_all,Wickham,I,4
46,1000_all_gpt-4o-mini_all,Wickham,DN,1
46,1000_all_gpt-4o-mini_all,Wickham,DC,2
46,1000_all_gpt-4o-mini_all,Colonel Forster,N,6
46,1000_all_gpt-4o-mini_all,Colonel Forster,A,2
46,1000_all_gpt-4o-mini_all,Colonel Forster,C,3
46,1000_all_gpt-4o-mini_all,Colonel Forster,I,3
46,1000_all_gpt-4o-mini_all,Colonel Forster,DN,3
46,1000_all_gpt-4o-mini_all,Colonel Forster,DC,4
46,1000_all_gpt-4o-mini_all,Miss Darcy,N,1
46,1000_all_gpt-4o-mini_all,Miss Darcy,A,0
46,1000_all_gpt-4o-mini_all,Miss Darcy,C,1
46,1000_all_gpt-4o-mini_all,Miss Darcy,I,0
46,1000_all_gpt-4o-mini_all,Miss Darcy,DN,0
46,1000_all_gpt-4o-mini_all,Miss Darcy,DC,0
46,1000_all_gpt-4o-mini_all,Mr. Darcy,N,5
46,1000_all_gpt-4o-mini_all,Mr. Darcy,A,2
46,1000_all_gpt-4o-mini_all,Mr. Darcy,C,3
46,1000_all_gpt-4o-mini_all,Mr. Darcy,I,2
46,1000_all_gpt-4o-mini_all,Mr. Darcy,DN,1
46,1000_all_gpt-4o-mini_all,Mr. Darcy,DC,1
46,1000_all_gpt-4o-mini_all,Mrs. Gardiner,N,3
46,1000_all_gpt-4o-mini_all,Mrs. Gardiner,A,0
46,1000_all_gpt-4o-mini_all,Mrs. Gardiner,C,1
46,1000_all_gpt-4o-mini_all,Mrs. Gardiner,I,1
46,1000_all_gpt-4o-mini_all,Mrs. Gardiner,DN,0
46,1000_all_gpt-4o-mini_all,Mrs. Gardiner,DC,1
46,1000_all_gpt-4o-mini_all,Mrs. Forster,N,1
46,1000_all_gpt-4o-mini_all,Mrs. Forster,A,0
46,1000_all_gpt-4o-mini_all,Mrs. Forster,C,0
46,1000_all_gpt-4o-mini_all,Mrs. Forster,I,0
46,1000_all_gpt-4o-mini_all,Mrs. Forster,DN,0
46,1000_all_gpt-4o-mini_all,Mrs. Forster,DC,0
46,1000_all_gpt-4o-mini_all,Mr. Gardiner,N,7
46,1000_all_gpt-4o-mini_all,Mr. Gardiner,A,2
46,1000_all_gpt-4o-mini_all,Mr. Gardiner,C,1
46,1000_all_gpt-4o-mini_all,Mr. Gardiner,I,1
46,1000_all_gpt-4o-mini_all,Mr. Gardiner,DN,1
46,1000_all_gpt-4o-mini_all,Mr. Gardiner,DC,1
47,1000_all_gpt-4o-mini_all,Jane,N,22
47,1000_all_gpt-4o-mini_all,Jane,A,3
47,1000_all_gpt-4o-mini_all,Jane,C,4
47,1000_all_gpt-4o-mini_all,Jane,I,8
47,1000_all_gpt-4o-mini_all,Jane,DN,4
47,1000_all_gpt-4o-mini_all,Jane,DC,6
47,1000_all_gpt-4o-mini_all,Mrs. Bennet,N,9
47,1000_all_gpt-4o-mini_all,Mrs. Bennet,A,1
47,1000_all_gpt-4o-mini_all,Mrs. Bennet,C,2
47,1000_all_gpt-4o-mini_all,Mrs. Bennet,I,5
47,1000_all_gpt-4o-mini_all,Mrs. Bennet,DN,4
47,1000_all_gpt-4o-mini_all,Mrs. Bennet,DC,1
47,1000_all_gpt-4o-mini_all,Mr. Robinson,N,0
47,1000_all_gpt-4o-mini_all,Mr. Robinson,A,0
47,1000_all_gpt-4o-mini_all,Mr. Robinson,C,0
47,1000_all_gpt-4o-mini_all,Mr. Robinson,I,0
47,1000_all_gpt-4o-mini_all,Mr. Robinson,DN,0
47,1000_all_gpt-4o-mini_all,Mr. Robinson,DC,0
47,1000_all_gpt-4o-mini_all,Mr. Philips,N,0
47,1000_all_gpt-4o-mini_all,Mr. Philips,A,0
47,1000_all_gpt-4o-mini_all,Mr. Philips,C,0
47,1000_all_gpt-4o-mini_all,Mr. Philips,I,0
47,1000_all_gpt-4o-mini_all,Mr. Philips,DN,0
47,1000_all_gpt-4o-mini_all,Mr. Philips,DC,0
47,1000_all_gpt-4o-mini_all,Miss Bingley,N,0
47,1000_all_gpt-4o-mini_all,Miss Bingley,A,0
47,1000_all_gpt-4o-mini_all,Miss Bingley,C,0
47,1000_all_gpt-4o-mini_all,Miss Bingley,I,0
47,1000_all_gpt-4o-mini_all,Miss Bingley,DN,0
47,1000_all_gpt-4o-mini_all,Miss Bingley,DC,0
47,1000_all_gpt-4o-mini_all,Mr. Bingley,N,1
47,1000_all_gpt-4o-mini_all,Mr. Bingley,A,0
47,1000_all_gpt-4o-mini_all,Mr. Bingley,C,0
47,1000_all_gpt-4o-mini_all,Mr. Bingley,I,0
47,1000_all_gpt-4o-mini_all,Mr. Bingley,DN,1
47,1000_all_gpt-4o-mini_all,Mr. Bingley,DC,0
47,1000_all_gpt-4o-mini_all,Mr. Jones,N,0
47,1000_all_gpt-4o-mini_all,Mr. Jones,A,0
47,1000_all_gpt-4o-mini_all,Mr. Jones,C,0
47,1000_all_gpt-4o-mini_all,Mr. Jones,I,0
47,1000_all_gpt-4o-mini_all,Mr. Jones,DN,0
47,1000_all_gpt-4o-mini_all,Mr. Jones,DC,0
47,1000_all_gpt-4o-mini_all,Young Lucas,N,0
47,1000_all_gpt-4o-mini_all,Young Lucas,A,0
47,1000_all_gpt-4o-mini_all,Young Lucas,C,0
47,1000_all_gpt-4o-mini_all,Young Lucas,I,0
47,1000_all_gpt-4o-mini_all,Young Lucas,DN,0
47,1000_all_gpt-4o-mini_all,Young Lucas,DC,0
47,1000_all_gpt-4o-mini_all,Sir William Lucas,N,0
47,1000_all_gpt-4o-mini_all,Sir William Lucas,A,0
47,1000_all_gpt-4o-mini_all,Sir William Lucas,C,0
47,1000_all_gpt-4o-mini_all,Sir William Lucas,I,0
47,1000_all_gpt-4o-mini_all,Sir William Lucas,DN,0
47,1000_all_gpt-4o-mini_all,Sir William Lucas,DC,0
47,1000_all_gpt-4o-mini_all,Richard,N,0
47,1000_all_gpt-4o-mini_all,Richard,A,0
47,1000_all_gpt-4o-mini_all,Richard,C,0
47,1000_all_gpt-4o-mini_all,Richard,I,0
47,1000_all_gpt-4o-mini_all,Richard,DN,0
47,1000_all_gpt-4o-mini_all,Richard,DC,0
47,1000_all_gpt-4o-mini_all,Charlotte Lucas,N,0
47,1000_all_gpt-4o-mini_all,Charlotte Lucas,A,0
47,1000_all_gpt-4o-mini_all,Charlotte Lucas,C,0
47,1000_all_gpt-4o-mini_all,Charlotte Lucas,I,0
47,1000_all_gpt-4o-mini_all,Charlotte Lucas,DN,0
47,1000_all_gpt-4o-mini_all,Charlotte Lucas,DC,0
47,1000_all_gpt-4o-mini_all,Elizabeth,N,35
47,1000_all_gpt-4o-mini_all,Elizabeth,A,3
47,1000_all_gpt-4o-mini_all,Elizabeth,C,14
47,1000_all_gpt-4o-mini_all,Elizabeth,I,21
47,1000_all_gpt-4o-mini_all,Elizabeth,DN,10
47,1000_all_gpt-4o-mini_all,Elizabeth,DC,8
47,1000_all_gpt-4o-mini_all,Sarah,N,0
47,1000_all_gpt-4o-mini_all,Sarah,A,0
47,1000_all_gpt-4o-mini_all,Sarah,C,0
47,1000_all_gpt-4o-mini_all,Sarah,I,0
47,1000_all_gpt-4o-mini_all,Sarah,DN,0
47,1000_all_gpt-4o-mini_all,Sarah,DC,0
47,1000_all_gpt-4o-mini_all,Colonel Forster,N,10
47,1000_all_gpt-4o-mini_all,Colonel Forster,A,1
47,1000_all_gpt-4o-mini_all,Colonel Forster,C,2
47,1000_all_gpt-4o-mini_all,Colonel Forster,I,2
47,1000_all_gpt-4o-mini_all,Colonel Forster,DN,2
47,1000_all_gpt-4o-mini_all,Colonel Forster,DC,6
47,1000_all_gpt-4o-mini_all,Mr. Long,N,0
47,1000_all_gpt-4o-mini_all,Mr. Long,A,0
47,1000_all_gpt-4o-mini_all,Mr. Long,C,0
47,1000_all_gpt-4o-mini_all,Mr. Long,I,0
47,1000_all_gpt-4o-mini_all,Mr. Long,DN,0
47,1000_all_gpt-4o-mini_all,Mr. Long,DC,0
47,1000_all_gpt-4o-mini_all,Mrs. Philips,N,0
47,1000_all_gpt-4o-mini_all,Mrs. Philips,A,0
47,1000_all_gpt-4o-mini_all,Mrs. Philips,C,0
47,1000_all_gpt-4o-mini_all,Mrs. Philips,I,0
47,1000_all_gpt-4o-mini_all,Mrs. Philips,DN,0
47,1000_all_gpt-4o-mini_all,Mrs. Philips,DC,0
47,1000_all_gpt-4o-mini_all,Mr. Darcy,N,5
47,1000_all_gpt-4o-mini_all,Mr. Darcy,A,0
47,1000_all_gpt-4o-mini_all,Mr. Darcy,C,1
47,1000_all_gpt-4o-mini_all,Mr. Darcy,I,1
47,1000_all_gpt-4o-mini_all,Mr. Darcy,DN,2
47,1000_all_gpt-4o-mini_all,Mr. Darcy,DC,1
47,1000_all_gpt-4o-mini_all,Mrs. Hurst,N,0
47,1000_all_gpt-4o-mini_all,Mrs. Hurst,A,0
47,1000_all_gpt-4o-mini_all,Mrs. Hurst,C,0
47,1000_all_gpt-4o-mini_all,Mrs. Hurst,I,0
47,1000_all_gpt-4o-mini_all,Mrs. Hurst,DN,0
47,1000_all_gpt-4o-mini_all,Mrs. Hurst,DC,0
47,1000_all_gpt-4o-mini_all,Mrs. Younge,N,0
47,1000_all_gpt-4o-mini_all,Mrs. Younge,A,0
47,1000_all_gpt-4o-mini_all,Mrs. Younge,C,0
47,1000_all_gpt-4o-mini_all,Mrs. Younge,I,0
47,1000_all_gpt-4o-mini_all,Mrs. Younge,DN,0
47,1000_all_gpt-4o-mini_all,Mrs. Younge,DC,0
47,1000_all_gpt-4o-mini_all,Dawson,N,0
47,1000_all_gpt-4o-mini_all,Dawson,A,0
47,1000_all_gpt-4o-mini_all,Dawson,C,0
47,1000_all_gpt-4o-mini_all,Dawson,I,0
47,1000_all_gpt-4o-mini_all,Dawson,DN,0
47,1000_all_gpt-4o-mini_all,Dawson,DC,0
47,1000_all_gpt-4o-mini_all,Mr. Denny,N,0
47,1000_all_gpt-4o-mini_all,Mr. Denny,A,0
47,1000_all_gpt-4o-mini_all,Mr. Denny,C,0
47,1000_all_gpt-4o-mini_all,Mr. Denny,I,0
47,1000_all_gpt-4o-mini_all,Mr. Denny,DN,0
47,1000_all_gpt-4o-mini_all,Mr. Denny,DC,0
47,1000_all_gpt-4o-mini_all,Wickham,N,14
47,1000_all_gpt-4o-mini_all,Wickham,A,0
47,1000_all_gpt-4o-mini_all,Wickham,C,2
47,1000_all_gpt-4o-mini_all,Wickham,I,4
47,1000_all_gpt-4o-mini_all,Wickham,DN,5
47,1000_all_gpt-4o-mini_all,Wickham,DC,9
47,1000_all_gpt-4o-mini_all,Miss Darcy,N,0
47,1000_all_gpt-4o-mini_all,Miss Darcy,A,0
47,1000_all_gpt-4o-mini_all,Miss Darcy,C,0
