chapter,method,input_tokens,output_tokens,elapsed_time
52,1000_all_gpt-4o-mini_all,7003,929,29.59510898590088
46,1000_all_gpt-4o-mini_all,10015,2397,54.64274501800537
47,1000_all_gpt-4o-mini_all,18607,4839,116.04038500785828
53,1000_all_gpt-4o-mini_all,11239,2766,67.5842854976654
45,1000_all_gpt-4o-mini_all,6971,1824,39.26106858253479
51,1000_all_gpt-4o-mini_all,7801,1968,44.50657677650452
50,1000_all_gpt-4o-mini_all,8927,1971,47.57563495635986
44,1000_all_gpt-4o-mini_all,8301,1700,70.62200021743774
40,1000_all_gpt-4o-mini_all,7019,1472,39.29272699356079
54,1000_all_gpt-4o-mini_all,6220,1386,36.53125548362732
55,1000_all_gpt-4o-mini_all,10198,2605,58.94044804573059
41,1000_all_gpt-4o-mini_all,8782,2029,52.81186056137085
57,1000_all_gpt-4o-mini_all,6275,1950,36.840096950531006
43,1000_all_gpt-4o-mini_all,17941,3217,83.46474242210388
42,1000_all_gpt-4o-mini_all,7341,1270,27.929675817489624
56,1000_all_gpt-4o-mini_all,10141,1946,48.183491230010986
19,1000_all_gpt-4o-mini_all,6955,1229,33.19433546066284
31,1000_all_gpt-4o-mini_all,5793,1462,42.66717672348023
25,1000_all_gpt-4o-mini_all,6576,1621,40.70616936683655
1,1000_all_gpt-4o-mini_all,2901,817,22.710908889770508
24,1000_all_gpt-4o-mini_all,7465,1587,43.53866600990296
30,1000_all_gpt-4o-mini_all,4721,1442,36.99645638465881
18,1000_all_gpt-4o-mini_all,19815,4901,134.02920269966123
26,1000_all_gpt-4o-mini_all,8474,1724,54.38649010658264
32,1000_all_gpt-4o-mini_all,5486,1271,34.992040157318115
3,1000_all_gpt-4o-mini_all,6746,1588,41.12792348861694
2,1000_all_gpt-4o-mini_all,2849,771,14.487107515335083
33,1000_all_gpt-4o-mini_all,6942,1429,30.227794885635376
27,1000_all_gpt-4o-mini_all,4862,1160,24.619934558868408
23,1000_all_gpt-4o-mini_all,6473,2273,46.05217003822327
37,1000_all_gpt-4o-mini_all,4857,1027,22.805304288864136
6,1000_all_gpt-4o-mini_all,8197,1806,37.58589196205139
7,1000_all_gpt-4o-mini_all,7966,1976,44.78539228439331
36,1000_all_gpt-4o-mini_all,6583,737,18.235699892044067
22,1000_all_gpt-4o-mini_all,6189,1425,28.861063718795776
34,1000_all_gpt-4o-mini_all,8319,1387,30.142926454544067
20,1000_all_gpt-4o-mini_all,5629,1474,28.096361875534058
5,1000_all_gpt-4o-mini_all,3914,1012,17.717251539230347
4,1000_all_gpt-4o-mini_all,4152,948,21.17197012901306
21,1000_all_gpt-4o-mini_all,7908,1733,30.20788073539734
35,1000_all_gpt-4o-mini_all,6070,552,11.680778503417969
38,1000_all_gpt-4o-mini_all,4106,965,16.669414520263672
10,1000_all_gpt-4o-mini_all,7955,1872,38.034765005111694
9,1000_all_gpt-4o-mini_all,7106,1997,42.88592886924744
8,1000_all_gpt-4o-mini_all,7281,1957,39.79737043380737
11,1000_all_gpt-4o-mini_all,6340,1698,33.14466857910156
39,1000_all_gpt-4o-mini_all,6132,1632,31.613616228103638
13,1000_all_gpt-4o-mini_all,6121,1707,33.861236810684204
12,1000_all_gpt-4o-mini_all,2666,675,11.149462938308716
16,1000_all_gpt-4o-mini_all,14541,2851,51.77977204322815
17,1000_all_gpt-4o-mini_all,5021,1562,31.92130208015442
15,1000_all_gpt-4o-mini_all,5985,1531,35.70330786705017
29,1000_all_gpt-4o-mini_all,8849,2351,45.52461385726929
28,1000_all_gpt-4o-mini_all,4647,1258,23.220641136169434
14,1000_all_gpt-4o-mini_all,4013,825,14.93807339668274
58,1000_all_gpt-4o-mini_all,8597,1559,33.62854886054993
59,1000_all_gpt-4o-mini_all,9562,2143,44.294761180877686
61,1000_all_gpt-4o-mini_all,5775,1141,24.893479347229004
49,1000_all_gpt-4o-mini_all,7876,1914,37.74673533439636
48,1000_all_gpt-4o-mini_all,9759,1917,39.301238775253296
60,1000_all_gpt-4o-mini_all,6212,1303,28.128393173217773
