chapter,method,character,tag,count
52,1000_all_gpt-4o-mini_individual,Mr. Gardiner,N,5
52,1000_all_gpt-4o-mini_individual,Mr. Gardiner,A,10
52,1000_all_gpt-4o-mini_individual,Mr. Gardiner,C,7
52,1000_all_gpt-4o-mini_individual,Mr. Gardiner,I,9
52,1000_all_gpt-4o-mini_individual,Mr. Gardiner,DN,7
52,1000_all_gpt-4o-mini_individual,Mr. Gardiner,DC,6
52,1000_all_gpt-4o-mini_individual,Elizabeth,N,21
52,1000_all_gpt-4o-mini_individual,Elizabeth,A,19
52,1000_all_gpt-4o-mini_individual,Elizabeth,C,18
52,1000_all_gpt-4o-mini_individual,Elizabeth,I,33
52,1000_all_gpt-4o-mini_individual,Elizabeth,DN,4
52,1000_all_gpt-4o-mini_individual,Elizabeth,DC,8
52,1000_all_gpt-4o-mini_individual,Mr. Bennet,N,2
52,1000_all_gpt-4o-mini_individual,Mr. Bennet,A,2
52,1000_all_gpt-4o-mini_individual,Mr. Bennet,C,3
52,1000_all_gpt-4o-mini_individual,Mr. Bennet,I,0
52,1000_all_gpt-4o-mini_individual,Mr. Bennet,DN,1
52,1000_all_gpt-4o-mini_individual,Mr. Bennet,DC,2
52,1000_all_gpt-4o-mini_individual,Miss Darcy,N,1
52,1000_all_gpt-4o-mini_individual,Miss Darcy,A,0
52,1000_all_gpt-4o-mini_individual,Miss Darcy,C,1
52,1000_all_gpt-4o-mini_individual,Miss Darcy,I,0
52,1000_all_gpt-4o-mini_individual,Miss Darcy,DN,1
52,1000_all_gpt-4o-mini_individual,Miss Darcy,DC,2
52,1000_all_gpt-4o-mini_individual,Jane,N,2
52,1000_all_gpt-4o-mini_individual,Jane,A,3
52,1000_all_gpt-4o-mini_individual,Jane,C,2
52,1000_all_gpt-4o-mini_individual,Jane,I,3
52,1000_all_gpt-4o-mini_individual,Jane,DN,0
52,1000_all_gpt-4o-mini_individual,Jane,DC,3
52,1000_all_gpt-4o-mini_individual,Mrs. Gardiner,N,0
52,1000_all_gpt-4o-mini_individual,Mrs. Gardiner,A,0
52,1000_all_gpt-4o-mini_individual,Mrs. Gardiner,C,0
52,1000_all_gpt-4o-mini_individual,Mrs. Gardiner,I,1
52,1000_all_gpt-4o-mini_individual,Mrs. Gardiner,DN,0
52,1000_all_gpt-4o-mini_individual,Mrs. Gardiner,DC,0
52,1000_all_gpt-4o-mini_individual,Mrs. Bennet,N,1
52,1000_all_gpt-4o-mini_individual,Mrs. Bennet,A,1
52,1000_all_gpt-4o-mini_individual,Mrs. Bennet,C,1
52,1000_all_gpt-4o-mini_individual,Mrs. Bennet,I,1
52,1000_all_gpt-4o-mini_individual,Mrs. Bennet,DN,1
52,1000_all_gpt-4o-mini_individual,Mrs. Bennet,DC,1
52,1000_all_gpt-4o-mini_individual,Colonel Fitzwilliam,N,0
52,1000_all_gpt-4o-mini_individual,Colonel Fitzwilliam,A,2
52,1000_all_gpt-4o-mini_individual,Colonel Fitzwilliam,C,1
52,1000_all_gpt-4o-mini_individual,Colonel Fitzwilliam,I,0
52,1000_all_gpt-4o-mini_individual,Colonel Fitzwilliam,DN,0
52,1000_all_gpt-4o-mini_individual,Colonel Fitzwilliam,DC,0
52,1000_all_gpt-4o-mini_individual,Mrs. Younge,N,2
52,1000_all_gpt-4o-mini_individual,Mrs. Younge,A,3
52,1000_all_gpt-4o-mini_individual,Mrs. Younge,C,2
52,1000_all_gpt-4o-mini_individual,Mrs. Younge,I,2
52,1000_all_gpt-4o-mini_individual,Mrs. Younge,DN,0
52,1000_all_gpt-4o-mini_individual,Mrs. Younge,DC,2
52,1000_all_gpt-4o-mini_individual,Wickham,N,16
52,1000_all_gpt-4o-mini_individual,Wickham,A,13
52,1000_all_gpt-4o-mini_individual,Wickham,C,11
52,1000_all_gpt-4o-mini_individual,Wickham,I,9
52,1000_all_gpt-4o-mini_individual,Wickham,DN,8
52,1000_all_gpt-4o-mini_individual,Wickham,DC,12
52,1000_all_gpt-4o-mini_individual,Lydia,N,5
52,1000_all_gpt-4o-mini_individual,Lydia,A,7
52,1000_all_gpt-4o-mini_individual,Lydia,C,5
52,1000_all_gpt-4o-mini_individual,Lydia,I,3
52,1000_all_gpt-4o-mini_individual,Lydia,DN,6
52,1000_all_gpt-4o-mini_individual,Lydia,DC,5
52,1000_all_gpt-4o-mini_individual,Mr. Darcy,N,14
52,1000_all_gpt-4o-mini_individual,Mr. Darcy,A,21
52,1000_all_gpt-4o-mini_individual,Mr. Darcy,C,15
52,1000_all_gpt-4o-mini_individual,Mr. Darcy,I,20
52,1000_all_gpt-4o-mini_individual,Mr. Darcy,DN,15
52,1000_all_gpt-4o-mini_individual,Mr. Darcy,DC,14
46,1000_all_gpt-4o-mini_individual,Mr. Gardiner,N,7
46,1000_all_gpt-4o-mini_individual,Mr. Gardiner,A,15
46,1000_all_gpt-4o-mini_individual,Mr. Gardiner,C,5
46,1000_all_gpt-4o-mini_individual,Mr. Gardiner,I,4
46,1000_all_gpt-4o-mini_individual,Mr. Gardiner,DN,5
46,1000_all_gpt-4o-mini_individual,Mr. Gardiner,DC,5
46,1000_all_gpt-4o-mini_individual,Mr. Bennet,N,4
46,1000_all_gpt-4o-mini_individual,Mr. Bennet,A,1
46,1000_all_gpt-4o-mini_individual,Mr. Bennet,C,2
46,1000_all_gpt-4o-mini_individual,Mr. Bennet,I,4
46,1000_all_gpt-4o-mini_individual,Mr. Bennet,DN,2
46,1000_all_gpt-4o-mini_individual,Mr. Bennet,DC,5
46,1000_all_gpt-4o-mini_individual,Lydia,N,21
46,1000_all_gpt-4o-mini_individual,Lydia,A,18
46,1000_all_gpt-4o-mini_individual,Lydia,C,11
46,1000_all_gpt-4o-mini_individual,Lydia,I,14
46,1000_all_gpt-4o-mini_individual,Lydia,DN,16
46,1000_all_gpt-4o-mini_individual,Lydia,DC,12
46,1000_all_gpt-4o-mini_individual,Jane,N,8
46,1000_all_gpt-4o-mini_individual,Jane,A,3
46,1000_all_gpt-4o-mini_individual,Jane,C,5
46,1000_all_gpt-4o-mini_individual,Jane,I,3
46,1000_all_gpt-4o-mini_individual,Jane,DN,2
46,1000_all_gpt-4o-mini_individual,Jane,DC,4
46,1000_all_gpt-4o-mini_individual,Miss Darcy,N,2
46,1000_all_gpt-4o-mini_individual,Miss Darcy,A,0
46,1000_all_gpt-4o-mini_individual,Miss Darcy,C,0
46,1000_all_gpt-4o-mini_individual,Miss Darcy,I,0
