chapter,method,character,tag,count
52,1000_individual_gpt-4o-mini_all,Mr. Darcy,N,31
52,1000_individual_gpt-4o-mini_all,Mr. Darcy,A,13
52,1000_individual_gpt-4o-mini_all,Mr. Darcy,C,5
52,1000_individual_gpt-4o-mini_all,Mr. Darcy,I,25
52,1000_individual_gpt-4o-mini_all,Mr. Darcy,DN,19
52,1000_individual_gpt-4o-mini_all,Mr. Darcy,DC,17
52,1000_individual_gpt-4o-mini_all,Mr. Bennet,N,2
52,1000_individual_gpt-4o-mini_all,Mr. Bennet,A,1
52,1000_individual_gpt-4o-mini_all,Mr. Bennet,C,0
52,1000_individual_gpt-4o-mini_all,Mr. Bennet,I,0
52,1000_individual_gpt-4o-mini_all,Mr. Bennet,DN,3
52,1000_individual_gpt-4o-mini_all,Mr. Bennet,DC,2
52,1000_individual_gpt-4o-mini_all,Mrs. Younge,N,4
52,1000_individual_gpt-4o-mini_all,Mrs. Younge,A,0
52,1000_individual_gpt-4o-mini_all,Mrs. Younge,C,0
52,1000_individual_gpt-4o-mini_all,Mrs. Younge,I,1
52,1000_individual_gpt-4o-mini_all,Mrs. Younge,DN,3
52,1000_individual_gpt-4o-mini_all,Mrs. Younge,DC,0
52,1000_individual_gpt-4o-mini_all,Mrs. Gardiner,N,4
52,1000_individual_gpt-4o-mini_all,Mrs. Gardiner,A,0
52,1000_individual_gpt-4o-mini_all,Mrs. Gardiner,C,3
52,1000_individual_gpt-4o-mini_all,Mrs. Gardiner,I,2
52,1000_individual_gpt-4o-mini_all,Mrs. Gardiner,DN,2
52,1000_individual_gpt-4o-mini_all,Mrs. Gardiner,DC,1
52,1000_individual_gpt-4o-mini_all,Elizabeth,N,40
52,1000_individual_gpt-4o-mini_all,Elizabeth,A,9
52,1000_individual_gpt-4o-mini_all,Elizabeth,C,17
52,1000_individual_gpt-4o-mini_all,Elizabeth,I,27
52,1000_individual_gpt-4o-mini_all,Elizabeth,DN,20
52,1000_individual_gpt-4o-mini_all,Elizabeth,DC,12
52,1000_individual_gpt-4o-mini_all,Wickham,N,19
52,1000_individual_gpt-4o-mini_all,Wickham,A,5
52,1000_individual_gpt-4o-mini_all,Wickham,C,3
52,1000_individual_gpt-4o-mini_all,Wickham,I,7
52,1000_individual_gpt-4o-mini_all,Wickham,DN,7
52,1000_individual_gpt-4o-mini_all,Wickham,DC,12
52,1000_individual_gpt-4o-mini_all,Lydia,N,9
52,1000_individual_gpt-4o-mini_all,Lydia,A,1
52,1000_individual_gpt-4o-mini_all,Lydia,C,1
52,1000_individual_gpt-4o-mini_all,Lydia,I,2
52,1000_individual_gpt-4o-mini_all,Lydia,DN,7
52,1000_individual_gpt-4o-mini_all,Lydia,DC,4
52,1000_individual_gpt-4o-mini_all,Jane,N,5
52,1000_individual_gpt-4o-mini_all,Jane,A,2
52,1000_individual_gpt-4o-mini_all,Jane,C,4
52,1000_individual_gpt-4o-mini_all,Jane,I,3
52,1000_individual_gpt-4o-mini_all,Jane,DN,3
52,1000_individual_gpt-4o-mini_all,Jane,DC,3
52,1000_individual_gpt-4o-mini_all,Mrs. Bennet,N,2
52,1000_individual_gpt-4o-mini_all,Mrs. Bennet,A,0
52,1000_individual_gpt-4o-mini_all,Mrs. Bennet,C,0
52,1000_individual_gpt-4o-mini_all,Mrs. Bennet,I,0
52,1000_individual_gpt-4o-mini_all,Mrs. Bennet,DN,0
52,1000_individual_gpt-4o-mini_all,Mrs. Bennet,DC,2
52,1000_individual_gpt-4o-mini_all,Mr. Gardiner,N,7
52,1000_individual_gpt-4o-mini_all,Mr. Gardiner,A,0
52,1000_individual_gpt-4o-mini_all,Mr. Gardiner,C,1
52,1000_individual_gpt-4o-mini_all,Mr. Gardiner,I,1
52,1000_individual_gpt-4o-mini_all,Mr. Gardiner,DN,6
52,1000_individual_gpt-4o-mini_all,Mr. Gardiner,DC,7
52,1000_individual_gpt-4o-mini_all,Miss Darcy,N,8
52,1000_individual_gpt-4o-mini_all,Miss Darcy,A,4
52,1000_individual_gpt-4o-mini_all,Miss Darcy,C,4
52,1000_individual_gpt-4o-mini_all,Miss Darcy,I,4
52,1000_individual_gpt-4o-mini_all,Miss Darcy,DN,6
52,1000_individual_gpt-4o-mini_all,Miss Darcy,DC,6
52,1000_individual_gpt-4o-mini_all,Colonel Fitzwilliam,N,0
52,1000_individual_gpt-4o-mini_all,Colonel Fitzwilliam,A,0
52,1000_individual_gpt-4o-mini_all,Colonel Fitzwilliam,C,0
52,1000_individual_gpt-4o-mini_all,Colonel Fitzwilliam,I,1
52,1000_individual_gpt-4o-mini_all,Colonel Fitzwilliam,DN,0
52,1000_individual_gpt-4o-mini_all,Colonel Fitzwilliam,DC,2
46,1000_individual_gpt-4o-mini_all,Mr. Bennet,N,4
46,1000_individual_gpt-4o-mini_all,Mr. Bennet,A,0
46,1000_individual_gpt-4o-mini_all,Mr. Bennet,C,0
46,1000_individual_gpt-4o-mini_all,Mr. Bennet,I,3
46,1000_individual_gpt-4o-mini_all,Mr. Bennet,DN,4
46,1000_individual_gpt-4o-mini_all,Mr. Bennet,DC,2
46,1000_individual_gpt-4o-mini_all,Mrs. Gardiner,N,8
46,1000_individual_gpt-4o-mini_all,Mrs. Gardiner,A,1
46,1000_individual_gpt-4o-mini_all,Mrs. Gardiner,C,5
46,1000_individual_gpt-4o-mini_all,Mrs. Gardiner,I,5
46,1000_individual_gpt-4o-mini_all,Mrs. Gardiner,DN,3
46,1000_individual_gpt-4o-mini_all,Mrs. Gardiner,DC,5
46,1000_individual_gpt-4o-mini_all,Miss Darcy,N,8
46,1000_individual_gpt-4o-mini_all,Miss Darcy,A,0
46,1000_individual_gpt-4o-mini_all,Miss Darcy,C,3
46,1000_individual_gpt-4o-mini_all,Miss Darcy,I,6
46,1000_individual_gpt-4o-mini_all,Miss Darcy,DN,3
46,1000_individual_gpt-4o-mini_all,Miss Darcy,DC,2
46,1000_individual_gpt-4o-mini_all,Elizabeth,N,138
46,1000_individual_gpt-4o-mini_all,Elizabeth,A,43
46,1000_individual_gpt-4o-mini_all,Elizabeth,C,29
46,1000_individual_gpt-4o-mini_all,Elizabeth,I,85
46,1000_individual_gpt-4o-mini_all,Elizabeth,DN,61
46,1000_individual_gpt-4o-mini_all,Elizabeth,DC,24
46,1000_individual_gpt-4o-mini_all,Wickham,N,16
46,1000_individual_gpt-4o-mini_all,Wickham,A,0
46,1000_individual_gpt-4o-mini_all,Wickham,C,1
46,1000_individual_gpt-4o-mini_all,Wickham,I,14
46,1000_individual_gpt-4o-mini_all,Wickham,DN,7
46,1000_individual_gpt-4o-mini_all,Wickham,DC,8
46,1000_individual_gpt-4o-mini_all,Jane,N,19
46,1000_individual_gpt-4o-mini_all,Jane,A,0
46,1000_individual_gpt-4o-mini_all,Jane,C,3
46,1000_individual_gpt-4o-mini_all,Jane,I,15
46,1000_individual_gpt-4o-mini_all,Jane,DN,6
46,1000_individual_gpt-4o-mini_all,Jane,DC,7
46,1000_individual_gpt-4o-mini_all,Mrs. Bennet,N,3
46,1000_individual_gpt-4o-mini_all,Mrs. Bennet,A,0
46,1000_individual_gpt-4o-mini_all,Mrs. Bennet,C,0
46,1000_individual_gpt-4o-mini_all,Mrs. Bennet,I,9
46,1000_individual_gpt-4o-mini_all,Mrs. Bennet,DN,4
46,1000_individual_gpt-4o-mini_all,Mrs. Bennet,DC,2
46,1000_individual_gpt-4o-mini_all,Mr. Denny,N,2
46,1000_individual_gpt-4o-mini_all,Mr. Denny,A,0
46,1000_individual_gpt-4o-mini_all,Mr. Denny,C,0
46,1000_individual_gpt-4o-mini_all,Mr. Denny,I,1
46,1000_individual_gpt-4o-mini_all,Mr. Denny,DN,1
46,1000_individual_gpt-4o-mini_all,Mr. Denny,DC,1
46,1000_individual_gpt-4o-mini_all,Kitty,N,2
46,1000_individual_gpt-4o-mini_all,Kitty,A,0
46,1000_individual_gpt-4o-mini_all,Kitty,C,0
46,1000_individual_gpt-4o-mini_all,Kitty,I,5
46,1000_individual_gpt-4o-mini_all,Kitty,DN,2
46,1000_individual_gpt-4o-mini_all,Kitty,DC,1
46,1000_individual_gpt-4o-mini_all,Mr. Gardiner,N,13
46,1000_individual_gpt-4o-mini_all,Mr. Gardiner,A,3
46,1000_individual_gpt-4o-mini_all,Mr. Gardiner,C,2
46,1000_individual_gpt-4o-mini_all,Mr. Gardiner,I,2
46,1000_individual_gpt-4o-mini_all,Mr. Gardiner,DN,2
46,1000_individual_gpt-4o-mini_all,Mr. Gardiner,DC,5
46,1000_individual_gpt-4o-mini_all,Lydia,N,27
