chapter,method,input_tokens,output_tokens,elapsed_time
52,1000_individual_gpt-4o-mini_all,79988,4102,118.3920283317566
46,1000_individual_gpt-4o-mini_all,109924,9114,267.5189802646637
47,1000_individual_gpt-4o-mini_all,250605,22061,598.2803180217743
53,1000_individual_gpt-4o-mini_all,217959,19236,503.5883598327637
45,1000_individual_gpt-4o-mini_all,58683,5527,144.23871564865112
51,1000_individual_gpt-4o-mini_all,116010,10539,335.9162831306457
50,1000_individual_gpt-4o-mini_all,83915,7514,212.18785429000854
44,1000_individual_gpt-4o-mini_all,63258,5302,134.1509940624237
40,1000_individual_gpt-4o-mini_all,85018,7954,199.22612118721008
54,1000_individual_gpt-4o-mini_all,73655,6576,168.96427154541016
55,1000_individual_gpt-4o-mini_all,146455,13486,372.270085811615
41,1000_individual_gpt-4o-mini_all,90362,7897,226.50305080413818
57,1000_individual_gpt-4o-mini_all,108710,9314,247.72061800956726
43,1000_individual_gpt-4o-mini_all,117299,10167,275.18897342681885
42,1000_individual_gpt-4o-mini_all,72678,6272,169.00396704673767
56,1000_individual_gpt-4o-mini_all,95092,8232,238.87444591522217
19,1000_individual_gpt-4o-mini_all,33631,3008,86.40102982521057
31,1000_individual_gpt-4o-mini_all,33713,3087,86.58617162704468
25,1000_individual_gpt-4o-mini_all,82968,7623,210.79998207092285
1,1000_individual_gpt-4o-mini_all,27345,2230,65.76125168800354
24,1000_individual_gpt-4o-mini_all,101211,8908,252.87110042572021
30,1000_individual_gpt-4o-mini_all,35815,3165,96.51574039459229
18,1000_individual_gpt-4o-mini_all,285352,24618,658.382684469223
26,1000_individual_gpt-4o-mini_all,144752,12600,334.62477374076843
32,1000_individual_gpt-4o-mini_all,52090,4626,119.57717323303223
3,1000_individual_gpt-4o-mini_all,92514,8453,234.50361227989197
2,1000_individual_gpt-4o-mini_all,21812,1749,49.07083606719971
33,1000_individual_gpt-4o-mini_all,76044,6687,216.93359780311584
27,1000_individual_gpt-4o-mini_all,41454,3651,111.3257827758789
23,1000_individual_gpt-4o-mini_all,72132,6411,205.4161834716797
37,1000_individual_gpt-4o-mini_all,70416,5702,182.650536775589
6,1000_individual_gpt-4o-mini_all,91210,7610,244.69980883598328
7,1000_individual_gpt-4o-mini_all,115570,10475,292.4035451412201
36,1000_individual_gpt-4o-mini_all,49969,3967,108.56517004966736
22,1000_individual_gpt-4o-mini_all,87170,7982,215.91752171516418
34,1000_individual_gpt-4o-mini_all,39611,3666,103.57440042495728
20,1000_individual_gpt-4o-mini_all,43282,4538,121.46979284286499
5,1000_individual_gpt-4o-mini_all,50246,4480,123.95606923103333
4,1000_individual_gpt-4o-mini_all,23952,2273,57.82195854187012
21,1000_individual_gpt-4o-mini_all,114460,9893,289.16913771629333
35,1000_individual_gpt-4o-mini_all,52806,2324,74.76789379119873
38,1000_individual_gpt-4o-mini_all,27566,2531,76.981680393219
10,1000_individual_gpt-4o-mini_all,74958,6944,200.26170563697815
9,1000_individual_gpt-4o-mini_all,78694,7112,217.78811931610107
8,1000_individual_gpt-4o-mini_all,61577,5466,153.57088685035706
11,1000_individual_gpt-4o-mini_all,54384,4849,130.14322996139526
39,1000_individual_gpt-4o-mini_all,62887,5598,154.24992847442627
13,1000_individual_gpt-4o-mini_all,52658,4458,124.80554175376892
12,1000_individual_gpt-4o-mini_all,27376,2458,103.40297889709473
16,1000_individual_gpt-4o-mini_all,194247,17711,642.3654108047485
17,1000_individual_gpt-4o-mini_all,46025,4013,121.95477724075317
15,1000_individual_gpt-4o-mini_all,77320,6158,170.9075803756714
29,1000_individual_gpt-4o-mini_all,82874,7074,281.33847308158875
28,1000_individual_gpt-4o-mini_all,31233,2456,66.45447993278503
14,1000_individual_gpt-4o-mini_all,37610,3101,82.41310572624207
58,1000_individual_gpt-4o-mini_all,80705,6737,190.92123341560364
59,1000_individual_gpt-4o-mini_all,88106,8946,334.9570093154907
61,1000_individual_gpt-4o-mini_all,78342,7239,199.03082084655762
49,1000_individual_gpt-4o-mini_all,67748,6076,161.73956179618835
48,1000_individual_gpt-4o-mini_all,105763,9375,303.1579542160034
60,1000_individual_gpt-4o-mini_all,79103,6904,299.56078815460205
