chapter,method,character,tag,count
52,1000_individual_gpt-4o-mini_individual,Mr. Darcy,N,18
52,1000_individual_gpt-4o-mini_individual,Mr. Darcy,A,36
52,1000_individual_gpt-4o-mini_individual,Mr. Darcy,C,19
52,1000_individual_gpt-4o-mini_individual,Mr. Darcy,I,51
52,1000_individual_gpt-4o-mini_individual,Mr. Darcy,DN,27
52,1000_individual_gpt-4o-mini_individual,Mr. Darcy,DC,27
52,1000_individual_gpt-4o-mini_individual,Mrs. Bennet,N,1
52,1000_individual_gpt-4o-mini_individual,Mrs. Bennet,A,3
52,1000_individual_gpt-4o-mini_individual,Mrs. Bennet,C,2
52,1000_individual_gpt-4o-mini_individual,Mrs. Bennet,I,9
52,1000_individual_gpt-4o-mini_individual,Mrs. Bennet,DN,1
52,1000_individual_gpt-4o-mini_individual,Mrs. Bennet,DC,3
52,1000_individual_gpt-4o-mini_individual,Jane,N,4
52,1000_individual_gpt-4o-mini_individual,Jane,A,8
52,1000_individual_gpt-4o-mini_individual,Jane,C,11
52,1000_individual_gpt-4o-mini_individual,Jane,I,13
52,1000_individual_gpt-4o-mini_individual,Jane,DN,1
52,1000_individual_gpt-4o-mini_individual,Jane,DC,5
52,1000_individual_gpt-4o-mini_individual,Colonel Fitzwilliam,N,0
52,1000_individual_gpt-4o-mini_individual,Colonel Fitzwilliam,A,25
52,1000_individual_gpt-4o-mini_individual,Colonel Fitzwilliam,C,13
52,1000_individual_gpt-4o-mini_individual,Colonel Fitzwilliam,I,32
52,1000_individual_gpt-4o-mini_individual,Colonel Fitzwilliam,DN,1
52,1000_individual_gpt-4o-mini_individual,Colonel Fitzwilliam,DC,5
52,1000_individual_gpt-4o-mini_individual,Lydia,N,7
52,1000_individual_gpt-4o-mini_individual,Lydia,A,28
52,1000_individual_gpt-4o-mini_individual,Lydia,C,17
52,1000_individual_gpt-4o-mini_individual,Lydia,I,16
52,1000_individual_gpt-4o-mini_individual,Lydia,DN,9
52,1000_individual_gpt-4o-mini_individual,Lydia,DC,7
52,1000_individual_gpt-4o-mini_individual,Miss Darcy,N,11
52,1000_individual_gpt-4o-mini_individual,Miss Darcy,A,27
52,1000_individual_gpt-4o-mini_individual,Miss Darcy,C,13
52,1000_individual_gpt-4o-mini_individual,Miss Darcy,I,20
52,1000_individual_gpt-4o-mini_individual,Miss Darcy,DN,3
52,1000_individual_gpt-4o-mini_individual,Miss Darcy,DC,7
52,1000_individual_gpt-4o-mini_individual,Mr. Bennet,N,4
52,1000_individual_gpt-4o-mini_individual,Mr. Bennet,A,13
52,1000_individual_gpt-4o-mini_individual,Mr. Bennet,C,2
52,1000_individual_gpt-4o-mini_individual,Mr. Bennet,I,19
52,1000_individual_gpt-4o-mini_individual,Mr. Bennet,DN,1
52,1000_individual_gpt-4o-mini_individual,Mr. Bennet,DC,5
52,1000_individual_gpt-4o-mini_individual,Mrs. Gardiner,N,4
52,1000_individual_gpt-4o-mini_individual,Mrs. Gardiner,A,4
52,1000_individual_gpt-4o-mini_individual,Mrs. Gardiner,C,26
52,1000_individual_gpt-4o-mini_individual,Mrs. Gardiner,I,22
52,1000_individual_gpt-4o-mini_individual,Mrs. Gardiner,DN,4
52,1000_individual_gpt-4o-mini_individual,Mrs. Gardiner,DC,20
52,1000_individual_gpt-4o-mini_individual,Mrs. Younge,N,4
52,1000_individual_gpt-4o-mini_individual,Mrs. Younge,A,21
52,1000_individual_gpt-4o-mini_individual,Mrs. Younge,C,9
52,1000_individual_gpt-4o-mini_individual,Mrs. Younge,I,14
52,1000_individual_gpt-4o-mini_individual,Mrs. Younge,DN,2
52,1000_individual_gpt-4o-mini_individual,Mrs. Younge,DC,5
52,1000_individual_gpt-4o-mini_individual,Mr. Gardiner,N,8
52,1000_individual_gpt-4o-mini_individual,Mr. Gardiner,A,11
52,1000_individual_gpt-4o-mini_individual,Mr. Gardiner,C,15
52,1000_individual_gpt-4o-mini_individual,Mr. Gardiner,I,15
52,1000_individual_gpt-4o-mini_individual,Mr. Gardiner,DN,4
52,1000_individual_gpt-4o-mini_individual,Mr. Gardiner,DC,9
52,1000_individual_gpt-4o-mini_individual,Elizabeth,N,18
52,1000_individual_gpt-4o-mini_individual,Elizabeth,A,69
52,1000_individual_gpt-4o-mini_individual,Elizabeth,C,19
52,1000_individual_gpt-4o-mini_individual,Elizabeth,I,179
52,1000_individual_gpt-4o-mini_individual,Elizabeth,DN,19
52,1000_individual_gpt-4o-mini_individual,Elizabeth,DC,15
52,1000_individual_gpt-4o-mini_individual,Wickham,N,13
52,1000_individual_gpt-4o-mini_individual,Wickham,A,15
52,1000_individual_gpt-4o-mini_individual,Wickham,C,17
52,1000_individual_gpt-4o-mini_individual,Wickham,I,32
52,1000_individual_gpt-4o-mini_individual,Wickham,DN,9
52,1000_individual_gpt-4o-mini_individual,Wickham,DC,15
46,1000_individual_gpt-4o-mini_individual,Mr. Darcy,N,13
46,1000_individual_gpt-4o-mini_individual,Mr. Darcy,A,13
46,1000_individual_gpt-4o-mini_individual,Mr. Darcy,C,14
46,1000_individual_gpt-4o-mini_individual,Mr. Darcy,I,37
46,1000_individual_gpt-4o-mini_individual,Mr. Darcy,DN,9
46,1000_individual_gpt-4o-mini_individual,Mr. Darcy,DC,12
46,1000_individual_gpt-4o-mini_individual,Mrs. Bennet,N,6
46,1000_individual_gpt-4o-mini_individual,Mrs. Bennet,A,22
46,1000_individual_gpt-4o-mini_individual,Mrs. Bennet,C,4
46,1000_individual_gpt-4o-mini_individual,Mrs. Bennet,I,25
46,1000_individual_gpt-4o-mini_individual,Mrs. Bennet,DN,8
46,1000_individual_gpt-4o-mini_individual,Mrs. Bennet,DC,7
46,1000_individual_gpt-4o-mini_individual,Kitty,N,4
46,1000_individual_gpt-4o-mini_individual,Kitty,A,4
46,1000_individual_gpt-4o-mini_individual,Kitty,C,4
46,1000_individual_gpt-4o-mini_individual,Kitty,I,13
46,1000_individual_gpt-4o-mini_individual,Kitty,DN,2
46,1000_individual_gpt-4o-mini_individual,Kitty,DC,7
46,1000_individual_gpt-4o-mini_individual,Jane,N,9
46,1000_individual_gpt-4o-mini_individual,Jane,A,33
46,1000_individual_gpt-4o-mini_individual,Jane,C,7
46,1000_individual_gpt-4o-mini_individual,Jane,I,41
46,1000_individual_gpt-4o-mini_individual,Jane,DN,9
46,1000_individual_gpt-4o-mini_individual,Jane,DC,13
46,1000_individual_gpt-4o-mini_individual,Colonel Fitzwilliam,N,6
46,1000_individual_gpt-4o-mini_individual,Colonel Fitzwilliam,A,30
46,1000_individual_gpt-4o-mini_individual,Colonel Fitzwilliam,C,5
46,1000_individual_gpt-4o-mini_individual,Colonel Fitzwilliam,I,30
46,1000_individual_gpt-4o-mini_individual,Colonel Fitzwilliam,DN,5
46,1000_individual_gpt-4o-mini_individual,Colonel Fitzwilliam,DC,6
