chapter,method,input_tokens,output_tokens,elapsed_time
52,1000_individual_gpt-4o-mini_individual,396600,6517,512.8917803764343
46,1000_individual_gpt-4o-mini_individual,534002,14196,879.6421105861664
47,1000_individual_gpt-4o-mini_individual,1012378,30901,1889.690013408661
53,1000_individual_gpt-4o-mini_individual,898280,28025,1706.4172558784485
45,1000_individual_gpt-4o-mini_individual,250542,8439,470.5548577308655
51,1000_individual_gpt-4o-mini_individual,344738,10540,590.6184570789337
50,1000_individual_gpt-4o-mini_individual,498812,15573,1110.2034497261047
44,1000_individual_gpt-4o-mini_individual,275388,7823,469.53713750839233
40,1000_individual_gpt-4o-mini_individual,208080,6615,456.17344427108765
54,1000_individual_gpt-4o-mini_individual,293334,9176,592.1019852161407
55,1000_individual_gpt-4o-mini_individual,701872,22899,1343.494013786316
41,1000_individual_gpt-4o-mini_individual,389404,11863,749.7572622299194
57,1000_individual_gpt-4o-mini_individual,550090,15663,1005.936637878418
43,1000_individual_gpt-4o-mini_individual,655278,19701,1258.4316184520721
42,1000_individual_gpt-4o-mini_individual,311944,9533,591.6130948066711
56,1000_individual_gpt-4o-mini_individual,414312,12076,780.6364450454712
19,1000_individual_gpt-4o-mini_individual,145366,4487,275.0438687801361
31,1000_individual_gpt-4o-mini_individual,144990,4697,319.6584463119507
25,1000_individual_gpt-4o-mini_individual,352128,11185,770.858859539032
1,1000_individual_gpt-4o-mini_individual,120670,3434,229.46042680740356
24,1000_individual_gpt-4o-mini_individual,379886,11650,736.0980677604675
30,1000_individual_gpt-4o-mini_individual,171450,5362,359.55047702789307
18,1000_individual_gpt-4o-mini_individual,1317058,38261,2440.469611644745
26,1000_individual_gpt-4o-mini_individual,771896,21708,1374.6402432918549
32,1000_individual_gpt-4o-mini_individual,248356,7955,527.4268548488617
3,1000_individual_gpt-4o-mini_individual,372168,11651,754.7318422794342
2,1000_individual_gpt-4o-mini_individual,96152,2891,163.75319600105286
33,1000_individual_gpt-4o-mini_individual,331272,10356,557.4976234436035
27,1000_individual_gpt-4o-mini_individual,178416,5253,326.6877417564392
23,1000_individual_gpt-4o-mini_individual,333558,10525,639.8071041107178
37,1000_individual_gpt-4o-mini_individual,272468,7674,455.47124433517456
6,1000_individual_gpt-4o-mini_individual,435022,12112,722.1681492328644
7,1000_individual_gpt-4o-mini_individual,467796,14976,884.3230948448181
36,1000_individual_gpt-4o-mini_individual,223430,6119,390.9085183143616
22,1000_individual_gpt-4o-mini_individual,303510,9007,539.159346818924
34,1000_individual_gpt-4o-mini_individual,168226,5076,301.40520000457764
20,1000_individual_gpt-4o-mini_individual,190252,6329,321.43227219581604
5,1000_individual_gpt-4o-mini_individual,216412,6155,356.43893933296204
4,1000_individual_gpt-4o-mini_individual,102048,3158,168.64922857284546
21,1000_individual_gpt-4o-mini_individual,430808,13236,792.4808588027954
35,1000_individual_gpt-4o-mini_individual,269964,3655,224.29683756828308
38,1000_individual_gpt-4o-mini_individual,116644,3634,209.7474808692932
10,1000_individual_gpt-4o-mini_individual,262700,8316,472.7368450164795
9,1000_individual_gpt-4o-mini_individual,336756,10638,627.3796720504761
8,1000_individual_gpt-4o-mini_individual,267906,8777,456.45381712913513
11,1000_individual_gpt-4o-mini_individual,180840,5941,293.5831744670868
39,1000_individual_gpt-4o-mini_individual,297162,9065,479.7723479270935
13,1000_individual_gpt-4o-mini_individual,230016,6579,417.5979161262512
12,1000_individual_gpt-4o-mini_individual,116516,3737,265.48368859291077
16,1000_individual_gpt-4o-mini_individual,882748,27857,1823.3917226791382
17,1000_individual_gpt-4o-mini_individual,198084,6260,348.98947405815125
15,1000_individual_gpt-4o-mini_individual,342400,9329,647.8310673236847
29,1000_individual_gpt-4o-mini_individual,358364,10956,692.6712422370911
28,1000_individual_gpt-4o-mini_individual,138790,3814,201.0335373878479
14,1000_individual_gpt-4o-mini_individual,164900,4867,304.6461887359619
58,1000_individual_gpt-4o-mini_individual,354030,10296,603.5026323795319
59,1000_individual_gpt-4o-mini_individual,419306,14192,749.5268802642822
61,1000_individual_gpt-4o-mini_individual,326832,10509,613.1028044223785
49,1000_individual_gpt-4o-mini_individual,297120,8558,555.9687418937683
48,1000_individual_gpt-4o-mini_individual,1049100,33043,1871.924604177475
60,1000_individual_gpt-4o-mini_individual,340946,10041,640.8822777271271
