chapter,method,character,tag,count
52,chapter_all_gpt-4o-mini_all,Colonel Fitzwilliam,N,0
52,chapter_all_gpt-4o-mini_all,Colonel Fitzwilliam,A,0
52,chapter_all_gpt-4o-mini_all,Colonel Fitzwilliam,C,0
52,chapter_all_gpt-4o-mini_all,Colonel Fitzwilliam,I,0
52,chapter_all_gpt-4o-mini_all,Colonel Fitzwilliam,DN,0
52,chapter_all_gpt-4o-mini_all,Colonel Fitzwilliam,DC,0
52,chapter_all_gpt-4o-mini_all,Mr. Darcy,N,9
52,chapter_all_gpt-4o-mini_all,Mr. Darcy,A,6
52,chapter_all_gpt-4o-mini_all,Mr. Darcy,C,6
52,chapter_all_gpt-4o-mini_all,Mr. Darcy,I,11
52,chapter_all_gpt-4o-mini_all,Mr. Darcy,DN,3
52,chapter_all_gpt-4o-mini_all,Mr. Darcy,DC,5
52,chapter_all_gpt-4o-mini_all,Mr. Gardiner,N,4
52,chapter_all_gpt-4o-mini_all,Mr. Gardiner,A,0
52,chapter_all_gpt-4o-mini_all,Mr. Gardiner,C,2
52,chapter_all_gpt-4o-mini_all,Mr. Gardiner,I,4
52,chapter_all_gpt-4o-mini_all,Mr. Gardiner,DN,2
52,chapter_all_gpt-4o-mini_all,Mr. Gardiner,DC,2
52,chapter_all_gpt-4o-mini_all,Mr. Bennet,N,0
52,chapter_all_gpt-4o-mini_all,Mr. Bennet,A,0
52,chapter_all_gpt-4o-mini_all,Mr. Bennet,C,0
52,chapter_all_gpt-4o-mini_all,Mr. Bennet,I,0
52,chapter_all_gpt-4o-mini_all,Mr. Bennet,DN,0
52,chapter_all_gpt-4o-mini_all,Mr. Bennet,DC,0
52,chapter_all_gpt-4o-mini_all,Mrs. Gardiner,N,0
52,chapter_all_gpt-4o-mini_all,Mrs. Gardiner,A,0
52,chapter_all_gpt-4o-mini_all,Mrs. Gardiner,C,0
52,chapter_all_gpt-4o-mini_all,Mrs. Gardiner,I,0
52,chapter_all_gpt-4o-mini_all,Mrs. Gardiner,DN,0
52,chapter_all_gpt-4o-mini_all,Mrs. Gardiner,DC,0
52,chapter_all_gpt-4o-mini_all,Mrs. Younge,N,2
52,chapter_all_gpt-4o-mini_all,Mrs. Younge,A,0
52,chapter_all_gpt-4o-mini_all,Mrs. Younge,C,0
52,chapter_all_gpt-4o-mini_all,Mrs. Younge,I,0
52,chapter_all_gpt-4o-mini_all,Mrs. Younge,DN,1
52,chapter_all_gpt-4o-mini_all,Mrs. Younge,DC,0
52,chapter_all_gpt-4o-mini_all,Jane,N,0
52,chapter_all_gpt-4o-mini_all,Jane,A,0
52,chapter_all_gpt-4o-mini_all,Jane,C,0
52,chapter_all_gpt-4o-mini_all,Jane,I,0
52,chapter_all_gpt-4o-mini_all,Jane,DN,0
52,chapter_all_gpt-4o-mini_all,Jane,DC,0
52,chapter_all_gpt-4o-mini_all,Elizabeth,N,12
52,chapter_all_gpt-4o-mini_all,Elizabeth,A,4
52,chapter_all_gpt-4o-mini_all,Elizabeth,C,7
52,chapter_all_gpt-4o-mini_all,Elizabeth,I,16
52,chapter_all_gpt-4o-mini_all,Elizabeth,DN,5
52,chapter_all_gpt-4o-mini_all,Elizabeth,DC,4
52,chapter_all_gpt-4o-mini_all,Miss Darcy,N,0
52,chapter_all_gpt-4o-mini_all,Miss Darcy,A,0
52,chapter_all_gpt-4o-mini_all,Miss Darcy,C,0
52,chapter_all_gpt-4o-mini_all,Miss Darcy,I,0
52,chapter_all_gpt-4o-mini_all,Miss Darcy,DN,0
52,chapter_all_gpt-4o-mini_all,Miss Darcy,DC,0
52,chapter_all_gpt-4o-mini_all,Wickham,N,5
52,chapter_all_gpt-4o-mini_all,Wickham,A,1
52,chapter_all_gpt-4o-mini_all,Wickham,C,2
52,chapter_all_gpt-4o-mini_all,Wickham,I,4
52,chapter_all_gpt-4o-mini_all,Wickham,DN,0
52,chapter_all_gpt-4o-mini_all,Wickham,DC,3
52,chapter_all_gpt-4o-mini_all,Mrs. Bennet,N,2
52,chapter_all_gpt-4o-mini_all,Mrs. Bennet,A,0
52,chapter_all_gpt-4o-mini_all,Mrs. Bennet,C,1
52,chapter_all_gpt-4o-mini_all,Mrs. Bennet,I,0
52,chapter_all_gpt-4o-mini_all,Mrs. Bennet,DN,1
52,chapter_all_gpt-4o-mini_all,Mrs. Bennet,DC,1
52,chapter_all_gpt-4o-mini_all,Lydia,N,5
52,chapter_all_gpt-4o-mini_all,Lydia,A,0
52,chapter_all_gpt-4o-mini_all,Lydia,C,0
52,chapter_all_gpt-4o-mini_all,Lydia,I,0
52,chapter_all_gpt-4o-mini_all,Lydia,DN,4
52,chapter_all_gpt-4o-mini_all,Lydia,DC,2
46,chapter_all_gpt-4o-mini_all,Colonel Fitzwilliam,N,0
46,chapter_all_gpt-4o-mini_all,Colonel Fitzwilliam,A,0
46,chapter_all_gpt-4o-mini_all,Colonel Fitzwilliam,C,0
46,chapter_all_gpt-4o-mini_all,Colonel Fitzwilliam,I,0
46,chapter_all_gpt-4o-mini_all,Colonel Fitzwilliam,DN,0
46,chapter_all_gpt-4o-mini_all,Colonel Fitzwilliam,DC,0
46,chapter_all_gpt-4o-mini_all,Mr. Darcy,N,8
46,chapter_all_gpt-4o-mini_all,Mr. Darcy,A,4
46,chapter_all_gpt-4o-mini_all,Mr. Darcy,C,3
46,chapter_all_gpt-4o-mini_all,Mr. Darcy,I,4
46,chapter_all_gpt-4o-mini_all,Mr. Darcy,DN,5
46,chapter_all_gpt-4o-mini_all,Mr. Darcy,DC,4
46,chapter_all_gpt-4o-mini_all,Mr. Gardiner,N,5
46,chapter_all_gpt-4o-mini_all,Mr. Gardiner,A,0
46,chapter_all_gpt-4o-mini_all,Mr. Gardiner,C,1
46,chapter_all_gpt-4o-mini_all,Mr. Gardiner,I,1
46,chapter_all_gpt-4o-mini_all,Mr. Gardiner,DN,1
46,chapter_all_gpt-4o-mini_all,Mr. Gardiner,DC,2
46,chapter_all_gpt-4o-mini_all,Mr. Bennet,N,2
46,chapter_all_gpt-4o-mini_all,Mr. Bennet,A,0
46,chapter_all_gpt-4o-mini_all,Mr. Bennet,C,0
46,chapter_all_gpt-4o-mini_all,Mr. Bennet,I,0
46,chapter_all_gpt-4o-mini_all,Mr. Bennet,DN,2
46,chapter_all_gpt-4o-mini_all,Mr. Bennet,DC,2
46,chapter_all_gpt-4o-mini_all,Mrs. Gardiner,N,4
46,chapter_all_gpt-4o-mini_all,Mrs. Gardiner,A,0
46,chapter_all_gpt-4o-mini_all,Mrs. Gardiner,C,0
46,chapter_all_gpt-4o-mini_all,Mrs. Gardiner,I,0
46,chapter_all_gpt-4o-mini_all,Mrs. Gardiner,DN,3
46,chapter_all_gpt-4o-mini_all,Mrs. Gardiner,DC,2
46,chapter_all_gpt-4o-mini_all,Kitty,N,3
46,chapter_all_gpt-4o-mini_all,Kitty,A,0
46,chapter_all_gpt-4o-mini_all,Kitty,C,0
46,chapter_all_gpt-4o-mini_all,Kitty,I,0
46,chapter_all_gpt-4o-mini_all,Kitty,DN,3
46,chapter_all_gpt-4o-mini_all,Kitty,DC,2
46,chapter_all_gpt-4o-mini_all,Jane,N,4
46,chapter_all_gpt-4o-mini_all,Jane,A,0
46,chapter_all_gpt-4o-mini_all,Jane,C,2
46,chapter_all_gpt-4o-mini_all,Jane,I,2
46,chapter_all_gpt-4o-mini_all,Jane,DN,4
46,chapter_all_gpt-4o-mini_all,Jane,DC,2
46,chapter_all_gpt-4o-mini_all,Elizabeth,N,13
46,chapter_all_gpt-4o-mini_all,Elizabeth,A,6
46,chapter_all_gpt-4o-mini_all,Elizabeth,C,5
46,chapter_all_gpt-4o-mini_all,Elizabeth,I,11
46,chapter_all_gpt-4o-mini_all,Elizabeth,DN,15
46,chapter_all_gpt-4o-mini_all,Elizabeth,DC,8
46,chapter_all_gpt-4o-mini_all,Mr. Denny,N,0
46,chapter_all_gpt-4o-mini_all,Mr. Denny,A,0
46,chapter_all_gpt-4o-mini_all,Mr. Denny,C,0
46,chapter_all_gpt-4o-mini_all,Mr. Denny,I,0
46,chapter_all_gpt-4o-mini_all,Mr. Denny,DN,0
46,chapter_all_gpt-4o-mini_all,Mr. Denny,DC,0
46,chapter_all_gpt-4o-mini_all,Miss Darcy,N,0
46,chapter_all_gpt-4o-mini_all,Miss Darcy,A,0
46,chapter_all_gpt-4o-mini_all,Miss Darcy,C,0
46,chapter_all_gpt-4o-mini_all,Miss Darcy,I,0
46,chapter_all_gpt-4o-mini_all,Miss Darcy,DN,0
46,chapter_all_gpt-4o-mini_all,Miss Darcy,DC,0
46,chapter_all_gpt-4o-mini_all,Colonel Forster,N,5
46,chapter_all_gpt-4o-mini_all,Colonel Forster,A,0
46,chapter_all_gpt-4o-mini_all,Colonel Forster,C,0
46,chapter_all_gpt-4o-mini_all,Colonel Forster,I,0
46,chapter_all_gpt-4o-mini_all,Colonel Forster,DN,2
46,chapter_all_gpt-4o-mini_all,Colonel Forster,DC,3
46,chapter_all_gpt-4o-mini_all,Wickham,N,6
46,chapter_all_gpt-4o-mini_all,Wickham,A,0
46,chapter_all_gpt-4o-mini_all,Wickham,C,0
46,chapter_all_gpt-4o-mini_all,Wickham,I,0
46,chapter_all_gpt-4o-mini_all,Wickham,DN,2
46,chapter_all_gpt-4o-mini_all,Wickham,DC,3
46,chapter_all_gpt-4o-mini_all,Mrs. Forster,N,0
46,chapter_all_gpt-4o-mini_all,Mrs. Forster,A,0
46,chapter_all_gpt-4o-mini_all,Mrs. Forster,C,0
46,chapter_all_gpt-4o-mini_all,Mrs. Forster,I,0
46,chapter_all_gpt-4o-mini_all,Mrs. Forster,DN,0
46,chapter_all_gpt-4o-mini_all,Mrs. Forster,DC,0
46,chapter_all_gpt-4o-mini_all,Mrs. Bennet,N,0
46,chapter_all_gpt-4o-mini_all,Mrs. Bennet,A,0
46,chapter_all_gpt-4o-mini_all,Mrs. Bennet,C,0
46,chapter_all_gpt-4o-mini_all,Mrs. Bennet,I,0
46,chapter_all_gpt-4o-mini_all,Mrs. Bennet,DN,0
46,chapter_all_gpt-4o-mini_all,Mrs. Bennet,DC,0
46,chapter_all_gpt-4o-mini_all,Lydia,N,8
46,chapter_all_gpt-4o-mini_all,Lydia,A,0
46,chapter_all_gpt-4o-mini_all,Lydia,C,0
46,chapter_all_gpt-4o-mini_all,Lydia,I,0
46,chapter_all_gpt-4o-mini_all,Lydia,DN,9
46,chapter_all_gpt-4o-mini_all,Lydia,DC,5
47,chapter_all_gpt-4o-mini_all,Colonel Fitzwilliam,N,0
47,chapter_all_gpt-4o-mini_all,Colonel Fitzwilliam,A,0
47,chapter_all_gpt-4o-mini_all,Colonel Fitzwilliam,C,0
47,chapter_all_gpt-4o-mini_all,Colonel Fitzwilliam,I,0
47,chapter_all_gpt-4o-mini_all,Colonel Fitzwilliam,DN,0
47,chapter_all_gpt-4o-mini_all,Colonel Fitzwilliam,DC,0
47,chapter_all_gpt-4o-mini_all,Miss Bingley,N,0
47,chapter_all_gpt-4o-mini_all,Miss Bingley,A,0
47,chapter_all_gpt-4o-mini_all,Miss Bingley,C,0
47,chapter_all_gpt-4o-mini_all,Miss Bingley,I,0
47,chapter_all_gpt-4o-mini_all,Miss Bingley,DN,0
47,chapter_all_gpt-4o-mini_all,Miss Bingley,DC,0
47,chapter_all_gpt-4o-mini_all,Jane,N,9
47,chapter_all_gpt-4o-mini_all,Jane,A,0
47,chapter_all_gpt-4o-mini_all,Jane,C,2
47,chapter_all_gpt-4o-mini_all,Jane,I,3
47,chapter_all_gpt-4o-mini_all,Jane,DN,1
47,chapter_all_gpt-4o-mini_all,Jane,DC,4
47,chapter_all_gpt-4o-mini_all,Mr. Denny,N,0
47,chapter_all_gpt-4o-mini_all,Mr. Denny,A,0
47,chapter_all_gpt-4o-mini_all,Mr. Denny,C,0
47,chapter_all_gpt-4o-mini_all,Mr. Denny,I,0
47,chapter_all_gpt-4o-mini_all,Mr. Denny,DN,0
47,chapter_all_gpt-4o-mini_all,Mr. Denny,DC,0
47,chapter_all_gpt-4o-mini_all,Mrs. Hurst,N,0
47,chapter_all_gpt-4o-mini_all,Mrs. Hurst,A,0
47,chapter_all_gpt-4o-mini_all,Mrs. Hurst,C,0
47,chapter_all_gpt-4o-mini_all,Mrs. Hurst,I,0
47,chapter_all_gpt-4o-mini_all,Mrs. Hurst,DN,0
47,chapter_all_gpt-4o-mini_all,Mrs. Hurst,DC,0
47,chapter_all_gpt-4o-mini_all,Colonel Forster,N,4
47,chapter_all_gpt-4o-mini_all,Colonel Forster,A,1
47,chapter_all_gpt-4o-mini_all,Colonel Forster,C,2
47,chapter_all_gpt-4o-mini_all,Colonel Forster,I,1
47,chapter_all_gpt-4o-mini_all,Colonel Forster,DN,2
47,chapter_all_gpt-4o-mini_all,Colonel Forster,DC,3
47,chapter_all_gpt-4o-mini_all,Sir William Lucas,N,0
47,chapter_all_gpt-4o-mini_all,Sir William Lucas,A,0
47,chapter_all_gpt-4o-mini_all,Sir William Lucas,C,0
47,chapter_all_gpt-4o-mini_all,Sir William Lucas,I,0
47,chapter_all_gpt-4o-mini_all,Sir William Lucas,DN,0
47,chapter_all_gpt-4o-mini_all,Sir William Lucas,DC,0
47,chapter_all_gpt-4o-mini_all,Mrs. Gardiner,N,6
47,chapter_all_gpt-4o-mini_all,Mrs. Gardiner,A,0
47,chapter_all_gpt-4o-mini_all,Mrs. Gardiner,C,2
47,chapter_all_gpt-4o-mini_all,Mrs. Gardiner,I,1
47,chapter_all_gpt-4o-mini_all,Mrs. Gardiner,DN,4
47,chapter_all_gpt-4o-mini_all,Mrs. Gardiner,DC,1
47,chapter_all_gpt-4o-mini_all,Mrs. Younge,N,0
47,chapter_all_gpt-4o-mini_all,Mrs. Younge,A,0
47,chapter_all_gpt-4o-mini_all,Mrs. Younge,C,0
47,chapter_all_gpt-4o-mini_all,Mrs. Younge,I,0
