chapter,method,input_tokens,output_tokens,elapsed_time
52,chapter_all_gpt-4o-mini_all,4437,296,6.249177694320679
46,chapter_all_gpt-4o-mini_all,4357,420,9.316546201705933
47,chapter_all_gpt-4o-mini_all,5755,461,8.293277025222778
53,chapter_all_gpt-4o-mini_all,4281,339,5.836205244064331
45,chapter_all_gpt-4o-mini_all,2663,211,3.2760748863220215
51,chapter_all_gpt-4o-mini_all,3081,251,4.916924238204956
50,chapter_all_gpt-4o-mini_all,3273,211,4.403496026992798
44,chapter_all_gpt-4o-mini_all,3433,256,5.323282957077026
40,chapter_all_gpt-4o-mini_all,2573,251,4.195065975189209
54,chapter_all_gpt-4o-mini_all,2475,167,2.866420030593872
55,chapter_all_gpt-4o-mini_all,3594,253,3.581760883331299
41,chapter_all_gpt-4o-mini_all,3395,422,5.527611970901489
57,chapter_all_gpt-4o-mini_all,2611,340,6.348325967788696
43,chapter_all_gpt-4o-mini_all,6746,255,4.09501576423645
42,chapter_all_gpt-4o-mini_all,2786,292,5.735564708709717
56,chapter_all_gpt-4o-mini_all,4035,337,6.450963973999023
19,chapter_all_gpt-4o-mini_all,2846,214,3.896225929260254
31,chapter_all_gpt-4o-mini_all,2389,172,3.303786039352417
25,chapter_all_gpt-4o-mini_all,2411,339,6.583436965942383
1,chapter_all_gpt-4o-mini_all,1466,253,5.024854898452759
24,chapter_all_gpt-4o-mini_all,2909,297,6.277624130249023
30,chapter_all_gpt-4o-mini_all,1915,211,3.1762208938598633
18,chapter_all_gpt-4o-mini_all,7182,297,5.152074098587036
26,chapter_all_gpt-4o-mini_all,3471,420,8.293211221694946
32,chapter_all_gpt-4o-mini_all,2325,339,7.027220964431763
3,chapter_all_gpt-4o-mini_all,2650,257,7.527582168579102
2,chapter_all_gpt-4o-mini_all,1454,296,7.828035116195679
33,chapter_all_gpt-4o-mini_all,2791,214,3.787158727645874
27,chapter_all_gpt-4o-mini_all,2045,377,7.618675947189331
23,chapter_all_gpt-4o-mini_all,2484,292,5.162849187850952
37,chapter_all_gpt-4o-mini_all,2189,338,4.749675989151001
6,chapter_all_gpt-4o-mini_all,3430,377,6.48252010345459
7,chapter_all_gpt-4o-mini_all,3059,380,8.088701963424683
36,chapter_all_gpt-4o-mini_all,3047,254,5.045703887939453
22,chapter_all_gpt-4o-mini_all,2622,211,4.095006942749023
34,chapter_all_gpt-4o-mini_all,3097,255,5.489684104919434
20,chapter_all_gpt-4o-mini_all,2523,292,4.915456056594849
5,chapter_all_gpt-4o-mini_all,1691,294,5.991866827011108
4,chapter_all_gpt-4o-mini_all,1743,129,2.718269109725952
21,chapter_all_gpt-4o-mini_all,3013,297,5.939075946807861
35,chapter_all_gpt-4o-mini_all,4280,215,5.408175945281982
38,chapter_all_gpt-4o-mini_all,1691,167,3.190308094024658
10,chapter_all_gpt-4o-mini_all,3319,254,4.234807014465332
9,chapter_all_gpt-4o-mini_all,2709,253,5.1339111328125
8,chapter_all_gpt-4o-mini_all,2971,214,5.330843210220337
11,chapter_all_gpt-4o-mini_all,2502,339,6.323318004608154
39,chapter_all_gpt-4o-mini_all,2537,458,9.113058090209961
13,chapter_all_gpt-4o-mini_all,2642,210,4.29647421836853
12,chapter_all_gpt-4o-mini_all,1232,212,4.515390872955322
16,chapter_all_gpt-4o-mini_all,4903,255,5.224097967147827
17,chapter_all_gpt-4o-mini_all,2057,295,5.545661926269531
15,chapter_all_gpt-4o-mini_all,2656,253,4.930499076843262
29,chapter_all_gpt-4o-mini_all,3460,297,5.098886013031006
28,chapter_all_gpt-4o-mini_all,2215,253,5.633313894271851
14,chapter_all_gpt-4o-mini_all,1839,255,5.6149208545684814
58,chapter_all_gpt-4o-mini_all,3561,211,9.50086498260498
59,chapter_all_gpt-4o-mini_all,3660,295,6.697887897491455
61,chapter_all_gpt-4o-mini_all,2038,548,10.298288106918335
49,chapter_all_gpt-4o-mini_all,3348,252,4.4827189445495605
48,chapter_all_gpt-4o-mini_all,3367,379,7.166943073272705
60,chapter_all_gpt-4o-mini_all,2457,380,6.042625665664673
