chapter,method,character,tag,count
52,chapter_all_gpt-4o-mini_individual,Mr. Darcy,N,11
52,chapter_all_gpt-4o-mini_individual,Mr. Darcy,A,10
52,chapter_all_gpt-4o-mini_individual,Mr. Darcy,C,12
52,chapter_all_gpt-4o-mini_individual,Mr. Darcy,I,8
52,chapter_all_gpt-4o-mini_individual,Mr. Darcy,DN,7
52,chapter_all_gpt-4o-mini_individual,Mr. Darcy,DC,6
52,chapter_all_gpt-4o-mini_individual,Lydia,N,6
52,chapter_all_gpt-4o-mini_individual,Lydia,A,6
52,chapter_all_gpt-4o-mini_individual,Lydia,C,8
52,chapter_all_gpt-4o-mini_individual,Lydia,I,8
52,chapter_all_gpt-4o-mini_individual,Lydia,DN,5
52,chapter_all_gpt-4o-mini_individual,Lydia,DC,6
52,chapter_all_gpt-4o-mini_individual,Colonel Forster,N,0
52,chapter_all_gpt-4o-mini_individual,Colonel Forster,A,0
52,chapter_all_gpt-4o-mini_individual,Colonel Forster,C,0
52,chapter_all_gpt-4o-mini_individual,Colonel Forster,I,0
52,chapter_all_gpt-4o-mini_individual,Colonel Forster,DN,0
52,chapter_all_gpt-4o-mini_individual,Colonel Forster,DC,0
52,chapter_all_gpt-4o-mini_individual,Mr. Bennet,N,3
52,chapter_all_gpt-4o-mini_individual,Mr. Bennet,A,1
52,chapter_all_gpt-4o-mini_individual,Mr. Bennet,C,2
52,chapter_all_gpt-4o-mini_individual,Mr. Bennet,I,2
52,chapter_all_gpt-4o-mini_individual,Mr. Bennet,DN,0
52,chapter_all_gpt-4o-mini_individual,Mr. Bennet,DC,2
52,chapter_all_gpt-4o-mini_individual,Mrs. Gardiner,N,1
52,chapter_all_gpt-4o-mini_individual,Mrs. Gardiner,A,0
52,chapter_all_gpt-4o-mini_individual,Mrs. Gardiner,C,0
52,chapter_all_gpt-4o-mini_individual,Mrs. Gardiner,I,5
52,chapter_all_gpt-4o-mini_individual,Mrs. Gardiner,DN,0
52,chapter_all_gpt-4o-mini_individual,Mrs. Gardiner,DC,0
52,chapter_all_gpt-4o-mini_individual,Jane,N,2
52,chapter_all_gpt-4o-mini_individual,Jane,A,0
52,chapter_all_gpt-4o-mini_individual,Jane,C,0
52,chapter_all_gpt-4o-mini_individual,Jane,I,0
52,chapter_all_gpt-4o-mini_individual,Jane,DN,0
52,chapter_all_gpt-4o-mini_individual,Jane,DC,0
52,chapter_all_gpt-4o-mini_individual,Elizabeth,N,14
52,chapter_all_gpt-4o-mini_individual,Elizabeth,A,9
52,chapter_all_gpt-4o-mini_individual,Elizabeth,C,5
52,chapter_all_gpt-4o-mini_individual,Elizabeth,I,25
52,chapter_all_gpt-4o-mini_individual,Elizabeth,DN,5
52,chapter_all_gpt-4o-mini_individual,Elizabeth,DC,0
52,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,N,2
52,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,A,1
52,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,C,2
52,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,I,0
52,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,DN,0
52,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,DC,1
52,chapter_all_gpt-4o-mini_individual,Wickham,N,8
52,chapter_all_gpt-4o-mini_individual,Wickham,A,5
52,chapter_all_gpt-4o-mini_individual,Wickham,C,6
52,chapter_all_gpt-4o-mini_individual,Wickham,I,4
52,chapter_all_gpt-4o-mini_individual,Wickham,DN,5
52,chapter_all_gpt-4o-mini_individual,Wickham,DC,6
52,chapter_all_gpt-4o-mini_individual,Miss Darcy,N,1
52,chapter_all_gpt-4o-mini_individual,Miss Darcy,A,0
52,chapter_all_gpt-4o-mini_individual,Miss Darcy,C,0
52,chapter_all_gpt-4o-mini_individual,Miss Darcy,I,0
52,chapter_all_gpt-4o-mini_individual,Miss Darcy,DN,0
52,chapter_all_gpt-4o-mini_individual,Miss Darcy,DC,0
52,chapter_all_gpt-4o-mini_individual,Mrs. Younge,N,2
52,chapter_all_gpt-4o-mini_individual,Mrs. Younge,A,1
52,chapter_all_gpt-4o-mini_individual,Mrs. Younge,C,3
52,chapter_all_gpt-4o-mini_individual,Mrs. Younge,I,0
52,chapter_all_gpt-4o-mini_individual,Mrs. Younge,DN,1
52,chapter_all_gpt-4o-mini_individual,Mrs. Younge,DC,2
52,chapter_all_gpt-4o-mini_individual,Mr. Gardiner,N,5
52,chapter_all_gpt-4o-mini_individual,Mr. Gardiner,A,6
52,chapter_all_gpt-4o-mini_individual,Mr. Gardiner,C,6
52,chapter_all_gpt-4o-mini_individual,Mr. Gardiner,I,3
52,chapter_all_gpt-4o-mini_individual,Mr. Gardiner,DN,3
52,chapter_all_gpt-4o-mini_individual,Mr. Gardiner,DC,4
46,chapter_all_gpt-4o-mini_individual,Mr. Denny,N,0
46,chapter_all_gpt-4o-mini_individual,Mr. Denny,A,2
46,chapter_all_gpt-4o-mini_individual,Mr. Denny,C,0
46,chapter_all_gpt-4o-mini_individual,Mr. Denny,I,0
46,chapter_all_gpt-4o-mini_individual,Mr. Denny,DN,0
46,chapter_all_gpt-4o-mini_individual,Mr. Denny,DC,1
46,chapter_all_gpt-4o-mini_individual,Mr. Darcy,N,5
46,chapter_all_gpt-4o-mini_individual,Mr. Darcy,A,4
46,chapter_all_gpt-4o-mini_individual,Mr. Darcy,C,5
46,chapter_all_gpt-4o-mini_individual,Mr. Darcy,I,0
46,chapter_all_gpt-4o-mini_individual,Mr. Darcy,DN,3
46,chapter_all_gpt-4o-mini_individual,Mr. Darcy,DC,0
46,chapter_all_gpt-4o-mini_individual,Lydia,N,8
46,chapter_all_gpt-4o-mini_individual,Lydia,A,0
46,chapter_all_gpt-4o-mini_individual,Lydia,C,6
46,chapter_all_gpt-4o-mini_individual,Lydia,I,4
46,chapter_all_gpt-4o-mini_individual,Lydia,DN,6
46,chapter_all_gpt-4o-mini_individual,Lydia,DC,11
46,chapter_all_gpt-4o-mini_individual,Colonel Forster,N,5
46,chapter_all_gpt-4o-mini_individual,Colonel Forster,A,7
46,chapter_all_gpt-4o-mini_individual,Colonel Forster,C,4
46,chapter_all_gpt-4o-mini_individual,Colonel Forster,I,0
46,chapter_all_gpt-4o-mini_individual,Colonel Forster,DN,4
46,chapter_all_gpt-4o-mini_individual,Colonel Forster,DC,6
46,chapter_all_gpt-4o-mini_individual,Mr. Bennet,N,1
