chapter,method,input_tokens,output_tokens,elapsed_time
52,chapter_all_gpt-4o-mini_individual,25748,448,13.021583557128906
46,chapter_all_gpt-4o-mini_individual,25244,439,13.052248239517212
47,chapter_all_gpt-4o-mini_individual,33548,674,17.745943069458008
53,chapter_all_gpt-4o-mini_individual,24884,591,17.550084829330444
45,chapter_all_gpt-4o-mini_individual,15110,383,11.195071935653687
51,chapter_all_gpt-4o-mini_individual,17738,307,9.13014841079712
50,chapter_all_gpt-4o-mini_individual,18620,382,11.638824939727783
44,chapter_all_gpt-4o-mini_individual,19538,338,10.519304037094116
40,chapter_all_gpt-4o-mini_individual,14504,357,11.237782955169678
54,chapter_all_gpt-4o-mini_individual,14078,303,12.539018392562866
55,chapter_all_gpt-4o-mini_individual,20000,320,14.938473463058472
41,chapter_all_gpt-4o-mini_individual,19502,355,10.424116611480713
57,chapter_all_gpt-4o-mini_individual,14696,360,11.132986783981323
43,chapter_all_gpt-4o-mini_individual,39560,325,11.373263597488403
42,chapter_all_gpt-4o-mini_individual,15926,305,9.905348062515259
56,chapter_all_gpt-4o-mini_individual,23294,232,8.435291528701782
19,chapter_all_gpt-4o-mini_individual,16208,210,6.852883338928223
31,chapter_all_gpt-4o-mini_individual,13556,239,7.95935320854187
25,chapter_all_gpt-4o-mini_individual,13598,366,10.52208924293518
1,chapter_all_gpt-4o-mini_individual,7928,290,9.916980504989624
24,chapter_all_gpt-4o-mini_individual,16604,382,12.996535778045654
30,chapter_all_gpt-4o-mini_individual,10622,286,8.579373598098755
18,chapter_all_gpt-4o-mini_individual,42224,456,13.252237558364868
26,chapter_all_gpt-4o-mini_individual,19958,405,11.209089517593384
32,chapter_all_gpt-4o-mini_individual,13016,326,8.271955966949463
3,chapter_all_gpt-4o-mini_individual,15062,394,11.750149011611938
2,chapter_all_gpt-4o-mini_individual,7856,370,9.929635047912598
33,chapter_all_gpt-4o-mini_individual,15878,360,10.622232675552368
27,chapter_all_gpt-4o-mini_individual,11402,338,9.803195714950562
23,chapter_all_gpt-4o-mini_individual,14054,413,10.788786888122559
37,chapter_all_gpt-4o-mini_individual,12266,364,10.822803974151611
6,chapter_all_gpt-4o-mini_individual,19712,444,16.861793518066406
7,chapter_all_gpt-4o-mini_individual,17504,462,11.135767936706543
36,chapter_all_gpt-4o-mini_individual,17414,305,10.807316064834595
22,chapter_all_gpt-4o-mini_individual,14798,270,7.867499113082886
34,chapter_all_gpt-4o-mini_individual,17708,198,7.65132999420166
20,chapter_all_gpt-4o-mini_individual,14270,325,8.305911779403687
5,chapter_all_gpt-4o-mini_individual,9302,459,10.688496112823486
4,chapter_all_gpt-4o-mini_individual,9590,231,6.532101154327393
21,chapter_all_gpt-4o-mini_individual,17066,472,13.731066465377808
35,chapter_all_gpt-4o-mini_individual,24758,272,9.384852886199951
38,chapter_all_gpt-4o-mini_individual,9302,190,6.842829465866089
10,chapter_all_gpt-4o-mini_individual,18986,311,9.855620622634888
9,chapter_all_gpt-4o-mini_individual,15386,373,9.905827045440674
8,chapter_all_gpt-4o-mini_individual,16958,320,9.285144805908203
11,chapter_all_gpt-4o-mini_individual,14174,300,10.314669132232666
39,chapter_all_gpt-4o-mini_individual,14336,441,12.056168794631958
13,chapter_all_gpt-4o-mini_individual,14984,359,9.803221464157104
12,chapter_all_gpt-4o-mini_individual,6524,331,9.304005861282349
16,chapter_all_gpt-4o-mini_individual,28574,371,10.02168321609497
17,chapter_all_gpt-4o-mini_individual,11504,415,10.012472152709961
15,chapter_all_gpt-4o-mini_individual,15086,439,13.694046974182129
29,chapter_all_gpt-4o-mini_individual,19892,374,9.629122018814087
28,chapter_all_gpt-4o-mini_individual,12422,264,8.58439326286316
14,chapter_all_gpt-4o-mini_individual,10190,326,9.258765935897827
58,chapter_all_gpt-4o-mini_individual,20498,336,10.259469509124756
59,chapter_all_gpt-4o-mini_individual,21092,326,9.181409120559692
61,chapter_all_gpt-4o-mini_individual,11360,572,11.13858938217163
49,chapter_all_gpt-4o-mini_individual,19220,338,10.82250690460205
48,chapter_all_gpt-4o-mini_individual,19334,415,11.712627649307251
60,chapter_all_gpt-4o-mini_individual,13874,383,13.853134155273438
