chapter,method,character,tag,count
52,chapter_individual_gpt-4o-mini_all,Mr. Darcy,N,9
52,chapter_individual_gpt-4o-mini_all,Mr. Darcy,A,6
52,chapter_individual_gpt-4o-mini_all,Mr. Darcy,C,4
52,chapter_individual_gpt-4o-mini_all,Mr. Darcy,I,8
52,chapter_individual_gpt-4o-mini_all,Mr. Darcy,DN,5
52,chapter_individual_gpt-4o-mini_all,Mr. Darcy,DC,5
52,chapter_individual_gpt-4o-mini_all,Lydia,N,8
52,chapter_individual_gpt-4o-mini_all,Lydia,A,3
52,chapter_individual_gpt-4o-mini_all,Lydia,C,1
52,chapter_individual_gpt-4o-mini_all,Lydia,I,2
52,chapter_individual_gpt-4o-mini_all,Lydia,DN,6
52,chapter_individual_gpt-4o-mini_all,Lydia,DC,6
52,chapter_individual_gpt-4o-mini_all,Mr. Bennet,N,4
52,chapter_individual_gpt-4o-mini_all,Mr. Bennet,A,0
52,chapter_individual_gpt-4o-mini_all,Mr. Bennet,C,0
52,chapter_individual_gpt-4o-mini_all,Mr. Bennet,I,0
52,chapter_individual_gpt-4o-mini_all,Mr. Bennet,DN,3
52,chapter_individual_gpt-4o-mini_all,Mr. Bennet,DC,1
52,chapter_individual_gpt-4o-mini_all,Mrs. Gardiner,N,1
52,chapter_individual_gpt-4o-mini_all,Mrs. Gardiner,A,0
52,chapter_individual_gpt-4o-mini_all,Mrs. Gardiner,C,1
52,chapter_individual_gpt-4o-mini_all,Mrs. Gardiner,I,0
52,chapter_individual_gpt-4o-mini_all,Mrs. Gardiner,DN,1
52,chapter_individual_gpt-4o-mini_all,Mrs. Gardiner,DC,1
52,chapter_individual_gpt-4o-mini_all,Jane,N,2
52,chapter_individual_gpt-4o-mini_all,Jane,A,0
52,chapter_individual_gpt-4o-mini_all,Jane,C,0
52,chapter_individual_gpt-4o-mini_all,Jane,I,0
52,chapter_individual_gpt-4o-mini_all,Jane,DN,1
52,chapter_individual_gpt-4o-mini_all,Jane,DC,1
52,chapter_individual_gpt-4o-mini_all,Elizabeth,N,27
52,chapter_individual_gpt-4o-mini_all,Elizabeth,A,17
52,chapter_individual_gpt-4o-mini_all,Elizabeth,C,9
52,chapter_individual_gpt-4o-mini_all,Elizabeth,I,13
52,chapter_individual_gpt-4o-mini_all,Elizabeth,DN,15
52,chapter_individual_gpt-4o-mini_all,Elizabeth,DC,5
52,chapter_individual_gpt-4o-mini_all,Mrs. Bennet,N,1
52,chapter_individual_gpt-4o-mini_all,Mrs. Bennet,A,0
52,chapter_individual_gpt-4o-mini_all,Mrs. Bennet,C,1
52,chapter_individual_gpt-4o-mini_all,Mrs. Bennet,I,0
52,chapter_individual_gpt-4o-mini_all,Mrs. Bennet,DN,1
52,chapter_individual_gpt-4o-mini_all,Mrs. Bennet,DC,1
52,chapter_individual_gpt-4o-mini_all,Wickham,N,11
52,chapter_individual_gpt-4o-mini_all,Wickham,A,0
52,chapter_individual_gpt-4o-mini_all,Wickham,C,4
52,chapter_individual_gpt-4o-mini_all,Wickham,I,2
52,chapter_individual_gpt-4o-mini_all,Wickham,DN,4
52,chapter_individual_gpt-4o-mini_all,Wickham,DC,8
52,chapter_individual_gpt-4o-mini_all,Miss Darcy,N,1
52,chapter_individual_gpt-4o-mini_all,Miss Darcy,A,0
52,chapter_individual_gpt-4o-mini_all,Miss Darcy,C,0
52,chapter_individual_gpt-4o-mini_all,Miss Darcy,I,0
52,chapter_individual_gpt-4o-mini_all,Miss Darcy,DN,1
52,chapter_individual_gpt-4o-mini_all,Miss Darcy,DC,0
52,chapter_individual_gpt-4o-mini_all,Colonel Fitzwilliam,N,0
52,chapter_individual_gpt-4o-mini_all,Colonel Fitzwilliam,A,0
52,chapter_individual_gpt-4o-mini_all,Colonel Fitzwilliam,C,0
52,chapter_individual_gpt-4o-mini_all,Colonel Fitzwilliam,I,0
52,chapter_individual_gpt-4o-mini_all,Colonel Fitzwilliam,DN,0
52,chapter_individual_gpt-4o-mini_all,Colonel Fitzwilliam,DC,0
52,chapter_individual_gpt-4o-mini_all,Mrs. Younge,N,2
52,chapter_individual_gpt-4o-mini_all,Mrs. Younge,A,0
52,chapter_individual_gpt-4o-mini_all,Mrs. Younge,C,0
52,chapter_individual_gpt-4o-mini_all,Mrs. Younge,I,0
52,chapter_individual_gpt-4o-mini_all,Mrs. Younge,DN,1
52,chapter_individual_gpt-4o-mini_all,Mrs. Younge,DC,3
52,chapter_individual_gpt-4o-mini_all,Mr. Gardiner,N,6
52,chapter_individual_gpt-4o-mini_all,Mr. Gardiner,A,0
52,chapter_individual_gpt-4o-mini_all,Mr. Gardiner,C,1
52,chapter_individual_gpt-4o-mini_all,Mr. Gardiner,I,0
52,chapter_individual_gpt-4o-mini_all,Mr. Gardiner,DN,4
52,chapter_individual_gpt-4o-mini_all,Mr. Gardiner,DC,2
46,chapter_individual_gpt-4o-mini_all,Mr. Denny,N,1
46,chapter_individual_gpt-4o-mini_all,Mr. Denny,A,0
46,chapter_individual_gpt-4o-mini_all,Mr. Denny,C,0
46,chapter_individual_gpt-4o-mini_all,Mr. Denny,I,0
46,chapter_individual_gpt-4o-mini_all,Mr. Denny,DN,1
46,chapter_individual_gpt-4o-mini_all,Mr. Denny,DC,1
46,chapter_individual_gpt-4o-mini_all,Mr. Darcy,N,9
46,chapter_individual_gpt-4o-mini_all,Mr. Darcy,A,5
46,chapter_individual_gpt-4o-mini_all,Mr. Darcy,C,5
46,chapter_individual_gpt-4o-mini_all,Mr. Darcy,I,9
46,chapter_individual_gpt-4o-mini_all,Mr. Darcy,DN,6
46,chapter_individual_gpt-4o-mini_all,Mr. Darcy,DC,1
46,chapter_individual_gpt-4o-mini_all,Lydia,N,6
46,chapter_individual_gpt-4o-mini_all,Lydia,A,0
46,chapter_individual_gpt-4o-mini_all,Lydia,C,3
46,chapter_individual_gpt-4o-mini_all,Lydia,I,4
46,chapter_individual_gpt-4o-mini_all,Lydia,DN,5
46,chapter_individual_gpt-4o-mini_all,Lydia,DC,3
46,chapter_individual_gpt-4o-mini_all,Colonel Forster,N,9
46,chapter_individual_gpt-4o-mini_all,Colonel Forster,A,0
46,chapter_individual_gpt-4o-mini_all,Colonel Forster,C,2
46,chapter_individual_gpt-4o-mini_all,Colonel Forster,I,2
46,chapter_individual_gpt-4o-mini_all,Colonel Forster,DN,5
46,chapter_individual_gpt-4o-mini_all,Colonel Forster,DC,4
46,chapter_individual_gpt-4o-mini_all,Mr. Bennet,N,0
46,chapter_individual_gpt-4o-mini_all,Mr. Bennet,A,0
46,chapter_individual_gpt-4o-mini_all,Mr. Bennet,C,0
46,chapter_individual_gpt-4o-mini_all,Mr. Bennet,I,0
46,chapter_individual_gpt-4o-mini_all,Mr. Bennet,DN,1
46,chapter_individual_gpt-4o-mini_all,Mr. Bennet,DC,0
46,chapter_individual_gpt-4o-mini_all,Mrs. Forster,N,3
46,chapter_individual_gpt-4o-mini_all,Mrs. Forster,A,0
46,chapter_individual_gpt-4o-mini_all,Mrs. Forster,C,1
46,chapter_individual_gpt-4o-mini_all,Mrs. Forster,I,1
46,chapter_individual_gpt-4o-mini_all,Mrs. Forster,DN,1
46,chapter_individual_gpt-4o-mini_all,Mrs. Forster,DC,1
