chapter,method,input_tokens,output_tokens,elapsed_time
52,chapter_individual_gpt-4o-mini_all,52738,569,18.43684697151184
46,chapter_individual_gpt-4o-mini_all,64557,826,26.920746326446533
47,chapter_individual_gpt-4o-mini_all,164226,1480,52.555415391922
53,chapter_individual_gpt-4o-mini_all,88578,1112,41.17154288291931
45,chapter_individual_gpt-4o-mini_all,23655,443,14.89565134048462
51,chapter_individual_gpt-4o-mini_all,36499,648,18.626214504241943
50,chapter_individual_gpt-4o-mini_all,41819,574,16.282954931259155
44,chapter_individual_gpt-4o-mini_all,26998,392,12.781274318695068
40,chapter_individual_gpt-4o-mini_all,22472,396,13.751344442367554
54,chapter_individual_gpt-4o-mini_all,36375,952,32.85717272758484
55,chapter_individual_gpt-4o-mini_all,78864,1509,44.31729578971863
41,chapter_individual_gpt-4o-mini_all,47094,700,23.921034336090088
57,chapter_individual_gpt-4o-mini_all,73081,1435,50.47219800949097
43,chapter_individual_gpt-4o-mini_all,60426,408,16.197096347808838
42,chapter_individual_gpt-4o-mini_all,49086,797,27.554094791412354
56,chapter_individual_gpt-4o-mini_all,51843,574,22.59298825263977
19,chapter_individual_gpt-4o-mini_all,14142,347,10.510327339172363
31,chapter_individual_gpt-4o-mini_all,11865,221,8.16372275352478
25,chapter_individual_gpt-4o-mini_all,33026,617,23.929917097091675
1,chapter_individual_gpt-4o-mini_all,14327,439,18.196418285369873
24,chapter_individual_gpt-4o-mini_all,42810,663,28.125181674957275
30,chapter_individual_gpt-4o-mini_all,15103,392,13.426353693008423
18,chapter_individual_gpt-4o-mini_all,121221,834,35.540273666381836
26,chapter_individual_gpt-4o-mini_all,68118,1210,35.704771995544434
32,chapter_individual_gpt-4o-mini_all,18288,521,14.126085042953491
3,chapter_individual_gpt-4o-mini_all,33847,695,21.447706699371338
2,chapter_individual_gpt-4o-mini_all,11436,558,15.951448440551758
33,chapter_individual_gpt-4o-mini_all,24799,401,11.83348298072815
27,chapter_individual_gpt-4o-mini_all,18149,476,45.63237380981445
23,chapter_individual_gpt-4o-mini_all,26977,563,15.936768293380737
37,chapter_individual_gpt-4o-mini_all,27718,617,18.168304920196533
6,chapter_individual_gpt-4o-mini_all,44038,569,20.547914028167725
7,chapter_individual_gpt-4o-mini_all,45041,906,25.369524240493774
36,chapter_individual_gpt-4o-mini_all,36073,570,20.988528728485107
22,chapter_individual_gpt-4o-mini_all,33494,725,23.247471809387207
34,chapter_individual_gpt-4o-mini_all,21476,389,14.629023313522339
20,chapter_individual_gpt-4o-mini_all,20009,387,12.577549934387207
5,chapter_individual_gpt-4o-mini_all,34582,1132,33.37624716758728
4,chapter_individual_gpt-4o-mini_all,10338,264,8.153889417648315
21,chapter_individual_gpt-4o-mini_all,41088,616,21.79083490371704
35,chapter_individual_gpt-4o-mini_all,38217,401,12.464754104614258
38,chapter_individual_gpt-4o-mini_all,13336,392,10.915324211120605
10,chapter_individual_gpt-4o-mini_all,35984,653,20.705469608306885
9,chapter_individual_gpt-4o-mini_all,32002,655,18.824069023132324
8,chapter_individual_gpt-4o-mini_all,23537,353,12.118923902511597
11,chapter_individual_gpt-4o-mini_all,22259,606,20.725375175476074
39,chapter_individual_gpt-4o-mini_all,42152,825,27.77820920944214
13,chapter_individual_gpt-4o-mini_all,28760,481,16.82341456413269
12,chapter_individual_gpt-4o-mini_all,13162,482,16.235832929611206
16,chapter_individual_gpt-4o-mini_all,116090,1232,39.63355779647827
17,chapter_individual_gpt-4o-mini_all,24142,537,16.08639359474182
15,chapter_individual_gpt-4o-mini_all,36539,618,24.16153836250305
29,chapter_individual_gpt-4o-mini_all,34249,481,15.696699619293213
28,chapter_individual_gpt-4o-mini_all,15343,307,12.293682098388672
14,chapter_individual_gpt-4o-mini_all,16307,442,12.559226274490356
58,chapter_individual_gpt-4o-mini_all,35259,442,15.6863112449646
59,chapter_individual_gpt-4o-mini_all,36258,890,25.212603330612183
61,chapter_individual_gpt-4o-mini_all,29817,660,20.08919906616211
49,chapter_individual_gpt-4o-mini_all,29908,555,16.305002689361572
48,chapter_individual_gpt-4o-mini_all,72268,1057,36.109872579574585
60,chapter_individual_gpt-4o-mini_all,33682,658,23.25241208076477
