chapter,method,character,tag,count
52,chapter_individual_gpt-4o-mini_individual,Mr. Darcy,N,6
52,chapter_individual_gpt-4o-mini_individual,Mr. Darcy,A,11
52,chapter_individual_gpt-4o-mini_individual,Mr. Darcy,C,14
52,chapter_individual_gpt-4o-mini_individual,Mr. Darcy,I,39
52,chapter_individual_gpt-4o-mini_individual,Mr. Darcy,DN,8
52,chapter_individual_gpt-4o-mini_individual,Mr. Darcy,DC,9
52,chapter_individual_gpt-4o-mini_individual,Lydia,N,5
52,chapter_individual_gpt-4o-mini_individual,Lydia,A,13
52,chapter_individual_gpt-4o-mini_individual,Lydia,C,20
52,chapter_individual_gpt-4o-mini_individual,Lydia,I,11
52,chapter_individual_gpt-4o-mini_individual,Lydia,DN,5
52,chapter_individual_gpt-4o-mini_individual,Lydia,DC,10
52,chapter_individual_gpt-4o-mini_individual,Mr. Bennet,N,2
52,chapter_individual_gpt-4o-mini_individual,Mr. Bennet,A,6
52,chapter_individual_gpt-4o-mini_individual,Mr. Bennet,C,1
52,chapter_individual_gpt-4o-mini_individual,Mr. Bennet,I,6
52,chapter_individual_gpt-4o-mini_individual,Mr. Bennet,DN,2
52,chapter_individual_gpt-4o-mini_individual,Mr. Bennet,DC,2
52,chapter_individual_gpt-4o-mini_individual,Mrs. Gardiner,N,2
52,chapter_individual_gpt-4o-mini_individual,Mrs. Gardiner,A,8
52,chapter_individual_gpt-4o-mini_individual,Mrs. Gardiner,C,1
52,chapter_individual_gpt-4o-mini_individual,Mrs. Gardiner,I,12
52,chapter_individual_gpt-4o-mini_individual,Mrs. Gardiner,DN,1
52,chapter_individual_gpt-4o-mini_individual,Mrs. Gardiner,DC,2
52,chapter_individual_gpt-4o-mini_individual,Jane,N,4
52,chapter_individual_gpt-4o-mini_individual,Jane,A,2
52,chapter_individual_gpt-4o-mini_individual,Jane,C,2
52,chapter_individual_gpt-4o-mini_individual,Jane,I,2
52,chapter_individual_gpt-4o-mini_individual,Jane,DN,1
52,chapter_individual_gpt-4o-mini_individual,Jane,DC,1
52,chapter_individual_gpt-4o-mini_individual,Elizabeth,N,6
52,chapter_individual_gpt-4o-mini_individual,Elizabeth,A,26
52,chapter_individual_gpt-4o-mini_individual,Elizabeth,C,9
52,chapter_individual_gpt-4o-mini_individual,Elizabeth,I,73
52,chapter_individual_gpt-4o-mini_individual,Elizabeth,DN,7
52,chapter_individual_gpt-4o-mini_individual,Elizabeth,DC,2
52,chapter_individual_gpt-4o-mini_individual,Mrs. Bennet,N,3
52,chapter_individual_gpt-4o-mini_individual,Mrs. Bennet,A,6
52,chapter_individual_gpt-4o-mini_individual,Mrs. Bennet,C,1
52,chapter_individual_gpt-4o-mini_individual,Mrs. Bennet,I,7
52,chapter_individual_gpt-4o-mini_individual,Mrs. Bennet,DN,1
52,chapter_individual_gpt-4o-mini_individual,Mrs. Bennet,DC,2
52,chapter_individual_gpt-4o-mini_individual,Wickham,N,8
52,chapter_individual_gpt-4o-mini_individual,Wickham,A,16
52,chapter_individual_gpt-4o-mini_individual,Wickham,C,14
52,chapter_individual_gpt-4o-mini_individual,Wickham,I,24
52,chapter_individual_gpt-4o-mini_individual,Wickham,DN,8
52,chapter_individual_gpt-4o-mini_individual,Wickham,DC,11
52,chapter_individual_gpt-4o-mini_individual,Miss Darcy,N,1
52,chapter_individual_gpt-4o-mini_individual,Miss Darcy,A,17
52,chapter_individual_gpt-4o-mini_individual,Miss Darcy,C,1
52,chapter_individual_gpt-4o-mini_individual,Miss Darcy,I,1
52,chapter_individual_gpt-4o-mini_individual,Miss Darcy,DN,1
52,chapter_individual_gpt-4o-mini_individual,Miss Darcy,DC,2
52,chapter_individual_gpt-4o-mini_individual,Colonel Fitzwilliam,N,0
52,chapter_individual_gpt-4o-mini_individual,Colonel Fitzwilliam,A,0
52,chapter_individual_gpt-4o-mini_individual,Colonel Fitzwilliam,C,0
52,chapter_individual_gpt-4o-mini_individual,Colonel Fitzwilliam,I,0
52,chapter_individual_gpt-4o-mini_individual,Colonel Fitzwilliam,DN,0
52,chapter_individual_gpt-4o-mini_individual,Colonel Fitzwilliam,DC,0
52,chapter_individual_gpt-4o-mini_individual,Mrs. Younge,N,3
52,chapter_individual_gpt-4o-mini_individual,Mrs. Younge,A,6
52,chapter_individual_gpt-4o-mini_individual,Mrs. Younge,C,1
52,chapter_individual_gpt-4o-mini_individual,Mrs. Younge,I,1
52,chapter_individual_gpt-4o-mini_individual,Mrs. Younge,DN,1
52,chapter_individual_gpt-4o-mini_individual,Mrs. Younge,DC,2
52,chapter_individual_gpt-4o-mini_individual,Mr. Gardiner,N,11
52,chapter_individual_gpt-4o-mini_individual,Mr. Gardiner,A,15
52,chapter_individual_gpt-4o-mini_individual,Mr. Gardiner,C,3
52,chapter_individual_gpt-4o-mini_individual,Mr. Gardiner,I,10
52,chapter_individual_gpt-4o-mini_individual,Mr. Gardiner,DN,6
52,chapter_individual_gpt-4o-mini_individual,Mr. Gardiner,DC,5
46,chapter_individual_gpt-4o-mini_individual,Mr. Denny,N,1
46,chapter_individual_gpt-4o-mini_individual,Mr. Denny,A,1
46,chapter_individual_gpt-4o-mini_individual,Mr. Denny,C,1
46,chapter_individual_gpt-4o-mini_individual,Mr. Denny,I,0
46,chapter_individual_gpt-4o-mini_individual,Mr. Denny,DN,1
46,chapter_individual_gpt-4o-mini_individual,Mr. Denny,DC,1
46,chapter_individual_gpt-4o-mini_individual,Mr. Darcy,N,8
46,chapter_individual_gpt-4o-mini_individual,Mr. Darcy,A,9
46,chapter_individual_gpt-4o-mini_individual,Mr. Darcy,C,5
46,chapter_individual_gpt-4o-mini_individual,Mr. Darcy,I,0
46,chapter_individual_gpt-4o-mini_individual,Mr. Darcy,DN,9
46,chapter_individual_gpt-4o-mini_individual,Mr. Darcy,DC,6
46,chapter_individual_gpt-4o-mini_individual,Lydia,N,7
46,chapter_individual_gpt-4o-mini_individual,Lydia,A,8
46,chapter_individual_gpt-4o-mini_individual,Lydia,C,8
46,chapter_individual_gpt-4o-mini_individual,Lydia,I,26
46,chapter_individual_gpt-4o-mini_individual,Lydia,DN,5
46,chapter_individual_gpt-4o-mini_individual,Lydia,DC,10
46,chapter_individual_gpt-4o-mini_individual,Colonel Forster,N,7
46,chapter_individual_gpt-4o-mini_individual,Colonel Forster,A,7
46,chapter_individual_gpt-4o-mini_individual,Colonel Forster,C,5
46,chapter_individual_gpt-4o-mini_individual,Colonel Forster,I,6
46,chapter_individual_gpt-4o-mini_individual,Colonel Forster,DN,6
46,chapter_individual_gpt-4o-mini_individual,Colonel Forster,DC,7
46,chapter_individual_gpt-4o-mini_individual,Mr. Bennet,N,1
46,chapter_individual_gpt-4o-mini_individual,Mr. Bennet,A,0
46,chapter_individual_gpt-4o-mini_individual,Mr. Bennet,C,0
46,chapter_individual_gpt-4o-mini_individual,Mr. Bennet,I,0
46,chapter_individual_gpt-4o-mini_individual,Mr. Bennet,DN,1
46,chapter_individual_gpt-4o-mini_individual,Mr. Bennet,DC,5
46,chapter_individual_gpt-4o-mini_individual,Mrs. Gardiner,N,5
46,chapter_individual_gpt-4o-mini_individual,Mrs. Gardiner,A,9
