chapter,method,input_tokens,output_tokens,elapsed_time
52,chapter_individual_gpt-4o-mini_individual,306012,947,66.1326973438263
46,chapter_individual_gpt-4o-mini_individual,349360,1045,73.69548058509827
47,chapter_individual_gpt-4o-mini_individual,595962,1582,107.38441705703735
53,chapter_individual_gpt-4o-mini_individual,684344,2978,172.36195516586304
45,chapter_individual_gpt-4o-mini_individual,134118,747,48.22877025604248
51,chapter_individual_gpt-4o-mini_individual,225968,1462,75.72888565063477
50,chapter_individual_gpt-4o-mini_individual,331812,1427,94.40211653709412
44,chapter_individual_gpt-4o-mini_individual,155044,648,42.2697594165802
40,chapter_individual_gpt-4o-mini_individual,155260,942,54.93890380859375
54,chapter_individual_gpt-4o-mini_individual,205224,1362,80.35713005065918
55,chapter_individual_gpt-4o-mini_individual,453232,2372,138.3773910999298
41,chapter_individual_gpt-4o-mini_individual,193130,984,59.93797612190247
57,chapter_individual_gpt-4o-mini_individual,342024,1823,134.79532957077026
43,chapter_individual_gpt-4o-mini_individual,354744,728,65.24259209632874
42,chapter_individual_gpt-4o-mini_individual,170404,784,75.40244269371033
56,chapter_individual_gpt-4o-mini_individual,230594,738,62.05659627914429
19,chapter_individual_gpt-4o-mini_individual,80512,463,31.101118564605716
31,chapter_individual_gpt-4o-mini_individual,66850,395,29.718639373779297
25,chapter_individual_gpt-4o-mini_individual,199290,1012,79.75173091888428
1,chapter_individual_gpt-4o-mini_individual,77282,678,48.05478429794312
24,chapter_individual_gpt-4o-mini_individual,243858,1169,73.97222828865051
30,chapter_individual_gpt-4o-mini_individual,83674,562,38.310622453689575
18,chapter_individual_gpt-4o-mini_individual,670646,1243,110.22784233093262
26,chapter_individual_gpt-4o-mini_individual,391348,1605,135.81147933006287
32,chapter_individual_gpt-4o-mini_individual,102784,596,40.0659019947052
3,chapter_individual_gpt-4o-mini_individual,191792,1236,65.88012599945068
2,chapter_individual_gpt-4o-mini_individual,61672,1084,47.69810128211975
33,chapter_individual_gpt-4o-mini_individual,140982,767,45.51323461532593
27,chapter_individual_gpt-4o-mini_individual,101082,681,40.36078381538391
23,chapter_individual_gpt-4o-mini_individual,152314,1071,55.79935050010681
37,chapter_individual_gpt-4o-mini_individual,178866,1328,75.87563347816467
6,chapter_individual_gpt-4o-mini_individual,252944,893,122.70450520515442
7,chapter_individual_gpt-4o-mini_individual,274382,1350,81.35913586616516
36,chapter_individual_gpt-4o-mini_individual,188854,963,55.02125144004822
22,chapter_individual_gpt-4o-mini_individual,218880,1159,71.56426525115967
34,chapter_individual_gpt-4o-mini_individual,122780,551,33.64112138748169
20,chapter_individual_gpt-4o-mini_individual,113110,896,42.61495780944824
5,chapter_individual_gpt-4o-mini_individual,126148,1230,63.68836736679077
4,chapter_individual_gpt-4o-mini_individual,56820,466,28.764740467071533
21,chapter_individual_gpt-4o-mini_individual,251148,1188,79.13714933395386
35,chapter_individual_gpt-4o-mini_individual,221478,612,50.746378660202026
38,chapter_individual_gpt-4o-mini_individual,63920,532,71.72404026985168
10,chapter_individual_gpt-4o-mini_individual,168828,689,106.86989545822144
9,chapter_individual_gpt-4o-mini_individual,166456,893,118.57795596122742
8,chapter_individual_gpt-4o-mini_individual,151068,716,97.55200576782227
11,chapter_individual_gpt-4o-mini_individual,97796,551,72.47077870368958
39,chapter_individual_gpt-4o-mini_individual,224150,1444,167.63991141319275
13,chapter_individual_gpt-4o-mini_individual,163012,761,148.87575912475586
12,chapter_individual_gpt-4o-mini_individual,69424,867,132.12688755989075
16,chapter_individual_gpt-4o-mini_individual,619400,1655,277.63693141937256
17,chapter_individual_gpt-4o-mini_individual,134436,1113,118.07942008972168
15,chapter_individual_gpt-4o-mini_individual,207082,1085,142.95972776412964
29,chapter_individual_gpt-4o-mini_individual,196814,714,107.84473085403442
28,chapter_individual_gpt-4o-mini_individual,85982,577,71.285320520401
14,chapter_individual_gpt-4o-mini_individual,100040,980,97.41497039794922
58,chapter_individual_gpt-4o-mini_individual,202874,749,106.99151730537415
59,chapter_individual_gpt-4o-mini_individual,229762,1065,129.83856081962585
61,chapter_individual_gpt-4o-mini_individual,154828,998,135.7428069114685
49,chapter_individual_gpt-4o-mini_individual,171636,713,92.6169204711914
48,chapter_individual_gpt-4o-mini_individual,339150,1544,196.42339491844177
60,chapter_individual_gpt-4o-mini_individual,189946,1051,145.407372713089
