chapter,method,character,tag,count
52,span-based,Elizabeth,N,9
52,span-based,Elizabeth,A,4
52,span-based,Elizabeth,C,10
52,span-based,Elizabeth,I,10
52,span-based,Elizabeth,DN,0
52,span-based,Elizabeth,DC,28
52,span-based,Mr. Bennet,N,1
52,span-based,Mr. Bennet,A,0
52,span-based,Mr. Bennet,C,0
52,span-based,Mr. Bennet,I,0
52,span-based,Mr. Bennet,DN,0
52,span-based,Mr. Bennet,DC,5
52,span-based,Mrs. Younge,N,2
52,span-based,Mrs. Younge,A,0
52,span-based,Mrs. Younge,C,0
52,span-based,Mrs. Younge,I,0
52,span-based,Mrs. Younge,DN,1
52,span-based,Mrs. Younge,DC,7
52,span-based,Jane,N,3
52,span-based,Jane,A,0
52,span-based,Jane,C,0
52,span-based,Jane,I,0
52,span-based,Jane,DN,0
52,span-based,Jane,DC,4
52,span-based,Colonel Fitzwilliam,N,0
52,span-based,Colonel Fitzwilliam,A,0
52,span-based,Colonel Fitzwilliam,C,0
52,span-based,Colonel Fitzwilliam,I,0
52,span-based,Colonel Fitzwilliam,DN,0
52,span-based,Colonel Fitzwilliam,DC,1
52,span-based,Mrs. Gardiner,N,1
52,span-based,Mrs. Gardiner,A,0
52,span-based,Mrs. Gardiner,C,0
52,span-based,Mrs. Gardiner,I,2
52,span-based,Mrs. Gardiner,DN,0
52,span-based,Mrs. Gardiner,DC,1
52,span-based,Lydia,N,8
52,span-based,Lydia,A,2
52,span-based,Lydia,C,0
52,span-based,Lydia,I,1
52,span-based,Lydia,DN,1
52,span-based,Lydia,DC,15
52,span-based,Mr. Gardiner,N,2
52,span-based,Mr. Gardiner,A,2
52,span-based,Mr. Gardiner,C,7
52,span-based,Mr. Gardiner,I,0
52,span-based,Mr. Gardiner,DN,0
52,span-based,Mr. Gardiner,DC,2
52,span-based,Mr. Darcy,N,7
52,span-based,Mr. Darcy,A,6
52,span-based,Mr. Darcy,C,0
52,span-based,Mr. Darcy,I,2
52,span-based,Mr. Darcy,DN,1
52,span-based,Mr. Darcy,DC,40
52,span-based,Wickham,N,16
52,span-based,Wickham,A,3
52,span-based,Wickham,C,18
52,span-based,Wickham,I,0
52,span-based,Wickham,DN,1
52,span-based,Wickham,DC,21
52,span-based,Miss Darcy,N,0
52,span-based,Miss Darcy,A,0
52,span-based,Miss Darcy,C,0
52,span-based,Miss Darcy,I,0
52,span-based,Miss Darcy,DN,0
52,span-based,Miss Darcy,DC,9
52,span-based,Mrs. Bennet,N,1
52,span-based,Mrs. Bennet,A,0
52,span-based,Mrs. Bennet,C,0
52,span-based,Mrs. Bennet,I,0
52,span-based,Mrs. Bennet,DN,0
52,span-based,Mrs. Bennet,DC,1
46,span-based,Elizabeth,N,17
46,span-based,Elizabeth,A,9
46,span-based,Elizabeth,C,10
46,span-based,Elizabeth,I,16
46,span-based,Elizabeth,DN,2
46,span-based,Elizabeth,DC,18
46,span-based,Mr. Bennet,N,0
46,span-based,Mr. Bennet,A,0
