chapter,method,text,character
52,chapter_all_gpt-4o-mini_individual,hurrying into the little copse,Elizabeth
52,chapter_all_gpt-4o-mini_individual,sat down on one of the benches,Elizabeth
52,chapter_all_gpt-4o-mini_individual,read over her aunt’s commendation,Elizabeth
52,chapter_all_gpt-4o-mini_individual,was roused from her seat,Elizabeth
52,chapter_all_gpt-4o-mini_individual,came to us,Lydia
52,chapter_all_gpt-4o-mini_individual,had constant admission to the house,Lydia
52,chapter_all_gpt-4o-mini_individual,called in Gracechurch Street,Mr. Gardiner
52,chapter_all_gpt-4o-mini_individual,was forced to yield,Mr. Gardiner
52,chapter_all_gpt-4o-mini_individual,came to town,Mr. Darcy
52,chapter_all_gpt-4o-mini_individual,followed them purposely to town,Mr. Darcy
52,chapter_all_gpt-4o-mini_individual,saw Wickham,Mr. Darcy
52,chapter_all_gpt-4o-mini_individual,insisted on seeing Lydia,Mr. Darcy
52,chapter_all_gpt-4o-mini_individual,called in Gracechurch Street,Mr. Darcy
52,chapter_all_gpt-4o-mini_individual,came again,Mr. Darcy
52,chapter_all_gpt-4o-mini_individual,joined her,Wickham
52,chapter_all_gpt-4o-mini_individual,biting his lips,Wickham
52,chapter_all_gpt-4o-mini_individual,kissing her hand,Wickham
46,chapter_all_gpt-4o-mini_individual,seized the other letter,Elizabeth
46,chapter_all_gpt-4o-mini_individual,darting from her seat,Elizabeth
46,chapter_all_gpt-4o-mini_individual,reached the door,Elizabeth
46,chapter_all_gpt-4o-mini_individual,sat down,Elizabeth
46,chapter_all_gpt-4o-mini_individual,burst into tears,Elizabeth
46,chapter_all_gpt-4o-mini_individual,covered her face with her handkerchief,Elizabeth
46,chapter_all_gpt-4o-mini_individual,was soon lost to everything else,Elizabeth
46,chapter_all_gpt-4o-mini_individual,threw a retrospective glance,Elizabeth
46,chapter_all_gpt-4o-mini_individual,found herself seated in the carriage,Elizabeth
46,chapter_all_gpt-4o-mini_individual,ran into her room to prepare,Mrs. Gardiner
46,chapter_all_gpt-4o-mini_individual,hurried back in alarm,Mr. Gardiner
46,chapter_all_gpt-4o-mini_individual,promised every assistance in his power,Mr. Gardiner
46,chapter_all_gpt-4o-mini_individual,settled his account at the inn,Mr. Gardiner
46,chapter_all_gpt-4o-mini_individual,appeared,Mr. Darcy
46,chapter_all_gpt-4o-mini_individual,shook his head,Mr. Darcy
46,chapter_all_gpt-4o-mini_individual,was walking up and down the room,Mr. Darcy
47,chapter_all_gpt-4o-mini_individual,jumped out,Elizabeth
47,chapter_all_gpt-4o-mini_individual,hurried into the vestibule,Elizabeth
47,chapter_all_gpt-4o-mini_individual,embraced Jane,Elizabeth
47,chapter_all_gpt-4o-mini_individual,lost not a moment in asking whether anything had been heard of the fugitives,Elizabeth
47,chapter_all_gpt-4o-mini_individual,lifted up her eyes in amazement,Elizabeth
47,chapter_all_gpt-4o-mini_individual,availed herself of the opportunity of making any inquiries,Elizabeth
47,chapter_all_gpt-4o-mini_individual,inquired into the measures which her father had intended to pursue,Elizabeth
47,chapter_all_gpt-4o-mini_individual,walked here on Wednesday morning to condole with us,Lady Lucas
47,chapter_all_gpt-4o-mini_individual,"offered her services, or any of her daughters, if they could be of use to us",Lady Lucas
47,chapter_all_gpt-4o-mini_individual,gone away,Mr. Bennet
47,chapter_all_gpt-4o-mini_individual,came running downstairs from her mother’s apartment,Jane
47,chapter_all_gpt-4o-mini_individual,assured Elizabeth of her being perfectly well,Jane
47,chapter_all_gpt-4o-mini_individual,took the letter from her pocket-book,Jane
47,chapter_all_gpt-4o-mini_individual,came from her toilette,Kitty
47,chapter_all_gpt-4o-mini_individual,came to Longbourn on Tuesday,Mrs. Philips
47,chapter_all_gpt-4o-mini_individual,drove from the town,Mrs. Gardiner
47,chapter_all_gpt-4o-mini_individual,whispered to Elizabeth,Mary
47,chapter_all_gpt-4o-mini_individual,continued to console herself with moral extractions,Mary
47,chapter_all_gpt-4o-mini_individual,went to Gretna Green,Lydia
47,chapter_all_gpt-4o-mini_individual,meant to be in London the very next day,Mr. Gardiner
47,chapter_all_gpt-4o-mini_individual,assured Mrs. Bennet of his earnest endeavours,Mr. Gardiner
47,chapter_all_gpt-4o-mini_individual,received them with tears and lamentations of regret,Mrs. Bennet
47,chapter_all_gpt-4o-mini_individual,blaming everybody but the person to whose ill-judging indulgence the errors of her daughter must be principally owing,Mrs. Bennet
53,chapter_all_gpt-4o-mini_individual,looked,Elizabeth
53,chapter_all_gpt-4o-mini_individual,sat down,Elizabeth
53,chapter_all_gpt-4o-mini_individual,looked,Elizabeth
53,chapter_all_gpt-4o-mini_individual,raised her eyes,Elizabeth
53,chapter_all_gpt-4o-mini_individual,inquired after his sister,Elizabeth
53,chapter_all_gpt-4o-mini_individual,sat down again,Elizabeth
53,chapter_all_gpt-4o-mini_individual,looked,Mr. Darcy
53,chapter_all_gpt-4o-mini_individual,inquired,Mr. Darcy
53,chapter_all_gpt-4o-mini_individual,observed,Mr. Bennet
53,chapter_all_gpt-4o-mini_individual,defied,Mr. Bennet
53,chapter_all_gpt-4o-mini_individual,counted the days,Mr. Bennet
53,chapter_all_gpt-4o-mini_individual,kept her place,Jane
53,chapter_all_gpt-4o-mini_individual,looked,Jane
53,chapter_all_gpt-4o-mini_individual,received them,Jane
53,chapter_all_gpt-4o-mini_individual,increased her colour,Jane
53,chapter_all_gpt-4o-mini_individual,called,Kitty
53,chapter_all_gpt-4o-mini_individual,looked,Kitty
53,chapter_all_gpt-4o-mini_individual,asked,Kitty
53,chapter_all_gpt-4o-mini_individual,arrived,Mr. Bingley
53,chapter_all_gpt-4o-mini_individual,agreed,Mr. Bingley
53,chapter_all_gpt-4o-mini_individual,brought,Mrs. Philips
53,chapter_all_gpt-4o-mini_individual,talked,Mrs. Philips
53,chapter_all_gpt-4o-mini_individual,cried,Lydia
53,chapter_all_gpt-4o-mini_individual,left,Lydia
53,chapter_all_gpt-4o-mini_individual,smiled,Wickham
53,chapter_all_gpt-4o-mini_individual,looked handsome,Wickham
53,chapter_all_gpt-4o-mini_individual,said pretty things,Wickham
53,chapter_all_gpt-4o-mini_individual,looked,Mrs. Bennet
53,chapter_all_gpt-4o-mini_individual,smiled,Mrs. Bennet
53,chapter_all_gpt-4o-mini_individual,shook her head,Mrs. Bennet
53,chapter_all_gpt-4o-mini_individual,cooked,Mrs. Bennet
53,chapter_all_gpt-4o-mini_individual,begged,Mrs. Bennet
53,chapter_all_gpt-4o-mini_individual,invited,Mrs. Bennet
45,chapter_all_gpt-4o-mini_individual,saw that she was herself closely watched by Miss Bingley,Elizabeth
45,chapter_all_gpt-4o-mini_individual,was roused by receiving from her a cold inquiry after the health of her family,Elizabeth
45,chapter_all_gpt-4o-mini_individual,answered with equal indifference and brevity,Elizabeth
45,chapter_all_gpt-4o-mini_individual,had a fair opportunity of deciding whether she most feared or wished for the appearance of Mr. Darcy,Elizabeth
45,chapter_all_gpt-4o-mini_individual,exerting herself vigorously to repel the ill-natured attack,Elizabeth
45,chapter_all_gpt-4o-mini_individual,spoke,Elizabeth
45,chapter_all_gpt-4o-mini_individual,glanced at Darcy,Elizabeth
45,chapter_all_gpt-4o-mini_individual,resolved to be perfectly easy and unembarrassed,Elizabeth
45,chapter_all_gpt-4o-mini_individual,noted only by a courtesy,Miss Bingley
