chapter,method,character,mention
52,chapter_all_gpt-4o-mini_individual,Mrs. Younge,"a lady, it seems, a Mrs. Younge, who was some time ago governess to Miss Darcy, and was dismissed from her charge on some cause of disapprobation, though he did not say what."
52,chapter_all_gpt-4o-mini_individual,Lydia,I would not tell you how little I was satisfied with her behaviour while she stayed with us.
52,chapter_all_gpt-4o-mini_individual,Mr. Darcy,"His behaviour to us has, in every respect, been as pleasing as when we were in Derbyshire."
52,chapter_all_gpt-4o-mini_individual,Wickham,He was exactly what he had been when I knew him in Hertfordshire.
46,chapter_all_gpt-4o-mini_individual,Elizabeth,Her pale face and impetuous manner made him start
46,chapter_all_gpt-4o-mini_individual,Elizabeth,"looking so miserably ill, that it was impossible for Darcy to leave her"
46,chapter_all_gpt-4o-mini_individual,Mr. Darcy,Darcy was fixed in astonishment
46,chapter_all_gpt-4o-mini_individual,Mr. Darcy,Darcy shook his head in silent acquiescence
46,chapter_all_gpt-4o-mini_individual,Mr. Darcy,"his brow contracted, his air gloomy"
47,chapter_all_gpt-4o-mini_individual,Elizabeth,brightening up for a moment
47,chapter_all_gpt-4o-mini_individual,Elizabeth,with tears in her eyes
47,chapter_all_gpt-4o-mini_individual,Jane,you look pale. How much you must have gone through!
47,chapter_all_gpt-4o-mini_individual,Jane,"Her sister, however, assured her of her being perfectly well"
47,chapter_all_gpt-4o-mini_individual,Mr. Gardiner,his behaviour was attentive and kind to the utmost
47,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,"with tears and lamentations of regret, invectives against the villainous conduct of Wickham, and complaints of her own sufferings and ill-usage"
53,chapter_all_gpt-4o-mini_individual,Mr. Darcy,"He looked serious as usual; and, she thought, more as he had been used to look in Hertfordshire, than as she had seen him at Pemberley."
53,chapter_all_gpt-4o-mini_individual,Jane,"She looked a little paler than usual, but more sedate than Elizabeth had expected."
53,chapter_all_gpt-4o-mini_individual,Mr. Bingley,He was received by Mrs. Bennet with a degree of civility which made her two daughters ashamed.
53,chapter_all_gpt-4o-mini_individual,Wickham,"He smiled, looked handsome, and said many pretty things."
53,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,"She looked at Jane, and smiled, and shook her head, by turns."
45,chapter_all_gpt-4o-mini_individual,Elizabeth,"how very ill Eliza Bennet looks this morning, Mr. Darcy"
45,chapter_all_gpt-4o-mini_individual,Miss Bingley,"on their being seated, a pause, awkward as such pauses must always be, succeeded for a few moments."
45,chapter_all_gpt-4o-mini_individual,Miss Bingley,"In no countenance was attentive curiosity so strongly marked as in Miss Bingley’s, in spite of the smiles which overspread her face whenever she spoke to one of its objects."
45,chapter_all_gpt-4o-mini_individual,Miss Bingley,"Miss Bingley, vexed and disappointed, dared not approach nearer to Wickham."
45,chapter_all_gpt-4o-mini_individual,Miss Bingley,"she had merely intended to discompose Elizabeth, by bringing forward the idea of a man to whom she believed her partial, to make her betray a sensibility which might injure her in Darcy’s opinion"
45,chapter_all_gpt-4o-mini_individual,Miss Darcy,"Georgiana’s reception of them was very civil, but attended with all that embarrassment which, though proceeding from shyness and the fear of doing wrong, would easily give to those who felt themselves inferior the belief of her being proud and reserved."
45,chapter_all_gpt-4o-mini_individual,Mrs. Hurst,By Mrs. Hurst and Miss Bingley they were noticed only by a courtesy.
45,chapter_all_gpt-4o-mini_individual,Mr. Darcy,In Darcy’s presence she dared not mention Wickham’s name.
45,chapter_all_gpt-4o-mini_individual,Mr. Darcy,"He had certainly formed such a plan; and without meaning that it should affect his endeavour to separate him from Miss Bennet, it is probable that it might add something to his lively concern for the welfare of his friend."
45,chapter_all_gpt-4o-mini_individual,Mr. Darcy,"However little Mr. Darcy might have liked such an address, he contented himself with coolly replying, that he perceived no other alteration than her being rather tanned."
45,chapter_all_gpt-4o-mini_individual,Mr. Darcy,"He was resolutely silent, however; and, from a determination of making him speak, she continued."
45,chapter_all_gpt-4o-mini_individual,Mrs. Annesley,"a genteel, agreeable-looking woman, whose endeavour to introduce some kind of discourse proved her to be more truly well-bred than either of the others"
45,chapter_all_gpt-4o-mini_individual,Mr. Gardiner,He had been some time with Mr. Gardiner
51,chapter_all_gpt-4o-mini_individual,Elizabeth,"Elizabeth was disgusted, and even Miss Bennet was shocked."
51,chapter_all_gpt-4o-mini_individual,Elizabeth,"She sat down, resolving within herself to draw no limits in future to the impudence of an impudent man."
51,chapter_all_gpt-4o-mini_individual,Elizabeth,Elizabeth could bear it no longer.
51,chapter_all_gpt-4o-mini_individual,Mr. Bennet,His countenance rather gained in austerity; and he scarcely opened his lips.
51,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,Smiles decked the face of Mrs. Bennet.
51,chapter_all_gpt-4o-mini_individual,Lydia,"Lydia was Lydia still; untamed, unabashed, wild, noisy, and fearless."
51,chapter_all_gpt-4o-mini_individual,Lydia,"Lydia, with anxious parade, walk up to her mother’s right hand."
51,chapter_all_gpt-4o-mini_individual,Wickham,his manners were always so pleasing.
51,chapter_all_gpt-4o-mini_individual,Jane,Jane was distressed.
50,chapter_all_gpt-4o-mini_individual,Mr. Bennet,He was seriously concerned that a cause of so little advantage to anyone should be forwarded at the sole expense of his brother-in-law.
50,chapter_all_gpt-4o-mini_individual,Mr. Bennet,"He had never before supposed that, could Wickham be prevailed on to marry his daughter, it would be done with so little inconvenience to himself as by the present arrangement."
50,chapter_all_gpt-4o-mini_individual,Mr. Bennet,He was quick in its execution.
50,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,"The marriage of a daughter, which had been the first object of her wishes since Jane was sixteen, was now on the point of accomplishment, and her thoughts and her words ran wholly on those attendants of elegant nuptials, fine muslins, new carriages, and servants."
50,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,She was busily searching through the neighbourhood for a proper situation for her daughter.
50,chapter_all_gpt-4o-mini_individual,Elizabeth,"Elizabeth was now most heartily sorry that she had, from the distress of the moment, been led to make Mr. Darcy acquainted with their fears for her sister."
50,chapter_all_gpt-4o-mini_individual,Elizabeth,"She was humbled, she was grieved; she repented, though she hardly knew of what."
50,chapter_all_gpt-4o-mini_individual,Elizabeth,"She wanted to hear of him, when there seemed the least chance of gaining intelligence."
50,chapter_all_gpt-4o-mini_individual,Elizabeth,"She began now to comprehend that he was exactly the man who, in disposition and talents, would most suit her."
50,chapter_all_gpt-4o-mini_individual,Elizabeth,"It was an union that must have been to the advantage of both: by her ease and liveliness, his mind might have been softened, his manners improved."
50,chapter_all_gpt-4o-mini_individual,Wickham,"How little of permanent happiness could belong to a couple who were only brought together because their passions were stronger than their virtue, she could easily conjecture."
44,chapter_all_gpt-4o-mini_individual,Miss Darcy,"Miss Darcy was tall, and on a larger scale than Elizabeth; and, though little more than sixteen, her figure was formed, and her appearance womanly and graceful."
44,chapter_all_gpt-4o-mini_individual,Miss Darcy,"She was less handsome than her brother, but there was sense and good-humour in her face, and her manners were perfectly unassuming and gentle."
44,chapter_all_gpt-4o-mini_individual,Mr. Darcy,"whenever she did catch a glimpse she saw an expression of general complaisance, and in all that he said, she heard an accent so far removed from hauteur or disdain of his companions, as convinced her that the improvement of manners which she had yesterday witnessed, however temporary its existence might prove, had at least outlived one day."
44,chapter_all_gpt-4o-mini_individual,Mr. Darcy,"When she saw him thus seeking the acquaintance, and courting the good opinion of people with whom any intercourse a few months ago would have been a disgrace; when she saw him thus civil, not only to herself, but to the very relations whom he had openly disdained, and recollected their last lively scene in Hunsford Parsonage, the difference, the change was so great, and struck so forcibly on her mind, that she could hardly restrain her astonishment from being visible."
44,chapter_all_gpt-4o-mini_individual,Mr. Darcy,"Never, even in the company of his dear friends at Netherfield, or his dignified relations at Rosings, had she seen him so desirous to please, so free from self-consequence or unbending reserve, as now, when no importance could result from the success of his endeavours."
40,chapter_all_gpt-4o-mini_individual,Mr. Darcy,I never thought Mr. Darcy so deficient in the appearance of it as you used to do.
54,chapter_all_gpt-4o-mini_individual,Elizabeth,her spirits
54,chapter_all_gpt-4o-mini_individual,Elizabeth,was in no cheerful humour
