chapter,method,text,character,count
52,chapter_all_gpt-4o-mini_individual,Elizabeth,Elizabeth,5
52,chapter_all_gpt-4o-mini_individual,Lizzy,Elizabeth,4
52,chapter_all_gpt-4o-mini_individual,Mr. Bennet,Mr. Bennet,1
52,chapter_all_gpt-4o-mini_individual,Mrs. Younge,Mrs. Younge,2
52,chapter_all_gpt-4o-mini_individual,Jane,Jane,3
52,chapter_all_gpt-4o-mini_individual,Mrs. Gardiner,Mrs. Gardiner,0
52,chapter_all_gpt-4o-mini_individual,M. Gardiner,Mrs. Gardiner,1
52,chapter_all_gpt-4o-mini_individual,Lydia,Lydia,8
52,chapter_all_gpt-4o-mini_individual,Mr. Gardiner,Mr. Gardiner,2
52,chapter_all_gpt-4o-mini_individual,Mr. Darcy,Mr. Darcy,7
52,chapter_all_gpt-4o-mini_individual,Wickham,Wickham,16
52,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,Mrs. Bennet,1
46,chapter_all_gpt-4o-mini_individual,Elizabeth,Elizabeth,12
46,chapter_all_gpt-4o-mini_individual,Lizzy,Elizabeth,5
46,chapter_all_gpt-4o-mini_individual,Mr. Bennet,Mr. Bennet,0
46,chapter_all_gpt-4o-mini_individual,Jane,Jane,7
46,chapter_all_gpt-4o-mini_individual,Colonel Fitzwilliam,Colonel Fitzwilliam,0
46,chapter_all_gpt-4o-mini_individual,Colonel F.,Colonel Fitzwilliam,3
46,chapter_all_gpt-4o-mini_individual,Kitty,Kitty,2
46,chapter_all_gpt-4o-mini_individual,Mrs. Gardiner,Mrs. Gardiner,4
46,chapter_all_gpt-4o-mini_individual,Colonel Forster,Colonel Forster,5
46,chapter_all_gpt-4o-mini_individual,Colonel F.,Colonel Forster,3
46,chapter_all_gpt-4o-mini_individual,Lydia,Lydia,16
46,chapter_all_gpt-4o-mini_individual,Mr. Gardiner,Mr. Gardiner,3
46,chapter_all_gpt-4o-mini_individual,Mr. Darcy,Mr. Darcy,2
46,chapter_all_gpt-4o-mini_individual,Mr. Wickham,Wickham,2
46,chapter_all_gpt-4o-mini_individual,Miss Darcy,Miss Darcy,1
46,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,Mrs. Bennet,0
47,chapter_all_gpt-4o-mini_individual,Elizabeth,Elizabeth,19
47,chapter_all_gpt-4o-mini_individual,Lizzie,Elizabeth,1
47,chapter_all_gpt-4o-mini_individual,Lady Lucas,Lady Lucas,1
47,chapter_all_gpt-4o-mini_individual,Mr. Bennet,Mr. Bennet,3
47,chapter_all_gpt-4o-mini_individual,Jane,Jane,16
47,chapter_all_gpt-4o-mini_individual,Colonel Fitzwilliam,Colonel Fitzwilliam,1
47,chapter_all_gpt-4o-mini_individual,Kitty,Kitty,6
47,chapter_all_gpt-4o-mini_individual,Mrs. Philips,Mrs. Philips,0
