chapter,method,input_tokens,output_tokens,elapsed_time
52,chapter_all_gpt-4o-mini_individual,216903.0,6059.0,197.6779408454895
46,chapter_all_gpt-4o-mini_individual,157828.0,5232.0,146.4449119567871
47,chapter_all_gpt-4o-mini_individual,509603.0,8540.0,317.3391034603119
53,chapter_all_gpt-4o-mini_individual,254005.0,4873.0,188.223308801651
45,chapter_all_gpt-4o-mini_individual,36642.0,2358.0,59.97735953330994
51,chapter_all_gpt-4o-mini_individual,126929.0,3688.0,126.97136759757996
50,chapter_all_gpt-4o-mini_individual,45663.0,2302.0,67.61162209510803
44,chapter_all_gpt-4o-mini_individual,20416.0,1375.0,27.98810315132141
40,chapter_all_gpt-4o-mini_individual,124253.0,4203.0,134.2172725200653
54,chapter_all_gpt-4o-mini_individual,86306.0,3058.0,95.9836003780365
55,chapter_all_gpt-4o-mini_individual,171518.0,3622.0,116.51448011398315
41,chapter_all_gpt-4o-mini_individual,141759.0,3788.0,108.74549174308777
57,chapter_all_gpt-4o-mini_individual,64483.0,3201.0,83.80472874641418
43,chapter_all_gpt-4o-mini_individual,466807.0,4537.0,147.2667727470398
42,chapter_all_gpt-4o-mini_individual,35611.0,1464.0,38.94696092605591
56,chapter_all_gpt-4o-mini_individual,332593.0,9420.0,326.6229317188263
19,chapter_all_gpt-4o-mini_individual,103201.0,4114.0,119.79608654975891
31,chapter_all_gpt-4o-mini_individual,98329.0,3479.0,117.1415765285492
25,chapter_all_gpt-4o-mini_individual,56466.0,2363.0,74.78705143928528
1,chapter_all_gpt-4o-mini_individual,64762.0,3212.0,109.74399995803833
24,chapter_all_gpt-4o-mini_individual,120925.0,4318.0,167.9012806415558
30,chapter_all_gpt-4o-mini_individual,12181.0,1020.0,20.830780029296875
18,chapter_all_gpt-4o-mini_individual,596253.0,7036.0,228.46620345115662
26,chapter_all_gpt-4o-mini_individual,127504.0,4370.0,126.84232258796692
32,chapter_all_gpt-4o-mini_individual,71142.0,2117.0,67.8050127029419
3,chapter_all_gpt-4o-mini_individual,73094.0,2999.0,74.74944424629211
2,chapter_all_gpt-4o-mini_individual,63404.0,2369.0,71.94930481910706
33,chapter_all_gpt-4o-mini_individual,155173.0,3546.0,115.39938187599182
27,chapter_all_gpt-4o-mini_individual,57415.0,2320.0,64.13634920120239
23,chapter_all_gpt-4o-mini_individual,38193.0,2292.0,76.54763317108154
37,chapter_all_gpt-4o-mini_individual,48224.0,2651.0,74.11880302429199
6,chapter_all_gpt-4o-mini_individual,213729.0,4439.0,138.87640357017517
7,chapter_all_gpt-4o-mini_individual,172232.0,4223.0,174.57615613937378
36,chapter_all_gpt-4o-mini_individual,24331.0,1050.0,26.943230867385864
22,chapter_all_gpt-4o-mini_individual,55420.0,2265.0,50.87825655937195
34,chapter_all_gpt-4o-mini_individual,98552.0,3398.0,96.01691198348999
20,chapter_all_gpt-4o-mini_individual,112434.0,3876.0,132.2012300491333
5,chapter_all_gpt-4o-mini_individual,71788.0,2747.0,129.1839518547058
4,chapter_all_gpt-4o-mini_individual,31588.0,1714.0,63.72724723815918
21,chapter_all_gpt-4o-mini_individual,115495.0,3956.0,124.30650568008423
35,chapter_all_gpt-4o-mini_individual,74363.0,5772.0,170.95677661895752
38,chapter_all_gpt-4o-mini_individual,32584.0,1756.0,49.0027494430542
10,chapter_all_gpt-4o-mini_individual,249808.0,5500.0,175.41086888313293
9,chapter_all_gpt-4o-mini_individual,152736.0,4321.0,134.42026114463806
8,chapter_all_gpt-4o-mini_individual,237334.0,4444.0,192.3665416240692
11,chapter_all_gpt-4o-mini_individual,126009.0,3642.0,124.3703088760376
39,chapter_all_gpt-4o-mini_individual,89539.0,3775.0,150.6347541809082
13,chapter_all_gpt-4o-mini_individual,119769.0,3973.0,116.44561862945557
12,chapter_all_gpt-4o-mini_individual,4166.0,1009.0,17.695630073547363
16,chapter_all_gpt-4o-mini_individual,371643.0,6507.0,193.44111490249634
17,chapter_all_gpt-4o-mini_individual,37189.0,1980.0,49.195570945739746
15,chapter_all_gpt-4o-mini_individual,16089.0,1425.0,32.08977913856506
29,chapter_all_gpt-4o-mini_individual,137748.0,4562.0,129.46596240997314
28,chapter_all_gpt-4o-mini_individual,44426.0,1983.0,61.85294723510742
14,chapter_all_gpt-4o-mini_individual,47706.0,2221.0,68.79691863059998
58,chapter_all_gpt-4o-mini_individual,208961.0,5082.0,176.62742614746094
59,chapter_all_gpt-4o-mini_individual,211370.0,6190.0,209.22052383422852
61,chapter_all_gpt-4o-mini_individual,15699.0,1896.0,40.68430972099304
49,chapter_all_gpt-4o-mini_individual,262945.0,6021.0,207.882230758667
48,chapter_all_gpt-4o-mini_individual,109260.0,3269.0,98.52602195739746
60,chapter_all_gpt-4o-mini_individual,89780.0,4336.0,125.79562664031982
