chapter,method,character,tag,count
1,booknlp,Elizabeth,N,2
1,booknlp,Jane,N,1
1,booknlp,Mr. Darcy,N,0
1,booknlp,Mrs. Bennet,N,0
1,booknlp,Mr. Bingley,N,4
1,booknlp,Mr. Bennet,N,6
1,booknlp,Wickham,N,0
1,booknlp,Lydia,N,1
1,booknlp,Charlotte Lucas,N,0
1,booknlp,Mr. Collins,N,0
1,booknlp,Kitty,N,0
1,booknlp,Lady Catherine de Bourgh,N,0
1,booknlp,Miss Bingley,N,0
1,booknlp,Miss Darcy,N,0
1,booknlp,Mrs. Gardiner,N,0
1,booknlp,Mr. Gardiner,N,0
1,booknlp,Sir William Lucas,N,1
1,booknlp,Mary,N,0
1,booknlp,Mrs. Philips,N,0
1,booknlp,Miss de Bourgh,N,0
1,booknlp,Lady Lucas,N,1
1,booknlp,Mrs. Hurst,N,0
1,booknlp,Maria Lucas,N,0
1,booknlp,Colonel Forster,N,0
1,booknlp,Colonel Fitzwilliam,N,0
1,booknlp,Darcy's father,N,0
1,booknlp,Mr. Hurst,N,0
1,booknlp,Mr. Denny,N,0
1,booknlp,Mrs. Forster,N,0
1,booknlp,Miss King,N,0
1,booknlp,Mr. Philips,N,0
1,booknlp,Mrs. Long,N,2
1,booknlp,Mrs. Jenkinson,N,0
1,booknlp,Mr. Jones,N,0
1,booknlp,Hill (housekeeper),N,0
1,booknlp,Mrs. Younge,N,0
1,booknlp,Captain Carter,N,0
1,booknlp,Housekeeper (Mrs. Reynolds),N,0
1,booknlp,Lady Anne Darcy,N,0
1,booknlp,Mrs. Annesley,N,0
1,booknlp,Mrs. Bennet's brother,N,0
1,booknlp,Richard,N,0
1,booknlp,Wickham Sr.,N,0
1,booknlp,Dawson,N,0
1,booknlp,The waiter,N,0
1,booknlp,The footman,N,0
1,booknlp,Sarah,N,0
1,booknlp,Nicholls,N,0
1,booknlp,John,N,0
1,booknlp,Mrs. Nicholls,N,0
1,booknlp,Miss Watson,N,0
1,booknlp,Mr. Long,N,0
1,booknlp,Mr. Morris,N,1
1,booknlp,Mr. Robinson,N,0
1,booknlp,Young Lucas,N,0
1,booknlp,Elizabeth,C,0
