Chapter,Character,N,A,I,C,DC,DN,Score
1,Jane,0,0,0,0,1,0,1
1,Lady Lucas,0,0,0,0,1,0,1
1,Lizzy,3,0,0,0,3,0,6
1,Lydia,0,0,0,0,1,0,1
1,Michaelmas,0,0,0,0,1,0,1
1,Mr. Bennet,6,3,7,12,3,3,34
1,Mr. Bingley,4,1,2,0,4,0,11
1,Mr. Morris,0,0,0,0,1,0,1
1,Mrs. Long,2,0,0,0,2,0,4
1,Sir William,0,0,0,0,1,0,1
1,char_15,0,0,3,0,0,0,3
1,char_17,0,0,0,0,0,0,0
1,char_20,0,0,0,4,0,0,4
1,char_21,0,0,5,11,0,0,16
1,char_24,0,0,2,5,0,0,7
1,char_28,0,0,1,0,0,0,1
1,char_31,0,2,0,0,0,0,2
1,char_40,0,0,0,0,0,0,0
1,char_43,0,1,0,0,0,0,1
1,char_46,0,0,0,0,0,0,0
1,char_51,0,0,0,0,0,0,0
1,char_65,0,1,0,0,0,0,1
10,Caroline,0,0,0,0,1,0,1
10,Charles,1,0,1,0,1,0,3
10,Elizabeth,16,7,10,10,1,15,59
10,Jane,2,0,0,0,0,2,4
10,Miss Bennet,4,0,0,0,4,0,8
10,Miss Bingley,10,2,6,8,1,9,36
10,Miss Darcy,1,1,0,0,1,0,3
10,Miss Grantley,0,0,0,0,1,0,1
10,Mr. Bingley,8,0,2,5,4,4,23
10,Mr. Darcy,20,3,34,16,5,11,89
10,Mr. Hurst,0,0,0,0,0,1,1
10,Mrs. Bennet,0,0,0,0,1,0,1
10,Mrs. Hurst,5,3,1,2,0,5,16
10,Philips,0,0,0,0,1,0,1
10,char_18,0,0,0,0,0,0,0
10,char_23,0,3,3,19,0,0,25
10,char_25,0,0,0,0,0,0,0
10,char_27,0,0,1,2,0,0,3
10,char_33,0,0,0,0,0,0,0
10,char_38,0,1,0,0,0,0,1
10,char_39,0,1,0,0,0,0,1
10,char_43,0,0,1,0,0,0,1
10,char_51,0,0,0,0,0,0,0
10,char_53,0,0,1,0,0,0,1
10,char_58,0,0,1,0,0,0,1
10,char_59,0,0,0,0,0,0,0
10,char_61,0,0,0,0,0,0,0
10,char_62,0,0,1,0,0,0,1
10,char_68,0,0,0,0,0,0,0
10,char_69,0,0,0,0,0,0,0
11,Caroline,0,0,0,0,1,0,1
11,Charles,0,0,0,0,1,0,1
11,Elizabeth,17,2,11,15,1,16,62
11,Jane,0,0,0,0,0,1,1
11,Louisa,1,0,0,0,1,0,2
11,Miss Bingley,11,7,8,14,1,10,51
11,Mr. Darcy,14,6,10,6,5,9,50
11,Mr. Hurst,5,1,1,0,1,4,12
11,Mrs. Hurst,0,0,0,0,0,1,1
11,Nicholls,0,0,0,0,1,0,1
11,char_12,0,3,0,0,0,0,3
11,char_14,0,0,2,0,0,0,2
11,char_15,0,1,0,0,0,0,1
11,char_19,0,0,1,0,0,0,1
11,char_20,0,0,1,0,0,0,1
11,char_22,0,0,0,1,0,0,1
11,char_28,0,0,0,0,0,0,0
11,char_31,0,0,0,2,0,0,2
11,char_32,0,0,1,2,0,0,3
11,char_41,0,0,0,0,0,0,0
11,char_45,0,0,0,0,0,0,0
11,char_47,0,0,0,0,0,0,0
11,char_51,0,0,0,0,0,0,0
11,char_53,0,0,0,0,0,0,0
12,Catherine,0,0,0,0,0,1,1
12,Colonel Forster,0,0,0,0,0,1,1
12,Elizabeth,7,0,3,0,0,7,17
12,Jane,7,0,2,0,0,7,16
12,Lydia,0,0,0,0,0,1,1
12,Mary,0,0,0,0,0,1,1
12,Miss Bennet,0,0,0,0,0,1,1
12,Miss Bingley,3,1,0,0,0,3,7
12,Mr. Bingley,2,0,0,0,0,2,4
12,Mr. Darcy,1,0,3,0,0,1,5
12,Mrs. Bennet,3,0,1,0,0,3,7
12,char_13,0,0,0,0,0,0,0
12,char_24,0,2,1,0,0,0,3
12,char_29,0,0,1,0,0,0,1
12,char_32,0,0,0,0,0,0,0
13,Charlotte Lucas,1,0,1,0,1,0,3
13,Elizabeth,2,0,3,3,0,2,10
13,Hill,0,0,0,0,1,0,1
13,Jane,3,2,0,2,1,2,10
13,Lady Catherine,5,0,0,0,2,2,9
13,Lydia,2,0,1,0,1,1,5
13,Mary,1,0,1,2,0,1,5
13,Mr. Bennet,4,1,0,11,0,4,20
13,Mr. Bingley,3,0,0,0,2,0,5
13,Mr. Collins,6,0,4,0,2,4,16
13,Mrs. Bennet,7,1,11,10,0,7,36
13,Sir Lewis de Bourgh,0,0,0,0,1,0,1
13,WILLIAM COLLINS,0,0,0,0,1,0,1
13,char_101,0,0,0,0,0,0,0
13,char_110,0,0,0,0,0,0,0
13,char_17,0,0,1,2,0,0,3
13,char_18,0,0,0,0,0,0,0
13,char_19,0,0,6,3,0,0,9
13,char_28,0,0,0,0,0,0,0
13,char_31,0,0,0,0,0,0,0
13,char_34,0,0,0,0,0,0,0
13,char_40,0,0,0,0,0,0,0
