Chapter,Character,N,A,I,C,DC,DN,Score
1,Mr. Bennet,6,3,7,12,3,3,34
1,Mr. Bingley,4,1,2,0,4,0,11
1,Lizzy,3,0,0,0,3,0,6
1,Mrs. Long,2,0,0,0,2,0,4
1,Jane,0,0,0,0,1,0,1
1,Lady Lucas,0,0,0,0,1,0,1
1,Lydia,0,0,0,0,1,0,1
1,Michaelmas,0,0,0,0,1,0,1
1,Mr. Morris,0,0,0,0,1,0,1
1,Sir William,0,0,0,0,1,0,1
2,Mr. Bennet,6,2,2,4,2,4,20
2,Mr. Bingley,7,0,2,0,6,1,16
2,Mrs. Bennet,3,1,2,6,0,3,15
2,Kitty,4,1,1,2,3,1,12
2,Mrs. Long,4,1,2,0,4,0,11
2,Lizzy,3,0,0,2,2,1,8
2,Mary,3,0,2,0,2,1,8
2,Lydia,2,0,0,2,1,1,6
3,Mr. Bingley,14,7,11,3,1,13,49
3,Mr. Darcy,7,6,2,6,0,6,27
3,Mrs. Bennet,7,2,4,6,0,7,26
3,Mr. Bennet,4,7,7,0,1,3,22
3,Elizabeth,6,0,2,0,2,4,14
3,Jane,5,1,0,0,1,2,9
3,Lady Lucas,2,0,0,0,0,2,4
3,Miss Bingley,2,0,0,0,0,2,4
3,Mrs. Hurst,2,0,0,0,1,1,4
3,Mary,1,0,1,0,0,1,3
3,Catherine,0,0,0,0,0,1,1
3,God,0,0,0,0,1,0,1
3,Lydia,0,0,0,0,0,1,1
3,Maria Lucas,0,0,0,0,1,0,1
3,Miss King,0,0,0,0,1,0,1
3,Miss Lucas,0,0,0,0,1,0,1
3,Mr. Hurst,0,0,0,0,0,1,1
3,Sir William,0,0,0,0,0,1,1
3,the _ Boulanger_----,0,0,0,0,1,0,1
3,the eldest Miss Bennet,0,0,0,0,0,1,1
4,Bingley,9,2,7,0,0,9,27
4,Jane,1,0,9,6,0,1,17
4,Elizabeth,4,0,3,5,1,3,16
4,Darcy,7,0,1,0,0,7,15
4,Miss Bennet,3,0,0,0,0,3,6
4,Mrs. Hurst,2,0,1,0,0,2,5
4,Miss Bingley,2,0,0,0,1,1,4
5,Mrs. Bennet,3,0,5,9,0,3,20
5,Elizabeth,7,0,0,2,5,2,16
5,Miss Lucas,3,1,3,4,0,3,14
5,Charlotte,2,0,3,5,1,1,12
5,Mr. Darcy,3,2,4,0,3,0,12
5,Jane,3,0,1,4,1,2,11
5,Mr. Bingley,1,0,6,0,1,0,8
5,Mrs. Long,4,0,0,0,3,0,7
5,Mary,1,0,2,2,0,1,6
5,Mr. Robinson,3,0,0,0,2,0,5
5,Sir William Lucas,1,1,2,0,0,1,5
5,the Bennets,2,1,0,0,0,2,5
5,Lady Lucas,0,0,0,0,0,1,1
5,Longbourn,0,0,0,0,0,1,1
5,Miss Bingley,0,0,0,0,1,0,1
5,St. James,0,0,0,0,0,1,1
5,the Miss Lucases,0,0,0,0,0,1,1
5,the eldest Miss Bennet,0,0,0,0,1,0,1
6,Elizabeth,17,3,5,4,7,10,46
6,Mr. Darcy,14,1,11,4,5,7,42
6,Jane,9,2,8,2,4,4,29
6,Sir William,5,2,5,10,0,5,27
6,Miss Lucas,4,4,1,8,0,4,21
6,Charlotte,4,0,3,7,1,3,18
6,Miss Bingley,5,1,4,3,2,3,18
6,"Sir William,--",1,1,4,9,0,1,16
6,Mary,3,1,0,0,0,3,7
