source,target,weight
Achilles,Agamemnon,64
Achilles,Jove,99
Achilles,The Trojans,16
Achilles,Thetis,13
Achilles,Juno,25
Achilles,Apollo,37
Achilles,The Argives,32
Achilles,Calchas,3
Achilles,Ajax,25
Achilles,Chryseis,3
Achilles,Idomeneus,3
Achilles,Ulysses,52
Achilles,Menelaus,32
Achilles,Minerva,22
Achilles,Iris,12
Achilles,Hector,103
Achilles,Caeneus,1
Achilles,Dryas,1
Achilles,Priam,35
Achilles,Menoetius,9
Achilles,Briseis,6
Achilles,Eurybates,2
Achilles,Talthybius,4
Achilles,Patroclus,94
Achilles,The Myrmidons,13
Achilles,Mother,2
Achilles,Chryses,2
Achilles,Briseus,2
Achilles,Neptune,17
Achilles,Chryse,1
Achilles,The Danaans,14
Achilles,Nestor,10
Achilles,Helen,11
Achilles,Laertes,3
Achilles,Tydeus,15
Achilles,Ilius,22
Achilles,Nireus,1
Achilles,Epistrophus,1
Achilles,Medon,2
Achilles,Philoctetes,1
Achilles,Eumelus,5
Achilles,Mars,32
Achilles,Old Aesyetes,1
Achilles,Polites,1
Achilles,Aeacus,9
Achilles,Amphimachus,1
Achilles,Nastes,1
Achilles,Aeneas,28
Achilles,Alexandrus,6
Achilles,Idaeus,3
Achilles,Laomedon,1
Achilles,Ida,7
Achilles,Pandarus,1
Achilles,Menestheus,1
Achilles,Peteos,1
Achilles,Diomed,8
Achilles,Antenor,6
Achilles,Antilochus,16
Achilles,Chalcodon,1
Achilles,Democoon,1
Achilles,Leucus,1
Achilles,Simoeisius,1
Achilles,The Thracians,1
Achilles,Sarpedon,7
Achilles,Crethon,1
Achilles,Orsilochus,1
Achilles,Alastor,2
Achilles,Chromius,2
Achilles,Noemon,2
Achilles,Tlepolemus,1
Achilles,Pelagon,1
Achilles,Scamander,4
Achilles,Simois,3
Achilles,The Boeotians,1
Achilles,Bellerophon,1
Achilles,Great Oeneus,1
Achilles,Andromache,2
Achilles,Astyanax,1
Achilles,Hades,2
Achilles,Scamandrius,1
Achilles,The Achaeans,3
Achilles,Automedon,8
Achilles,Aepea,1
Achilles,Chrysothemis,1
Achilles,Iphianassa,1
Achilles,Laodice,1
Achilles,Erinyes,2
Achilles,Meriones,7
Achilles,Dolon,3
Achilles,Machaon,2
Achilles,Paris,1
Achilles,Dawn,1
Achilles,Tithonus,1
Achilles,Antiphus,1
Achilles,Isus,1
Achilles,Antimachus,1
Achilles,Hippolochus,2
Achilles,Pisander,3
Achilles,Thymbraeus,1
Achilles,Eurypylus,3
Achilles,Chiron,3
Achilles,Podalirius,1
Achilles,Wounded Eurypylus,1
Achilles,Deipyrus,1
Achilles,Leitus,1
Achilles,Teucer,2
Achilles,Mercury,6
Achilles,Vulcan,12
Achilles,Far - Darter,2
Achilles,Hercules,2
Achilles,Balius,2
Achilles,Pedasus,3
Achilles,Xanthus,8
Achilles,Actor,2
Achilles,Alcimedon,1
Achilles,Diana,3
Achilles,Eudorus,1
Achilles,Fair Polydora Daughter Of Peleus,1
Achilles,Phylas,1
Achilles,Polymele,1
Achilles,The Selli,1
Achilles,Bathycles,1
Achilles,Glaucus,2
Achilles,The Lycians,1
Achilles,Sleep,1
Achilles,Cebriones,1
Achilles,Euphorbus,4
Achilles,Panthous,2
Achilles,Fate,2
Achilles,Dardanians,1
Achilles,Asteropaeus,4
Achilles,Ennomus The Augur,1
Achilles,Hippothous,1
Achilles,Mesthles,1
Achilles,Phorcys,1
Achilles,Thersilochus,2
Achilles,The Pylians,2
Achilles,Thrasymedes,1
Achilles,Polydamas,3
Achilles,Folly,1
Achilles,Alcimus,2
Achilles,Pelian,2
Achilles,Zephyrus,2
Achilles,Fool,2
Achilles,The Cauconians,1
Achilles,Otrynteus,1
Achilles,Demoleon,1
Achilles,Iphiclus,3
Achilles,Hound,1
Achilles,Tros,1
Achilles,Adrestus,2
Achilles,Areithous,1
Achilles,Deucalion,1
Achilles,Mulius,1
Achilles,"Noble Son Of Peires , Who Had Come From Fertile Thrace",1
Achilles,Rhigmus,1
Achilles,Eetion,2
Achilles,Lycaon,4
Achilles,Laothoe,2
Achilles,Pelegon,1
Achilles,King Achelous,2
Achilles,Oceanus,1
Achilles,Ophelestes,1
Achilles,Crook,1
Achilles,Orion,1
Achilles,Deiphobus,2
Achilles,Dog,1
Achilles,Amphidamas,1
Achilles,Spercheius,1
Achilles,Boreas,1
Achilles,Admetus,2
Achilles,Podargus,1
Achilles,Aethe,1
Achilles,Amarynceus,1
Achilles,The Aetolians,1
Achilles,The Epeans,1
Achilles,Jason,1
Achilles,Whoever,1
Achilles,Argus,6
Achilles,Niobe,1
Achilles,Hecuba,1
Agamemnon,Jove,52
Agamemnon,The Trojans,8
Agamemnon,Thetis,2
Agamemnon,Apollo,12
Agamemnon,Calchas,3
Agamemnon,Chryse,2
Agamemnon,Chryses,3
Agamemnon,The Argives,20
Agamemnon,The Danaans,8
Agamemnon,Ajax,18
Agamemnon,Chryseis,5
Agamemnon,Idomeneus,6
Agamemnon,Ulysses,37
Agamemnon,Juno,9
Agamemnon,Minerva,9
Agamemnon,Caeneus,1
Agamemnon,Dryas,1
Agamemnon,Priam,13
Agamemnon,Menoetius,2
Agamemnon,Briseis,4
Agamemnon,Eurybates,3
Agamemnon,Talthybius,6
Agamemnon,Patroclus,12
Agamemnon,The Myrmidons,2
Agamemnon,Mother,1
Agamemnon,Menelaus,30
Agamemnon,Briseus,3
Agamemnon,Neptune,6
Agamemnon,Nestor,10
Agamemnon,Argus,1
Agamemnon,Mercury,2
Agamemnon,Pelops,1
Agamemnon,Vulcan,3
Agamemnon,Helen,10
Agamemnon,Hector,25
Agamemnon,Tydeus,16
Agamemnon,The Achaeans,8
Agamemnon,Mars,9
Agamemnon,Adrastus,1
Agamemnon,Iphiclus,1
Agamemnon,Eumelus,2
Agamemnon,Alexandrus,5
Agamemnon,Ida,2
Agamemnon,Diomed,7
Agamemnon,Machaon,2
Agamemnon,Ilius,7
Agamemnon,Aesculapius,1
Agamemnon,Eurymedon,1
Agamemnon,Meriones,8
Agamemnon,The Cretans,1
Agamemnon,Menestheus,1
Agamemnon,Peteos,1
Agamemnon,Laertes,1
Agamemnon,Odius,1
Agamemnon,Aeneas,2
Agamemnon,Antilochus,3
Agamemnon,Bucolion,1
Agamemnon,Clytius,1
Agamemnon,Euryalus,1
Agamemnon,Eurypylus,5
Agamemnon,Laomedon,1
Agamemnon,Leitus,2
Agamemnon,Pedasus,1
Agamemnon,Phylacus,1
Agamemnon,Polypoetes,1
Agamemnon,Teucer,4
Agamemnon,Adrestus,2
Agamemnon,Idaeus,4
Agamemnon,Paris,1
Agamemnon,Jason,1
Agamemnon,Chromius,1
Agamemnon,Melanippus,1
Agamemnon,Ophelestes,1
Agamemnon,Ormenus,1
Agamemnon,Orsilochus,1
Agamemnon,Aepea,1
