COREF,n_mentions,n_prop,n_pron,n_nom,top_text
431,1852,578,1274,0,Achilles
586,1021,354,667,0,Hector
1025,792,260,532,0,Patroclus
758,687,233,454,0,Hector
794,594,198,396,0,Ulysses
720,450,174,276,0,Ajax
426,420,121,299,0,Agamemnon
698,412,152,260,0,Menelaus
429,374,137,237,0,Jove
436,369,118,251,0,Juno
466,347,191,156,0,Jove
576,328,128,200,0,Aeneas
511,325,85,240,0,Diomed
468,242,125,117,0,Minerva
895,227,46,181,0,Antilochus
467,210,56,154,0,Neptune
439,204,104,100,0,the Argives
885,195,128,67,0,Mars
500,177,71,106,0,Ajax
535,165,80,85,0,Meriones
608,165,44,121,0,Alexandrus
443,164,45,119,0,Ulysses
487,162,72,90,0,the Achaeans
626,160,71,89,0,Jove
437,158,91,67,0,Apollo
583,156,117,39,0,the Trojans
451,150,78,72,0,Priam
428,144,37,107,0,Thetis
450,141,46,95,0,Nestor
831,137,61,76,0,Agamemnon
606,137,43,94,0,Sarpedon
732,124,33,91,0,Teucer
623,110,54,56,0,Jove
481,109,43,66,0,Helen
625,103,15,88,0,Lycaon
448,98,31,67,0,Iris
435,96,65,31,0,the Danaans
474,95,37,58,0,Vulcan
609,91,21,70,0,Paris
432,88,31,57,0,Apollo
577,86,31,55,0,Antenor
810,70,41,29,0,Jove
486,70,40,30,0,Tydeus
914,64,8,56,0,Sleep
870,63,22,41,0,Deiphobus
616,58,32,26,0,Polydamas
809,58,12,46,0,Dolon
594,55,2,53,0,Odius
630,53,8,45,0,Pandarus
607,53,21,32,0,Glaucus
547,51,10,41,0,Eumelus
715,49,49,0,0,Tydeus
749,48,6,42,0,Andromache
438,47,47,0,0,Ilius
624,45,26,19,0,Priam
433,45,7,38,0,Chryses
828,45,9,36,0,Pisander
621,44,18,26,0,Idaeus
719,43,14,29,0,Bellerophon
476,42,17,25,0,Mercury
1004,42,10,32,0,Asteropaeus
556,42,15,27,0,Machaon
807,39,7,32,0,Agamemnon
801,38,5,33,0,Meleager
795,37,20,17,0,Automedon
670,36,12,24,0,Diana
461,35,7,28,0,Briseis
1080,33,14,19,0,Menelaus
780,32,10,22,0,Cebriones
851,31,6,25,0,Socus
427,28,7,21,0,Achilles
660,28,2,26,0,Peirous
458,28,24,4,0,Menoetius
862,27,7,20,0,the Epeans
579,27,10,17,0,Acamas
536,26,10,16,0,Tlepolemus
480,26,16,10,0,Jove
677,25,15,10,0,Xanthus
1078,25,10,15,0,Iris
452,25,19,6,0,Jove
580,25,14,11,0,Adrestus
462,24,18,6,0,the Myrmidons
3,23,15,8,0,Hades
558,23,19,4,0,Eurypylus
962,23,7,16,0,Euphorbus
747,22,6,16,0,Hecuba
679,21,6,15,0,Tros
786,21,7,14,0,Thrasymedes
584,21,15,6,0,Helenus
509,20,5,15,0,Euryalus
507,19,17,2,0,Menestheus
651,19,10,9,0,Antilochus
471,18,1,17,0,Wife
931,18,7,11,0,Peneleos
619,18,12,6,0,Clytius
1084,18,5,13,0,Epeus
705,18,14,4,0,the Lycians
622,17,10,7,0,Laomedon
782,17,14,3,0,Hercules
776,17,6,11,0,Melanippus
766,17,8,9,0,Tydeus
459,16,9,7,0,Talthybius
519,16,12,4,0,Iphiclus
605,16,16,0,0,Aeacus
562,16,6,10,0,Polypoetes
846,16,2,14,0,Dog
643,16,5,11,0,Ulysses
644,15,3,12,0,Peteos
1043,15,4,11,0,Achilles
537,15,13,2,0,Boreas
440,14,6,8,0,Calchas
834,13,2,11,0,noble Coon
618,13,4,9,0,Lampus
445,13,10,3,0,Idomeneus
631,12,6,6,0,Apollo
880,12,2,10,0,brave Epicles
573,12,5,7,0,Polites
936,12,2,10,0,Hyperenor
736,12,9,3,0,Hippolochus
899,12,2,10,0,Euchenor
741,12,5,7,0,Proetus
1091,11,4,7,0,Niobe
520,11,7,4,0,Amphimachus
1086,11,4,7,0,Teucer
893,11,3,8,0,Othryoneus
711,11,10,1,0,Helenus
1038,11,3,8,0,Folly
737,10,6,4,0,Lycurgus
1003,10,2,8,0,Thersilochus
951,10,1,9,0,Cleitus
864,10,3,7,0,Mulius
477,10,10,0,0,Argus
738,10,2,8,0,Bacchus
553,9,5,4,0,Medon
658,9,1,8,0,Democoon
932,9,3,6,0,Ilioneus
847,9,1,8,0,Archer
939,9,1,8,0,Madman
672,9,3,6,0,Theano
926,9,4,5,0,Jove
596,8,3,5,0,Ennomus the augur
602,8,2,6,0,Nastes
493,8,4,4,0,Ascalaphus
581,8,3,5,0,Merops of Percote
1077,8,1,7,0,Spercheius
878,8,1,7,0,Sirs
981,8,1,7,0,Erylaus
877,8,5,3,0,Ajaxes
971,8,6,2,0,Alcimedon
788,8,5,3,0,Deipyrus
1055,8,1,7,0,Hound
640,7,7,0,0,Chromius
692,7,3,4,0,the Cyprian
1072,7,1,6,0,Crook
667,7,6,1,0,Idomeneus
832,7,4,3,0,Iphidamas
490,7,5,2,0,Leitus
1024,7,4,3,0,Jove
1060,7,2,5,0,Rhigmus
960,7,2,5,0,Hiketaon
523,7,4,3,0,Diores
