COREF,n_mentions,n_prop,n_pron,n_nom,top_text
431,1852,578,1274,0,Achilles
586,1021,354,667,0,Hector
1025,792,260,532,0,Patroclus
758,687,233,454,0,Hector
794,594,198,396,0,Ulysses
6500,524,0,269,255,the Trojans
720,450,174,276,0,Ajax
426,420,121,299,0,Agamemnon
698,412,152,260,0,Menelaus
429,374,137,237,0,Jove
436,369,118,251,0,Juno
1094,349,0,135,214,the Achaeans
466,347,191,156,0,Jove
576,328,128,200,0,Aeneas
511,325,85,240,0,Diomed
468,242,125,117,0,Minerva
895,227,46,181,0,Antilochus
467,210,56,154,0,Neptune
439,204,104,100,0,the Argives
1130,198,0,138,60,the son of Peleus
885,195,128,67,0,Mars
1100,184,0,46,138,men
500,177,71,106,0,Ajax
1098,174,0,123,51,the son of Atreus
1117,170,0,136,34,he
535,165,80,85,0,Meriones
608,165,44,121,0,Alexandrus
443,164,45,119,0,Ulysses
487,162,72,90,0,the Achaeans
626,160,71,89,0,Jove
437,158,91,67,0,Apollo
583,156,117,39,0,the Trojans
451,150,78,72,0,Priam
428,144,37,107,0,Thetis
1103,142,0,42,100,the gods
450,141,46,95,0,Nestor
606,137,43,94,0,Sarpedon
831,137,61,76,0,Agamemnon
732,124,33,91,0,Teucer
1107,121,0,57,64,the people
6565,113,0,89,24,you
1368,110,0,57,53,the son of Tydeus
623,110,54,56,0,Jove
481,109,43,66,0,Helen
625,103,15,88,0,Lycaon
6593,99,0,65,34,you
6623,99,0,51,48,the son of Saturn
6524,98,0,58,40,a man
448,98,31,67,0,Iris
1102,98,0,0,98,one another
435,96,65,31,0,the Danaans
474,95,37,58,0,Vulcan
609,91,21,70,0,Paris
1499,88,0,47,41,his men
432,88,31,57,0,Apollo
577,86,31,55,0,Antenor
1093,85,0,57,28,her
6849,72,0,32,40,his comrades
486,70,40,30,0,Tydeus
810,70,41,29,0,Jove
1228,70,0,48,22,the goddess
1851,70,0,48,22,the two
6683,67,0,32,35,My friends
914,64,8,56,0,Sleep
6620,63,0,30,33,my father
870,63,22,41,0,Deiphobus
1524,62,0,46,16,they
1226,62,0,51,11,they
1120,60,0,60,0,them
1137,60,0,20,40,no man
1131,58,0,17,41,the others
7241,58,0,37,21,this man
616,58,32,26,0,Polydamas
809,58,12,46,0,Dolon
2123,58,0,52,6,I
6527,58,0,16,42,the host
2943,57,0,55,2,me
6628,56,0,18,38,his father
6454,55,0,23,32,you
594,55,2,53,0,Odius
4076,53,0,52,1,her
607,53,21,32,0,Glaucus
630,53,8,45,0,Pandarus
547,51,10,41,0,Eumelus
6506,49,0,27,22,the sons of the Achaeans
715,49,49,0,0,Tydeus
6548,48,0,21,27,his people
749,48,6,42,0,Andromache
7492,47,0,36,11,he
438,47,47,0,0,Ilius
1467,46,0,36,10,her
624,45,26,19,0,Priam
433,45,7,38,0,Chryses
828,45,9,36,0,Pisander
621,44,18,26,0,Idaeus
6769,44,0,17,27,his son
719,43,14,29,0,Bellerophon
1004,42,10,32,0,Asteropaeus
556,42,15,27,0,Machaon
7152,42,0,28,14,you
6448,42,0,9,33,the god
476,42,17,25,0,Mercury
6551,41,0,13,28,the immortals
1203,41,0,21,20,every man
6473,41,0,14,27,the Danaans
8188,40,0,40,0,you
1238,40,0,30,10,I
807,39,7,32,0,Agamemnon
2777,39,0,27,12,Hector son of Priam
801,38,5,33,0,Meleager
6728,38,0,21,17,the Argives
795,37,20,17,0,Automedon
6796,37,0,19,18,his wife
2299,37,0,13,24,Ajax son of Telamon
1106,37,0,21,16,the king
670,36,12,24,0,Diana
1370,36,0,13,23,his brother
7551,35,0,25,10,you
461,35,7,28,0,Briseis
2171,34,0,26,8,his
7070,33,0,28,5,you
1220,33,0,22,11,her son
1080,33,14,19,0,Menelaus
780,32,10,22,0,Cebriones
6661,32,0,0,32,man
8125,32,0,31,1,him
6542,32,0,18,14,his sons
6962,32,0,0,32,a god
6496,32,0,19,13,you
6472,31,0,2,29,others
6915,31,0,22,9,you
8190,31,0,25,6,you
851,31,6,25,0,Socus
1367,30,0,14,16,the two Ajaxes
5913,30,0,30,0,they
5862,30,0,30,0,her
458,28,24,4,0,Menoetius
1266,28,0,16,12,Agamemnon son of Atreus
9175,28,0,28,0,us
427,28,7,21,0,Achilles
10788,28,0,27,1,his
660,28,2,26,0,Peirous
1270,28,0,28,0,he
1154,27,0,16,11,the son of Menoetius
6798,27,0,27,0,we
862,27,7,20,0,the Epeans
2891,27,0,23,4,them
579,27,10,17,0,Acamas
5853,26,0,24,2,her
536,26,10,16,0,Tlepolemus
1346,26,0,13,13,one
6669,26,0,10,16,my mother
1198,26,0,26,0,they
480,26,16,10,0,Jove
677,25,15,10,0,Xanthus
3350,25,0,25,0,he
6001,25,0,25,0,their
580,25,14,11,0,Adrestus
1078,25,10,15,0,Iris
452,25,19,6,0,Jove
462,24,18,6,0,the Myrmidons
4584,24,0,19,5,he
2295,24,0,15,9,two men
558,23,19,4,0,Eurypylus
2668,23,0,23,0,they
5716,23,0,15,8,the slayer of Argus
962,23,7,16,0,Euphorbus
