COREF,n_mentions,n_prop,n_pron,n_nom,top_text
0,9132,0,9132,0,I
4249,563,0,263,300,sir
3044,213,0,213,0,you
4100,155,0,155,0,I
4215,118,0,91,27,he
2908,105,0,105,0,I
1865,93,0,93,0,I
1885,83,0,83,0,I
3864,82,0,82,0,he
515,81,0,57,24,you
2907,81,0,81,0,I
1515,81,0,76,5,I
3031,78,0,78,0,you
2802,76,0,76,0,I
821,75,0,56,19,a man
1520,74,0,69,5,I
4790,72,0,63,9,he
3059,70,0,70,0,I
5645,65,0,62,3,her
2839,63,0,63,0,you
1945,61,0,54,7,her
1866,58,0,58,0,you
1485,57,0,50,7,he
529,55,0,47,8,I
3897,55,0,55,0,he
3446,54,0,54,0,I
3863,51,0,51,0,I
1860,51,0,51,0,I
1588,50,0,50,0,her
2368,49,0,49,0,I
2621,49,0,40,9,his
3401,49,0,48,1,I
5284,49,0,23,26,the ladies
1871,48,0,48,0,I
3046,48,0,48,0,I
2741,47,0,45,2,I
808,47,0,43,4,he
703,45,0,27,18,my father
2859,45,0,45,0,I
3833,45,0,45,0,I
3636,44,0,44,0,I
4024,42,0,42,0,he
4054,40,0,39,1,his
4079,39,0,39,0,I
2775,39,0,39,0,I
3040,39,0,39,0,you
4074,39,0,39,0,I
4503,39,0,17,22,man
2369,39,0,37,2,I
4083,38,0,38,0,him
4802,37,0,30,7,her
566,37,0,13,24,the servants
4561,37,0,32,5,her
3852,37,0,37,0,his
3574,37,0,36,1,his
5610,36,0,32,4,you
4328,36,0,19,17,you
1929,36,0,36,0,he
1864,35,0,35,0,I
4077,35,0,35,0,you
2607,35,0,35,0,I
4233,34,0,3,31,ma’am
611,34,0,0,34,no one
2844,34,0,34,0,I
1848,34,0,17,17,the gentlemen
4290,33,0,2,31,one
2360,33,0,32,1,I
3049,33,0,33,0,I
657,32,0,19,13,a gentleman
6331,32,0,21,11,the clergyman
3846,32,0,32,0,I
560,31,0,19,12,the master
2551,30,0,30,0,I
2005,30,0,24,6,she
2603,30,0,28,2,her
2365,30,0,30,0,she
4189,30,0,10,20,his sisters
2657,30,0,30,0,her
1880,30,0,30,0,I
4365,30,0,13,17,people
2342,29,0,27,2,they
769,28,0,18,10,you
946,28,0,21,7,they
2986,28,0,24,4,her
4071,27,0,27,0,my
3645,27,0,27,0,I
3402,27,0,26,1,they
4275,27,0,13,14,a woman
4629,27,0,16,11,my uncle
1745,26,0,22,4,his
2806,26,0,26,0,I
2968,26,0,26,0,I
2116,26,0,24,2,her
