COREF,n_mentions,n_prop,n_pron,n_nom,top_text
0,1662,0,1662,0,I
674,538,0,388,150,our friend
7143,236,0,138,98,the count
1189,235,0,192,43,his
6224,194,0,131,63,he
1985,166,0,100,66,the countess
599,147,0,77,70,men
7199,143,0,90,53,the baron
2375,130,0,89,41,her
6460,116,0,71,45,the company
6209,112,0,76,36,the boy
6283,109,0,71,38,her
1091,108,0,86,22,I
8225,106,0,95,11,he
6217,101,0,62,39,my friend
8298,98,0,74,24,his
6355,95,0,61,34,the other
866,94,0,69,25,her
1278,94,0,42,52,the child
1772,87,0,48,39,the harper
6139,83,0,83,0,you
6358,79,0,48,31,his friend
647,78,0,68,10,I
630,77,0,49,28,a man
589,69,0,41,28,man
684,69,0,41,28,our friends
6638,68,0,40,28,the prince
671,68,0,61,7,I
1751,65,0,50,15,he
6361,62,0,5,57,one
3674,61,0,60,1,I
3861,60,0,60,0,she
575,59,0,33,26,the people
5525,59,0,41,18,the abbé
5851,59,0,55,4,I
7594,57,0,56,1,he
3676,56,0,56,0,her
625,55,0,8,47,others
5834,54,0,54,0,I
719,51,0,49,2,his
567,50,0,3,47,no one
1652,46,0,27,19,all
1581,46,0,25,21,the party
1105,44,0,44,0,he
6454,44,0,17,27,the rest
715,44,0,36,8,her
6469,44,0,44,0,our
1223,42,0,28,14,the actors
658,41,0,10,31,his father
6609,41,0,27,14,these people
551,41,0,0,41,the public
1825,41,0,41,0,I
970,41,0,19,22,the latter
8017,40,0,37,3,him
7812,40,0,39,1,his
670,39,0,28,11,her
660,39,0,34,5,I
5880,39,0,39,0,I
1143,39,0,30,9,her
2231,38,0,16,22,the children
3354,38,0,29,9,the patient
5806,36,0,36,0,I
3690,36,0,36,0,my
6208,34,0,28,6,her
5030,34,0,21,13,her
6825,34,0,20,14,the poet
8126,34,0,32,2,he
800,33,0,18,15,her friend
1169,33,0,33,0,I
1261,32,0,17,15,the landlord
1600,32,0,22,10,the Pedant
818,32,0,28,4,her
