source,target,weight
Fielding,Jane,1
Fielding,Mr. Thackeray,1
Fielding,W. M. Thackeray,1
Jane,Mr. Thackeray,1
Jane,W. M. Thackeray,1
Jane,Abbot,2
Jane,Bessie,9
Jane,Mrs. Fairfax,16
Jane,Mrs. Reed,4
Jane,Mr. Lloyd,3
Jane,Aunt Reed,1
Jane,Eliza,2
Jane,John,2
Jane,Miss Georgiana,4
Jane,Mr. Brocklehurst,3
Jane,Helen,1
Jane,Miss Temple,1
Jane,Bobby,1
Jane,Robert,2
Jane,Mrs. Leaven,1
Jane,The Eyres,1
Jane,Mr. Rochester,15
Jane,Adèle,13
Jane,Providence,2
Jane,Céline,4
Jane,Sophie,1
Jane,Thornfield,1
Jane,Mason,5
Jane,Fairfax Rochester,1
Jane,Carter,1
Jane,Colonel Dent,1
Jane,Richard,1
Jane,Missis,1
Jane,St. John,8
Jane,Georgiana,1
Jane,Mrs. Rochester,3
Jane,Janet,10
Jane,Miss Ingram,1
Jane,Mr. Rochester—“So,1
Jane,Alice,1
Jane,Mr. Edward,1
Jane,Grace Poole,1
Jane,Sam,1
Jane,Miss Mason,1
Jane,Bertha Mason,1
Jane,Clara,1
Jane,Giacinta,1
Jane,Mr. Briggs,2
Jane,Madeira,1
Jane,St. Paul,1
Jane,Diana,2
Jane,Dives,1
Jane,Mary,1
Jane,God,3
Mr. Thackeray,W. M. Thackeray,1
Bessie,Eliza,7
Bessie,Georgiana,5
Bessie,John,3
Bessie,Henry,1
Bessie,Mrs. Reed,17
Bessie,Abbot,15
Bessie,Rat,1
Bessie,The Abigail,1
Bessie,Missis,6
Bessie,Mrs. Fairfax,8
Bessie,Mr. Reed,2
Bessie,Mr. Lloyd,4
Bessie,The Reeds,1
Bessie,Gulliver,1
Bessie,Poor Miss Jane,1
Bessie,Miss Georgiana,6
Bessie,Bobby,1
Bessie,Little Adela Varens,1
Bessie,St. John,5
Bessie,Sophie,5
Bessie,Carter,1
Bessie,Mr. Rochester,6
Bessie,Adèle,4
Bessie,Grace Poole,5
Bessie,Pilot,1
Bessie,Mrs. Poole,1
Bessie,Martha Abbot,1
Bessie,Robert,4
Bessie,Mrs. Reed?—Alive,1
Bessie,Mama,1
Bessie,Sarah,1
Bessie,Mr. Edward,1
Eliza,Georgiana,18
Eliza,John,5
Eliza,Joan,1
Eliza,Abbot,1
Eliza,Mrs. Reed,5
Eliza,Rat,1
Eliza,Miss Georgiana,2
Eliza,Miss Ingram,1
Eliza,Mama,1
Eliza,Mr. Rochester,2
Eliza,Gibson,2
Eliza,Sarah,1
Eliza,Damer De Rochester,1
Georgiana,John,4
Georgiana,Abbot,1
Georgiana,Mrs. Reed,3
Georgiana,Rat,1
Georgiana,Miss Ingram,1
Georgiana,Mr. Reed,1
Georgiana,Sir George Lynn,1
Georgiana,Mr. Rochester,2
Georgiana,Gibson,2
Georgiana,Sarah,1
John,Mrs. Reed,3
John,Miss Georgiana,2
John,Madeira,3
John,Mr. Rochester,3
John,Mr. Briggs,1
John,Diana,1
John,Mary,4
John,"Vainly,—All",1
John,Pilot,1
Henry,Mrs. Reed,1
Henry,Colonel Dent,2
Henry,Lord Ingram,2
Henry,Mr. Eshton,2
Henry,Richard,2
Henry,Adèle,1
Henry,Amy,1
