COREF,n_mentions,n_prop,n_pron,n_nom,top_text
288,2024,338,1686,0,Mr. Rochester
172,1197,188,1009,0,St. John
141,787,333,454,0,Jane
258,391,119,272,0,Adèle
176,333,181,152,0,Mrs. Fairfax
211,329,73,256,0,Helen
296,327,61,266,0,Miss Ingram
151,286,82,204,0,Mrs. Reed
155,243,31,212,0,Georgiana
232,243,106,137,0,Mary
152,241,84,157,0,Bessie
191,230,73,157,0,Bessie
414,202,76,126,0,Diana
198,167,62,105,0,Miss Temple
192,132,46,86,0,Mr. Brocklehurst
154,130,25,105,0,John
341,127,51,76,0,Mason
261,117,35,82,0,Grace Poole
299,110,32,78,0,Mrs. Fairfax
376,92,26,66,0,Jane
432,78,11,67,0,Miss Oliver
272,70,15,55,0,Mr. Edward
153,69,32,37,0,Eliza
402,63,3,60,0,Reader
428,59,3,56,0,Mr. St John
264,55,22,33,0,Pilot
476,50,1,49,0,Jealousy
174,49,18,31,0,Missis
438,45,14,31,0,Rosamond
242,44,20,24,0,Jane
367,43,10,33,0,Mrs. Rochester
365,42,13,29,0,John
179,39,12,27,0,Mr. Lloyd
209,39,23,16,0,Miss Scatcherd
309,38,11,27,0,Richard
254,38,5,33,0,Mademoiselle
292,38,30,8,0,Colonel Dent
255,38,27,11,0,Sophie
263,37,20,17,0,Janet
205,36,23,13,0,Miss Miller
267,33,12,21,0,Carter
387,33,15,18,0,Mr. Briggs
304,32,14,18,0,Louisa
279,31,17,14,0,Céline
171,30,24,6,0,Abbot
413,27,12,15,0,Mr. Oliver
194,26,16,10,0,Sam
164,26,10,16,0,Mr. Reed
306,23,8,15,0,Lady Ingram
290,22,7,15,0,Lord Ingram
286,22,11,11,0,Mrs. Poole
189,21,12,9,0,Miss Georgiana
239,21,9,12,0,Robert
244,20,8,12,0,Mr. Eyre
404,18,1,17,0,Miss Mason
443,17,1,16,0,Wondering
249,17,3,14,0,Miss Varens
421,16,11,5,0,Mary
305,15,8,7,0,Lady Lynn
208,15,6,9,0,Miss Smith
293,14,6,8,0,Mrs. Eshton
445,14,2,12,0,Mrs. Reed of Gateshead
289,14,8,6,0,Mr. Eshton
295,13,7,6,0,Mary Ingram
385,13,8,5,0,Wood
241,13,2,11,0,Mrs. Leaven
303,13,10,3,0,Amy
145,12,2,10,0,Ahab
468,11,10,1,0,God
144,11,3,8,0,Christ
469,10,7,3,0,John
212,10,3,7,0,Charles
291,10,6,4,0,Sir George Lynn
429,9,8,1,0,Carlo
366,9,1,8,0,Hillo
389,9,8,1,0,Bertha Mason
361,9,1,8,0,Mrs. Reed?—Alive
236,9,2,7,0,Miss Gryce
316,9,2,7,0,Madame Joubert
186,8,6,2,0,Aunt Reed
276,8,4,4,0,Nature
253,8,2,6,0,Miss Adela
320,8,2,6,0,Tedo
270,8,8,0,0,Providence
233,8,3,5,0,Mr. Bates
431,7,3,4,0,Jesus
158,7,7,0,0,Henry
240,7,3,4,0,Bobby
252,7,3,4,0,the Rochesters
294,7,3,4,0,the Honourable Blanche
406,7,1,6,0,Messalina
188,7,1,6,0,Poor Miss Jane
181,6,3,3,0,the Reeds
26,6,5,1,0,Lowood
388,6,5,1,0,Edward Fairfax Rochester
408,6,3,3,0,Clara
199,6,2,4,0,Augusta
419,6,4,2,0,Jane Elliott
219,6,3,3,0,Julia Severn
225,6,4,2,0,Barbara
283,6,5,1,0,Heaven
268,6,6,0,0,Fairfax Rochester
457,5,5,0,0,Hindostanee
201,5,3,2,0,Theodore
345,5,2,3,0,Miss Mary
210,5,5,0,0,Madame Pierrot
238,5,5,0,0,J.E.
234,5,1,4,0,"Helen,—I"
103,5,5,0,0,Morton
243,4,1,3,0,the Eyres
329,4,4,0,0,the Misses Eshton
373,4,1,3,0,Mr. Rochester—“so
173,4,1,3,0,the Abigail
407,4,3,1,0,Giacinta
226,3,2,1,0,Mrs. Harden
260,3,2,1,0,Madame Frédéric
207,3,3,0,0,Rasselas
353,3,1,2,0,Satan
