COREF,n_mentions,n_prop,n_pron,n_nom,top_text
234,4497,695,3802,0,Wilhelm
233,727,206,521,0,Philina
163,542,99,443,0,Mariana
303,507,30,477,0,Theresa
195,479,139,340,0,Serlo
242,475,99,376,0,Aurelia
159,391,100,291,0,Mignon
223,342,83,259,0,Jarno
153,256,62,194,0,Lothario
202,224,96,128,0,Laertes
200,192,48,144,0,Narciss
162,179,37,142,0,Barbara
183,172,42,130,0,Werner
190,152,49,103,0,Melina
208,127,68,59,0,Melina
301,118,33,85,0,Lydia
248,100,51,49,0,Felix
158,93,40,53,0,Hamlet
286,64,10,54,0,Philo
164,62,16,46,0,Norberg
193,56,28,28,0,Theresa
189,51,37,14,0,God
157,43,26,17,0,Shakspeare
192,34,15,19,0,Melina
209,34,16,18,0,Friedrich
191,32,1,31,0,Unhappy Melina
239,29,10,19,0,Ophelia
137,27,14,13,0,Goethe
257,25,17,8,0,Horatio
169,24,14,10,0,David
297,22,3,19,0,mein Herr
185,19,3,16,0,Old Meister
213,19,3,16,0,Chance
188,16,1,15,0,The old _ Amtmann _ hereupon
143,16,8,8,0,Germans
212,14,5,9,0,Each
147,14,5,9,0,Racine
514,14,9,5,0,JENNY JUNE
166,13,5,8,0,Jonathan
167,12,5,7,0,Saul
287,12,2,10,0,an Agathon
229,12,3,9,0,Lord Baron
358,11,11,0,0,Rosa N. Carey
179,11,5,6,0,Tancred
259,10,10,0,0,the Ghost
243,10,5,5,0,Polonius
201,10,4,6,0,Landrinette
308,9,1,8,0,Sibyl
262,9,8,1,0,Elmira
221,8,7,1,0,the _ Stallmeister _
170,8,8,0,0,Goliath
194,8,8,0,0,Fate
352,6,6,0,0,Edna Lyall
225,6,6,0,0,Minerva
347,6,6,0,0,James Fenimore Cooper
135,6,6,0,0,Gutenberg
315,6,6,0,0,Walter Besant
211,6,6,0,0,Old Boisterous
284,6,6,0,0,Phyllis
138,6,6,0,0,Thomas Carlyle
396,6,6,0,0,Alexandre Dumas
377,5,5,0,0,William M. Thackeray
384,5,5,0,0,Sir Walter Scott
328,5,5,0,0,George Ebers
318,5,5,0,0,Wilkie Collins
306,5,1,4,0,Margaret
363,5,5,0,0,Jules Verne
424,5,5,0,0,James Fenimore Cooper
