COREF,n_mentions,n_prop,n_pron,n_nom,top_text
234,4497,695,3802,0,Wilhelm
0,1662,0,1662,0,I
233,727,206,521,0,Philina
163,542,99,443,0,Mariana
674,538,0,388,150,our friend
303,507,30,477,0,Theresa
195,479,139,340,0,Serlo
242,475,99,376,0,Aurelia
159,391,100,291,0,Mignon
223,342,83,259,0,Jarno
153,256,62,194,0,Lothario
7143,236,0,138,98,the count
1189,235,0,192,43,his
202,224,96,128,0,Laertes
6224,194,0,131,63,he
200,192,48,144,0,Narciss
162,179,37,142,0,Barbara
183,172,42,130,0,Werner
1985,166,0,100,66,the countess
190,152,49,103,0,Melina
599,147,0,77,70,men
7199,143,0,90,53,the baron
2375,130,0,89,41,her
208,127,68,59,0,Melina
301,118,33,85,0,Lydia
6460,116,0,71,45,the company
6209,112,0,76,36,the boy
6283,109,0,71,38,her
1091,108,0,86,22,I
8225,106,0,95,11,he
6217,101,0,62,39,my friend
248,100,51,49,0,Felix
8298,98,0,74,24,his
6355,95,0,61,34,the other
1278,94,0,42,52,the child
866,94,0,69,25,her
158,93,40,53,0,Hamlet
1772,87,0,48,39,the harper
6139,83,0,83,0,you
6358,79,0,48,31,his friend
647,78,0,68,10,I
630,77,0,49,28,a man
684,69,0,41,28,our friends
589,69,0,41,28,man
6638,68,0,40,28,the prince
671,68,0,61,7,I
1751,65,0,50,15,he
286,64,10,54,0,Philo
6361,62,0,5,57,one
164,62,16,46,0,Norberg
3674,61,0,60,1,I
3861,60,0,60,0,she
575,59,0,33,26,the people
5525,59,0,41,18,the abbé
5851,59,0,55,4,I
7594,57,0,56,1,he
3676,56,0,56,0,her
193,56,28,28,0,Theresa
625,55,0,8,47,others
5834,54,0,54,0,I
189,51,37,14,0,God
719,51,0,49,2,his
567,50,0,3,47,no one
1652,46,0,27,19,all
1581,46,0,25,21,the party
1105,44,0,44,0,he
715,44,0,36,8,her
6469,44,0,44,0,our
6454,44,0,17,27,the rest
157,43,26,17,0,Shakspeare
1223,42,0,28,14,the actors
658,41,0,10,31,his father
1825,41,0,41,0,I
551,41,0,0,41,the public
6609,41,0,27,14,these people
970,41,0,19,22,the latter
8017,40,0,37,3,him
7812,40,0,39,1,his
660,39,0,34,5,I
670,39,0,28,11,her
5880,39,0,39,0,I
1143,39,0,30,9,her
3354,38,0,29,9,the patient
2231,38,0,16,22,the children
3690,36,0,36,0,my
5806,36,0,36,0,I
6208,34,0,28,6,her
192,34,15,19,0,Melina
5030,34,0,21,13,her
6825,34,0,20,14,the poet
209,34,16,18,0,Friedrich
8126,34,0,32,2,he
800,33,0,18,15,her friend
1169,33,0,33,0,I
818,32,0,28,4,her
3361,32,0,20,12,the surgeon
1261,32,0,17,15,the landlord
3859,32,0,32,0,I
1600,32,0,22,10,the Pedant
191,32,1,31,0,Unhappy Melina
529,31,0,31,0,our
533,31,0,13,18,the man
6420,31,0,2,29,each other
4002,31,0,30,1,they
6465,31,0,15,16,each
6320,30,0,10,20,children
3854,30,0,30,0,me
1340,29,0,20,9,they
239,29,10,19,0,Ophelia
5329,29,0,29,0,us
3856,29,0,29,0,I
7642,28,0,25,3,you
2942,27,0,23,4,their
1219,27,0,25,2,he
