source,target,weight
Elizabeth,Mr. Bennet,6
Elizabeth,Mrs. Bennet,31
Mr. Bennet,Mrs. Bennet,24
Lady Catherine,Mrs. Bennet,12
Lydia,Mr. Bennet,3
Lydia,Mrs. Bennet,13
Mr. Darcy,Mrs. Bennet,2
Mr. Bingley,Mr. Darcy,7
Elizabeth,Mr. Darcy,65
Charlotte,Mrs. Bennet,6
Jane,Mrs. Bennet,16
Miss Lucas,Mrs. Bennet,3
Elizabeth,Miss Lucas,2
Elizabeth,Mary,5
Mary,Mrs. Bennet,4
Charlotte,Miss Lucas,4
Charlotte,Elizabeth,7
Charlotte,Mr. Darcy,3
Elizabeth,Sir William,3
Miss Lucas,Sir William,1
Mr. Darcy,Sir William,1
Elizabeth,Miss Bingley,16
Miss Bingley,Mr. Darcy,11
Miss Bingley,Mr. Bennet,2
Lady Catherine,Mary,1
Lady Catherine,Lydia,1
Lydia,Mrs. Hurst,1
Miss Bingley,Mrs. Hurst,6
Mr. Darcy,Mr. Hurst,1
Miss Bingley,Mr. Hurst,13
Miss Bingley,Mr. Bingley,4
Miss Darcy,Mr. Bingley,2
Miss Bingley,Miss Darcy,3
Elizabeth,Miss Darcy,1
Miss Darcy,Mrs. Bennet,2
Miss Bingley,Mrs. Bennet,2
Elizabeth,Mr. Bingley,5
Mr. Bingley,Mrs. Bennet,6
Lydia,Mr. Bingley,1
Lydia,Mr. Darcy,1
Elizabeth,Jane,82
Jane,Miss Bingley,1
Mr. Darcy,Mrs. Hurst,1
Elizabeth,Elizabeth--“there,2
Jane,Mr. Bennet,4
Mr. Collins,Mrs. Bennet,6
Lady Catherine,Mr. Bennet,2
Lydia,Mr. Collins,3
Elizabeth,Mr. Collins,16
Elizabeth,Wickham,21
Jane,Wickham,1
Jane,Mary,1
Mary,Mr. Collins,2
Mr. Collins,Wickham,1
Charlotte,Wickham,1
Miss Bingley,Sir William,1
Mr. Collins,Mr. Darcy,1
Mary,Mr. Darcy,1
Charlotte,Lydia,2
Jane,Mr. Collins,1
Jane,Mr. Hurst,1
Elizabeth,Mr. Hurst,1
Mr. Bennet,Mr. Collins,3
Elizabeth,Lydia,9
Charlotte,Mr. Bennet,1
Mr. Bennet,Mrs. Gardiner,1
Elizabeth,Mrs. Gardiner,18
Charlotte,Jane,1
Mr. Collins,Mrs. Gardiner,1
Charlotte,Mr. Collins,2
Maria,Mr. Collins,2
Elizabeth,Maria,6
Mr. Collins,Sir William,2
Lady Catherine,Mr. Collins,2
Elizabeth,Lady Catherine,33
Charlotte,Lady Catherine,1
Colonel Fitzwilliam,Elizabeth,15
Colonel Fitzwilliam,Lady Catherine,1
Lady Catherine,Mr. Darcy,8
Colonel Fitzwilliam,Mr. Darcy,2
Jane,Lydia,2
Mr. Bennet,Wickham,2
Elizabeth,Mrs. Reynolds,7
Mrs. Gardiner,Mrs. Reynolds,4
Mr. Gardiner,Mrs. Reynolds,1
Elizabeth,Mr. Gardiner,5
Mr. Bingley,Mrs. Gardiner,2
Mr. Darcy,Mrs. Gardiner,1
Mr. Gardiner,Mrs. Gardiner,1
Jane,Mr. Gardiner,2
Mr. Gardiner,Mrs. Bennet,3
Hill,Lady Catherine,1
Elizabeth,Hill,1
Jane,Lady Catherine,2
Mr. Bennet,Mr. Bingley,1
Georgiana,Mr. Darcy,1
Elizabeth,Georgiana,1
Lydia,Miss Bingley,1
