character,degree,betweenness,closeness,eigenvector,pagerank,frequency
Jane,235,0.6924199424383882,0.7923404603915787,0.44793086207298655,0.21943029537212885,10423
Mr. Rochester,100,0.152418087600413,0.5852514764255978,0.28652180317840326,0.07967943131876883,2024
St. John,62,0.08693885273109832,0.5273255623766478,0.1470056545989968,0.0476085988054871,1197
Mrs. Fairfax,62,0.050681985516793426,0.543080456155915,0.22843778893194164,0.038952247239296606,443
Bessie,49,0.032585376941537264,0.5193492093322952,0.1483298825726833,0.030687383319644483,471
Miss Ingram,39,0.03143832350431859,0.49840770895599296,0.15268874545598973,0.01807611275598808,327
Adèle,37,0.011032359532078897,0.5141643586567648,0.1685283020524949,0.022514444364384913,391
Mrs. Reed,36,0.01545997155877785,0.5133102650377337,0.12723412994988884,0.01762932916773365,286
Louisa,26,0.004917320507707724,0.48894427144417035,0.1344087033743666,0.007282371372607162,32
Colonel Dent,26,0.00799182982305371,0.4897191435066809,0.13680978052947668,0.009263488129890588,38
Henry,26,0.03873092452199878,0.4920585661667447,0.12122495529398251,0.005071326484901521,7
Amy,25,0.0031878207151088836,0.4881718476346219,0.13367194806029592,0.006403772974834877,13
Mason,24,0.008430736762826236,0.4820792192710073,0.11070051753114603,0.009164630546631433,127
Lord Ingram,23,0.02032623211791082,0.4881718476346219,0.12313605235765669,0.005460201020028902,22
Mary,22,0.004101665533962094,0.4881718476346219,0.0820220352532243,0.01988663592082283,259
Mr. Briggs,22,0.00931735621050738,0.48894427144417035,0.09236935030206785,0.005684850626743841,33
Mary Ingram,22,0.000717152035043409,0.48586915024011895,0.12966032308130668,0.00474260785421282,13
Miss Temple,21,0.01600356921688944,0.47908958070188473,0.07745198800937203,0.011522729230963423,167
Diana,21,0.006851478805303053,0.4820792192710073,0.06399827534048538,0.017113618276326438,202
Mr. Eshton,21,0.0007193169441264796,0.48586915024011895,0.12932099058858076,0.004896167524450255,14
John,20,0.011317964806208974,0.48740186049324236,0.08309139519849948,0.00839951147714678,182
Missis,20,0.0037250408158312877,0.47177523595834453,0.07555178637084149,0.005558579970833731,49
Sir George Lynn,20,0.0004281635825012576,0.48510640432137464,0.12628877424328305,0.004377954434264527,10
Mr. Brocklehurst,19,0.018191251386547695,0.4835880744173954,0.06547322286917848,0.009386108808081394,132
Helen,18,0.0031674853959199013,0.4660826237597521,0.05370047767943599,0.012587653813891576,329
Lady Lynn,18,0.0014492676412789748,0.4835880744173954,0.11947327372939284,0.003047156384180235,15
Richard,18,0.0016987028484017883,0.48132831706030477,0.11248966311155532,0.004394889228181421,38
Eliza,18,0.007560592873289991,0.47834795596395613,0.07213292959841006,0.008493443880536307,69
Lady Ingram,17,0.0015827316971002401,0.48283246805111824,0.11537851678052895,0.003720017328078427,23
Bertha Mason,17,0.004695474457767836,0.4732201830822598,0.0807342364329264,0.003127031335062978,9
Sam,16,0.0013886140483584575,0.46190251054217585,0.07482565654922745,0.003688914971938389,26
Providence,16,0.0002532244875265273,0.4724966048206662,0.08980400906957596,0.0027583242760297203,8
Grace Poole,16,0.0012470997049517563,0.48586915024011895,0.09076337838338853,0.006979161832617417,117
Mrs. Rochester,15,0.0003489514272261876,0.47177523595834453,0.08326141724402185,0.0031908371765517664,43
Georgiana,15,0.003956403050419901,0.4761367943801474,0.07442441183352437,0.007397751251316793,243
Mrs. Eshton,15,8.406906370165159e-05,0.47687157338382047,0.10146299522423281,0.0030319065566250343,14
Abbot,15,0.0017909664704656978,0.4598404457629698,0.06477037620542297,0.0059765613373834806,30
Sophie,14,0.0020588522370286956,0.4835880744173954,0.08219922818490094,0.005818998498584494,38
Theodore,14,0.0035339768086829803,0.3597354825992033,0.0246681120792896,0.00343889727890259,5
Mrs. Poole,14,0.00019569111790787875,0.47467400852951713,0.08712041983603946,0.003262495687079401,22
Mr. Reed,12,0.0008396561455106696,0.47394598090907314,0.07079455658496712,0.0021966393002056015,26
Miss Georgiana,12,0.001650177114525848,0.4632875255662903,0.056968641071674236,0.003254336221350444,21
Wood,12,0.0013985844057729047,0.4696242850345223,0.07104563854598814,0.002404451967073999,13
Pilot,12,0.000612939389519281,0.48434604945566717,0.08119072734978267,0.004976037682382073,55
the Messrs. Lynn,12,0.0,0.47177523595834453,0.08487764410492425,0.0016026396526370678,1
The Ladies Lynn,12,0.0,0.47177523595834453,0.08487764410492425,0.0016026396526370678,1
Mr. Eyre,11,0.000630956956240791,0.47105606639133485,0.0639278353230884,0.0026457319308729717,20
Carter,11,0.0009506658644960444,0.4724966048206662,0.07279143981487672,0.0031815273941610683,33
Janet,11,0.00033668497194728526,0.47033908607719277,0.07312368158216465,0.004041539088981779,37
Bigamy,11,0.0,0.4689116533425124,0.07041978401938141,0.001566905487469488,1
Mr. Oliver,11,0.0045863696910984466,0.45644428294345,0.03912861294556312,0.003437677341272263,27
Céline,11,0.0012469426207445376,0.4761367943801474,0.06621248766076121,0.0033457631490108088,31
Dick!—never,11,0.0,0.4689116533425124,0.07041978401938141,0.001566905487469488,1
Rosamond,10,0.0020893155801002426,0.45644428294345,0.03865419187853613,0.003259732236882906,45
Miss Wilson,9,0.0036964066160790317,0.3355187617293329,0.008485119627326633,0.002875028015345492,2
Madame Joubert,9,0.00019940865434229892,0.33845868516179156,0.013556310053240523,0.002647512267092109,9
Robert,9,0.00044308639163206736,0.47467400852951713,0.05609145533096554,0.0026570569879890756,21
Miss Scatcherd,9,0.0002198111023989618,0.44980026135766477,0.035714769742842024,0.004020258736360852,39
Miss Oliver,9,9.220899795979669e-05,0.4557710612871912,0.04465442346041867,0.0032525052302038527,78
Miss,9,0.0001200088073759882,0.4639831524815551,0.058842890754274076,0.002437054791478049,16
Mrs.,9,0.00170308304328115,0.4557710612871912,0.03590809921248244,0.001743832847331547,2
Mr. Edward,8,0.0010381625886410964,0.4776086237290814,0.06143366567041418,0.002360550213329731,70
Mr. Lloyd,8,0.00011726586130616605,0.45177306952151414,0.04489562394971187,0.0034643474910969335,39
the Honourable Blanche,8,0.0005640941620297725,0.4646808715078431,0.056898751847953295,0.0017575780502888853,7
Miss Wilsons,7,0.0,0.3347917438274276,0.008228948711966567,0.0020390470955620583,1
Daniel,7,0.00012083230933071187,0.44655025946924226,0.029360669067365678,0.0017793661601859293,3
Meantime,7,0.0,0.45177306952151414,0.04789413468767417,0.0011898242183965657,1
the rigorous Sibyl,7,0.0,0.45177306952151414,0.04789413468767417,0.0012879011903105585,2
Madame Jouberts,7,0.0,0.3347917438274276,0.008228948711966567,0.0020390470955620583,1
