character,degree,betweenness,closeness,eigenvector,pagerank,frequency
Elizabeth,97,0.2925287835927601,0.8169934640522876,0.27077911447024255,0.15838253803793825,4371
Jane,71,0.08814813496679666,0.6983240223463687,0.2434377710961957,0.06555295752903603,998
Lady Catherine,69,0.08061587746079253,0.6906077348066298,0.2381515128139374,0.04827919296670935,621
Lydia,66,0.0870499360957612,0.6793478260869565,0.22436879759686315,0.041949428227792095,412
Mr. Darcy,65,0.09145186997399235,0.6756756756756757,0.2236380480988079,0.07875356506944821,1711
Mr. Collins,54,0.041432491668322975,0.6377551020408163,0.20655425350397869,0.038514614317761244,738
Wickham,53,0.04606338073993911,0.6345177664974619,0.20341396318809027,0.03795692648020379,580
Mrs. Bennet,51,0.0748598990159699,0.628140703517588,0.19288853730853003,0.0399813526557136,621
Mr. Bingley,50,0.04726815261835011,0.625,0.18572602302598964,0.045379563301539784,720
Colonel Forster,39,0.030723440175607228,0.5924170616113744,0.14923037725061677,0.012035015724270633,65
Charlotte,36,0.013449441322972934,0.5813953488372093,0.1541348814555375,0.021549859680075455,263
Mrs. Gardiner,36,0.012437496289554024,0.5813953488372093,0.16040189529935778,0.016951454767627036,174
Miss Bingley,34,0.010765663350148173,0.576036866359447,0.15569377039980786,0.023259363654328208,318
Miss Lucas,30,0.008648371594535397,0.5656108597285068,0.13868000441957407,0.010777786487514925,71
Mr. Bennet,30,0.026887830049657228,0.5681818181818182,0.13972153394494602,0.019988214488345778,378
Miss Darcy,29,0.009672424304316701,0.5580357142857143,0.13174627912648282,0.011273417413462144,120
Sir William,28,0.006655923465093343,0.5605381165919282,0.13868848913414739,0.01250268016572623,162
Mr. Gardiner,26,0.007526102281106318,0.5580357142857143,0.12555598297616113,0.009641995630426472,106
Mrs. Phillips,26,0.010087413286292238,0.5506607929515418,0.12661073434171383,0.0072625934133292444,68
Mr.,25,0.004181850188113785,0.5458515283842795,0.12291151467878363,0.007906802633150915,20
Maria,25,0.001851293505335078,0.5506607929515418,0.13487174868698476,0.0068481553094150655,30
the Lucases,23,0.0019592516988213597,0.5458515283842795,0.1200654926558187,0.0056881132334478356,14
Mrs. Collins,21,0.0033263393229518053,0.5274261603375527,0.09483142552293308,0.009678930378716574,60
Mary,21,0.01693026187047101,0.5458515283842795,0.11551679524409211,0.00965849696993255,102
Georgiana,20,0.0017752255684194023,0.5230125523012552,0.09463857978179241,0.0058416631974983835,63
Lord,19,0.0010128980672912693,0.5387931034482759,0.10696432125155957,0.0037838877290522397,6
Phillips,19,0.0009688616238055228,0.5364806866952789,0.105562069810929,0.003828618472948048,9
the Miss Bennets,19,0.0010098371030749984,0.5252100840336135,0.09988982518931937,0.00474663794428295,10
Lady Lucas,19,0.0018656296993359851,0.5364806866952789,0.10700654178504379,0.006349152192085906,29
Mrs. Forster,18,0.00104373519667515,0.5319148936170213,0.09462077287511172,0.0053718568322782545,23
Colonel Fitzwilliam,18,0.0017529334835731964,0.5208333333333334,0.0923669342755237,0.007880959565261641,76
Mrs. Hurst,18,0.001817931347193762,0.5319148936170213,0.09482409318128313,0.0069998471511250665,39
George Wickham,17,0.0009021180917886236,0.5296610169491526,0.10528666811776335,0.004168104937944773,14
Mrs. Long,17,0.0161028458265642,0.5296610169491526,0.0790289836470483,0.005989131041253477,35
Pemberley,16,0.0007568098243764443,0.5252100840336135,0.08982034125898945,0.004126181014321129,14
Miss de Bourgh,16,0.0006059420549103704,0.5122950819672131,0.08813506227564022,0.0060947777499146625,39
Harriet,16,0.0027040382872345926,0.5122950819672131,0.0768906616122544,0.003816583510176038,9
Pratt,16,0.0027040382872345926,0.5122950819672131,0.0768906616122544,0.003816583510176038,8
Caroline,15,0.0006006086148021633,0.5060728744939271,0.08176841084461497,0.004504682666448238,38
the Gardiners,14,0.00027935684387297283,0.51440329218107,0.08135378900892502,0.0030479200321251307,12
Longbourn,14,0.00016162820944604623,0.5230125523012552,0.09126881484875084,0.0032441593061560306,8
Gretna Green,13,0.002149619143294483,0.49800796812749004,0.05220946895522805,0.00370901350670731,2
Mrs. Jenkinson,13,0.0007900413733430811,0.49019607843137253,0.06414589483252267,0.004618671189765769,12
Hill,13,0.0011162020181646954,0.5165289256198347,0.07086021473767104,0.0029282234903940337,10
the Phillipses,13,0.00014016084506143084,0.51440329218107,0.07945815727838881,0.00250129463866468,3
Chamberlayne,13,0.0,0.5060728744939271,0.07310729611804254,0.002689385629018168,3
Mr. Jones,13,9.135081658800823e-05,0.51440329218107,0.08187569240299243,0.0027966475414039284,12
John,13,0.0002586018725312658,0.508130081300813,0.07343141805202981,0.002442678595023386,2
Pen,13,0.0,0.5060728744939271,0.07310729611804254,0.002689385629018168,2
Miss King,12,0.00015400921658986175,0.51440329218107,0.07829287493482917,0.002974654064060603,20
Mrs. Wickham,12,0.0019402192088727851,0.508130081300813,0.06732108342440132,0.003002161478527483,5
Rosings,11,0.00016929480808038685,0.49603174603174605,0.06530591864245018,0.003190211306572557,7
Anne,11,0.00012683194941259457,0.49019607843137253,0.05886892938669015,0.002586735553787146,11
Meryton,11,0.00018144894321364913,0.51440329218107,0.07146199612165652,0.0029630948949826257,7
Lucas Lodge,10,7.432005060088551e-05,0.49800796812749004,0.05878177707079553,0.002324204596692842,2
Mr. Hurst,10,0.00019331436186274893,0.49019607843137253,0.050756112382125684,0.0049866819388603035,49
Wednesday,9,0.0,0.49019607843137253,0.052201732289698745,0.0020530562937947756,1
Sally,9,0.002387937073986791,0.49603174603174605,0.04457746467764822,0.0025764627450228453,2
W.,9,0.0,0.49019607843137253,0.04496119038063626,0.0026018709211655146,2
Mrs. F.,9,0.0,0.49019607843137253,0.04496119038063626,0.0026018709211655146,2
B.,9,0.0,0.49019607843137253,0.04496119038063626,0.0026018709211655146,1
Colonel F.,9,0.0,0.49019607843137253,0.04496119038063626,0.0026018709211655146,13
Netherfield,9,2.5806451612903226e-05,0.5020080321285141,0.06487381418307084,0.002300028082789566,3
_,9,7.946032462161495e-05,0.49407114624505927,0.05360549276086299,0.002216328832374726,3
Louisa,9,0.00018865059671511285,0.49407114624505927,0.048375461741594655,0.002866046064936488,10
Charles,8,5.273937532002048e-05,0.4844961240310077,0.04305495643452813,0.0022844453945522654,24
Captain Carter,8,0.0017212129738425556,0.4734848484848485,0.03934235448046414,0.0031917731516732353,8
the ----shire,8,1.6129032258064517e-05,0.49603174603174605,0.05029600011033761,0.0020801357930882456,2
Hunsford,7,1.4336917562724014e-05,0.4789272030651341,0.046583290456659064,0.002181120491243524,3
Heaven,7,0.0,0.49800796812749004,0.051922448570706325,0.001998622446131269,4
Mamma,7,0.0024733331699685434,0.48828125,0.033199931807924,0.002546001727451407,5
Dove Dale,6,0.0,0.4752851711026616,0.03527316085550978,0.001861865765349807,1
