character,degree,betweenness,closeness,eigenvector,pagerank,frequency
Wilhelm,121,0.2766351105082015,0.4601689601689602,0.41060206899853174,0.13193285330422563,6159
Philina,44,0.027395695792786653,0.326381818394598,0.2552270069738509,0.03423298501835363,727
Serlo,39,0.02791704433708907,0.3143307974077205,0.2299092968553589,0.02780301682943335,479
Melina,37,0.01577162562271061,0.30863295817978603,0.2417833227134424,0.021792227308815,313
Aurelia,34,0.010370830703884433,0.3114558206021621,0.24779624168503067,0.022639817930590764,475
Mariana,29,0.011966891876041445,0.3031380093694634,0.1921213733658428,0.017616303866769083,542
Laertes,28,0.0042938384872976566,0.3031380093694634,0.22109222690929303,0.01831212382057972,224
Mignon,27,0.005774254395086981,0.30224115135357743,0.20948677173811994,0.02118258709048066,391
Hamlet,24,0.008599984495064921,0.2978353036662075,0.17875828536939115,0.009370408480706204,93
Theresa,21,0.011113525153854357,0.2935560607974401,0.16325095494822908,0.01275502924705862,563
Felix,17,0.0047802665833532034,0.28776763142960327,0.16057543342144412,0.010974600649332571,100
Shakspeare,17,0.004111565152334158,0.2902201964701965,0.12804458602861943,0.006807506041411954,43
Jarno,17,0.004420289560277623,0.2902201964701965,0.132688342635337,0.012240877851919327,342
Lothario,16,0.0031928903380764673,0.28939804293911947,0.13394244901992786,0.012788879577331153,256
Horatio,13,0.009811682247083519,0.28065249768546474,0.09634432588900102,0.004645305383439604,25
Elmira,13,0.00016885347767700708,0.2829847899099977,0.12235845516949423,0.003542249572160649,9
Germans,12,0.011542107326914889,0.2837708587708588,0.08118091809189987,0.003471843129072918,16
Friedrich,12,0.00012165122459240108,0.28456130684542946,0.1367815172920003,0.00475854288344353,34
the Ghost,11,0.0005093527266642471,0.2822030639710198,0.11313071405676227,0.002941216290670621,10
God,10,0.0007597285332676165,0.27535716754045597,0.057547738966487016,0.005445472791541651,51
Saul,10,0.0021348673248563713,0.2731484202072438,0.04942341672917749,0.003688566954108962,12
David,10,0.00201127476428902,0.27242002442002444,0.05042025425000855,0.00437580764092454,24
Werner,10,0.0008941347742252719,0.2822030639710198,0.10024110710999985,0.0057901347887958235,172
Nature,10,0.0,0.2798835867329018,0.12049517995680063,0.0015594318808108696,4
the Amazon,10,0.0,0.2798835867329018,0.12049517995680063,0.0015594318808108696,3
