character,radius,mentions,degree_centrality,eigenvector,pagerank
Mr. Lorry,0.13840697091755022,1749,0.3851851851851852,0.33147338560389533,0.12434522306177127
Lead,0.38278539762485136,1,0.007407407407407408,0.021702168479648187,0.0013626247391643929
Mam’selle,0.32924582963887594,2,0.007407407407407408,0.021702168479648187,0.0016223083018581975
Recalled--,0.29959161198518586,1,0.007407407407407408,0.021702168479648187,0.0013626247391643929
Tellson,0.4372678220152265,81,0.16296296296296298,0.1753298436447967,0.025643106544230104
Miss Manette,0.1952678480788343,108,0.08148148148148149,0.14385050233852206,0.015406392076659243
Providence,0.9482932917558751,2,0.014814814814814815,0.021795596617910622,0.0036089283493444587
Defarge,0.6608254541326177,289,0.16296296296296298,0.1705198086175982,0.02554315915847055
Courage,0.6208849065527681,1,0.014814814814814815,0.032866412055326054,0.0016642110464868752
Monsieur Manette,0.6681335500093702,18,0.014814814814814815,0.032866412055326054,0.0022254809165031617
Hark,0.3250121500249024,1,0.007407407407407408,0.021702168479648187,0.0013626247391643929
Madame Defarge,0.2657460267990056,939,0.22222222222222224,0.24204068038455023,0.052416969190654875
Mrs. Cruncher,0.7656644626094643,45,0.044444444444444446,0.06579377975742853,0.007942536792707877
Mr. Cruncher,0.48944000716512787,484,0.20740740740740743,0.21337616439205623,0.03758294173738633
Darnay,0.26488999276041075,940,0.25925925925925924,0.2809375939420271,0.07290650149893936
the said French Lewis,0.2746039267842025,4,0.014814814814814815,0.04009566630116744,0.0016085171500784025
Barsad,0.6568009196679148,18,0.08148148148148149,0.11280068733930926,0.005934752551613894
Mr. Attorney - General,0.6596204133232528,1,0.014814814814814815,0.029087435676282608,0.0017229404999892519
Mr. Carton,0.24183296091979065,228,0.08888888888888889,0.1573296802983668,0.018011483305768402
Doctor Manette,0.188073078543849,333,0.14814814814814814,0.21625490507569636,0.039550803362802034
Lucie,0.23763546349444795,578,0.2518518518518519,0.27019498671226394,0.05781671678576498
Mr. Stryver,0.2335318551825331,519,0.16296296296296298,0.17581252714866039,0.03233833891607922
Lord,0.2275281148886393,2,0.02962962962962963,0.06808648775359477,0.002350843099554343
Miss Pross,0.5219649001699467,510,0.25925925925925924,0.24810379664567334,0.06219288884419234
Art,0.7479918779009482,1,0.02962962962962963,0.05318967339291607,0.0024050074254364753
Nature,0.805612183786599,2,0.044444444444444446,0.05749847797264487,0.00392383965014335
Solomon,0.6963467052378365,34,0.06666666666666667,0.08308453645826923,0.009750440601725028
Ladybird,0.6855573314771599,21,0.037037037037037035,0.059217777311735297,0.005961109824379718
the Manettes,0.5483859243664246,1,0.022222222222222223,0.0446921013740167,0.0019149915175716227
Mr. Stryver--,0.3166259861866005,1,0.007407407407407408,0.021702168479648187,0.0013626247391643929
Tellson’s,0.438088871487373,1,0.014814814814814815,0.03321293601249746,0.0016243796757795586
Mrs. Lorry,0.2798318017910869,2,0.007407407407407408,0.021702168479648187,0.0013626247391643929
God,0.1694309425120518,22,0.0962962962962963,0.1410866976879014,0.0076256193905196576
Carton,0.10451363122499727,827,0.22962962962962963,0.2650288828646152,0.059269409366334326
Darnay--,0.3099645339079233,11,0.02962962962962963,0.06702302999036552,0.0034298302947038542
Lucie--,0.3600948842251291,1,0.007407407407407408,0.021702168479648187,0.0013626247391643929
Monseigneur,0.8472224188132165,177,0.08148148148148149,0.07810786319891849,0.010205725573662528
Monsieur,0.7223544869254501,18,0.05925925925925926,0.08264659109462762,0.005690782745294449
Monsieur the Marquis,0.8007259644800269,88,0.07407407407407407,0.0957248163492998,0.006283467535978407
Earth,0.33676398388928364,1,0.007407407407407408,0.021702168479648187,0.0013626247391643929
Noon,0.44297382312247907,1,0.02962962962962963,0.06926499135168511,0.0021498391181869123
Fate,0.3317972967885977,2,0.022222222222222223,0.05523917395707798,0.0019008244570255855
Heaven,0.2653969578039995,12,0.06666666666666667,0.12986266288183088,0.005098659367072884
the Fairy,0.4087934004213928,1,0.022222222222222223,0.05563613726190221,0.0018886593790403369
Mr. Barsad,0.15235991235237825,107,0.11851851851851852,0.18956618342552217,0.015103986890266204
