character,radius,mentions,degree_centrality,eigenvector,pagerank
Adam,0.044738538338030966,5269,0.5033557046979865,0.2660162086750084,0.1267114194655581
Dinah Chapter LIII,0.8923957562525916,1,0.006711409395973154,0.008648394167839893,0.000972751565480808
LI,0.8970240904471343,1,0.006711409395973154,0.00864839416783989,0.000972751565480808
Seth,0.4491761602476063,866,0.2684563758389262,0.18068790821148825,0.041604171483357565
Jim Salt,0.685122395830041,1,0.010067114093959731,0.016420004164683803,0.0006912628163871723
Sandy Jim,0.745277340504638,24,0.07046979865771812,0.07477927471720175,0.0035500560033661305
Ben Cranage,0.5513828267802996,6,0.013422818791946308,0.023572917400327013,0.0007637377820354552
Ben,0.4941422610954821,165,0.14093959731543623,0.11635060228721002,0.00845101543109269
Methody,0.637288598931121,2,0.020134228187919462,0.029159164583239815,0.001081710739506862
God,0.353003192399478,220,0.2046979865771812,0.1607661167531799,0.019612180592564598
Mester Irwine,0.3967162675369524,5,0.03355704697986577,0.05071077539661649,0.0013593233328976209
Methodist,0.5445843694139658,7,0.0436241610738255,0.06155680082606056,0.0018055229659897335
Josh Tod,0.6312904641085894,1,0.003355704697986577,0.008376081241790507,0.0005592577671377462
Gyp,0.40660015851142534,103,0.04697986577181208,0.05971820431442229,0.005443770697299541
Mum Taft,0.7111177567470217,7,0.013422818791946308,0.0200835482101504,0.001133144682716448
Dolly,0.6762980645998472,11,0.03691275167785235,0.03957572179062499,0.0016636344595502067
Molly,0.18521111610433771,171,0.16442953020134227,0.14538347149257,0.01376998997105484
Milton,0.7249887437959363,1,0.006711409395973154,0.011500735075874133,0.0006400878720544771
Mr. Casson,0.5548168979686061,107,0.1040268456375839,0.09923597233245972,0.005800971110302197
Captain Donnithorne,0.38306909746510587,202,0.17785234899328858,0.14726673689293207,0.011045927414977563
Lord,0.7511148424505916,42,0.05704697986577181,0.0540530057062136,0.0033070445165599253
Parson Irwine,0.8132511446465125,2,0.02348993288590604,0.0229474116773653,0.00120660888884908
Thias,0.47007787451486654,19,0.09395973154362416,0.10154265491184977,0.00459235655426759
Dinah,0.24928894359600712,2275,0.2986577181208054,0.2090362223766875,0.057961793469512884
