character,radius,mentions,degree_centrality,eigenvector,pagerank
Dain,0.09994082404596022,1001,0.4625,0.2535801632119713,0.09825484290725842
Almayer,0.05658432646080205,859,0.8125,0.32396842913171153,0.15178332784591433
Joseph Conrad,0.689892101304436,44,0.05,0.052069653155122374,0.0040227245648064795
Nina,0.15451622970339826,729,0.48750000000000004,0.26616321380414937,0.08793073425328538
Tuan Almayer,0.5508911161364484,15,0.125,0.10637811857531987,0.009177594378287314
Lakamba,0.06899792428154801,180,0.525,0.2695351198028932,0.0621632810844327
Abdulla bin Selim,0.6675280531180183,2,0.0625,0.05747139118021035,0.003269596256076938
Malays,0.4379561218139191,4,0.1,0.09409841309130652,0.005314093818721638
Sambir,0.20290598957736952,17,0.225,0.15578236667608758,0.020109409563117416
Reshid,0.09789551369471411,41,0.17500000000000002,0.13578243074335727,0.012179669702952312
the Rajah,0.043983668108134165,33,0.3375,0.22604132258404241,0.027206512462582353
Tuan,0.7580259804781416,12,0.08750000000000001,0.07394906948508499,0.004328713125675749
Abdulla,0.1287176425471473,131,0.4375,0.24352758209245678,0.037899986677005525
Arab,0.28312741828510274,4,0.2,0.15983000518584478,0.008593807059732768
Babalatchi,0.0732948533310976,655,0.47500000000000003,0.24080628700338694,0.09229685069784853
Bugis,0.5337142525205089,1,0.08750000000000001,0.08368888637403261,0.00381124627087263
the Tuan Putih,0.11922383074126204,7,0.1125,0.10613390782288223,0.00644713659766164
Jim - Eng,0.36413811506769433,19,0.1,0.09688312968370252,0.006746404247928185
Bulangi,0.21103121490175103,40,0.1625,0.13434828784971595,0.013663007559635797
Taminah,0.10270821966804967,91,0.2,0.14244017840056952,0.022421122154192594
Lingard,0.27687718715902604,69,0.3375,0.20452452280705127,0.0224317775746335
Mrs. Vinck,0.544298346995654,9,0.2,0.1507032452035889,0.008985132763770682
Fortune,0.7009102812947662,1,0.0625,0.0615490853343024,0.0034493368372260336
Hope,0.7219150994921659,1,0.0625,0.061549085334302416,0.0034493368372260336
"Babalatchi--""what",0.9332799857379264,1,0.025,0.025901546753758303,0.0023450148845474894
the Dutch,0.031128201433916425,19,0.1625,0.14139173801521587,0.010957751227973826
the Orang Blanda,0.5075961491690175,8,0.1625,0.12773906166834495,0.007999989019901134
Ford,0.19996049410966668,120,0.23750000000000002,0.17732884084009887,0.01763513076938992
Hudig,0.6615179699107955,10,0.23750000000000002,0.15014895560650696,0.014302289802580838
the Arabs,0.17153452349105666,9,0.17500000000000002,0.1431364624022413,0.009266239786521566
Ada,0.5779572544757078,7,0.08750000000000001,0.08341152510428615,0.0049508133405662385
Mahmat,0.42224370521880694,118,0.17500000000000002,0.1123926780870628,0.01785694875748408
Fate,0.664572723098342,1,0.05,0.05236479486084329,0.0028700835972612303
Rajahs,0.7569501401483268,3,0.1,0.07694961908817252,0.004736739238137189
bad Malay,0.7124609174540271,2,0.05,0.0525509820957456,0.0031600749797374176
Run,0.7523789859858703,1,0.037500000000000006,0.03462855702657429,0.0027784959060661012
Ali,0.18192724773768504,206,0.28750000000000003,0.1846930753036217,0.023219513449816372
Ranee,0.7632837022008566,1,0.025,0.030258519141535493,0.0023576983806211952
Gapitan,0.889839110535955,1,0.037500000000000006,0.02732473485565585,0.0029045832507187484
Mr. Vinck,0.8715261675898135,8,0.1,0.04743365608537324,0.00906890148813707
Tom Lingard,0.8637366885209807,18,0.0625,0.040143193556891256,0.005191609826698281
Titans,0.8664360773614361,1,0.0625,0.04014319355689126,0.0036978355295230712
Damme,0.8461147329555596,2,0.0625,0.042076441382837476,0.004090100249826612
Kaspar,0.836722616625369,8,0.1125,0.07704336554825908,0.006748962796420858
the Orang Blando,0.7274199563318436,1,0.05,0.049676223112506114,0.003043019822929596
Jim- Eng,0.4109325030176974,6,0.15000000000000002,0.12180533427341472,0.005753066854453958
Providence,0.5437636453312293,1,0.1125,0.09873813636584122,0.004548450393024078
Co.,0.4167915878057171,3,0.1,0.09472539557476223,0.005663989186389886
Mem Putih,0.6742543216922432,4,0.07500000000000001,0.06284253311165355,0.004535516784016164
Sulu,0.7499207981571865,2,0.1,0.0777439062070401,0.005046604201127098
Datu Besar,0.8531490174291637,1,0.037500000000000006,0.03285212535017637,0.00281964729129931
Misses Vinck,0.7707002968713929,1,0.08750000000000001,0.06432561374589593,0.004194402496435719
Allah,0.5065296058716129,4,0.15000000000000002,0.10663599511444534,0.006880734485165639
Hadji,0.7083104416451321,1,0.07500000000000001,0.06916991445153456,0.0036263905564464733
Poor Almayer,0.6964717736229169,14,0.05,0.050790304550363014,0.004879309989627271
Bah,0.8520629476591194,1,0.037500000000000006,0.032813565192098444,0.0033245902486558447
Inchi Dain,0.8391649827135943,1,0.037500000000000006,0.032813565192098465,0.0033245902486558447
Netherlands,0.7493863874241304,1,0.05,0.04363931731146697,0.002919538428144296
God,0.7593382546053187,1,0.0625,0.0466377626985287,0.0033270093850612205
Mem Almayer,0.7985000871767134,3,0.025,0.02664943534198727,0.0024003507240533675
