character,radius,mentions,degree_centrality,eigenvector,pagerank
Midwinter,0.16034631137317143,4938,0.4853556485355648,0.3014557553206692,0.11331553882673134
Allan,0.21642825474161234,3180,0.5606694560669455,0.33066897103920084,0.13713644795271981
Mr. Brock,0.47169460055708534,1179,0.15481171548117154,0.14380415273713412,0.02800513366390441
God,0.0677796909002246,41,0.08786610878661087,0.1111002654462879,0.006534330013645718
Sophocles,0.9205272341476448,2,0.012552301255230124,0.018283098988698884,0.0017068162305161581
Mr. Armadale,0.19990021758932466,1724,0.4351464435146443,0.28158985080592763,0.0847293307043755
Fortune,0.6183864070860423,3,0.03347280334728033,0.05970364268620677,0.0013125746836266674
Confinement,0.5760938802838151,1,0.012552301255230124,0.03180736802222676,0.0008316696332048578
Mr. Neal,0.8005430292943109,890,0.08786610878661087,0.07327041807211644,0.011663138333885317
Alexander Neal,0.7259508673226663,1,0.0041841004184100415,0.012357465239677129,0.0006942354600011292
Augustus,0.7630170775192285,13,0.09205020920502091,0.1008688952565136,0.004276615828166797
Tommy,0.5087071033746544,13,0.04184100418410042,0.07365519026486929,0.0019257852540729937
Brown,0.8927789161037482,43,0.025104602510460247,0.03980048584272375,0.0018860106594361884
Hunger,0.88592960624745,1,0.012552301255230124,0.02553210146209438,0.0010318252220579663
Wildbad,0.47878035026753013,2,0.012552301255230124,0.03180736802222676,0.0009009050932059868
Mr. Brook,0.4595282654698993,2,0.008368200836820083,0.025912457119364626,0.0007628753745164491
Lady Macbeth,0.44698894467465494,5,0.016736401673640166,0.04187094845681124,0.0009707920964163889
Miss Milroy,0.12031117014955292,731,0.22594142259414224,0.21218938258544007,0.038872821955789005
Tails,0.6612410137274007,2,0.012552301255230124,0.027183207852999304,0.0010229283980543822
Mr. Hawbury,0.4060080448247577,171,0.025104602510460247,0.050178672898082255,0.004177046627077399
the Frenchmen,0.7760421336676174,1,0.0041841004184100415,0.012357465239677129,0.0006942354600011292
La Grace de Dieu _,0.8710299826699069,2,0.016736401673640166,0.020287308855799806,0.001014904182493386
Major Milroy,0.14813135738490335,253,0.13389121338912133,0.16602828951482915,0.016768976919114085
Patience,0.7486100167957158,1,0.0041841004184100415,0.012357465239677129,0.0006942354600011292
Mrs. Blanchard,0.5920744215814203,36,0.06276150627615062,0.08489398090664076,0.004090371286377119
Miss Blanchard,0.3160876753470744,58,0.10460251046025104,0.12518234538114043,0.00666287114760989
Lydia,0.2715856651397905,220,0.10878661087866108,0.1272078768720319,0.009537674108344192
Madeira,0.4228285898718278,1,0.012552301255230124,0.03112704297123235,0.0008473185351104374
Mr. Blanchard,0.7638999867585401,87,0.0794979079497908,0.09244762315801842,0.007101557263177679
Deuce,0.8769386666144331,2,0.025104602510460247,0.034602909176827734,0.0016979432878436638
George,0.7840519528442897,3,0.02092050209205021,0.030479713989759374,0.0014928888332821316
Jolly,0.7993010287274671,1,0.016736401673640166,0.0294101215579796,0.001046426335474897
Richard,0.7917662201031453,27,0.050209205020920494,0.05484450539914052,0.0038502947841187202
Miss Edgeworth,0.6258447075032113,2,0.012552301255230124,0.027494060336190628,0.0009380704699808965
Mrs. Hemans,0.45828011079762015,2,0.016736401673640166,0.03858262055352843,0.0012367781362685364
Meshach,0.8694645598983197,1,0.02928870292887029,0.03636303170654086,0.001567836631080876
Mrs. Gripper,0.7594707956253274,20,0.0711297071129707,0.0876024857036875,0.0034158429275383895
Shadrach,0.8353333782456281,1,0.02928870292887029,0.036363031706540885,0.001567836631080876
Susan,0.8138670627004355,12,0.03347280334728033,0.03970602157879161,0.0017486366184328106
THE MAN REVEALED,0.8672828639675348,3,0.03347280334728033,0.036421824714395715,0.0022537568123635445
Mr. Darch--,0.7327621047590427,1,0.0041841004184100415,0.012357465239677129,0.0006942354600011292
Heads,0.6673166880599696,2,0.016736401673640166,0.03099949017069996,0.001126041136399789
Mr. Darch,0.22691324895288875,76,0.06694560669456066,0.09691306602586362,0.005810750795185988
A. PEDGIFT,0.7559249574356818,1,0.008368200836820083,0.016330187019067983,0.0007714044163524103
Pedgift Junior,0.4506865190442422,642,0.18828451882845187,0.17794000454914644,0.027818588809699285
Mr. Darth,0.7431311629563034,1,0.0041841004184100415,0.012357465239677129,0.0006942354600011292
Darch,0.859422322025388,31,0.03347280334728033,0.04676151747788295,0.002056451231888871
Mrs. Milroy,0.08740028604405835,531,0.11715481171548116,0.15790508057638253,0.01574694368765039
Hercules,0.7716818299959688,1,0.012552301255230124,0.0271619008586062,0.0009441469355800768
Down,0.7574776979233949,1,0.03347280334728033,0.04433124020451159,0.001509825006784073
Hang,0.765497702782597,1,0.03347280334728033,0.044331240204511596,0.001509825006784073
Mrs.,0.7573020098781907,2,0.03347280334728033,0.044331240204511596,0.001509825006784073
Papa,0.1392674199782767,46,0.08786610878661087,0.10624929645340782,0.004989927564005715
the Duke of Wellington,0.8174513178000136,1,0.03347280334728033,0.04433124020451162,0.001509825006784073
Mr. Bashwood,0.19240347375438582,1781,0.20920502092050208,0.19713821529547104,0.03987490181618971
Allan’s,0.40548252667981755,1,0.012552301255230124,0.03461065867381457,0.0008289478788496094
jocosely,0.27594300895909823,2,0.02092050209205021,0.05344799753338832,0.0010369768958958746
St. Peter,0.28521060276905363,1,0.016736401673640166,0.039191338979209955,0.0008931982909072612
