character,radius,mentions,degree_centrality,eigenvector,pagerank
Aurora,0.06838602344672563,1505,0.6875,0.3904762738023344,0.1522539099169722
JOHN MELLISH VI,0.20918756361937307,1,0.015625,0.046055863810658244,0.0013966860319941212
John Mellish,0.1700983222011793,560,0.32291666666666663,0.24257862570830963,0.06252595218969711
Talbot,0.13816881387490515,1062,0.5885416666666666,0.34879509982394585,0.11881192463416793
Archibald Martin Floyd,0.9152527228361628,110,0.08854166666666666,0.055896319501696795,0.012235544793331554
Eliza Floyd,0.8539588148237632,64,0.08854166666666666,0.08539602976383344,0.009930478930345956
Mrs. Alexander,0.3030569189037685,104,0.14583333333333331,0.13845649515538663,0.024408437560315195
Cleopatra,0.8722668727782018,3,0.046875,0.06728602742840151,0.004085228577352323
Andrew,0.882130315663904,4,0.06770833333333333,0.054346788472712446,0.005214912214505913
Catherine of Arragon,0.8849201618317231,1,0.03645833333333333,0.03770454513299022,0.0026785902969446466
God,0.6162571120534474,8,0.07291666666666666,0.09576046403351138,0.005130794740317692
Jerusalem,0.8855484432025037,1,0.03645833333333333,0.03770454513299022,0.0026785902969446466
Juliet,0.8934377143543237,4,0.06770833333333333,0.055305044355992414,0.005172389820073422
Prodder,0.896877301954356,15,0.10416666666666666,0.08482180380942479,0.008255382815947543
Lucy,0.12609362323064915,386,0.4427083333333333,0.3058486640509145,0.07607166398101632
Titania,0.43780245260652306,1,0.015625,0.03915728473429494,0.001398462587684454
Archibald Floyd,0.4438452757160531,221,0.23958333333333331,0.19027311871247693,0.040703483284424705
the Demoiselles Lespard,0.6304505919603082,6,0.05208333333333333,0.07575463637304339,0.004480592715875528
Arnold,0.802912760533115,1,0.026041666666666664,0.039965451472695854,0.002185845233410915
Gibbon,0.7912801608000275,1,0.026041666666666664,0.0399654514726959,0.002185845233410915
Niebuhr,0.7687391338683306,1,0.026041666666666664,0.03996545147269589,0.002185845233410915
King Charles,0.6607516323575494,1,0.020833333333333332,0.041084442112672946,0.0017757987425793941
Mr. Dent,0.669982410306859,1,0.020833333333333332,0.04108444211267299,0.0017757987425793941
Burke,0.16664842352939954,1,0.03125,0.061265926552381715,0.0021473990597836406
Mr. Maldon,0.17728186368588403,11,0.03125,0.06126592655238172,0.003882299313187673
Raleigh Bulstrodes,0.1951281073265919,1,0.03125,0.061265926552381694,0.0021473990597836406
Thunderbolt,0.2086024627225659,2,0.020833333333333332,0.05151394348130248,0.002117227751981701
