character,radius,mentions,degree_centrality,eigenvector,pagerank
Mr. Slope,0.15575695789057906,3550,0.3792134831460674,0.28301183400676244,0.09710895110955353
Bishop,0.41583813046283447,48,0.08426966292134831,0.11968836840919012,0.0046493831269398085
Dr. Grantly,0.2621279432697159,468,0.17134831460674158,0.18791972298780982,0.02369617297619441
Hiram,0.25566525152181435,38,0.0646067415730337,0.10992188158158929,0.003922862506687663
Madeline,0.3180097994724883,318,0.1348314606741573,0.16039269047628604,0.016822653752351615
Miss Stanhope,0.15630323722302272,33,0.0646067415730337,0.12723719798204372,0.004005545449806548
Miss Thorne,0.5600800427922842,534,0.25,0.21430387716226085,0.02882598659780982
Moonlight XX,0.28684576125365074,1,0.042134831460674156,0.08762679527403801,0.0015436291128716924
Mr. Arabin,0.15451450436254924,1800,0.27808988764044945,0.2442291488941882,0.05124717593714218
Mr. Quiverful,0.475683105261882,373,0.09831460674157302,0.12717829376028855,0.015799315315140835
Mrs. Bold,0.11556444545020075,486,0.17134831460674158,0.20172581297042974,0.030446470987389125
Mrs. Proudie,0.23377810433498533,751,0.23876404494382023,0.22209666691370722,0.032238968093732494
the Countess De Courcy,0.3464882348985486,5,0.05898876404494382,0.09672251529605702,0.0026945349726845394
the Lookalofts,0.858625677580548,47,0.09269662921348315,0.10695296349922574,0.006008628529841787
the Stanhopes,0.16303565552636676,60,0.08707865168539325,0.148475290593866,0.006749008294723364
the Widow Bold,0.19540947326859193,6,0.05337078651685393,0.1090707987922875,0.002297307036525345
Dr. Proudie,0.7202041715023073,205,0.07584269662921347,0.07718644670579776,0.007368720315225711
Barchester,0.7799577359718285,6,0.019662921348314606,0.02914589188341264,0.0014195645285965802
Mr. T. Shandy,0.8126304130596673,1,0.0056179775280898875,0.011124112442273485,0.0005856817790717776
Miss Proudie,0.8295814537681837,1,0.011235955056179775,0.015489548185528387,0.0008017114456575322
Olivia,0.8372228409678661,18,0.033707865168539325,0.047502524802468436,0.0021845516960758535
the Misses Proudie,0.8241506631492873,2,0.019662921348314606,0.026956985095422492,0.001114857089429851
"Mr. Slope,--would",0.44775834129306386,1,0.0056179775280898875,0.01800014317686428,0.000558014677758213
God,0.12304497763891492,74,0.08707865168539325,0.11229095790978356,0.006916666468354719
the Puseyites,0.5406980788698914,1,0.0056179775280898875,0.014087085922619154,0.0005645886216852099
Elizabeth,0.6295163771059715,6,0.019662921348314606,0.04629760565923403,0.0013756105037177621
Christians,0.7149360751669853,1,0.008426966292134831,0.017402360927807763,0.0007687461746272341
an Ernulfus,0.7235389980927038,1,0.008426966292134831,0.017402360927807753,0.0007687461746272341
Mr. Harding,0.2671159074059913,1577,0.21348314606741572,0.2038245334020312,0.04434804828060499
Mr.--oh,0.5403582054658341,1,0.014044943820224719,0.03314145155490926,0.0008286585910299586
St. Cuthbert,0.5225278677036923,2,0.014044943820224719,0.03314145155490925,0.0008286585910299586
Archdeacon,0.3796772700034183,40,0.042134831460674156,0.08354568634008641,0.003185704192182965
Dr. Stanhope,0.17700419735230044,140,0.08426966292134831,0.1418903517233968,0.008924470732646347
St. Paul,0.7941423250101716,13,0.03932584269662921,0.04103549868287575,0.0031014761921547996
