character,radius,mentions,degree_centrality,eigenvector,pagerank
Lady Delacour,0.08140499448972667,5114,0.6501457725947521,0.32067965651372626,0.12325026712191513
Belinda,0.03805998232679804,4338,0.597667638483965,0.30315202376548944,0.129761027497058
Mrs. Stanhope,0.21955031003139647,214,0.15160349854227406,0.13767638733219462,0.015350388034850481
Lady Delacour.--Your,0.7677897128167962,3,0.0058309037900874635,0.014252407019535594,0.0005404131000792681
Mr. Hervey,0.2842166298552304,3528,0.5043731778425656,0.26470392113055374,0.09636495931073233
O Lord,0.7057908708914612,1,0.0058309037900874635,0.01820227991570409,0.0005389175830087824
Mrs. Luttridge,0.2173085918823253,243,0.1924198250728863,0.16660136307865855,0.016722988336894958
Miss Portman’s,0.26074544565521246,2,0.023323615160349854,0.049622780176876796,0.0010248943813444427
Venus de Medici,0.6280692595094589,3,0.026239067055393587,0.046512606524123555,0.0012206052556784483
Lord Delacour,0.1254047538981126,335,0.21282798833819241,0.18555580420246334,0.026458429931820637
Marriott,0.34702476832101675,1094,0.24198250728862974,0.19546286770820218,0.031238926507082647
Belinda?--O,0.5830530061256565,1,0.008746355685131196,0.02547565265819509,0.000588010528714109
Harriot,0.7163053803743893,186,0.1457725947521866,0.13398210770069727,0.009860278003474835
Lady Singleton’s,0.42943878033848687,4,0.02040816326530612,0.043751716426894315,0.000849671644644499
Mrs. Freke,0.22610646157648248,441,0.13702623906705538,0.1453187140272639,0.014152852335384977
not?--we,0.48723397538837915,1,0.02040816326530612,0.043751716426894315,0.000849671644644499
Lady Singleton,0.41056036929556233,15,0.061224489795918366,0.07674811525159485,0.0030955822526561776
Poor Belinda,0.5548513428449351,4,0.011661807580174927,0.027862106139575734,0.0006537914283683928
Lord,0.2146882151938473,25,0.09620991253644315,0.11931346952228793,0.004624445924999554
Fuseli,0.4432421358212086,1,0.011661807580174927,0.030015130385872085,0.0006552226980454734
Jenny Mason,0.8074549607728473,14,0.01749271137026239,0.02701679837949239,0.0009113636576846835
Packwood,0.7647145336074366,2,0.026239067055393587,0.04005736963930489,0.0012331007187776327
Tom Levit,0.8390439269342695,3,0.01749271137026239,0.027016798379492384,0.0009113636576846835
the honourable Mrs. Levit,0.8763624257678935,15,0.03498542274052478,0.04027541105595318,0.001686706964405638
Clarence Hervey:--let,0.8014510048577744,1,0.0029154518950437317,0.009971412069030954,0.0004875772216456849
Melpomene,0.4073414016776184,1,0.008746355685131196,0.027628676904491455,0.0005894417983911897
Clarence Hervey,0.7144940509386153,105,0.10204081632653061,0.0909720568291191,0.00654034444675495
Mrs. Franks,0.4436625151007595,36,0.06705539358600583,0.08126214479166319,0.004096665045205744
the celebrated Mrs. Bellamy,0.7464151774237827,1,0.008746355685131196,0.01857607118411826,0.0006008111004844937
Lady Delacour’--Mrs,0.8218205287826145,1,0.014577259475218658,0.022091747209269177,0.0008066720945315528
Phillips,0.8508698986028876,1,0.014577259475218658,0.022091747209269177,0.0008066720945315528
Gil Blas,0.7568908149905609,2,0.0058309037900874635,0.01574119929413355,0.0005365733860891735
Champfort,0.178610124925332,109,0.08163265306122448,0.09826308669864414,0.00831215349526404
Percival,0.8045918442601462,21,0.011661807580174927,0.021625394177499268,0.0006604500343762323
Lawless,0.6111816897660206,79,0.06705539358600583,0.07674598141944362,0.0041331843152130135
Eclipse,0.9072385606116542,1,0.02040816326530612,0.025075172440517057,0.0010427228049174628
Goliah,0.9081924354605007,1,0.02040816326530612,0.025075172440517057,0.0010427228049174628
Jenny Grey,0.9199881559316757,1,0.02040816326530612,0.025075172440517046,0.0010427228049174628
Potatoe,0.906869512731067,1,0.02040816326530612,0.025075172440517032,0.0010427228049174628
God,0.5400106692768688,12,0.07580174927113703,0.08703145515388613,0.002883336475318123
Herod,0.8486879564039003,1,0.02040816326530612,0.02602927912547184,0.0009650305965573374
Mrs. Luttridge’s;--she,0.8664387297794957,1,0.02040816326530612,0.02602927912547188,0.0009650305965573374
Sheridan,0.8804448740780371,1,0.02040816326530612,0.02602927912547186,0.0009650305965573374
Sir Bertrand,0.825470408584755,1,0.008746355685131196,0.01518654073970274,0.0006179134472465785
the celebrated Mrs. W----,0.8040956511810946,2,0.008746355685131196,0.01652392192880893,0.0006062714584519058
Marriott!--surely,0.5727070829098517,1,0.014577259475218658,0.03363182701397839,0.0006986631238489815
Burke,0.7106172230577387,1,0.03498542274052478,0.05384729298394209,0.0011568201596179948
John Bull,0.6800331775661522,1,0.03498542274052478,0.05384729298394209,0.0011568201596179948
Mr. Luttridge,0.5442260319845452,10,0.061224489795918366,0.086897120713975,0.0022110493220519403
Reynolds,0.6607436244700081,1,0.03498542274052478,0.053847292983942106,0.0011568201596179948
poor Lawless,0.7305844299328536,7,0.061224489795918366,0.07293152371734607,0.002683117482819889
the Luttridges,0.749867168879895,6,0.06705539358600583,0.08202074703378304,0.0028767409584595327
Lady D----,0.6678651918878363,4,0.06705539358600583,0.08642705834352779,0.0026422708747709618
Lady D----‘s,0.8001964903178672,1,0.014577259475218658,0.023075385219185614,0.0007902208789421423
Mrs. L----,0.8246190350486252,3,0.014577259475218658,0.023075385219185594,0.0007902208789421423
Bluebeard,0.8241427427862157,3,0.03206997084548105,0.04191561169398433,0.0012308466759620741
Lady Anne,0.04319811978447438,442,0.1661807580174927,0.14408860976575807,0.024463710599851106
Miss Honour O’Grady,0.8291513843597662,8,0.023323615160349854,0.03452070117218478,0.0009477028853769843
The Duke de la Rochefoucault,0.820954645412554,1,0.023323615160349854,0.03452070117218475,0.0009477028853769843
Old England,0.8323889209929819,1,0.0058309037900874635,0.012800153609022051,0.0005562570165551946
Mr. Freke,0.6963127922695959,14,0.03498542274052478,0.04891198783400126,0.0012713942950537689
One,0.6738453820298349,1,0.03206997084548105,0.05358448771617624,0.0010986134863678772
Stanhope.--Mrs,0.695097761400218,1,0.03206997084548105,0.053584487716176264,0.0010986134863678772
the French,0.6932314747260993,1,0.03206997084548105,0.05358448771617624,0.0010986134863678772
Brady,0.7784633139802835,2,0.03206997084548105,0.046291439828621064,0.0011012201979704467
the Chiltern Hundreds,0.8436564012511009,1,0.03206997084548105,0.046291439828621044,0.0011012201979704467
Camilla,0.7099793244100467,1,0.011661807580174927,0.022628241132373328,0.000763751095018157
Mrs. Mitten,0.7459542057777522,1,0.011661807580174927,0.02262824113237334,0.000763751095018157
Lady C----,0.6323029347863383,1,0.011661807580174927,0.028515350905785452,0.0007484820538043429
Zara,0.6614989612958355,1,0.011661807580174927,0.028515350905785435,0.0007484820538043429
Lady Boucher,0.5981739104378394,72,0.0641399416909621,0.08174837894603422,0.005756292360743184
Mr. Daghlberg,0.8753976916104664,1,0.011661807580174927,0.019928447283092825,0.0007828535442297961
Quassi,0.8642082476870562,1,0.011661807580174927,0.01992844728309283,0.0007828535442297961
de Pomenars,0.8621047737872665,10,0.029154518950437316,0.0355849298221037,0.0023665045292443417
Mad,0.8566841033457403,9,0.03498542274052478,0.04403135598290481,0.0021183768804947144
de Grignan,0.8696142375620248,5,0.023323615160349854,0.03438296933482981,0.0018838145188166244
de Sevigné,0.8718955634016994,3,0.02040816326530612,0.03191769143344545,0.001228254194489518
Lady Delacour--“it,0.8681462075374737,1,0.01749271137026239,0.023935041066717854,0.0008654199097602596
Miss Portman?--I,0.6201400636135852,1,0.008746355685131196,0.02178426253919897,0.0006038823366823759
Iris,0.4429894866542333,1,0.008746355685131196,0.027628676904491455,0.0005894417983911897
Heaven,0.294969244316895,5,0.02040816326530612,0.04402392477865522,0.0011013340129778354
Clarence,0.5653860361907145,7,0.0058309037900874635,0.019397809057818332,0.00058963214704587
Rochfort,0.7036151313156414,68,0.09912536443148688,0.0933664918566021,0.008866086771109706
Sir Philip,0.16070979685257838,386,0.19825072886297376,0.16773846254310038,0.02231385751341354
Dr. X----,0.2835953118292164,264,0.12244897959183673,0.11991056881466103,0.014100647393352038
Mr. Percival,0.05020781372723175,376,0.14285714285714285,0.13836997427564418,0.018206999911904005
Helena,0.10861076313890858,497,0.13702623906705538,0.13512358655544945,0.02124259478324203
Herodotus,0.7581081573170274,1,0.01749271137026239,0.031411768860314805,0.0008030418964336474
Ives,0.7513822317962522,1,0.01749271137026239,0.03141176886031483,0.0008030418964336474
