character,radius,mentions,degree_centrality,eigenvector,pagerank
Bébée,0.20057087116099903,2872,0.75,0.490057233123794,0.25980941605257263
Antoine,0.23078018600725175,108,0.27884615384615385,0.29868404962967554,0.0540888209817133
Father Francis,0.3959069003134572,58,0.09615384615384616,0.13428798273860357,0.02298555187442322
Jesus,0.35459773275384576,8,0.009615384615384616,0.038179031944909424,0.0020613658086448255
Colin Maillard,0.12473844751271035,1,0.019230769230769232,0.06144869740736294,0.00267430611549417
God,0.05893957621834021,50,0.23076923076923078,0.22631886232337825,0.04666885987240679
Providence,0.10081990500886538,1,0.019230769230769232,0.05581092163114344,0.002690960833188082
Christ,0.4269549502138189,5,0.028846153846153848,0.0676652836172805,0.005766076449638947
Christine,0.7713768708423119,2,0.028846153846153848,0.04612336145766898,0.003874604058656355
Jeanne,0.7247611304664761,4,0.028846153846153848,0.046123361457669,0.005331656015719232
Jules,0.734091640642589,8,0.038461538461538464,0.055848216702414376,0.005335331801482115
Laeken,0.5945978097738742,2,0.019230769230769232,0.0414047650660196,0.0037591893848899632
Old Gran'mère Bishot,0.5716691561755778,5,0.019230769230769232,0.04140476506601959,0.0037591893848899632
Charity,0.6001732528226437,1,0.028846153846153848,0.051703570030280185,0.0034884823864137545
Trine,0.6216375890182285,24,0.038461538461538464,0.07329138712338175,0.006889073029439817
Varnhart,0.567686552092743,5,0.06730769230769232,0.10030645901786653,0.008179802132177054
Tambour,0.21713877233873735,5,0.009615384615384616,0.038179031944909424,0.0026941601887182217
Lisa,0.22808520905954402,31,0.08653846153846154,0.1345508503261837,0.014993037422575328
Mère Krebs,0.2170042627317691,23,0.14423076923076925,0.21710971496767428,0.01892715074878597
Egmont,0.7949859973141512,2,0.028846153846153848,0.06182394066797137,0.005122116608662803
St. Gudule,0.03109020681888148,4,0.038461538461538464,0.08576207837375147,0.006040321972251425
the Broodhuis,0.5669431444198392,8,0.028846153846153848,0.054856831130538075,0.006531083110958705
John,0.2969122259494364,7,0.028846153846153848,0.06652576092027508,0.004139267939761365
Agnes,0.26256822188165907,1,0.009615384615384616,0.038179031944909424,0.0020613658086448255
St. Hubert,0.9798704289063717,2,0.028846153846153848,0.03868835328187674,0.007211155713695229
Mary,0.3216112130798172,18,0.09615384615384616,0.1363772285335257,0.01041608924696879
Bac,0.402697060510906,9,0.09615384615384616,0.16261367596747783,0.011379561476645173
Père Melchior,0.253959624677926,1,0.009615384615384616,0.038179031944909424,0.0020613658086448255
Mieris,0.12337003600175363,3,0.019230769230769232,0.05581092163114344,0.003323755213261478
Desdemona,0.3141742017544654,2,0.009615384615384616,0.038179031944909424,0.0020613658086448255
Annémie,0.4680024868627646,110,0.13461538461538464,0.2051515439390443,0.02604530228380253
Flowers,0.656985839040164,4,0.038461538461538464,0.06516801424199663,0.0048950844585824915
Jordaens,0.26071482744452795,1,0.009615384615384616,0.038179031944909424,0.0020613658086448255
Rubes,0.3551132210933941,10,0.10576923076923078,0.1752317163421134,0.013129928884863968
Flemish,0.4606519447878697,2,0.08653846153846154,0.15227138095821274,0.007776785680197733
French,0.5062414947141083,1,0.07692307692307693,0.14404878643450153,0.006503511363375944
the Netherlanders,0.48843134343195477,2,0.08653846153846154,0.14785762657208057,0.007989726857153151
Michael,0.03799238634475595,2,0.038461538461538464,0.08576207837375148,0.004037309121016747
Jeannot,0.21915270723737246,173,0.21153846153846156,0.2441907311953861,0.05535239860826596
Soignies,0.23691493030221483,1,0.019230769230769232,0.05720327053747463,0.0026494184869367823
Procne,0.7646793768059507,1,0.019230769230769232,0.041404765066019596,0.003584867815206669
Swallows,0.7814045959754151,4,0.019230769230769232,0.04140476506601956,0.003584867815206669
Sun,0.9378113739725334,5,0.019230769230769232,0.038412176422145554,0.0051298674989993884
Flamen,0.6295313025146956,147,0.13461538461538464,0.13907874523647176,0.041960488162900086
Victor,0.45206552595201144,2,0.028846153846153848,0.06803851894997959,0.003907856090567822
Franz,0.2807241837191993,10,0.019230769230769232,0.04589637976795961,0.005913509527088052
Paul,0.7739568952582014,1,0.019230769230769232,0.04140476506601958,0.003584867815206669
Virginia,0.8006616740343558,1,0.019230769230769232,0.041404765066019596,0.003584867815206669
