character,radius,mentions,degree_centrality,eigenvector,pagerank
Alice,0.15759914525267862,8120,0.49299065420560745,0.3411896500861519,0.12346492862440507
Aunt Greenow,0.5020221773023864,93,0.06542056074766354,0.11954912499998589,0.004999114283690553
Burgo,0.32576948733791844,1636,0.1939252336448598,0.19555169193068758,0.03157332102469257
George,0.6017190103159249,4375,0.32476635514018687,0.23645106076285266,0.06908152295522264
Lady Glencora,0.381599503608335,2973,0.28738317757009346,0.2474520616143044,0.06650084388979276
Lady Macleod,0.12287481629586981,479,0.09813084112149532,0.14249369797190647,0.012225001947570736
Lady Monk,0.5913782466295012,386,0.09579439252336448,0.139098703810105,0.010726971837279616
Mr. Cheesacre,0.8175656150291655,1736,0.17523364485981308,0.16445168510548305,0.033159716099095946
Mr. Grey,0.15192680724035396,2031,0.2546728971962617,0.22983393587206688,0.0505098660154073
Mr. Grimes,0.4731293697921481,144,0.04672897196261682,0.10228271189064424,0.00455692071463717
Mr. Tombe,0.5748187997644858,149,0.04439252336448598,0.09499797189018162,0.004602832537006447
Mrs. Greenow,0.7482276039589287,1540,0.17289719626168223,0.16861680955794994,0.038590419631596005
Prudence,0.24282083513127106,2,0.03037383177570093,0.079815452890418,0.0010072856299131957
the Wild Man,0.20095073424840929,1,0.03037383177570093,0.0798154528904179,0.0010072856299131957
Diamonds . LXXX,0.6340145882702417,2,0.03271028037383177,0.06997854312532661,0.0012275008800489552
George Vavasor Paid a Visit . LXXIII,0.3066748115025099,3,0.02803738317757009,0.06683962365572226,0.0010899220429074342
George Vavasor Received a Visit . LXXII,0.5646689016347871,1,0.014018691588785045,0.03569072108871114,0.0006847371496237818
Bellfield,0.6773802033828368,30,0.02803738317757009,0.06873662186303445,0.0016224702462570623
Chapter LIII . Kate,0.19092654500638587,3,0.018691588785046728,0.0523523589395603,0.0008204825572106582
God,0.1260409787136464,21,0.053738317757009345,0.09667778028789892,0.003254304318464939
Mr. Palliser,0.3229770609425792,2573,0.3037383177570093,0.2530659413475393,0.05635899448483477
Alice Macleod,0.9109005637941925,21,0.011682242990654205,0.01682371027607928,0.0010262509679105493
John Vavasor,0.7273501010538633,494,0.07242990654205607,0.09092982212628106,0.010949726888551137
Vavasor Hall,0.7210866001426148,12,0.02336448598130841,0.036742250924515524,0.0019126697190992455
a Sir Archibald Macleod,0.16211376737006433,3,0.004672897196261682,0.01706856001723342,0.0005458720907845873
Grecian,0.9127856185489422,1,0.011682242990654205,0.022797697709974384,0.0009221791975780294
Italian,0.9102466893981027,1,0.011682242990654205,0.022797697709974394,0.0009221791975780294
Roman,0.9076105292195785,1,0.011682242990654205,0.02279769770997438,0.0009221791975780294
Turk,0.9099262723537751,1,0.011682242990654205,0.022797697709974387,0.0009221791975780294
Lord Midlothian,0.17366793695036933,1,0.002336448598130841,0.012040141640467059,0.000398982191652685
"John Grey,--or",0.1469856922719969,5,0.004672897196261682,0.02015068409387084,0.00044908118476413205
Lady Jane,0.24030851581145599,43,0.0630841121495327,0.10913197201073976,0.0037562539657153638
Lady Midlothian;--though,0.15330541456898703,1,0.007009345794392522,0.025179102470637173,0.0004978602133289155
Kate,0.456124942162738,2721,0.2453271028037383,0.2140308898351932,0.053234174661542566
Aunt Macleod,0.6452352134129624,18,0.011682242990654205,0.032151254993967635,0.0012062951891758655
Papa,0.747438908822309,53,0.02570093457943925,0.057153032761781394,0.002510397169833897
Morrison,0.14908437831842425,1,0.002336448598130841,0.012040141640467059,0.000398982191652685
Uncle John,0.5059121006855509,8,0.016355140186915886,0.050235093170531,0.0008986318068846864
Alice--,0.2608698006299998,8,0.011682242990654205,0.04107602809632602,0.0006963710405014827
Robinson Crusoe,0.42575846307702825,1,0.007009345794392522,0.025412612253004875,0.0004998773663757938
Cremorne,0.4761362483077852,1,0.004672897196261682,0.020384193876238507,0.00045109833781101027
Miss Grant,0.6176686150879183,1,0.009345794392523364,0.029231528116117574,0.000564196240897255
Travers,0.6514343393890725,12,0.016355140186915886,0.036682014019189635,0.001524431141035384
the Paynims,0.3791659674886985,1,0.011682242990654205,0.041997878930623844,0.0005965161023654817
Hyperion,0.4027340493594442,1,0.011682242990654205,0.03736621514258857,0.0006620292884035484
Satyr,0.318167162060884,1,0.011682242990654205,0.03736621514258856,0.0006620292884035484
Arabella,0.6805835828964902,47,0.0397196261682243,0.08025804445908756,0.0019248857350800917
Mr. Greenow,0.6994290755214194,9,0.018691588785046728,0.04102262233293359,0.0009587210381423635
Rumours,0.6699629906226604,2,0.011682242990654205,0.02982312217339501,0.0006364982009501895
Captain Bellfield,0.7941165833006198,738,0.12383177570093457,0.12638847728761624,0.023105310972051738
Nelson,0.7334603460327006,3,0.011682242990654205,0.027750413571142604,0.0008576892592885258
Beef,0.7119141457479621,1,0.004672897196261682,0.017843428994534064,0.000447137057133584
J. G.,0.1938110379313886,1,0.002336448598130841,0.012040141640467059,0.000398982191652685
Augustus,0.31674415904152253,1,0.014018691588785045,0.042578570812075466,0.0006970028224483641
Robespierre,0.2670848871132306,1,0.014018691588785045,0.04257857081207548,0.0006970028224483641
the Girondists,0.10472872932907241,1,0.004672897196261682,0.02015068409387084,0.00044908118476413205
"Mr. Grey,--you",0.36276671829253176,1,0.009345794392523364,0.03604760971955966,0.0005494811413695803
Cambridgeshire,0.2455387891093125,2,0.011682242990654205,0.03768806902170495,0.0006639472218905894
Mrs. Grey,0.11288430731073716,6,0.016355140186915886,0.04648680655037603,0.0012117269707131934
Mrs. Cheesacre,0.7553955761193785,6,0.016355140186915886,0.045489894635507885,0.0010740212992267604
"sure,--she",0.5053954184081282,1,0.007009345794392522,0.02849473632964227,0.0005011973309224573
What;--at Nethercoats,0.39677210583101974,2,0.004672897196261682,0.019593015030384475,0.00044726600209980805
Tibur,0.41215693323566793,1,0.007009345794392522,0.02849473632964227,0.0005011973309224573
Poor Mr. Grey;--what,0.14483396420268965,6,0.004672897196261682,0.01706856001723342,0.0006927619899164896
Lady Mary,0.3099239538985363,4,0.03037383177570093,0.07162921182977743,0.0015487218565490165
Cheltenham,0.34682916171268113,2,0.011682242990654205,0.04107602809632602,0.0005982601699343639
Mr.--Mr . Grey,0.85686896700937,29,0.009345794392523364,0.012938239396064394,0.001704514541935976
Gubbins,0.8422823926371746,1,0.004672897196261682,0.012496715381398389,0.0005024778369556663
"Martha,""--Martha",0.8431314599926832,1,0.004672897196261682,0.012496715381398389,0.0005024778369556663
Martha,0.17004112636432445,3,0.007009345794392522,0.025179102470637173,0.0004978602133289155
Auld Reekie,0.10713013290459078,10,0.037383177570093455,0.08273941053748576,0.0019498431446643356
"Burgo,--and",0.23118707557947527,1,0.014018691588785045,0.043965408800209604,0.0006546117719142808
the Lady Julias,0.44141837111689974,1,0.004672897196261682,0.020772404973512227,0.00044610879426215113
"Mr. Palliser,--had",0.1558672880657839,2,0.007009345794392522,0.02888294742691595,0.0004962077873735982
MISS VAVASOR,0.1815443135029863,34,0.016355140186915886,0.03306253230322625,0.0012511219625274109
Lady Auld Reekie,0.599545476317514,2,0.018691588785046728,0.037785748460025956,0.0008391813475998038
Jeannette,0.8433898448191882,175,0.04672897196261682,0.0553993895325963,0.006739617624184866
Miss,0.8339942458405397,2,0.016355140186915886,0.038415650899218896,0.0008462393464082015
