character,radius,mentions,degree_centrality,eigenvector,pagerank
Gwendolen,0.397498793592723,8075,0.4011406844106464,0.3102298497912391,0.10653705754458628
Deronda,0.4643082012904193,6858,0.46577946768060835,0.3070787284682332,0.10685356525798516
Vanity,0.5173803015377502,1,0.005703422053231939,0.02086226632214894,0.0005282009482194456
destiny,0.5281789866758267,1,0.005703422053231939,0.020862266322148933,0.0005282009482194456
German,0.9728233686890855,11,0.022813688212927757,0.02072011645986876,0.00162381266059879
Mr. Vandernoodt,0.5453529961923026,61,0.06463878326996197,0.09661439704415299,0.004788549265342947
Madame von Langen,0.6973138050891124,9,0.017110266159695818,0.03957317268670917,0.0009131023838838426
Sir Hugo,0.5378828250117432,715,0.20722433460076045,0.20828473574975542,0.02912490334140073
the Langens,0.6668280099159197,11,0.024714828897338403,0.04297905363029604,0.0012666861488507995
Christians,0.5764013639932223,6,0.026615969581749048,0.049230425329426564,0.0014122830994805571
Miss Harleth,0.3967668145705204,115,0.08935361216730038,0.12682643466240817,0.0084451301759765
Mr. Wiener,0.7275408215733199,3,0.013307984790874524,0.02992132545096751,0.000708669475842844
Roulette,0.6628627409275775,2,0.017110266159695818,0.039367244520059935,0.0008108103416298473
Mrs. Davilow,0.49600041484301244,505,0.14638783269961977,0.17234496346672426,0.019380617473264194
Captain Davilow,0.7852451119719848,3,0.005703422053231939,0.016572312171016516,0.00046507489844537116
a Lady Molly,0.7813396483512894,2,0.011406844106463879,0.024367543413021317,0.0007572938246003029
Alice,0.6502236604711161,27,0.03802281368821293,0.07242044935460362,0.00286992712011301
Isabel,0.7038891091193397,22,0.039923954372623575,0.07467054231558574,0.002955491871699747
Miss Merry,0.6871525560794483,18,0.06273764258555133,0.08833365903979933,0.003974328343267483
Mr. Gascoigne,0.5426219148946174,150,0.10646387832699619,0.13550731772619315,0.01025949964122109
Anna,0.5320250545066671,332,0.09505703422053231,0.1384735956624856,0.012476395218784903
Mr.,0.47477171499798104,11,0.034220532319391636,0.08194260041838729,0.0022855589328014663
Mrs. Gascoigne,0.6512253267475865,117,0.058935361216730035,0.08608963502620726,0.00606781874972223
Jocosa,0.6621285902897881,25,0.022813688212927757,0.047998882329368275,0.001612834517547021
Saint Cecilia,0.8992921676314275,5,0.028517110266159697,0.032799897196600016,0.002067598401449878
Bugle,0.8531605126966239,7,0.0076045627376425855,0.021118793800278205,0.0007066220024443431
Mrs. Startin,0.8476460220936907,5,0.005703422053231939,0.016466108197252322,0.0005732878370435397
Archbishop Laud,0.6508226299691102,1,0.0038022813688212928,0.012955970507143621,0.0003735322306580729
Bertha,0.6619675829506437,5,0.026615969581749048,0.057695176558499206,0.001557612018583983
Fanny,0.7030926859656315,19,0.039923954372623575,0.06899695567977752,0.002648138526460349
Edwy,0.6599529993360813,2,0.011406844106463879,0.02875943461066462,0.0006523434194551041
Lotta,0.6537385209302315,3,0.017110266159695818,0.03709763421117785,0.0008601016277487173
Henry,0.6639580888234786,24,0.017110266159695818,0.041993252109046315,0.001143702455637051
Lady Brackenshaw,0.3624109032413066,15,0.03802281368821293,0.07262947500487921,0.0022244851376011774
Lord Brackenshaw,0.6123728432280297,58,0.06653992395437262,0.09235463656586534,0.005053641325361688
Nancy,0.7302700247337812,13,0.024714828897338403,0.04508049514460179,0.001104254873999452
Miss Arrowpoint,0.728713321143135,87,0.07604562737642585,0.09870487092454514,0.006796983159174557
Mrs. Arrowpoint,0.6060223169401612,116,0.07604562737642585,0.09504271306104338,0.00647845953198368
the Arrowpoints,0.4994999802217138,24,0.045627376425855515,0.08802107527556771,0.0021736037289997448
Mr. Middleton,0.7775397425106233,31,0.019011406844106463,0.038246376384534646,0.0020195214059525873
Mamma,0.6046691624452675,34,0.026615969581749048,0.049287638062066715,0.002265781182422465
Wanchester,0.6054718915427783,1,0.009505703422053232,0.024072360642037362,0.0005095852339380078
Providence,0.7427167040222944,6,0.019011406844106463,0.04060309037285483,0.0012511071404693477
Rex,0.614907025195245,715,0.12927756653992395,0.14697702635326626,0.017288804107830343
Warham,0.8056159520204236,6,0.022813688212927757,0.035712195598548095,0.0015713278647692581
Griselda,0.6481282550190316,1,0.0038022813688212928,0.01457147028477207,0.0003751140927366714
Macbeth,0.35801145313650945,1,0.0019011406844106464,0.010141638093272863,0.0003294853614657908
Mr. Quallon,0.6302862899005433,3,0.009505703422053232,0.023864612851905206,0.0006664691430425336
Lady Lawe,0.8257054625048688,1,0.005703422053231939,0.013820162804153241,0.0005304379075124304
the handsome Miss Lawe,0.80371124962001,1,0.005703422053231939,0.013820162804153243,0.0005304379075124304
Mrs. Vulcany,0.5923272846930792,6,0.019011406844106463,0.04403221442082448,0.0008063921826916702
Catherine,0.6549536621006772,172,0.04752851711026616,0.06664336183488419,0.00501077921038896
Klesmer,0.5652256829683342,717,0.15019011406844107,0.15049152845510072,0.021666858235398927
Goethe,0.7062247784865716,2,0.0038022813688212928,0.013248653101391858,0.00038093453799139816
Tasso,0.8026330607209133,16,0.011406844106463879,0.02120768434062146,0.00105735285522644
Leonora,0.8622355150854715,10,0.015209125475285171,0.022529321689336895,0.0011153874418714893
Genius,0.6964921511627855,1,0.005703422053231939,0.018168329975561583,0.00043111221000507755
Miss Cuttler,0.6966987535483466,1,0.0076045627376425855,0.020024234919536282,0.00048469566597344473
Mr. Arrowpoint,0.7331137842456179,26,0.030418250950570342,0.05310945109166263,0.0023668054078182896
Belini,0.7080264782743216,1,0.005703422053231939,0.015570319985481525,0.0005297384856990828
Jenny Lind,0.7200191411088339,1,0.005703422053231939,0.015570319985481536,0.0005297384856990828
Irishmen,0.5417639623918707,3,0.0038022813688212928,0.015061314967442587,0.0003796630334794702
Gedankenvoll_—an,0.7592817744649901,1,0.005703422053231939,0.01557031998548153,0.0005297384856990828
