character,radius,mentions,degree_centrality,eigenvector,pagerank
Margaret,0.10371182246814833,5790,0.6359223300970873,0.2231829527141745,0.11177620756945249
Hester,0.07593826372494579,2499,0.5631067961165048,0.21364060195056847,0.09039497550807259
Sophia,0.02046090724747918,574,0.3349514563106796,0.17439295485134365,0.030019039398406604
Mrs Rowland,0.07265260218814805,838,0.3252427184466019,0.17469416059913592,0.038451982620454295
Mrs Grey,0.06781585759397611,891,0.37864077669902907,0.18613073444800668,0.04048207046141832
the Greys,0.02097068656884174,157,0.2669902912621359,0.16586854454186753,0.01702481427293797
Fanny,0.17548697117001846,121,0.2378640776699029,0.1425784963766314,0.012849505947404262
Mr,0.7556115927040693,5,0.058252427184466014,0.04911112662008845,0.0015506171963039776
Mrs Anderson,0.857347744953117,3,0.029126213592233007,0.02387301980306852,0.001011095015040704
the Andersons,0.6298527633977927,11,0.1116504854368932,0.08174192346311066,0.002643663611252785
Morris,0.21611657024687816,563,0.19417475728155337,0.12909970590866435,0.016532695321154044
God,0.6360919490521986,65,0.1262135922330097,0.08204140186501725,0.006301167113903415
Mamma,0.2927308131311464,74,0.13592233009708737,0.10327059319310701,0.0048051610006016625
"baby,--dear",0.860473620072454,2,0.014563106796116504,0.014384071875807626,0.0008508338201426081
Mr Rowland,0.004660916911333124,481,0.2233009708737864,0.14649482648857287,0.01931814442722334
Matilda,0.09099774561224153,233,0.24271844660194172,0.14781954639758085,0.01430060750277108
Miss Young,0.1603816649786628,434,0.27184466019417475,0.15530678026792125,0.018768150224698445
Schiller,0.8640136116559602,1,0.014563106796116504,0.015769927023462547,0.0008422721485268114
George,0.23685791553312116,174,0.1844660194174757,0.10777495560011402,0.009985826004655184
Mary,0.1721958060833011,87,0.19902912621359223,0.1288950974736006,0.008728547880984643
the Miss Ibbotsons,0.20825644479836875,20,0.16504854368932037,0.11555902878678491,0.00532118171498564
Jim Bird,0.6457043676096655,13,0.09223300970873785,0.07423810873637303,0.001822070274563083
Mr James,0.7587966705589347,17,0.10679611650485436,0.07891214909886636,0.002853006739437447
Sir William,0.5131565528575796,192,0.19902912621359223,0.11649677256543514,0.00894262034348273
Mr Enderby,0.009323613342409052,894,0.3252427184466019,0.17722755944321594,0.029892102974545406
Sydney,0.10045314543356736,434,0.23300970873786406,0.1377171057070201,0.017032070868469158
Mr Hope,0.059826068896291475,2597,0.5728155339805825,0.21493434976936077,0.07388216245832892
Mrs Enderby,0.006677296711684978,469,0.3203883495145631,0.1785632501813372,0.02501996872241672
Philip,0.1276775433535146,1191,0.3349514563106796,0.1766395026627372,0.034298955429447754
Anna,0.15743433655596858,30,0.15048543689320387,0.11071866065186023,0.004673300690631686
Dr Levitt,0.05803336998171268,225,0.2912621359223301,0.15996719271744853,0.012987675773762145
the Enderbys,0.6497265215827461,2,0.058252427184466014,0.05005607754817281,0.0013833686607297709
the Levitts,0.3704593742470732,19,0.09708737864077668,0.08228971851825564,0.0026339196766838042
Maria,0.04066757747938943,1089,0.3543689320388349,0.18227414402465952,0.029689308786356484
Miss Miskin,0.317032547646305,138,0.19417475728155337,0.12480291442010559,0.008137246884695002
Miss Nares,0.6976657880478047,38,0.16504854368932037,0.09976872824849516,0.004336789723889628
Mrs Howell,0.520855074851486,167,0.24271844660194172,0.15122275464164397,0.011002700692289065
