character,radius,mentions,degree_centrality,eigenvector,pagerank
Florence,0.03683378921816477,4516,0.3691588785046729,0.2749224549174026,0.07767635242561814
Captain Cuttle,0.6308220445614909,1081,0.1939252336448598,0.16584253478063624,0.030533669292080106
Discovery CHAPTER L. Mr Toots ’s Complaint CHAPTER LI . Mr Dombey,0.8116409200886394,1,0.02803738317757009,0.04778001354171065,0.000987104974293182
Dombey,0.6974584941912981,31,0.0514018691588785,0.07331279216592099,0.0019565525108321186
Miss Tox,0.3289670815012652,1402,0.2219626168224299,0.19535460690544085,0.028495050609401527
Mr Carker,0.3484414079496847,2216,0.23364485981308408,0.19368570946788827,0.03628962262622857
Mrs Chick CHAPTER XXX,0.8160794165323475,1,0.02803738317757009,0.04778001354171067,0.000987104974293182
Paul,0.5529322932938674,1706,0.2757009345794392,0.23258916543167163,0.04056164282338354
The Thunderbolt CHAPTER XLVIII,0.8293063660552145,1,0.02803738317757009,0.04778001354171068,0.000987104974293182
The Wooden Midshipman,0.7751355708331615,1,0.02803738317757009,0.047780013541710666,0.000987104974293182
Walter,0.29851342574240214,2188,0.2289719626168224,0.19785546036049914,0.04012425538978579
the Waves,0.8231403937568389,2,0.02803738317757009,0.047780013541710666,0.0010291144290287334
the Young People,0.7864853961248086,2,0.02803738317757009,0.047780013541710686,0.0010311288264629162
Son,0.1603769970322637,62,0.04205607476635514,0.0637827610895316,0.0026992043115001588
Mr Dombey,0.32569220728060894,2985,0.4626168224299065,0.27875189353671287,0.08612828987344226
Miss.,0.6102144461920358,13,0.02336448598130841,0.04064291502600884,0.0008948933368291005
Mrs Richards,0.06898674224143213,313,0.10981308411214953,0.12040622756199491,0.0121399470450106
Polly,0.2497199284928757,368,0.08644859813084112,0.09553762355191375,0.0101251923083055
Spitfire,0.0610349487586837,41,0.018691588785046728,0.03913396820543001,0.0015092814304073772
Susan,0.2300769251026181,1024,0.18691588785046728,0.17847352541281192,0.027642506107907607
Papa,0.16667062513998882,205,0.07009345794392523,0.0969657652917904,0.0070004369744495806
Fanny,0.6165479257051735,58,0.02570093457943925,0.04344363835151227,0.0017983115367123824
Mr Chick,0.6264726126730034,183,0.053738317757009345,0.06663902947765597,0.004829870523466035
Jemima,0.3605892913936904,135,0.04439252336448598,0.06239426171279415,0.004006679242851183
Mrs Brown,0.49654800522215886,201,0.04205607476635514,0.07067173902968867,0.0041375512334366
Miss Dombey,0.23493686488907917,346,0.14719626168224298,0.16312377263158417,0.01571830198597109
Mrs B.,0.6942470063080511,5,0.007009345794392522,0.015457632104079924,0.00046605266466960267
Mr Clark,0.7059222193069543,6,0.016355140186915886,0.026773014931259394,0.0008598303833424329
Sol Gills,0.56025138945256,370,0.102803738317757,0.11717143749949656,0.011707346211832476
Cinderella,0.7275835698304537,1,0.011682242990654205,0.018507272974499046,0.0006305241705151659
George,0.5637759366066819,7,0.0397196261682243,0.05117544531158613,0.001981597548550505
Richard Whittington,0.6239951459555247,12,0.0397196261682243,0.05835671114545802,0.0021980279137144803
Uncle,0.6090578636007467,57,0.03271028037383177,0.05848654838678485,0.002100576613012503
Lord,0.6452344157923078,20,0.05607476635514018,0.07702445476338309,0.0021520200329440894
Old Sol,0.4692974695704694,57,0.014018691588785045,0.03202374261371537,0.000897511074071217
Louisa,0.48937417229204627,152,0.05841121495327102,0.07692355969502125,0.006839236636044538
Mrs Wickam,0.482821427416367,174,0.0514018691588785,0.06987381557575363,0.005139118876650557
Mr Pipchin,0.6475369524107323,8,0.018691588785046728,0.03754398974535813,0.0009594972903155718
Genesis,0.6748655398412209,1,0.014018691588785045,0.029576353160342073,0.0006097961495827941
Master Bitherstone,0.5901917077595886,52,0.06074766355140186,0.0775055506760547,0.0034864743711265182
Miss Pankey,0.6091288092151499,13,0.02336448598130841,0.039728858640608065,0.0016354266112317667
Falstaff,0.569203741103564,1,0.011682242990654205,0.02745320476410537,0.0005697253773505367
Miss Berry,0.7569801802022317,41,0.02570093457943925,0.0355818154905403,0.0023977829106848416
Mama,0.18034335912172408,83,0.03037383177570093,0.05524325529173338,0.0037432326213325774
Lovely Peg,0.6377538467656708,10,0.02803738317757009,0.04913844086143811,0.0015717214558932733
Young Graves ”,0.5307917009171589,1,0.009345794392523364,0.024958731298947552,0.0005089176764259838
Joey B.,0.8643733484147872,71,0.04672897196261682,0.05251463302845673,0.003748686863739099
Princess,0.5380591770172667,30,0.05607476635514018,0.08642657927369306,0.003078155573836237
Major Bagstock,0.7520102072456882,163,0.09813084112149532,0.10690428403143487,0.008937055090280673
Young Gay,0.4564002011664687,3,0.004672897196261682,0.0154209767126206,0.0004654420665347384
Mrs MacStinger,0.8465766152247618,189,0.0630841121495327,0.07513250295984814,0.007781275524425136
Doctor Blimber,0.7641147871486774,149,0.102803738317757,0.11179125402223213,0.010670774043988479
Miss Blimber,0.7051625589930218,129,0.05841121495327102,0.08917261673914173,0.005598660573611381
Mrs Blimber,0.7695470742275029,127,0.10046728971962617,0.10659780934121968,0.00947248706429359
Ma’am,0.690850886449435,134,0.10981308411214953,0.11753822729751422,0.007788674220702249
old Glubb,0.7651877657605609,23,0.02570093457943925,0.04431883228656458,0.001337546605741615
Mr Feeder,0.7903031146277845,252,0.09345794392523364,0.0930713019155151,0.010155364283010147
Miss,0.19712452164601227,64,0.07009345794392523,0.10367732825938897,0.004760110304028236
Cornelia,0.8288381348385437,63,0.06775700934579439,0.08457613613073921,0.005674884838009781
the Carkers,0.5318706796562463,1,0.009345794392523364,0.026472109511591,0.000507268390955771
Mr Toots,0.19490958169332231,1794,0.21495327102803738,0.19393907882279895,0.03312852865502089
the Apothecary,0.5984678383438257,4,0.011682242990654205,0.030526835991220514,0.0005864785430753698
B.A.,0.8177306912611966,19,0.05841121495327102,0.07231930046140278,0.003986510787168083
Briggs,0.7629371117619161,49,0.053738317757009345,0.07873254760377543,0.003414967458419659
Johnson,0.7195598977600669,27,0.053738317757009345,0.06937614956378742,0.002274992246179875
Lady Skettles,0.7624284350590049,46,0.07242990654205607,0.09017112697801681,0.004288976825719604
Sir Barnet,0.8230379510515069,128,0.07009345794392523,0.08530563794659449,0.005343098421238173
the Skettleses,0.8255212434675195,11,0.02336448598130841,0.03779864291940239,0.0011237376527909566
Dr Blimber,0.8319610754277477,3,0.02336448598130841,0.0382547130521944,0.0010147218556200923
Skettles Junior,0.8433761886992934,11,0.02803738317757009,0.04199740596515267,0.0012521599766979578
Young Barnet,0.8229225897351838,1,0.02102803738317757,0.032535562945664245,0.0007522128294037938
Cicero,0.8407033025850329,22,0.04439252336448598,0.06361222557965561,0.001793750565829308
Diogenes,0.3687292800753695,193,0.05841121495327102,0.09411789936292067,0.004747709776196771
Little Dombey,0.37086307356543274,5,0.016355140186915886,0.03940343672014292,0.0006757698244804979
the Staggs,0.2064668349954037,9,0.02570093457943925,0.04607729045162755,0.001292942625721818
Mr Toodle,0.295620134496612,205,0.06542056074766354,0.08729228706267166,0.005961029693787002
Sir Parker Peps,0.7953086540247718,4,0.011682242990654205,0.023020041099759626,0.0007313548929200068
Doctor Blimber’s,0.7965783216960615,1,0.011682242990654205,0.023020041099759594,0.0006354238212284654
Old Mrs Pipchin,0.744491873449714,5,0.016355140186915886,0.03171414676598916,0.0008219786616236605
Sister,0.4771893821350226,4,0.007009345794392522,0.017099568727513226,0.0005419555498261831
Lucretia,0.5650573669953588,173,0.035046728971962614,0.05442205393242664,0.0036807813912031035
Paul!’—that,0.7102686754976659,1,0.011682242990654205,0.021226934801965337,0.0005512332537260771
God,0.43658093142767823,43,0.08644859813084112,0.10971151851262975,0.004016550010456597
Innocent,0.651918258277337,1,0.004672897196261682,0.013776647812436218,0.000425923556675603
Burgess,0.49956776337649733,9,0.02570093457943925,0.04942339772232066,0.0016571551126500436
Poor Dombey,0.6026723557773543,3,0.009345794392523364,0.02070492051075531,0.0005457361672066631
Mr Towlinson,0.38768457864331185,165,0.07710280373831775,0.10465046563455464,0.005581505753264972
Co.,0.47459890087941853,8,0.02102803738317757,0.04400239698152145,0.001450105373673218
Di,0.5615226385210381,33,0.016355140186915886,0.03285840057095937,0.0010239203364846403
Alexander the Great,0.7165848004220882,1,0.004672897196261682,0.011213462867037014,0.00042534125755583173
Mr Perch,0.5111881953377174,231,0.07710280373831775,0.09808800091642664,0.005255661789337159
Mr Brogley,0.7082693354472143,36,0.02570093457943925,0.03906459871429877,0.0015736230822483298
Rob,0.453941073618963,916,0.1144859813084112,0.11942473135155679,0.014266023689140091
