character,radius,mentions,degree_centrality,eigenvector,pagerank
Mr. Carlyle,0.14297813565339568,5304,0.5724381625441696,0.2807622896919725,0.13424577293890153
Lord Mount Severn,0.1805237319524354,370,0.21201413427561838,0.15803554842328874,0.016430015652516863
Ware,0.7780990669430874,4,0.007067137809187279,0.013675234100878338,0.000661777949404117
Beauchamp,0.42851347988361177,22,0.06007067137809187,0.07294144193481078,0.0017779382553533073
East Lynne,0.5556862040480801,17,0.03180212014134275,0.04049743476729495,0.001839810305849615
General Conway,0.8930002441063963,1,0.010600706713780918,0.010809322124599263,0.0009365605168398629
Gretna Green,0.8940910972743287,3,0.010600706713780918,0.01080932212459926,0.0009365605168398629
Mary Pinner,0.8289998567386845,5,0.04946996466431095,0.05526758265549759,0.002142242645637625
Ay,0.5814354838001208,3,0.010600706713780918,0.02114597115322294,0.000704800351321761
Mrs. Vane,0.8338100969199592,89,0.04946996466431095,0.04009869880948528,0.0037882056387274965
Lady Isabel,0.09947629363909921,3814,0.42402826855123676,0.23971386840725736,0.07562316462417193
Mrs. Levison,0.835988350171192,61,0.07420494699646643,0.06457497581003285,0.0031741976054387336
Earl of Mount Severn,0.7554417409334004,5,0.028268551236749116,0.038938548474285024,0.0012152546858717672
Mrs. Hare,0.20098700424034724,525,0.15547703180212014,0.15268383484014092,0.017567843415010716
Barbara,0.07320268892899784,3093,0.38869257950530034,0.23843219472784624,0.0794215042031524
Cornelia,0.12356177200052301,159,0.09187279151943463,0.10331756969319891,0.006731533459382321
Richard,0.31953228156960206,2145,0.2968197879858657,0.20523433654801043,0.05375658135080157
Papa,0.399822831505417,85,0.10247349823321554,0.11451990717972568,0.005563060417629741
Hallijohn,0.6334468796164058,10,0.03180212014134275,0.04045227739526652,0.001242845651475199
Archibald,0.0636450441940204,458,0.21201413427561838,0.17759462443564214,0.02226029315666099
Mamma,0.20634137939797664,126,0.11307420494699646,0.12367856374946133,0.0054665587074786475
Justice Hare,0.009761033856272036,191,0.16961130742049468,0.1625170375448151,0.010363542824470693
Mrs. Carlyle,0.09678096027947475,217,0.15901060070671377,0.1578832350258026,0.011367971486194598
Davidson,0.675405975518931,8,0.021201413427561835,0.030050869560710614,0.0008195126313495889
Miss Carlyle,0.12322487463411473,1013,0.26501766784452296,0.19228376400146607,0.03394745315818555
Miss Corny,0.4344990807790226,295,0.12014134275618374,0.10743084684863016,0.010958405908225251
Mr. Dill,0.36453167390748703,291,0.12014134275618374,0.12100729081935523,0.010637379104285203
Thorn,0.32380329178870004,776,0.2226148409893993,0.1616594887399894,0.031010171785741048
Bethel,0.3399997701901619,72,0.0812720848056537,0.09791106664796434,0.003482011186342743
Leafy Dick,0.7060226151143956,1,0.007067137809187279,0.015146195032809328,0.0006110469295560931
Locksley,0.5269184023633784,53,0.06007067137809187,0.0651292587672519,0.0035732462133065243
Jacob,0.8006225324322049,6,0.014134275618374558,0.018636838073307956,0.0009414341250659473
Edward,0.7723862107721384,1,0.014134275618374558,0.018636838073307956,0.0007671445862669134
West Lynne,0.27876554907357814,51,0.14840989399293286,0.14198304116034835,0.00607684698653514
Little,0.6296413002912237,7,0.024734982332155476,0.03400467174582914,0.0010265899752504998
Mr. Kane,0.5390871943007494,88,0.053003533568904596,0.06334791740300495,0.002902356378891389
St. Jude,0.6980720526631758,4,0.024734982332155476,0.03538199971645695,0.0009656975005327258
Otway Bethel,0.3679509450805895,266,0.1519434628975265,0.1285747883848912,0.013721658738055262
Man,0.7005502787022025,1,0.0035335689045936395,0.00875002040741096,0.0005700373747398921
Dick,0.5541972557358043,95,0.0989399293286219,0.09740645726992744,0.005686673821121952
Cords,0.7510958107901674,1,0.0176678445229682,0.024218719898236943,0.0007527881154752393
Thorns,0.7616659246880335,1,0.010600706713780918,0.015792777158473142,0.0006650602154411371
Mrs. Ducie,0.572261052651803,34,0.053003533568904596,0.055391192571273715,0.0022686247260237987
Mrs. Mason,0.8639263510361387,19,0.024734982332155476,0.02508410252744448,0.0017430154070774894
Mr. Wainwright,0.484707714036892,79,0.08833922261484099,0.09208242272842233,0.0041678550373339595
Mr. Vane,0.8485714692483923,15,0.0176678445229682,0.023029854055650816,0.0010142501183484781
Goodness,0.6860870470231837,1,0.007067137809187279,0.01622075745975557,0.0006130597766575361
Emma,0.8451833006837576,19,0.0353356890459364,0.03264502549670093,0.0019253113787565035
Mr. Va,0.6489468951080081,1,0.010600706713780918,0.02114597115322294,0.0006629319906663759
Mr. Warburton,0.8322145714435095,27,0.021201413427561835,0.023110587837579664,0.0020783150969004042
Jews,0.8357470026811433,6,0.014134275618374558,0.021866217862380143,0.0008907442748728222
Marvel,0.7583064451743079,66,0.04240282685512367,0.04455493591150593,0.0025932101880486976
Pound,0.834882701218132,4,0.0176678445229682,0.02034953474540247,0.0008320006008973658
Lady Mount Severn,0.7976877748388796,107,0.09187279151943463,0.06489546840625597,0.006285062501640711
William,0.19709913828718342,536,0.18021201413427562,0.15041349678461255,0.017983047886830087
Francis Levison,0.3005386059263456,1050,0.2579505300353357,0.1732842402219512,0.033707679222786883
Emma Mount Severn,0.8186191815251996,4,0.021201413427561835,0.024252384721851632,0.0008883173130380376
Captain Levison,0.5902285634547356,313,0.13427561837455831,0.11561574742447066,0.010707693185644197
Peter,0.39542441652902693,162,0.10600706713780919,0.11611386290923915,0.007178857399925938
Lady Isabel--,0.7308827243907563,1,0.0035335689045936395,0.00875002040741096,0.0005700373747398921
Sir John Dobede,0.16689045305411443,22,0.09187279151943463,0.10618247077756203,0.0027930807163385587
Mr.,0.27775511349384935,20,0.08833922261484099,0.09388053166124836,0.003678154822903416
the Hares,0.2840978988297902,11,0.0636042402826855,0.08275594578531975,0.001656683828449895
Susanne,0.5279535287303603,19,0.03180212014134275,0.04637184875808213,0.0016693694640752383
Mrs. Kane,0.5854286094323795,2,0.021201413427561835,0.03462687366963063,0.0008377836875667551
Miss Hare,0.41764288598668425,11,0.05653710247349823,0.07359061072919276,0.0017076605423268394
other Lips,0.21430261373150739,1,0.014134275618374558,0.029644117957398703,0.0006960748587863272
Jasper,0.5405282129840854,22,0.03180212014134275,0.046343038697159805,0.001781305281740819
Wilson,0.2193000180045994,234,0.13427561837455831,0.13542900822238693,0.011206280193529138
Dr. Martin,0.5330723955461141,87,0.045936395759717315,0.05906883137879252,0.003202937691122627
God,0.23842700455076934,46,0.09187279151943463,0.1089020123357932,0.0040089968622156694
Lucy,0.3483624397330171,252,0.127208480565371,0.1338812177070435,0.011255169290824301
More simpleton,0.663067342440103,1,0.007067137809187279,0.016180813808979698,0.0006106246123237925
Shakspeare,0.6267301896635685,1,0.014134275618374558,0.027872226604499763,0.0006954184505798016
Benjamin,0.4783978592157063,22,0.038869257950530034,0.05799673958469605,0.0018033548541038593
Tom Herbert,0.5459829574025148,53,0.0706713780918728,0.07560510874241383,0.003545542114621772
Young Herbert,0.752351520381377,3,0.007067137809187279,0.013788175022400097,0.0006125439084718469
Jove,0.7006858784732735,4,0.021201413427561835,0.033022667486824156,0.0008789767723622523
Dull,0.773136732201062,3,0.03180212014134275,0.03391374256963229,0.0010649344931166317
Jack,0.708907980932876,13,0.024734982332155476,0.029709768976527648,0.0010720213836192417
Squire Thorpe,0.7483595421390022,3,0.007067137809187279,0.013788175022400097,0.0006125439084718469
Captain Thorn,0.27453149997655546,101,0.08833922261484099,0.09795430225754075,0.006432925532359613
Lady Levison-,0.7386234294086521,4,0.007067137809187279,0.012368735268134694,0.0007036416781337879
Lady Levison,0.6515117756476502,93,0.045936395759717315,0.05675933184039195,0.003264363262228066
the Ducies,0.5865626706035358,5,0.021201413427561835,0.033422239061102546,0.0008849551690779621
Isabel’s,0.8588601102808635,2,0.028268551236749116,0.031934113243861466,0.0011024145643266457
Major Herbert,0.7188353197381337,14,0.028268551236749116,0.03435105111032031,0.001256748703072512
Mr. Thorn,0.33732600984341266,2,0.0353356890459364,0.054738447689492126,0.0009733514449955219
Poor Barbara,0.6283676847639381,1,0.014134275618374558,0.02476835857665749,0.0006949602907848455
Providence,0.3535838254934834,3,0.024734982332155476,0.046613223929245454,0.0009459228342829653
gayety,0.6624585506394345,1,0.007067137809187279,0.01622075745975557,0.0006130597766575361
Mrs. Jefferson,0.3952427235198843,5,0.028268551236749116,0.05008208080677382,0.0009162476507064462
the Jeffersons,0.7199280878434263,1,0.007067137809187279,0.01622075745975557,0.0006130597766575361
Buck,0.3459008292324576,9,0.04240282685512367,0.06018201820215498,0.001685531795047021
Pierre,0.8156218784114732,16,0.0176678445229682,0.025650437836987304,0.0014500712126792746
Major Thorn,0.4794121117975325,54,0.021201413427561835,0.03621656025837262,0.0014425994990517764
Miss Dobede,0.7761942577359328,5,0.038869257950530034,0.0455760275425511,0.0014142733101512577
Louisa Dobede,0.7617936779207798,13,0.05653710247349823,0.06219773860532439,0.002368094590612128
young Somerset,0.8437251715222166,1,0.010600706713780918,0.012108814261856476,0.0007333094711252429
Old Dill,0.8152656854155765,22,0.0176678445229682,0.02442984734581668,0.0012263531091938028
La Dame Isabelle Vane,0.6564038816607202,1,0.007067137809187279,0.01622075745975557,0.0006130597766575361
Madame Vine,0.2582615151125792,652,0.20141342756183744,0.17086255407232656,0.021665313211246495
"the Dame Isabella Vane , respecting whom the grand English comte wrote",0.395709453168053,3,0.021201413427561835,0.039894301883283884,0.0008742674661247087
Corny Carlyle,0.7480140011657702,1,0.010600706713780918,0.016129451520217962,0.0006675943026394214
Joyce,0.6250805682193448,61,0.0353356890459364,0.044500366707655295,0.0023999068280835373
Afy,0.303589401436568,1105,0.2226148409893993,0.15988018941901694,0.026268555010661825
Mr. Westleby,0.7293959099728283,1,0.007067137809187279,0.01180278844362949,0.0006134256154560035
Miss Manning,0.4168467268038088,20,0.0353356890459364,0.05504863400990357,0.0013317386274826998
Jezebel of brass,0.68661072787668,10,0.021201413427561835,0.034747387798314544,0.0008687717866151651
Beelzebub,0.7623985349924787,1,0.007067137809187279,0.013788175022400097,0.0006125439084718469
Richard--,0.7320564965455597,2,0.007067137809187279,0.013814900725309874,0.0006125858964322784
the Carlyles,0.7669729537162497,10,0.045936395759717315,0.05735758723143391,0.0013637811047791113
Mr. Archibald--,0.833495068762078,1,0.010600706713780918,0.012859488834964445,0.000696091673291095
Mrs. Clithero,0.6197801323459237,1,0.021201413427561835,0.03223912927882435,0.0007985490956409413
Mr. Calcraft,0.612732342546568,2,0.010600706713780918,0.020128897381090978,0.0007072921569201598
Miss Levison,0.6084873928536174,1,0.010600706713780918,0.021203459808037214,0.0006611823903395694
Defence,0.746434188286201,2,0.0035335689045936395,0.00875002040741096,0.0005700373747398921
Barbara Carlyle,0.5580164872593104,9,0.0176678445229682,0.03456458476930377,0.0008632301014608291
Mrs. Latimer,0.7402746751144388,78,0.06007067137809187,0.06510551941214318,0.003972604114337427
Stephen,0.4564401229906257,5,0.0176678445229682,0.03149782572528564,0.0008309447887845838
Hannah,0.6329917354748458,18,0.0176678445229682,0.028905110342816745,0.001142969593523576
Squire Pinner,0.08088636456320515,15,0.07773851590106007,0.10215749249141724,0.00223696374425525
Archie,0.3751297275602826,17,0.04946996466431095,0.07739630989758425,0.0015152829351329513
Mr. Justice Herbert,0.6817975113707138,11,0.03180212014134275,0.04099180705969308,0.0013689253586561948
Dill,0.6569885925562213,12,0.014134275618374558,0.022748835987434216,0.0008603064322025581
Mr. Drake,0.8527606062311701,20,0.0353356890459364,0.03938345102597667,0.001989881491572622
Bill White,0.514530741490433,7,0.024734982332155476,0.037051271213779616,0.0009285252178013552
Ma’am,0.7756110829369703,6,0.021201413427561835,0.026742606867434817,0.0010210562290763597
Lawyer Ball,0.8055053616934316,83,0.05653710247349823,0.05545634524786102,0.004069525934178806
Mr. Ebenezer,0.57473047936193,176,0.0812720848056537,0.07560911219063257,0.008106585445577016
Hebrew,0.693717585630692,1,0.010600706713780918,0.01932295175385937,0.0006534913462167886
Fears,0.7075771068103645,1,0.007067137809187279,0.015146195032809328,0.0006110469295560931
Treadman,0.8037237611301726,6,0.024734982332155476,0.026453896833480196,0.0011864882724913102
Mr. Ball,0.7199266886235748,57,0.0706713780918728,0.07792261367797705,0.003954453234621918
Mr. Treadman,0.781862047279986,3,0.028268551236749116,0.030111137742343124,0.0010388303495869043
Halloo,0.6825886874848833,2,0.007067137809187279,0.016180813808979698,0.0006106246123237925
Lord Vane,0.40912139335697884,66,0.06007067137809187,0.07939284195651601,0.002470152890431092
Levison--,0.7082074881501976,2,0.0176678445229682,0.028730456812209215,0.0007875227488530342
Lady,0.7023260853160938,1,0.021201413427561835,0.03339034907695748,0.0008202981063510069
Lord Mount Severn’s,0.8264935365477543,1,0.014134275618374558,0.019071039903401067,0.0007677021871007715
Young Vane,0.7850679402682069,6,0.024734982332155476,0.032704771770325165,0.0011768844884345892
Mr. Jiffin,0.7891633543661046,146,0.045936395759717315,0.05072532879012428,0.004612693163044825
Master,0.6536443646979808,5,0.021201413427561835,0.03423754131104852,0.0009202784323457325
Spring,0.7405526388184082,1,0.0035335689045936395,0.00875002040741096,0.0005700373747398921
Blanche,0.8563150317583021,111,0.04946996466431095,0.041254812166493036,0.003713521449891256
Sarah,0.38814767265036315,13,0.0636042402826855,0.08572733803721024,0.0021348735096718423
Young Richard Hare,0.6802217020666481,1,0.014134275618374558,0.023840928187108517,0.0007001638519343592
Death,0.5855682277663191,15,0.021201413427561835,0.034606955176402325,0.0007882988742834464
Jesus,0.6146424393178314,21,0.0353356890459364,0.052750645995870066,0.0014950239525153186
