character,radius,mentions,degree_centrality,eigenvector,pagerank
Emma,0.03242785458176776,4372,0.6506410256410257,0.26424910253018247,0.13153680991605626
Miss Woodhouse,0.08440476610002243,557,0.41346153846153844,0.2280225294169692,0.04044787034501062
Mr. Woodhouse,0.1140556703065931,516,0.26282051282051283,0.19312029374426606,0.026168593325562775
Isabella,0.3748393712664447,130,0.14423076923076922,0.10651487109920699,0.012827517290826235
Mr. Weston,0.14427304915079675,558,0.2948717948717949,0.18741204398147562,0.03199284146727318
Mrs. Weston,0.09127329523095454,665,0.3076923076923077,0.202268932008904,0.04145131455358326
Christmas,0.7609632058352458,2,0.009615384615384616,0.01483184932528477,0.0007488100068459645
Mr. Knightley,0.1607209839011827,1753,0.40384615384615385,0.1791892712131671,0.06970987979727435
Poor Mr.,0.7053762613701451,1,0.01282051282051282,0.023317142252036925,0.000690162217939309
Mr. Elton,0.3049109864773435,887,0.24679487179487178,0.14584707760100685,0.03444868930001621
Randalls,0.24782600163514082,42,0.11217948717948717,0.10501088401622512,0.0066278934331038646
Harriet,0.3459459498607734,1899,0.34615384615384615,0.1583126693643638,0.060898958629857586
Mrs. Goddard,0.6186581502889709,78,0.11217948717948717,0.08801870736062294,0.009379446525912178
Elizabeth,0.7993123742580651,10,0.035256410256410256,0.035874340630445305,0.0018507306887558322
Miss Bates,0.16334941815323295,552,0.27884615384615385,0.1943175237649931,0.025875618898454394
Mrs. Bates,0.012510827475511405,79,0.09615384615384615,0.0956807039893917,0.005989302782482076
Serle,0.762714968414639,3,0.016025641025641024,0.02252977741611112,0.0007467688983848783
Mrs. Martin,0.7786264843352176,43,0.0641025641025641,0.05696057705056973,0.0037050890716567976
the Martins,0.7803996321825444,13,0.03205128205128205,0.029495089070723925,0.0020518458097116433
Mr. Martin,0.8187391455831154,290,0.08012820512820512,0.05512690785681568,0.010939449255410844
possibilities,0.6885910353927331,1,0.01282051282051282,0.022600167641675117,0.0006943538633979482
George,0.6517480586147344,6,0.11538461538461538,0.12019680702950082,0.0034331397526538095
Henry,0.5914858320487048,31,0.07371794871794872,0.0733722914203831,0.004510312041474687
Mr. John Knightley.—This,0.7024050276103496,1,0.022435897435897436,0.029776901037146433,0.0008596150977331566
Mr. Knightley.—“Robert Martin,0.8202896325300333,24,0.01282051282051282,0.01681631754827685,0.0009059499264345678
Miss Nash,0.8336505835717226,33,0.04487179487179487,0.038467070107731705,0.002405360828703767
Harriet—“it,0.7550951553270141,1,0.00641025641025641,0.011396191567447752,0.0005854801615428068
Grandpapa,0.7618154814875548,7,0.01282051282051282,0.01681064803445425,0.0008009992910335936
Mr. Cole,0.18024425400088034,46,0.10256410256410256,0.10134981383770857,0.00592428614925204
Poverty,0.7370202392952248,1,0.009615384615384616,0.01663679749308409,0.0006380887422286371
Woman,0.7911624747309773,1,0.00641025641025641,0.011396191567447752,0.0005854801615428068
Miss Fairfax,0.03182589263150846,1048,0.3269230769230769,0.17220069642662125,0.04672175023426722
the Mr. Knightleys,0.4913182274749631,19,0.03205128205128205,0.04264582316197343,0.0014054687766599408
Papa,0.5708665281487719,8,0.02564102564102564,0.039951565927147874,0.0011680124991988493
the Westons,0.06437192466541479,8,0.05128205128205128,0.07091671089188557,0.00217482597401292
Mr. Perry,0.06765556696973063,120,0.1282051282051282,0.11570208374206953,0.006988379720818777
Mrs.,0.429335167400351,14,0.04807692307692307,0.06414758347522649,0.0018771485689426147
Miss Bates!—such,0.7858893378903415,1,0.009615384615384616,0.012579682440101584,0.000644549287995765
Mr. Wingfield,0.6627453149882482,18,0.02564102564102564,0.031064521050876696,0.0014557245634428733
Mr. Graham,0.7634667957034801,2,0.00641025641025641,0.011959218726482068,0.0005847817563217179
Colonel Campbell,0.6378629652645679,73,0.15384615384615385,0.14408770272769206,0.008003139554056878
Mrs. Campbell,0.8304684669837757,11,0.03205128205128205,0.03476878656703271,0.0023596696536396324
Mrs. John Knightley.—“It,0.8360495901545828,1,0.01282051282051282,0.01659437459789804,0.0006990145981875301
Mr.,0.11308503437971394,55,0.1378205128205128,0.12059542927658279,0.01016226783307554
Mrs. Weston;—Mrs,0.6755401467808525,1,0.01282051282051282,0.02026596203105707,0.0006918285616338504
James,0.41965706964835126,20,0.08333333333333333,0.07858987551232138,0.003920252189469509
Frank Churchill,0.05430827113668871,1003,0.3301282051282051,0.20372148040314936,0.04380599374307543
Mr. Weston.—So,0.7885715842453476,1,0.009615384615384616,0.016114373419497962,0.0006393659365630121
Mrs. Churchill,0.19437658210956468,122,0.11538461538461538,0.09093486886230716,0.007795351732972362
Mrs. John Knightley,0.19282470737183724,41,0.08974358974358974,0.09211376174673325,0.004056789650145895
the Churchills,0.564339403827694,16,0.05128205128205128,0.05705818535915828,0.002679018548593277
the Braithwaites,0.7783799334106529,1,0.009615384615384616,0.013719799910131617,0.0006508917233709468
Harriet’s,0.5671671483074936,1,0.022435897435897436,0.032428445105129426,0.0008542349538344842
Mrs. Weston?—Judge,0.7001317610835305,1,0.009615384615384616,0.01651505316224324,0.0006355931469462307
Miss Smith!—What,0.8369032368368119,1,0.01282051282051282,0.01575447082007847,0.0008114371340460121
Miss Smith!—message,0.8603392975895455,1,0.01282051282051282,0.01575447082007848,0.0008114371340460121
Miss Smith?—that,0.7403462607324454,1,0.009615384615384616,0.01754579761268717,0.0006399658836020829
Harriet!—that,0.779744240875059,1,0.00641025641025641,0.011396191567447752,0.0005854801615428068
the Eltons,0.12386455714292798,20,0.09935897435897435,0.09232538355263643,0.004900476620278701
the Woodhouses,0.7564932836617665,1,0.01282051282051282,0.01969955960986622,0.0006998381154403492
Mrs. Churchill—‘Every,0.7571547687714346,2,0.009615384615384616,0.017453442699155407,0.0006366331907259006
the Coles,0.16143653635593871,57,0.10256410256410256,0.10882403729431799,0.00510178597209371
Mrs. Cole,0.13488324280204164,56,0.11538461538461538,0.10864574102291918,0.0068692548975462595
Ma’am,0.7073996293811051,1,0.009615384615384616,0.018516823023405182,0.0006385424222718017
Mr. Dixon,0.38720793912469104,61,0.15064102564102563,0.14343133914898393,0.007429768919331297
Miss Campbell,0.7078256549575169,16,0.038461538461538464,0.0436243697496139,0.0020432407269506767
the Dixons,0.8552887751729878,4,0.019230769230769232,0.019970333658398624,0.0011575151370975144
Mr. Woodhouse—“indeed,0.7584894312913316,4,0.009615384615384616,0.013793336054847505,0.0006397031521908088
Miss Hawkins,0.35779351305811363,24,0.07371794871794872,0.08056346832547898,0.0027862017783944833
Miss Woodhouse?)—for,0.7779950000880573,1,0.019230769230769232,0.02362043799270124,0.0008148584049079365
Barnes,0.7653886659076464,1,0.01282051282051282,0.022065717771106122,0.0006917431063303454
Enscombe,0.5454254188247825,16,0.04807692307692307,0.052391495995778935,0.0021879628158674143
the Bateses,0.720556624131007,3,0.02564102564102564,0.03290430953060099,0.0011169547607712592
Mrs. Dixon,0.772243868071427,40,0.11217948717948717,0.11335156061206465,0.004886709746280518
Hum,0.7762234094732133,1,0.009615384615384616,0.017013588755470026,0.0006391697361175832
Donwell,0.18850484593528494,16,0.07692307692307693,0.0819979690289558,0.003927111914467903
he—“I,0.6886995091080885,2,0.019230769230769232,0.029746346469786487,0.0007981485908652227
Mrs. Perry,0.07766368654119159,23,0.09615384615384615,0.10379798787583529,0.004063439517242874
