character,radius,mentions,degree_centrality,eigenvector,pagerank
Esther,0.13193999082747843,5929,0.6574074074074073,0.35496934900593474,0.1761972732369486
William,0.20801128116369091,2358,0.5231481481481481,0.32710266441546026,0.10771319245823663
Sarah,0.179169529738769,619,0.25925925925925924,0.2321491224863418,0.0474199263094489
Silver Braid,0.41650726898423934,41,0.14351851851851852,0.14505079697108228,0.01100861006389512
Mr. Leopold,0.3288681440925156,340,0.2222222222222222,0.19123734872304674,0.034703810920223475
Margaret,0.4361683570332599,221,0.14814814814814814,0.16067056958366593,0.019019803792112832
Christ,0.16635651097379384,26,0.06481481481481481,0.0890766646427919,0.005212485256268759
Mr. Arthur,0.28349251567750955,67,0.06018518518518518,0.08061825848069461,0.004320089515851925
Jim,0.3411973348053668,239,0.125,0.1366673638558436,0.011839232639393973
Valentine,0.16953260422718258,1,0.027777777777777776,0.05957034532602536,0.001333726608411143
the Gaffer,0.38427812252718413,66,0.1111111111111111,0.13708775960655517,0.009181169532662485
Grover,0.46491294309645254,27,0.09722222222222221,0.129145581587271,0.01027714977049438
Mr. Randal,0.6583454935901779,19,0.046296296296296294,0.07009619122564535,0.0027013861667090455
Mrs. Barfield,0.3512485060698138,445,0.15740740740740738,0.1630355530556784,0.021629460073004425
Miss Mary,0.3269909078822878,46,0.08796296296296297,0.1089120416836429,0.006568008512866678
Mr. Barfield,0.7245669505654673,5,0.05555555555555555,0.07212056087856461,0.0026057651955089167
Mr. Swindles,0.45025474022222106,81,0.09259259259259259,0.11325753458718309,0.00838678878067482
Ward,0.7428991981135386,1,0.023148148148148147,0.033305601992935766,0.0013013817634296263
Leopold Rothschild,0.5540179523211426,2,0.004629629629629629,0.015331669131130935,0.0007958206463538292
the Demon,0.5846951865475403,20,0.06944444444444445,0.10149230388480772,0.003636322548111436
the Woolgatherer,0.5817451263262043,1,0.018518518518518517,0.03541540523955379,0.0011277250477694169
Norris,0.49512778611208963,2,0.004629629629629629,0.015331669131130935,0.0007958206463538292
Lamb,0.9482961809022481,1,0.027777777777777776,0.021674244328533012,0.002262234119107448
Peter Parley,0.9433152290140661,1,0.027777777777777776,0.021674244328533012,0.002262234119107448
Roda,0.944003229393928,1,0.027777777777777776,0.02167424432853302,0.002262234119107448
Shakespeare,0.9473169384593919,1,0.027777777777777776,0.021674244328533012,0.002262234119107448
Uncle Tom,0.947837788486515,1,0.027777777777777776,0.021674244328533022,0.002262234119107448
Woodview,0.8591858491030164,6,0.06481481481481481,0.06015068614551711,0.004072239188280719
God,0.2084638261763463,68,0.11574074074074073,0.13378421160862544,0.010512837183567911
John Waters,0.9435369309550385,25,0.018518518518518517,0.017034482884502926,0.002397751342657039
Mrs. Waters,0.9383306402017607,3,0.009259259259259259,0.016067414502207316,0.0013060220090227643
Mrs. Saunders,0.6867967572301223,167,0.06944444444444445,0.04926843224309009,0.010433438423918572
Eliza,0.7631956782251275,4,0.009259259259259259,0.017459648078823026,0.0010155554208339042
Mrs. Dunbar,0.9136298061051309,8,0.027777777777777776,0.034628974990840194,0.0027520214995995595
Lady Elwin,0.9192439821778603,8,0.027777777777777776,0.03462897499084016,0.002332670834218449
Elliot,0.8294581664364651,21,0.018518518518518517,0.02434495474961466,0.0017456322232110794
the Plymouth Brethren,0.7743872560806874,2,0.018518518518518517,0.037552984273164114,0.0013019962637097343
Jenny,0.3146917078727449,271,0.19907407407407407,0.17886314206309517,0.022690565399920294
VI,0.1721708784993036,20,0.023148148148148147,0.05200421207839582,0.001301257431419952
Joey,0.770823289333614,7,0.027777777777777776,0.05053033491337409,0.0018304267057493136
the Saint,0.33275835923043456,2,0.037037037037037035,0.07357076637386697,0.0015355445862942057
Mrs. Randal,0.15565809730957278,24,0.046296296296296294,0.07063402603560834,0.0027912304682264125
Miss.,0.16104625347065893,2,0.013888888888888888,0.03771956713167855,0.001006904249528697
Annie,0.5555837611939564,33,0.027777777777777776,0.04360227714544458,0.0019143333396872421
Peggy,0.2825384414372487,48,0.08333333333333333,0.117661995900361,0.0074648093556979175
Wall,0.5985851582597501,2,0.046296296296296294,0.07194359945970602,0.002335807549961987
Cinderella,0.650963653689407,1,0.027777777777777776,0.045643304716938025,0.001541863630648055
Mr. Northcote,0.6590207873913444,3,0.041666666666666664,0.06586891842666749,0.0023134020034867877
Sir George Preston's,0.6445027923856841,1,0.027777777777777776,0.045643304716938025,0.001541863630648055
young Mr. Preston,0.16747319043540312,7,0.046296296296296294,0.07749066915608221,0.002638330035518744
Sir Roger de Coverley,0.09424532004091876,1,0.018518518518518517,0.04283354974522288,0.0011419648667946262
Mrs. Leopold,0.4670204962882004,12,0.023148148148148147,0.039672664854672066,0.001382008902651046
Lord,0.7956641537305709,16,0.023148148148148147,0.039539117734128465,0.001710783285293505
the Barfields,0.28297498022915585,3,0.023148148148148147,0.04258151447362455,0.0014187083400451122
Johnnie Scott,0.6547287593876496,3,0.018518518518518517,0.038941173592295986,0.0011327571131438665
Julia,0.7557122388436511,33,0.037037037037037035,0.04065767966983602,0.005100742436678556
Master Harry,0.8451397713130424,39,0.027777777777777776,0.030163238449239828,0.0031898353202340995
little Ethel,0.7102243650563502,5,0.018518518518518517,0.02694108814013662,0.001479453254416886
Hullo,0.7468010651671313,2,0.013888888888888888,0.02336252056493913,0.0011396586898069112
Jim--,0.7557643578348286,1,0.009259259259259259,0.017459648078823026,0.0009109790141114116
Tom Carter,0.8374626886885854,2,0.013888888888888888,0.018477124278812086,0.0011438383183047637
Mrs. Jones,0.8920267524082628,31,0.018518518518518517,0.025119066834569177,0.0024435884255964426
Mother,0.5187599036194672,16,0.032407407407407406,0.04677197390828442,0.002545889856937916
Father,0.5390217746664339,26,0.023148148148148147,0.032852915604153474,0.0016721188824846776
Raphael,0.7579039656537118,1,0.013888888888888888,0.02409786548870174,0.0012705894346998728
the Virgin,0.7833180357569169,1,0.013888888888888888,0.024097865488701763,0.0012705894346998728
Mrs. Rivers,0.9066876483225536,106,0.023148148148148147,0.0182081557714903,0.0048148662625731985
Mrs. Spires,0.8976470681718569,149,0.041666666666666664,0.02355730881289289,0.007245383011068723
Emily,0.9035949676903415,2,0.009259259259259259,0.016118107229401532,0.0009236950534176669
the Lord,0.8633353805041483,3,0.013888888888888888,0.020856056844238177,0.00102316659414651
Westminster,0.5590738280536828,1,0.004629629629629629,0.015331669131130935,0.0007958206463538292
Mrs. Lewis,0.5355040437188262,113,0.05092592592592592,0.0687600800172088,0.008080754145268168
Amy,0.4298935557683584,1,0.009259259259259259,0.023315152536309527,0.0009088077496434664
Jackie,0.2382644543738951,137,0.21296296296296297,0.1848390989198764,0.016749968062570172
Herbert,0.7614079434377444,20,0.07870370370370369,0.08714992244938405,0.003567239040769879
Mrs. Bingley,0.7189694044074746,39,0.027777777777777776,0.032667435696700636,0.0028660252791081462
Toil,0.5554313384674254,1,0.004629629629629629,0.015331669131130935,0.0007958206463538292
Mummie,0.6757936689321467,7,0.05092592592592592,0.05920953334611462,0.0029912759945674803
Mrs. Trubner,0.8542970975895273,51,0.013888888888888888,0.017385366089697877,0.002106523555080068
Mr. Trubner,0.872946116826731,19,0.013888888888888888,0.0173853660896979,0.0017444396727263039
Miss Rice,0.5818828204450114,297,0.05092592592592592,0.06542475563146181,0.011504482755798963
Mr. Alden,0.39765800513972027,50,0.013888888888888888,0.03228552879791374,0.002122101759939864
Fred,0.658190682117449,439,0.12037037037037036,0.10434711525247364,0.022031346131611475
Lor,0.7788977195225889,2,0.013888888888888888,0.021966559591941222,0.0010100420644332331
Mrs. Humphries,0.7476000619617048,6,0.027777777777777776,0.03325180718534813,0.0019043486763054853
Auntie,0.7639433631999618,1,0.027777777777777776,0.033251807185348134,0.0015482448454096794
Mr. Parsons,0.7557612382931083,1,0.027777777777777776,0.03325180718534815,0.0015482448454096794
Lily,0.801351250633766,3,0.032407407407407406,0.03675341969204892,0.0019646155936522192
Michaelmas,0.7648737565639363,1,0.027777777777777776,0.0359894213459808,0.0014548405538715318
Mrs. Parsons,0.8081777766997789,33,0.041666666666666664,0.04343081234766931,0.002997037595657432
The Salvationists,0.7891140869475693,1,0.018518518518518517,0.027492768590256598,0.001147400349338001
Jack,0.4018328530581181,288,0.10185185185185185,0.11126875365096181,0.013870141165603924
Miss Waters,0.5941949067023281,1,0.009259259259259259,0.02123454161724704,0.0009101604842015791
Jane,0.33391424046378904,11,0.023148148148148147,0.04941449010125313,0.0022283609117681085
Teddy,0.359279254138877,23,0.046296296296296294,0.07122992453773483,0.003534687902326083
Wheatear,0.5321871734125483,2,0.004629629629629629,0.015331669131130935,0.0007958206463538292
Charles,0.7650100526893713,39,0.09722222222222221,0.09830400822170385,0.008457662480554492
Baron Rothschild,0.18497717264025892,1,0.018518518518518517,0.04072511170483238,0.001150680018615851
old John,0.3437511111969013,145,0.19444444444444442,0.19018975789001163,0.01453659184653852
Journeyman,0.779478081048502,193,0.18518518518518517,0.14600184440591293,0.019894599803771368
Ketley,0.8170455238418565,148,0.11574074074074073,0.11305235461968896,0.012966166269262112
Walter,0.7762830767525807,8,0.046296296296296294,0.06276012965836375,0.002705034825458279
Stack,0.8222655531209678,144,0.18518518518518517,0.1388188054948558,0.017257920161760792
Mr. George Buff,0.31903933737971735,3,0.013888888888888888,0.035765776509721105,0.0011216547496935533
Summer,0.25272464720889704,1,0.013888888888888888,0.037443216936161004,0.001013795299642013
Bill,0.5006985926697114,152,0.1111111111111111,0.11008964405332473,0.011850524362540629
Mr. Blamy,0.5003749973232454,5,0.013888888888888888,0.0337056340081358,0.0011361157794152056
Andover,0.349964254547589,1,0.023148148148148147,0.04985448733122091,0.001339925866667989
Horses,0.30455699726921376,2,0.023148148148148147,0.04985448733122086,0.001339925866667989
Sir Thomas,0.3835953799924392,3,0.037037037037037035,0.06898194956772907,0.0017101382907264086
Marylebone,0.25641682273457456,1,0.037037037037037035,0.0676373390232481,0.0016118290514245217
Tom Wood,0.4202314356669494,1,0.037037037037037035,0.06763733902324807,0.0016118290514245217
Dewberry,0.8377261161909688,4,0.06944444444444445,0.07297662914176391,0.0030797042872741285
guv'nor,0.6575734793085831,40,0.06481481481481481,0.07954685231378658,0.00387931548921688
Barnard,0.19155824897589158,1,0.018518518518518517,0.04579265219634122,0.0011176812103381865
Satan,0.5462948493465019,1,0.023148148148148147,0.03846775384063672,0.0012158668676059956
Hayfield,0.7680678430186195,1,0.023148148148148147,0.034767101458660105,0.0014125331816763889
Vanguard,0.8073380330442116,1,0.023148148148148147,0.03476710145866012,0.0014125331816763889
J. Bilton,0.576172737000627,1,0.018518518518518517,0.034919352595953516,0.001106989837933194
Sultan,0.5190742751488493,2,0.027777777777777776,0.058890142863193634,0.0014443475065078499
Halloa,0.10172311372620461,1,0.013888888888888888,0.039486609217602546,0.0010018222069955553
Welshed,0.15736324992344383,1,0.009259259259259259,0.029459733530982402,0.0009008081963523757
Captain Parsons,0.5551331882317392,1,0.013888888888888888,0.03396664504410056,0.0009998712466741972
Ben Jonson,0.80235159731433,64,0.07407407407407407,0.06976897315088522,0.007178796151864422
Syntax,0.8076027386804304,1,0.009259259259259259,0.021327465672398963,0.0009256868106677379
Tornado,0.8468539788353389,2,0.023148148148148147,0.027201628436640618,0.0014612978589880316
Woodcraft,0.8552584187058622,1,0.023148148148148147,0.027201628436640608,0.0014612978589880316
Counsel,0.9044783162888166,6,0.023148148148148147,0.039777750069565944,0.0022273689280935473
laggard,0.16001674532274215,1,0.009259259259259259,0.029459733530982402,0.0009008081963523757
Doctor Green,0.5692807327523635,2,0.004629629629629629,0.015331669131130935,0.0007958206463538292
The King,0.2570732199614855,2,0.018518518518518517,0.04436951333419251,0.001218163189993154
Favourites,0.1585948339121252,1,0.009259259259259259,0.029459733530982402,0.0009008081963523757
Mahomet,0.4748073462108313,8,0.023148148148148147,0.042181745530856164,0.001864812783732306
Egypt,0.5653092707086371,3,0.004629629629629629,0.015331669131130935,0.0007958206463538292
Chasuble,0.7240474971681743,17,0.041666666666666664,0.05729471395491243,0.003485722158530378
Matchbox,0.7056400782731737,3,0.027777777777777776,0.04576330856871831,0.001705652802365746
Bramble,0.7471208726748797,4,0.023148148148148147,0.03535621918699426,0.0018534454998916559
Young Hopeful,0.7308875187139446,2,0.018518518518518517,0.03346146904871158,0.0015284412565007817
XLIV,0.5104193454169449,9,0.009259259259259259,0.020137536793753665,0.0008940510915553876
Mrs. Collins,0.419851430520962,23,0.013888888888888888,0.03426560119360512,0.0016264970818888904
Shoreham,0.15018265340672388,2,0.009259259259259259,0.029459733530982402,0.0009008081963523757
Beeding,0.7973407467195279,1,0.018518518518518517,0.028453450073773097,0.0012092712584715088
Walnut,0.5590848793554364,1,0.013888888888888888,0.028276296526679547,0.001014610015776636
Marksman,0.8643997268189372,2,0.023148148148148147,0.03390699810462587,0.0013971830086132848
Old Latch,0.8330179080537952,2,0.023148148148148147,0.03390699810462588,0.0013971830086132848
Miss,0.7085750533901202,1,0.004629629629629629,0.014128064399851465,0.000796231789629883
Thunder,0.7153785852491079,1,0.004629629629629629,0.014128064399851465,0.000796231789629883
Egmont,0.7981282445044134,1,0.018518518518518517,0.02728076266094628,0.0012234613213163614
young Johnson,0.8092189235114802,3,0.027777777777777776,0.04180752383251712,0.0016055161084057423
Chifney,0.640424373162789,21,0.037037037037037035,0.06150198019845235,0.0020100221806732886
Old Watkins,0.8021631172031375,16,0.023148148148148147,0.03222729228760759,0.0016427707049038443
Watkins,0.8591946397446228,20,0.023148148148148147,0.03222729228760765,0.0017215721467286624
Mr. Thomas,0.7819674332034586,6,0.013888888888888888,0.02533546298218179,0.0010376524159213605
Percy,0.7001116961274267,5,0.004629629629629629,0.014128064399851465,0.0009012193396284294
Miss May----,0.6975845474197222,1,0.018518518518518517,0.030753903023387562,0.001204186240238363
Racing,0.6955332824508004,1,0.004629629629629629,0.014128064399851465,0.000796231789629883
Followers,0.7485535704669304,1,0.004629629629629629,0.014128064399851465,0.000796231789629883
Esther----,0.7116781393738985,1,0.004629629629629629,0.014128064399851465,0.000796231789629883
Jimmy White,0.6982787637604819,2,0.009259259259259259,0.02185343708779021,0.0009110215407895928
Miss Tucker,0.8093833672231033,2,0.027777777777777776,0.035406707199005946,0.0015537973209265562
Mr. North,0.8134267591831466,2,0.023148148148148147,0.029659156177587614,0.0014051805343970958
Spirits,0.7191150816253498,1,0.004629629629629629,0.014128064399851465,0.000796231789629883
