character,radius,mentions,degree_centrality,eigenvector,pagerank
Glossin,0.2464531920525864,1449,0.22540250447227192,0.1475793851378982,0.04569845315843702
Brown,0.1515737872179132,504,0.17889087656529518,0.1427582341294827,0.025822198690296835
Colonel Mannering,0.30069461607228,469,0.21645796064400716,0.22986861187158966,0.03170198732011377
Dinmont,0.20639306744317512,351,0.2075134168157424,0.23091588603049334,0.02537267456543965
Ellangowan,0.4410049715766546,146,0.14311270125223613,0.1319944920980988,0.012982579432565804
Falstaff,0.2428618921594413,6,0.03041144901610018,0.05882320810144703,0.0018557000622146157
Jock Jabos,0.041350436957378015,44,0.0626118067978533,0.09376464237286769,0.0045883828831104825
Julia,0.24813640381978117,626,0.1520572450805009,0.12361250814048734,0.028005865364789755
Mac - Morlan,0.03287687214895361,358,0.1037567084078712,0.11040224556704384,0.016372506626056105
Mrs. MacCandlish,0.28513935734766693,5,0.028622540250447227,0.058792011685298136,0.0019218766272742884
Mumps,0.33063659071157936,23,0.03935599284436494,0.06942920201435522,0.0024444757986278234
Pleydell,0.8758729591458008,6,0.07513416815742398,0.15689037055832863,0.0036376191557547753
Rab,0.22554703677350468,2,0.026833631484794274,0.05582324820536911,0.0014287823987005977
Scott,0.5652400900276107,319,0.19499105545617174,0.204414836924965,0.01691493083858046
Sir Robert,0.14703638958108214,456,0.09838998211091235,0.10445845587973426,0.01468219346656165
Thackeray,0.2557276595865613,1,0.026833631484794274,0.055823248205369116,0.0014287823987005977
Fielding,0.777695611143109,1,0.0035778175313059034,0.00533202182307335,0.00044533349116755597
Laird,0.690796117008115,42,0.042933810375670844,0.03576647862076049,0.0040021102546078545
John,0.7021271637872989,16,0.016100178890876567,0.019900162249229483,0.0012873546087955792
Sir Thomas Kittlecourt,0.8707131417808582,13,0.03220035778175313,0.030154884026230226,0.002587778533669165
Augustus Pease,0.6275017035865553,3,0.0017889087656529517,0.004291869399501833,0.00034522359062147195
Mr. Sampson,0.41749761027684484,605,0.22898032200357782,0.2211240061555399,0.029463446153582512
Bertram,0.22809909843520393,320,0.11449016100178891,0.10286109953105341,0.016414752313197768
Kennedy,0.29129732010993864,137,0.09481216457960644,0.09982690838924593,0.010681914901892579
Baillie,0.7016548145408847,2,0.0035778175313059034,0.005608873143104717,0.00043974559593075956
Gabriel,0.6184938819619498,37,0.046511627906976744,0.04528623418219196,0.004001813423215929
Calotte,0.6702732727157481,1,0.0017889087656529517,0.004291869399501833,0.00034522359062147195
Candlemas,0.7320749697901936,1,0.012522361359570662,0.01510429867965591,0.0008656449683836684
Hatteraick,0.42983155451361793,428,0.11449016100178891,0.09900198542212509,0.021598050385698942
Jenny,0.7322882855880115,6,0.016100178890876567,0.02210739833764263,0.0010202707140633688
Martinmas,0.6709186588339769,3,0.025044722719141325,0.03289239666383853,0.0016170567349883635
Whitsunday,0.7466158392791431,1,0.012522361359570662,0.015104298679655898,0.0008656449683836684
Miss Bertram,0.03736172811262829,498,0.1520572450805009,0.1269114149704953,0.03324615049584974
Mannering,0.6100402686025845,185,0.08586762075134169,0.07528588161941535,0.008798506403437422
Fortune,0.4570935262103625,4,0.0053667262969588556,0.014187547438941602,0.0005676585558928228
wha durst,0.6200309034555951,1,0.0017889087656529517,0.004291869399501833,0.00034522359062147195
Gibbie,0.8065736861715034,2,0.010733452593917711,0.012869907116830738,0.0008470892604127399
gude blude,0.8255233778872798,2,0.007155635062611807,0.012261522532875513,0.0006394941529765418
Na,0.592542297276557,14,0.04830053667262969,0.05899636276969602,0.003256164773800431
Hazlewood,0.22438972070093915,342,0.1037567084078712,0.10505208620140365,0.01825561375959088
Burns,0.5727225883012698,1,0.0017889087656529517,0.004291869399501833,0.00034522359062147195
Mrs. Mac - Candlish,0.2534432914215358,90,0.05008944543828265,0.06746091927093571,0.004615414038006351
Woodbourne,0.43649603400199594,4,0.014311270125223614,0.02344795496366766,0.000952748153439685
Gudeness,0.7319941253556208,1,0.008944543828264758,0.01149615566208542,0.0006790579922411478
Nelly,0.75099366777968,3,0.012522361359570662,0.01621581582645025,0.0008548082571427536
Aweel,0.2667557284377619,25,0.06440071556350627,0.07203943320772557,0.004967921994808866
Grizzy,0.7048689367868435,1,0.007155635062611807,0.010854225328597951,0.0006395908902390739
Hansel Monanday--,0.7567643153943647,1,0.007155635062611807,0.010854225328597951,0.0006395908902390739
Peg Pasley,0.8367405667697788,1,0.0035778175313059034,0.005171800722037066,0.00044589361323652736
Troth,0.8040077979545143,20,0.03398926654740608,0.03025714705074676,0.002605197491991209
Deacon Bearcliff,0.7604460620350728,15,0.025044722719141325,0.03342352576703622,0.00193677202968738
Miss Jowlia Mannering,0.7714285766107757,4,0.007155635062611807,0.008661824832495918,0.0010256517582528963
young Hazlewood,0.8007613013017633,10,0.016100178890876567,0.018171582702019424,0.0022446791493318705
Clavers,0.9795626962426829,3,0.014311270125223614,0.005181438602303137,0.0015100660933127594
Maister Gilbert,0.554495884759661,1,0.0035778175313059034,0.008443531205212292,0.00042089417660086186
Weel,0.5452660323635174,17,0.04830053667262969,0.050753117869224824,0.003496557321686741
siller,0.8103260292114792,1,0.0035778175313059034,0.005263884612391935,0.00044205201146198453
Mac - Guffog,0.43700202598646215,124,0.06797853309481217,0.06479090435649212,0.007975789996515888
Scrow,0.8229169144358803,3,0.0053667262969588556,0.0063610953274422415,0.0006639196242192774
Sir George Mackenzie,0.8168666559543167,1,0.0053667262969588556,0.006361095327442247,0.0005669893137365788
Dick Spur’em,0.7227447329862416,1,0.007155635062611807,0.009169613552366064,0.0006398750062150523
Hollands,0.7496277333110033,1,0.007155635062611807,0.009169613552366064,0.0006398750062150523
