character,radius,mentions,degree_centrality,eigenvector,pagerank
Alfred,0.26656648968427316,5870,0.44254658385093165,0.3271093999516899,0.11098258442306051
Julia,0.20591570862507802,2754,0.2872670807453416,0.2712799264465531,0.07327632951609643
Silcock,0.5323442941578211,8,0.009316770186335404,0.03377086489809583,0.0008643537464855799
Edward,0.3311230133026312,1510,0.23447204968944096,0.22863950785321968,0.04673826740683007
Mrs. Dodd,0.35783340888190956,2375,0.2795031055900621,0.2476581328464625,0.06225728988642192
Badham o ' Wadham,0.7946635069080737,7,0.003105590062111801,0.011825694786986777,0.0003488204504653655
Hardie,0.7771268341056128,155,0.037267080745341616,0.05550467877186748,0.004562413060990917
Kennet,0.7128781592433231,64,0.009316770186335404,0.035639859249663536,0.0013887977291359508
Miss Dodd?--one,0.2897686543428968,1,0.003105590062111801,0.018494796535934527,0.00032991239904235696
Crichton,0.4604039964847852,2,0.004658385093167702,0.01908465810780835,0.00046030586036228764
Smalls,0.48494681222725866,1,0.004658385093167702,0.019084658107808346,0.00046030586036228764
Dean Swift,0.2864101149450841,1,0.003105590062111801,0.018494796535934527,0.00032991239904235696
Mamma,0.4239218175941283,446,0.05590062111801242,0.08713416017442872,0.008871507825447598
Aldrich,0.42642257976835657,1,0.0015527950310559005,0.01011017665290345,0.00028198104688498146
Halloa,0.33004368007303353,2,0.004658385093167702,0.024831408410676544,0.00038166320630175484
Osmond,0.3082941477896066,202,0.04192546583850931,0.08770606938263316,0.006016712870564741
Lady Dewry,0.24291209794573532,1,0.012422360248447204,0.039945002122552614,0.0006946431566488147
Miss Bosanquet,0.21195575400993755,2,0.015527950310559004,0.04650896518549704,0.0009893726105054596
Mr. Osmond,0.8239439098620103,21,0.03105590062111801,0.0488625590192615,0.002448540510922962
Mrs.,0.2609711762640034,5,0.03416149068322981,0.08239585071725831,0.0019960942093112193
Mrs. Hetherington,0.16397866459199165,1,0.012422360248447204,0.03994500212255261,0.0006946431566488147
Maxley,0.17583442785639633,520,0.09472049689440994,0.12113214376254053,0.01229896150450179
Aristotle,0.9359373762343439,5,0.020186335403726708,0.04303523771306825,0.0012849255123052405
Nature,0.3677414694810336,7,0.024844720496894408,0.061243159398764895,0.0016202991815445365
Suspense,0.31008529955659114,1,0.004658385093167702,0.025561502092455828,0.00037986838399340955
Sarah,0.29605848167684695,158,0.05434782608695652,0.09944536632664297,0.00785015808609571
Adam,0.6929070808684886,2,0.009316770186335404,0.025077023102996754,0.0006123998692427295
Cudworth,0.6805317868331046,1,0.006211180124223602,0.017702776335230753,0.00047682726150731025
Miss,0.29019399299804693,32,0.02795031055900621,0.059192643322304804,0.002424329689404989
