character,radius,mentions,degree_centrality,eigenvector,pagerank
Jack,0.0279496276228102,3789,0.48648648648648646,0.355301084673491,0.1305968007193332
Brother,0.08947943200191003,6,0.02702702702702703,0.05955075316844202,0.001354245403081742
Buzzard,0.24046021786745062,1,0.015015015015015015,0.040141244917387624,0.0009322090163393937
Hawk,0.26443833505065306,1,0.015015015015015015,0.04014124491738762,0.0009322090163393937
Jonathan,0.2720421577399529,3008,0.45645645645645644,0.33957976427867,0.11139828219782728
Kneebone,0.25867918403353374,433,0.17417417417417416,0.18601130962983176,0.02631418055650186
Thames,0.2239868661871256,1400,0.24924924924924924,0.2373469338349999,0.06786368569851334
Winifred,0.39591805743670516,511,0.10810810810810811,0.13583330109303207,0.023756564590959765
Goodness,0.4948982611045438,1,0.009009009009009009,0.028379034127505517,0.0006814123414356767
Van Galgebrok,0.23637157605908765,34,0.07207207207207207,0.11458793907666008,0.0058088733190973345
Wood,0.3534666358545406,1181,0.25225225225225223,0.22336379649093993,0.04741037597413091
Mrs. Sheppard,0.2611386927021517,836,0.18018018018018017,0.19092052310806135,0.033963788464168206
Van Gal,0.7040492331222665,16,0.015015015015015015,0.036822598761299986,0.0011095534202228078
MULSACK,0.9689678191482685,1,0.012012012012012012,0.016634799957674543,0.0014172847733269836
OLD MOB,0.9700334855597286,1,0.012012012012012012,0.016634799957674553,0.0014172847733269836
TOM COX,0.9709243712815315,1,0.012012012012012012,0.016634799957674556,0.0014172847733269836
WHITNEY,0.9707448645053036,2,0.02102102102102102,0.01778993829180635,0.0024318926671582923
Claude Du Val,0.9353674814155835,16,0.02702702702702703,0.02566375763522522,0.002744227193325968
Deuce,0.8877367808894453,1,0.009009009009009009,0.01845066926337881,0.0008707437188682743
John Dump,0.07675672851424956,14,0.03303303303303303,0.06975446141049355,0.0019587670112428865
Mrs. Wood,0.4706634577065056,366,0.13213213213213212,0.1544573012129392,0.02008797940718049
Lady Trafford,0.5833628431672018,124,0.06606606606606606,0.10019799833891774,0.007906104574785916
Antinous,0.277576916969079,1,0.006006006006006006,0.024260670641054104,0.0005838683364822225
Pshaw,0.06814490066257307,6,0.012012012012012012,0.047305358028527505,0.0009993424482881766
Winny,0.5013700191455801,33,0.018018018018018018,0.05310318692129376,0.0032637288805707
Jackson,0.5007732004671185,170,0.04504504504504504,0.08163588111940927,0.007430893177650334
Smith,0.4423375405955224,75,0.036036036036036036,0.07603737938237663,0.004415251261999494
Sir Rowland,0.1353174292112102,924,0.2132132132132132,0.21211815989466273,0.04040679494347766
Sir Cecil,0.5097860866191677,34,0.04504504504504504,0.08935156078747074,0.0037354817959180287
Thank'ee,0.3379363056962548,1,0.003003003003003003,0.014544624000205512,0.0005182564355473986
King James the Third,0.689708711668232,10,0.04204204204204204,0.06820377262210835,0.0024787949031932588
Carpenter,0.788931770332773,1,0.02702702702702703,0.04696340199166054,0.0013108620646120344
Darell,0.7575280838103113,10,0.03003003003003003,0.05629735349974048,0.001382744111648072
Mr.,0.7573815380505748,7,0.04204204204204204,0.08109511648466995,0.002132706359371401
Plutarch,0.799879921447791,1,0.02702702702702703,0.046963401991660526,0.0013108620646120344
St. George,0.8217484517146258,1,0.02702702702702703,0.04696340199166055,0.0013108620646120344
the Darkman,0.8150798164702459,1,0.02702702702702703,0.04696340199166056,0.0013108620646120344
Miss,0.5308655250353764,2,0.009009009009009009,0.030583542895421586,0.0006532664917843089
Charcam,0.5747936021451077,34,0.024024024024024024,0.05599816493649252,0.0026208529721516312
the Earl of Mar.,0.35843023262016666,1,0.003003003003003003,0.014544624000205512,0.0005182564355473986
Justice Walters,0.3083212169788354,1,0.018018018018018018,0.052930136546113546,0.0009174716317158247
Mr. Charcoal,0.43826449586025745,14,0.02102102102102102,0.05687054244304538,0.001155760519241246
Saint Giles,0.4708469909672357,14,0.05105105105105105,0.0917791211200507,0.002978444854415599
Mrs. Norris,0.5867346464681604,18,0.02102102102102102,0.04546051079827578,0.0021515334781959596
Abraham,0.6887729032000348,114,0.07207207207207207,0.10531984545777567,0.009846514857442996
Quilt,0.38470446389146395,224,0.11411411411411411,0.1331824373610655,0.01751321337893303
